name,index,unique_day,middle,lower,upper,yday,year,lake
GPP,1,1,0.202000482,0.019493016,0.398054952,189,2022,LOR
GPP,2,2,12.41186729,1.611056428,23.95545715,190,2022,LOR
GPP,3,3,12.68271924,2.019768465,23.91754186,191,2022,LOR
GPP,4,4,13.20159378,2.41973842,24.54698783,192,2022,LOR
GPP,5,5,14.41934244,2.978401897,26.08889653,193,2022,LOR
GPP,6,6,11.07864095,2.686334607,19.70753855,194,2022,LOR
GPP,7,7,13.38990944,3.500268349,23.33370077,195,2022,LOR
GPP,8,8,12.6799287,3.474827329,21.60673638,196,2022,LOR
GPP,9,9,13.78278125,4.000362918,23.26057945,197,2022,LOR
GPP,10,10,14.7856607,4.767498667,24.58798102,198,2022,LOR
GPP,11,11,12.73065031,4.265843894,20.85981439,199,2022,LOR
GPP,12,12,15.37558531,5.667442451,24.95850871,200,2022,LOR
GPP,13,13,14.43729824,5.855306564,23.16188517,201,2022,LOR
GPP,14,14,14.93929135,6.362697288,23.67383713,202,2022,LOR
GPP,15,15,13.98672532,6.122558076,22.02562929,203,2022,LOR
GPP,16,16,17.32981502,7.944895521,26.99040732,204,2022,LOR
GPP,17,17,14.71016889,6.800076591,22.70828327,205,2022,LOR
GPP,18,18,15.85298008,7.35837037,24.43051131,206,2022,LOR
GPP,19,19,16.65201117,8.001790512,25.32730656,207,2022,LOR
GPP,20,20,15.95823951,7.961209456,24.41313383,208,2022,LOR
GPP,21,21,15.9492824,8.079800104,24.32645157,209,2022,LOR
GPP,22,22,14.98070415,7.836718784,22.74415138,210,2022,LOR
GPP,23,23,14.1027596,7.555758166,21.1795465,211,2022,LOR
GPP,24,24,14.93183153,7.932211994,22.30248045,212,2022,LOR
GPP,25,25,13.81651175,7.476211963,20.5409205,213,2022,LOR
GPP,26,26,13.60889217,7.437098419,20.09670338,214,2022,LOR
GPP,27,27,14.33396165,7.927547594,21.06486728,215,2022,LOR
GPP,28,28,14.03406709,7.787651962,20.590541,216,2022,LOR
GPP,29,29,14.5873739,8.284984473,21.29988796,217,2022,LOR
GPP,30,30,15.30916938,8.565288188,22.34110937,218,2022,LOR
GPP,31,31,15.69004589,8.920710609,22.83382402,219,2022,LOR
GPP,32,32,16.44170545,9.338102028,23.90011496,220,2022,LOR
GPP,33,33,14.29083416,8.101020271,20.63193977,221,2022,LOR
GPP,34,34,9.8312237,5.660004932,14.12718303,222,2022,LOR
GPP,35,35,12.09144056,6.940030887,17.34691259,223,2022,LOR
GPP,36,36,10.55063257,6.004318973,15.17364577,224,2022,LOR
GPP,37,37,13.9507635,7.965031169,20.0280867,225,2022,LOR
GPP,38,38,16.29461931,9.460453838,23.36080748,226,2022,LOR
GPP,39,39,16.45948274,9.634262006,23.63725929,227,2022,LOR
GPP,40,40,16.346031,9.544847527,23.29514166,228,2022,LOR
GPP,41,41,14.67270944,8.530893241,20.96470419,229,2022,LOR
GPP,42,42,14.66657423,8.600213714,20.98930607,230,2022,LOR
GPP,43,43,13.75057172,7.937787936,19.63434184,231,2022,LOR
GPP,44,44,13.22606252,7.674370546,18.73172625,232,2022,LOR
GPP,45,45,13.021053,7.615958526,18.50136576,233,2022,LOR
GPP,46,46,9.519627409,5.534429551,13.5230865,234,2022,LOR
GPP,47,47,8.575626024,4.991296491,12.12595585,235,2022,LOR
GPP,48,48,10.63264067,6.230016041,14.95349548,236,2022,LOR
GPP,49,49,12.66309091,7.4335469,17.77560365,237,2022,LOR
GPP,50,50,11.12312813,6.509640399,15.4327707,238,2022,LOR
GPP,51,51,7.804008401,4.603460844,10.79241794,239,2022,LOR
GPP,52,52,16.20409346,9.772479377,22.41007112,240,2022,LOR
GPP,53,53,15.8124455,9.570055556,21.74899308,241,2022,LOR
GPP,54,54,15.48600633,9.432285582,21.24958299,242,2022,LOR
GPP,55,55,16.01103273,9.841336412,21.91911009,243,2022,LOR
GPP,56,56,14.52709861,8.899705521,19.89826923,244,2022,LOR
GPP,57,57,17.42302657,10.70716163,23.8815069,245,2022,LOR
GPP,58,58,11.33654938,7.072393486,15.52477708,246,2022,LOR
GPP,59,59,17.69585201,11.03286821,24.12290884,247,2022,LOR
GPP,60,60,17.10566306,10.66127957,23.25497738,248,2022,LOR
GPP,61,61,19.90008214,12.47115273,27.09175353,249,2022,LOR
GPP,62,62,13.19956346,8.267190068,18.04205917,250,2022,LOR
GPP,63,63,16.0130748,9.946456861,21.91465623,251,2022,LOR
GPP,64,64,16.94425103,10.55988776,23.16890538,252,2022,LOR
GPP,65,65,17.81149248,11.19851048,24.4392148,253,2022,LOR
GPP,66,66,13.88387618,8.618427743,19.12560042,254,2022,LOR
GPP,67,67,14.0884028,8.653172126,19.52934561,255,2022,LOR
GPP,68,68,8.910461922,5.363078047,12.49866289,256,2022,LOR
GPP,69,69,12.58789595,7.473983496,17.75828784,257,2022,LOR
GPP,70,70,13.07889743,7.587667316,18.57225512,258,2022,LOR
GPP,71,71,13.2287223,7.497926716,18.93038013,259,2022,LOR
GPP,72,72,14.07245334,7.859626323,20.32559245,260,2022,LOR
GPP,73,73,11.35236432,6.197432905,16.56039121,261,2022,LOR
GPP,74,74,12.77568951,6.789781807,18.84310234,262,2022,LOR
GPP,75,75,11.15291406,5.840393827,16.54584479,263,2022,LOR
GPP,76,76,9.878149375,5.066327286,14.88780714,264,2022,LOR
GPP,77,77,3.389562011,1.678076035,5.148867639,265,2022,LOR
GPP,78,78,7.791519795,3.731608668,11.9516886,266,2022,LOR
GPP,79,79,0.504297337,0.232757365,0.776074741,267,2022,LOR
ER,1,1,-12.96651662,-0.610694634,-35.6107605,189,2022,LOR
ER,2,2,-12.85003376,-1.119533254,-33.7857881,190,2022,LOR
ER,3,3,-12.61507381,-0.997878261,-32.27587086,191,2022,LOR
ER,4,4,-12.3630783,-0.98113212,-31.33036861,192,2022,LOR
ER,5,5,-12.75833994,-0.985059203,-31.28886827,193,2022,LOR
ER,6,6,-12.53830184,-0.972128576,-30.81885463,194,2022,LOR
ER,7,7,-12.53305591,-1.087108542,-30.20167142,195,2022,LOR
ER,8,8,-12.34683402,-1.043310744,-29.51078714,196,2022,LOR
ER,9,9,-11.9643355,-1.105528313,-29.1352856,197,2022,LOR
ER,10,10,-11.67577222,-1.017083939,-28.90224298,198,2022,LOR
ER,11,11,-11.37683636,-0.995764491,-28.17196042,199,2022,LOR
ER,12,12,-11.16053547,-0.877356791,-28.1222471,200,2022,LOR
