7450-277916
OS REV: 1.05 Sensor Cal: 1592497888
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1660175400,+3.48,+17.544, +7.857,+0.972
1660176000,+3.48,+17.561, +7.858,+0.972
1660176600,+3.49,+17.536, +7.857,+0.972
1660177200,+3.48,+17.561, +7.852,+0.972
1660177800,+3.48,+17.586, +7.852,+0.972
1660178400,+3.48,+17.612, +7.883,+0.972
1660179000,+3.48,+17.620, +7.918,+0.972
1660179600,+3.48,+17.696, +7.896,+0.972
1660180200,+3.48,+17.679, +7.863,+0.972
1660180800,+3.48,+17.705, +7.851,+0.972
1660181400,+3.48,+17.679, +7.861,+0.972
1660182000,+3.48,+17.713, +7.837,+0.972
1660182600,+3.48,+17.696, +7.852,+0.973
1660183200,+3.48,+17.814, +7.841,+0.972
1660183800,+3.48,+17.797, +7.817,+0.972
1660184400,+3.48,+17.797, +7.804,+0.972
1660185000,+3.48,+17.781, +7.805,+0.972
1660185600,+3.48,+17.789, +7.807,+0.972
1660186200,+3.48,+17.831, +7.902,+0.972
1660186800,+3.48,+17.856, +7.804,+0.972
1660187400,+3.48,+17.856, +7.794,+0.972
1660188000,+3.48,+17.848, +7.774,+0.972
1660188600,+3.48,+17.856, +7.774,+0.972
1660189200,+3.48,+17.840, +7.764,+0.972
1660189800,+3.48,+17.814, +7.788,+0.972
1660190400,+3.48,+17.831, +7.781,+0.973
1660191000,+3.48,+17.814, +7.767,+0.972
1660191600,+3.48,+17.713, +7.794,+0.972
1660192200,+3.48,+17.662, +7.803,+0.972
1660192800,+3.48,+17.713, +7.820,+0.973
1660193400,+3.48,+17.738, +7.792,+0.972
1660194000,+3.48,+17.747, +7.762,+0.972
1660194600,+3.48,+17.738, +7.785,+0.973
1660195200,+3.48,+17.747, +7.763,+0.972
1660195800,+3.48,+17.738, +7.769,+0.972
1660196400,+3.48,+17.738, +7.769,+0.972
1660197000,+3.48,+17.730, +7.771,+0.972
1660197600,+3.48,+17.705, +7.744,+0.972
1660198200,+3.48,+17.688, +7.745,+0.972
1660198800,+3.48,+17.637, +7.794,+0.972
1660199400,+3.48,+17.688, +7.782,+0.972
1660200000,+3.49,+17.645, +7.817,+0.972
1660200600,+3.49,+17.620, +7.821,+0.972
1660201200,+3.49,+17.654, +7.808,+0.972
1660201800,+3.49,+17.645, +7.822,+0.972
1660202400,+3.49,+17.645, +7.809,+0.972
1660203000,+3.49,+17.637, +7.817,+0.972
1660203600,+3.48,+17.628, +7.808,+0.972
1660204200,+3.49,+17.628, +7.802,+0.972
1660204800,+3.49,+17.603, +7.797,+0.972
1660205400,+3.49,+17.637, +7.790,+0.972
1660206000,+3.49,+17.628, +7.785,+0.972
1660206600,+3.49,+17.603, +7.799,+0.972
1660207200,+3.49,+17.552, +7.795,+0.971
1660207800,+3.49,+17.578, +7.788,+0.972
1660208400,+3.49,+17.578, +7.790,+0.973
1660209000,+3.49,+17.544, +7.784,+0.972
1660209600,+3.49,+17.536, +7.784,+0.972
1660210200,+3.49,+17.519, +7.771,+0.972
1660210800,+3.49,+17.485, +7.768,+0.972
1660211400,+3.49,+17.493, +7.767,+0.972
1660212000,+3.49,+17.485, +7.781,+0.973
1660212600,+3.49,+17.468, +7.761,+0.971
1660213200,+3.49,+17.459, +7.775,+0.973
1660213800,+3.49,+17.459, +7.762,+0.972
1660214400,+3.49,+17.459, +7.764,+0.972
1660215000,+3.49,+17.451, +7.758,+0.972
1660215600,+3.49,+17.443, +7.760,+0.972
1660216200,+3.49,+17.434, +7.754,+0.972
1660216800,+3.49,+17.426, +7.744,+0.972
