7450-585180
OS REV: 1.04 Sensor Cal: 1557947487
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1627167360,+3.16,+21.546, +0.827,+0.876
1627167960,+3.16,+21.655, +0.823,+0.876
1627168560,+3.15,+22.123, +0.801,+0.875
1627169160,+3.15,+22.156, +0.910,+0.871
1627169760,+3.16,+22.307, +0.936,+0.869
1627170360,+3.16,+22.265, +0.832,+0.873
1627170960,+3.16,+22.240, +0.831,+0.872
1627171560,+3.15,+22.073, +0.789,+0.874
1627172160,+3.15,+22.023, +0.862,+0.873
1627172760,+3.15,+21.939, +0.797,+0.873
1627173360,+3.15,+22.073, +0.905,+0.871
1627173960,+3.15,+22.073, +0.893,+0.871
1627174560,+3.15,+22.014, +0.769,+0.876
1627175160,+3.15,+21.989, +0.836,+0.871
1627175760,+3.15,+22.023, +0.755,+0.875
1627176360,+3.15,+21.956, +0.771,+0.875
1627176960,+3.15,+21.947, +0.761,+0.876
1627177560,+3.15,+21.964, +0.740,+0.877
1627178160,+3.15,+21.956, +0.689,+0.878
1627178760,+3.15,+21.964, +0.718,+0.877
1627179360,+3.15,+21.956, +0.678,+0.879
1627179960,+3.15,+21.956, +0.633,+0.880
1627180560,+3.15,+21.981, +0.561,+0.884
1627181160,+3.15,+21.956, +0.555,+0.884
1627181760,+3.15,+21.964, +0.603,+0.883
1627182360,+3.15,+21.956, +0.593,+0.883
1627182960,+3.15,+21.981, +0.569,+0.884
1627183560,+3.15,+21.989, +0.604,+0.882
1627184160,+3.15,+21.964, +0.572,+0.885
1627184760,+3.15,+21.956, +0.563,+0.884
1627185360,+3.15,+21.914, +0.560,+0.886
1627185960,+3.15,+21.922, +0.609,+0.883
1627186560,+3.15,+21.931, +0.598,+0.885
1627187160,+3.15,+21.906, +0.565,+0.886
1627187760,+3.15,+21.864, +0.542,+0.887
1627188360,+3.15,+21.922, +0.511,+0.888
1627188960,+3.15,+21.939, +0.481,+0.890
1627189560,+3.15,+21.922, +0.490,+0.890
1627190160,+3.15,+21.939, +0.479,+0.890
1627190760,+3.15,+21.914, +0.499,+0.889
1627191360,+3.15,+21.889, +0.514,+0.888
1627191960,+3.15,+21.864, +0.584,+0.884
1627192560,+3.15,+21.822, +0.616,+0.882
1627193160,+3.15,+21.805, +0.610,+0.884
1627193760,+3.15,+21.797, +0.622,+0.885
1627194360,+3.15,+21.780, +0.580,+0.886
1627194960,+3.15,+21.755, +0.588,+0.886
1627195560,+3.15,+21.764, +0.611,+0.884
1627196160,+3.15,+21.722, +0.562,+0.888
1627196760,+3.15,+21.688, +0.579,+0.885
1627197360,+3.15,+21.680, +0.604,+0.884
1627197960,+3.15,+21.655, +0.610,+0.884
1627198560,+3.15,+21.647, +0.578,+0.886
1627199160,+3.15,+21.605, +0.610,+0.886
1627199760,+3.15,+21.588, +0.610,+0.885
1627200360,+3.15,+21.580, +0.589,+0.887
1627200960,+3.15,+21.538, +0.561,+0.889
1627201560,+3.16,+21.513, +0.544,+0.887
1627202160,+3.16,+21.504, +0.579,+0.886
1627202760,+3.16,+21.488, +0.534,+0.888
1627203360,+3.16,+21.471, +0.573,+0.885
1627203960,+3.16,+21.454, +0.547,+0.887
1627204560,+3.16,+21.446, +0.572,+0.885
1627205160,+3.16,+21.429, +0.611,+0.884
1627205760,+3.16,+21.396, +0.599,+0.883
1627206360,+3.16,+21.387, +0.592,+0.884
1627206960,+3.16,+21.379, +0.613,+0.884
1627207560,+3.16,+21.346, +0.617,+0.883
1627208160,+3.16,+21.304, +0.645,+0.883
1627208760,+3.16,+21.287, +0.604,+0.885
1627209360,+3.16,+21.262, +0.600,+0.885
1627209960,+3.16,+21.229, +0.561,+0.886
1627210560,+3.16,+21.229, +0.554,+0.887
1627211160,+3.16,+21.220, +0.493,+0.890
1627211760,+3.16,+21.187, +0.507,+0.889
1627212360,+3.16,+21.179, +0.512,+0.889
1627212960,+3.16,+21.153, +0.475,+0.890
1627213560,+3.15,+21.137, +0.500,+0.889
1627214160,+3.15,+21.128, +0.424,+0.891
1627214760,+3.15,+21.087, +0.458,+0.890
1627215360,+3.15,+21.078, +0.454,+0.890
1627215960,+3.15,+21.061, +0.454,+0.889
1627216560,+3.15,+21.070, +0.420,+0.890
1627217160,+3.15,+21.045, +0.427,+0.891
1627217760,+3.15,+21.036, +0.439,+0.890
1627218360,+3.15,+21.003, +0.469,+0.888
1627218960,+3.15,+20.995, +0.459,+0.890
1627219560,+3.15,+21.011, +0.430,+0.891
1627220160,+3.15,+21.011, +0.449,+0.891
1627220760,+3.15,+20.970, +0.427,+0.890
1627221360,+3.15,+20.995, +0.426,+0.890
1627221960,+3.15,+20.978, +0.441,+0.891
1627222560,+3.15,+20.995, +0.422,+0.892
