7450-671179
OS REV: 1.04 Sensor Cal: 1560966684
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1592597460,+3.16,+14.450, +9.731,+0.973
1592598060,+3.16,+13.834, +9.848,+0.972
1592598660,+3.16,+13.686, +9.886,+0.972
1592599260,+3.16,+13.782, +9.862,+0.973
1592599860,+3.16,+13.834, +9.830,+0.972
1592600460,+3.16,+13.895, +9.792,+0.971
1592601060,+3.16,+13.886, +9.800,+0.972
1592601660,+3.16,+13.956, +9.789,+0.972
1592602260,+3.16,+13.895, +9.776,+0.972
1592602860,+3.16,+14.199, +9.752,+0.972
1592603460,+3.16,+13.729, +9.818,+0.972
1592604060,+3.16,+13.441, +9.883,+0.972
1592604660,+3.16,+13.363, +9.915,+0.972
1592605260,+3.16,+13.406, +9.915,+0.972
1592605860,+3.16,+13.389, +9.925,+0.973
1592606460,+3.16,+13.415, +9.899,+0.972
1592607060,+3.16,+13.398, +9.897,+0.972
1592607660,+3.16,+13.485, +9.895,+0.972
1592608260,+3.16,+13.581, +9.938,+0.972
1592608860,+3.16,+13.625, +9.952,+0.973
1592609460,+3.16,+13.590, +9.930,+0.972
1592610060,+3.16,+13.564, +9.972,+0.972
1592610660,+3.16,+13.599, +9.960,+0.973
1592611260,+3.16,+13.634, +9.907,+0.972
1592611860,+3.16,+13.764, +9.867,+0.972
1592612460,+3.16,+14.025, +9.784,+0.972
1592613060,+3.16,+14.060, +9.781,+0.972
1592613660,+3.16,+13.747, +9.841,+0.972
1592614260,+3.16,+13.712, +9.852,+0.972
1592614860,+3.16,+13.851, +9.849,+0.974
1592615460,+3.16,+13.947, +9.808,+0.974
1592616060,+3.15,+14.312, +9.734,+0.974
1592616660,+3.16,+14.182, +9.723,+0.974
1592617260,+3.16,+14.199, +9.713,+0.974
1592617860,+3.16,+14.069, +9.746,+0.974
1592618460,+3.16,+14.112, +9.737,+0.974
1592619060,+3.16,+14.138, +9.733,+0.974
1592619660,+3.16,+14.104, +9.741,+0.974
1592620260,+3.15,+14.416, +9.678,+0.974
1592620860,+3.15,+14.381, +9.683,+0.974
1592621460,+3.15,+14.485, +9.675,+0.974
1592622060,+3.15,+14.468, +9.678,+0.974
1592622660,+3.15,+14.450, +9.685,+0.974
1592623260,+3.16,+14.303, +9.713,+0.974
1592623860,+3.15,+14.338, +9.704,+0.974
1592624460,+3.16,+14.242, +9.712,+0.974
1592625060,+3.16,+14.277, +9.724,+0.974
1592625660,+3.15,+14.303, +9.688,+0.973
1592626260,+3.16,+14.277, +9.691,+0.974
1592626860,+3.16,+14.199, +9.716,+0.974
1592627460,+3.16,+14.182, +9.729,+0.974
1592628060,+3.16,+14.234, +9.699,+0.973
1592628660,+3.16,+14.260, +9.707,+0.974
1592629260,+3.15,+14.294, +9.702,+0.974
1592629860,+3.15,+14.320, +9.650,+0.974
1592630460,+3.15,+14.338, +9.643,+0.974
1592631060,+3.15,+14.416, +9.630,+0.975
1592631660,+3.15,+14.485, +9.607,+0.974
1592632260,+3.15,+14.545, +9.584,+0.974
1592632860,+3.15,+14.545, +9.571,+0.974
1592633460,+3.15,+14.563, +9.575,+0.974
1592634060,+3.15,+14.580, +9.562,+0.974
1592634660,+3.15,+14.580, +9.556,+0.974
1592635260,+3.15,+14.563, +9.550,+0.974
1592635860,+3.15,+14.563, +9.551,+0.974
1592636460,+3.15,+14.545, +9.556,+0.974
1592637060,+3.15,+14.554, +9.541,+0.973
1592637660,+3.15,+14.554, +9.550,+0.974
1592638260,+3.15,+14.545, +9.548,+0.974
1592638860,+3.15,+14.494, +9.531,+0.974
1592639460,+3.15,+14.433, +9.573,+0.974
1592640060,+3.15,+14.416, +9.568,+0.974
1592640660,+3.15,+14.424, +9.562,+0.974
1592641260,+3.15,+14.459, +9.532,+0.974
1592641860,+3.15,+14.450, +9.539,+0.974
1592642460,+3.15,+14.424, +9.536,+0.974
1592643060,+3.15,+14.433, +9.513,+0.973
1592643660,+3.15,+14.416, +9.526,+0.974
1592644260,+3.15,+14.398, +9.527,+0.974
1592644860,+3.15,+14.381, +9.534,+0.974
1592645460,+3.15,+14.407, +9.511,+0.974
1592646060,+3.15,+14.381, +9.519,+0.974
1592646660,+3.15,+14.381, +9.503,+0.974
1592647260,+3.15,+14.381, +9.513,+0.974
1592647860,+3.15,+14.372, +9.508,+0.974
1592648460,+3.15,+14.338, +9.520,+0.975
1592649060,+3.15,+14.329, +9.509,+0.974
1592649660,+3.15,+14.312, +9.505,+0.974
1592650260,+3.15,+14.312, +9.514,+0.974
1592650860,+3.15,+14.312, +9.511,+0.974
1592651460,+3.15,+14.312, +9.502,+0.974
1592652060,+3.15,+14.277, +9.513,+0.975
1592652660,+3.15,+14.286, +9.490,+0.974
1592653260,+3.15,+14.286, +9.480,+0.973
1592653860,+3.15,+14.268, +9.497,+0.974
1592654460,+3.15,+14.251, +9.510,+0.975
1592655060,+3.16,+14.234, +9.503,+0.974
1592655660,+3.15,+14.251, +9.489,+0.974
1592656260,+3.16,+14.216, +9.501,+0.974
1592656860,+3.16,+14.199, +9.500,+0.974
1592657460,+3.16,+14.199, +9.491,+0.974
1592658060,+3.16,+14.190, +9.490,+0.974
1592658660,+3.16,+14.190, +9.491,+0.974
1592659260,+3.16,+14.156, +9.497,+0.974
1592659860,+3.16,+14.173, +9.502,+0.974
1592660460,+3.16,+14.173, +9.495,+0.974
1592661060,+3.16,+14.173, +9.506,+0.974
1592661660,+3.16,+14.147, +9.520,+0.974
1592662260,+3.15,+14.182, +9.511,+0.974
1592662860,+3.16,+14.190, +9.516,+0.974
1592663460,+3.16,+14.182, +9.512,+0.974
1592664060,+3.16,+14.164, +9.515,+0.974
1592664660,+3.16,+14.173, +9.517,+0.974
1592665260,+3.16,+14.182, +9.542,+0.974
1592665860,+3.16,+14.199, +9.542,+0.974
1592666460,+3.15,+14.234, +9.538,+0.974
1592667060,+3.15,+14.268, +9.517,+0.974
1592667660,+3.15,+14.251, +9.520,+0.974
1592668260,+3.15,+14.277, +9.519,+0.974
1592668860,+3.15,+14.260, +9.537,+0.974
1592669460,+3.15,+14.268, +9.535,+0.974
