7450-671179
OS REV: 1.04 Sensor Cal: 1560966684
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1593206460,+3.15,+17.721, +9.105,+0.979
1593207060,+3.15,+17.670, +9.149,+0.979
1593207660,+3.14,+17.788, +9.171,+0.979
1593208260,+3.15,+18.134, +9.114,+0.979
1593208860,+3.15,+18.202, +9.082,+0.978
1593209460,+3.15,+18.218, +9.073,+0.979
1593210060,+3.15,+17.484, +9.303,+0.978
1593210660,+3.15,+18.378, +9.043,+0.979
1593211260,+3.15,+18.421, +9.035,+0.979
1593211860,+3.15,+18.530, +9.018,+0.979
1593212460,+3.15,+18.597, +9.004,+0.979
1593213060,+3.15,+18.631, +8.991,+0.979
1593213660,+3.14,+18.707, +8.985,+0.979
1593214260,+3.14,+18.782, +8.964,+0.979
1593214860,+3.14,+18.824, +8.949,+0.979
1593215460,+3.14,+18.866, +8.943,+0.979
1593216060,+3.14,+18.892, +8.940,+0.979
1593216660,+3.14,+18.824, +8.965,+0.979
1593217260,+3.14,+18.816, +8.960,+0.979
1593217860,+3.14,+18.799, +8.972,+0.980
1593218460,+3.14,+18.791, +8.957,+0.979
1593219060,+3.14,+18.816, +8.943,+0.979
1593219660,+3.14,+18.858, +8.937,+0.979
1593220260,+3.14,+18.908, +8.927,+0.979
1593220860,+3.15,+19.001, +8.906,+0.979
1593221460,+3.14,+18.833, +8.939,+0.979
1593222060,+3.14,+18.883, +8.934,+0.979
1593222660,+3.15,+19.152, +8.876,+0.979
1593223260,+3.15,+19.144, +8.896,+0.979
1593223860,+3.15,+19.219, +8.881,+0.979
1593224460,+3.15,+19.261, +8.868,+0.978
1593225060,+3.15,+19.328, +8.877,+0.979
1593225660,+3.15,+19.353, +8.866,+0.980
1593226260,+3.15,+19.421, +8.856,+0.979
1593226860,+3.15,+19.454, +8.860,+0.979
1593227460,+3.15,+19.412, +8.859,+0.979
1593228060,+3.15,+19.337, +8.849,+0.979
1593228660,+3.15,+19.387, +8.860,+0.979
1593229260,+3.15,+19.278, +8.894,+0.979
1593229860,+3.15,+19.160, +8.899,+0.979
1593230460,+3.15,+19.160, +8.907,+0.979
1593231060,+3.15,+19.085, +8.916,+0.978
1593231660,+3.15,+19.060, +8.938,+0.979
1593232260,+3.15,+18.984, +8.958,+0.979
1593232860,+3.15,+18.976, +8.953,+0.979
1593233460,+3.15,+19.068, +8.921,+0.979
1593234060,+3.15,+19.085, +8.893,+0.978
1593234660,+3.15,+19.177, +8.880,+0.980
1593235260,+3.15,+19.236, +8.880,+0.980
1593235860,+3.15,+19.261, +8.863,+0.979
1593236460,+3.15,+19.194, +8.869,+0.979
1593237060,+3.15,+19.160, +8.874,+0.979
1593237660,+3.15,+19.160, +8.876,+0.980
1593238260,+3.15,+19.135, +8.877,+0.979
1593238860,+3.15,+19.127, +8.861,+0.979
1593239460,+3.15,+19.127, +8.857,+0.979
1593240060,+3.15,+19.127, +8.850,+0.979
1593240660,+3.15,+19.085, +8.853,+0.979
1593241260,+3.15,+19.034, +8.860,+0.979
1593241860,+3.15,+19.009, +8.872,+0.979
1593242460,+3.15,+18.976, +8.854,+0.979
1593243060,+3.14,+18.959, +8.847,+0.979
1593243660,+3.14,+18.934, +8.857,+0.979
1593244260,+3.14,+18.900, +8.881,+0.979
1593244860,+3.14,+18.892, +8.863,+0.979
1593245460,+3.14,+18.858, +8.874,+0.979
1593246060,+3.14,+18.850, +8.875,+0.979
1593246660,+3.14,+18.791, +8.887,+0.979
1593247260,+3.14,+18.766, +8.884,+0.979
1593247860,+3.14,+18.740, +8.890,+0.980
1593248460,+3.14,+18.698, +8.903,+0.979
1593249060,+3.14,+18.665, +8.903,+0.979
1593249660,+3.15,+18.547, +8.997,+0.980
1593250260,+3.14,+18.614, +8.916,+0.979
1593250860,+3.15,+18.606, +8.905,+0.979
1593251460,+3.15,+18.244, +9.004,+0.979
1593252060,+3.15,+18.320, +9.004,+0.979
1593252660,+3.15,+18.395, +8.976,+0.979
1593253260,+3.15,+18.505, +8.911,+0.979
1593253860,+3.15,+18.496, +8.915,+0.979
1593254460,+3.15,+18.471, +8.930,+0.979
1593255060,+3.15,+18.421, +8.971,+0.979
1593255660,+3.15,+18.429, +8.922,+0.979
