7450-671179
OS REV: 1.04 Sensor Cal: 1560966684
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1623774540,+3.05,+17.450, +8.694,+0.977
1623775140,+3.06,+17.035, +8.676,+0.979
1623775740,+3.06,+17.239, +8.636,+0.980
1623776340,+3.05,+17.476, +8.599,+0.980
1623776940,+3.05,+17.763, +8.557,+0.981
1623777540,+3.06,+18.050, +8.506,+0.981
1623778140,+3.06,+18.303, +8.457,+0.981
1623778740,+3.05,+18.572, +8.408,+0.981
1623779340,+3.05,+18.850, +8.356,+0.981
1623779940,+3.06,+19.085, +8.324,+0.981
1623780540,+3.05,+19.320, +8.283,+0.981
1623781140,+3.05,+19.563, +8.241,+0.981
1623781740,+3.05,+19.781, +8.204,+0.982
1623782340,+3.05,+19.982, +8.167,+0.982
1623782940,+3.05,+20.167, +8.134,+0.981
1623783540,+3.05,+20.359, +8.109,+0.982
1623784140,+3.05,+20.543, +8.074,+0.981
1623784740,+3.05,+20.719, +8.053,+0.982
1623785340,+3.05,+20.903, +8.015,+0.981
1623785940,+3.05,+21.045, +7.996,+0.982
1623786540,+3.05,+21.104, +7.985,+0.982
1623787140,+3.05,+21.196, +7.967,+0.981
1623787740,+3.05,+21.296, +7.953,+0.982
1623788340,+3.05,+21.388, +7.942,+0.982
1623788940,+3.05,+21.480, +7.928,+0.982
1623789540,+3.05,+21.564, +7.914,+0.982
1623790140,+3.05,+21.631, +7.900,+0.982
1623790740,+3.05,+21.698, +7.887,+0.982
1623791340,+3.05,+21.739, +7.878,+0.982
1623791940,+3.05,+21.823, +7.879,+0.982
1623792540,+3.05,+21.965, +7.873,+0.982
1623793140,+3.05,+22.066, +7.865,+0.982
