7450-268227
OS REV: 1.05 Sensor Cal: 1592496917
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1598483940,+3.51,+15.210, +8.748,+0.996
1598484540,+3.51,+15.219, +8.747,+0.997
1598485140,+3.51,+15.244, +8.737,+0.996
1598485740,+3.51,+15.279, +8.732,+0.997
1598486340,+3.51,+15.279, +8.732,+0.997
1598486940,+3.51,+15.253, +8.720,+0.997
1598487540,+3.51,+15.261, +8.707,+0.996
1598488140,+3.51,+15.244, +8.722,+0.996
1598488740,+3.51,+15.279, +8.711,+0.996
1598489340,+3.51,+15.270, +8.714,+0.996
1598489940,+3.51,+15.279, +8.708,+0.996
1598490540,+3.51,+15.261, +8.701,+0.996
1598491140,+3.51,+15.253, +8.702,+0.996
1598491740,+3.51,+15.253, +8.711,+0.996
1598492340,+3.51,+15.261, +8.721,+0.997
1598492940,+3.51,+15.253, +8.726,+0.996
1598493540,+3.51,+15.261, +8.729,+0.997
1598494140,+3.51,+15.244, +8.720,+0.996
1598494740,+3.51,+15.270, +8.710,+0.996
1598495340,+3.51,+15.261, +8.714,+0.996
1598495940,+3.51,+15.236, +8.721,+0.997
1598496540,+3.51,+15.227, +8.700,+0.996
1598497140,+3.51,+15.201, +8.705,+0.996
1598497740,+3.51,+15.193, +8.708,+0.997
1598498340,+3.51,+15.210, +8.704,+0.996
1598498940,+3.51,+15.193, +8.706,+0.996
1598499540,+3.51,+15.201, +8.703,+0.997
1598500140,+3.51,+15.184, +8.701,+0.996
1598500740,+3.51,+15.158, +8.711,+0.996
1598501340,+3.51,+15.167, +8.708,+0.996
1598501940,+3.51,+15.176, +8.706,+0.997
1598502540,+3.51,+15.150, +8.716,+0.997
1598503140,+3.51,+15.167, +8.699,+0.996
1598503740,+3.51,+15.167, +8.704,+0.996
1598504340,+3.51,+15.167, +8.703,+0.997
1598504940,+3.51,+15.158, +8.700,+0.996
1598505540,+3.51,+15.184, +8.690,+0.997
1598506140,+3.51,+15.167, +8.698,+0.997
