MiniDOT Logger Concatenated Data File
Sensor:             7450-268227
Concatenation Date: 2020Sep30 15:05:48 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1819.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1595612940,           2020-07-24 17:49:00,           2020-07-24 11:49:00,      3.540000,     16.755000,          7.688000,                    99.094818,      0.996000
                1595613540,           2020-07-24 17:59:00,           2020-07-24 11:59:00,      3.540000,     15.450000,          8.227000,                   103.110843,      0.997000
                1595614140,           2020-07-24 18:09:00,           2020-07-24 12:09:00,      3.540000,     15.158000,          8.305000,                   103.429258,      0.998000
                1595614740,           2020-07-24 18:19:00,           2020-07-24 12:19:00,      3.540000,     15.115000,          8.322000,                   103.543797,      0.998000
                1595615340,           2020-07-24 18:29:00,           2020-07-24 12:29:00,      3.540000,     15.090000,          8.350000,                   103.835500,      0.999000
                1595615940,           2020-07-24 18:39:00,           2020-07-24 12:39:00,      3.540000,     15.098000,          8.351000,                   103.866074,      0.999000
                1595616540,           2020-07-24 18:49:00,           2020-07-24 12:49:00,      3.540000,     15.107000,          8.338000,                   103.724760,      0.999000
                1595617140,           2020-07-24 18:59:00,           2020-07-24 12:59:00,      3.540000,     15.133000,          8.344000,                   103.858308,      0.999000
                1595617740,           2020-07-24 19:09:00,           2020-07-24 13:09:00,      3.540000,     15.107000,          8.363000,                   104.035760,      0.999000
                1595618340,           2020-07-24 19:19:00,           2020-07-24 13:19:00,      3.540000,     15.150000,          8.362000,                   104.120960,      0.998000
                1595618940,           2020-07-24 19:29:00,           2020-07-24 13:29:00,      3.540000,     15.133000,          8.402000,                   104.580238,      0.999000
                1595619540,           2020-07-24 19:39:00,           2020-07-24 13:39:00,      3.540000,     15.141000,          8.404000,                   104.623390,      0.998000
                1595620140,           2020-07-24 19:49:00,           2020-07-24 13:49:00,      3.540000,     15.107000,          8.421000,                   104.757280,      0.999000
                1595620740,           2020-07-24 19:59:00,           2020-07-24 13:59:00,      3.540000,     15.072000,          8.423000,                   104.702124,      0.999000
                1595621340,           2020-07-24 20:09:00,           2020-07-24 14:09:00,      3.540000,     15.047000,          8.420000,                   104.607694,      0.998000
                1595621940,           2020-07-24 20:19:00,           2020-07-24 14:19:00,      3.540000,     15.029000,          8.433000,                   104.728004,      0.999000
                1595622540,           2020-07-24 20:29:00,           2020-07-24 14:29:00,      3.540000,     15.081000,          8.425000,                   104.747569,      0.999000
                1595623140,           2020-07-24 20:39:00,           2020-07-24 14:39:00,      3.540000,     15.029000,          8.432000,                   104.715585,      0.998000
                1595623740,           2020-07-24 20:49:00,           2020-07-24 14:49:00,      3.540000,     15.038000,          8.433000,                   104.748602,      0.999000
                1595624340,           2020-07-24 20:59:00,           2020-07-24 14:59:00,      3.540000,     15.047000,          8.425000,                   104.669812,      0.998000
                1595624940,           2020-07-24 21:09:00,           2020-07-24 15:09:00,      3.540000,     15.047000,          8.426000,                   104.682236,      0.998000
                1595625540,           2020-07-24 21:19:00,           2020-07-24 15:19:00,      3.540000,     15.012000,          8.450000,                   104.900140,      0.998000
                1595626140,           2020-07-24 21:29:00,           2020-07-24 15:29:00,      3.540000,     14.961000,          8.466000,                   104.981616,      0.998000
                1595626740,           2020-07-24 21:39:00,           2020-07-24 15:39:00,      3.540000,     14.909000,          8.482000,                   105.060383,      0.998000
                1595627340,           2020-07-24 21:49:00,           2020-07-24 15:49:00,      3.540000,     14.978000,          8.483000,                   105.231547,      0.999000
                1595627940,           2020-07-24 21:59:00,           2020-07-24 15:59:00,      3.540000,     15.064000,          8.463000,                   105.180965,      0.998000
                1595628540,           2020-07-24 22:09:00,           2020-07-24 16:09:00,      3.540000,     15.107000,          8.451000,                   105.130480,      0.998000
                1595629140,           2020-07-24 22:19:00,           2020-07-24 16:19:00,      3.540000,     15.072000,          8.462000,                   105.186914,      0.998000
                1595629740,           2020-07-24 22:29:00,           2020-07-24 16:29:00,      3.540000,     15.115000,          8.453000,                   105.173722,      0.998000
                1595630340,           2020-07-24 22:39:00,           2020-07-24 16:39:00,      3.540000,     15.124000,          8.471000,                   105.418383,      0.999000
                1595630940,           2020-07-24 22:49:00,           2020-07-24 16:49:00,      3.540000,     15.201000,          8.449000,                   105.321297,      0.998000
                1595631540,           2020-07-24 22:59:00,           2020-07-24 16:59:00,      3.540000,     15.236000,          8.452000,                   105.439065,      0.999000
                1595632140,           2020-07-24 23:09:00,           2020-07-24 17:09:00,      3.540000,     15.227000,          8.454000,                   105.443342,      0.998000
                1595632740,           2020-07-24 23:19:00,           2020-07-24 17:19:00,      3.540000,     15.184000,          8.491000,                   105.805638,      0.999000
