7450-289223
OS REV: 1.05 Sensor Cal: 1592497301
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1657660320,+3.47,+14.171, +8.498,+1.008
1657660920,+3.47,+14.232, +8.420,+1.009
1657661520,+3.47,+14.301, +8.376,+1.008
1657662120,+3.47,+14.310, +8.409,+1.008
1657662720,+3.47,+14.327, +8.399,+1.008
1657663320,+3.47,+14.327, +8.403,+1.008
1657663920,+3.47,+14.353, +8.405,+1.008
1657664520,+3.47,+14.371, +8.398,+1.008
1657665120,+3.47,+14.388, +8.398,+1.008
1657665720,+3.47,+14.449, +8.410,+1.008
1657666320,+3.47,+14.431, +8.395,+1.008
1657666920,+3.47,+14.492, +8.418,+1.008
1657667520,+3.47,+14.466, +8.449,+1.008
1657668120,+3.47,+14.492, +8.460,+1.008
1657668720,+3.47,+14.518, +8.416,+1.008
1657669320,+3.47,+14.518, +8.414,+1.008
1657669920,+3.47,+14.457, +8.444,+1.008
1657670520,+3.47,+14.457, +8.454,+1.008
1657671120,+3.47,+14.500, +8.453,+1.008
1657671720,+3.47,+14.587, +8.441,+1.008
1657672320,+3.48,+14.682, +8.410,+1.008
1657672920,+3.47,+14.544, +8.448,+1.008
1657673520,+3.47,+14.570, +8.453,+1.008
1657674120,+3.47,+14.613, +8.463,+1.008
1657674720,+3.48,+14.656, +8.450,+1.008
1657675320,+3.48,+14.647, +8.440,+1.008
1657675920,+3.47,+14.621, +8.474,+1.008
1657676520,+3.47,+14.621, +8.450,+1.009
1657677120,+3.48,+14.682, +8.453,+1.008
1657677720,+3.48,+14.699, +8.559,+1.008
1657678320,+3.48,+14.742, +8.558,+1.008
1657678920,+3.48,+14.665, +8.460,+1.009
1657679520,+3.48,+14.656, +8.497,+1.008
1657680120,+3.48,+14.682, +8.563,+1.008
1657680720,+3.48,+14.647, +8.555,+1.008
1657681320,+3.48,+14.673, +8.498,+1.008
1657681920,+3.48,+14.647, +8.486,+1.008
1657682520,+3.48,+14.673, +8.562,+1.008
1657683120,+3.48,+14.665, +8.904,+1.008
1657683720,+3.48,+14.708, +8.950,+1.008
1657684320,+3.48,+14.708, +8.951,+1.008
1657684920,+3.48,+14.656, +8.559,+1.008
1657685520,+3.47,+14.595, +8.520,+1.008
1657686120,+3.47,+14.578, +8.538,+1.008
1657686720,+3.47,+14.595, +8.512,+1.008
1657687320,+3.48,+14.630, +8.453,+1.008
1657687920,+3.48,+14.621, +8.433,+1.009
1657688520,+3.47,+14.630, +8.414,+1.008
1657689120,+3.47,+14.630, +8.415,+1.009
1657689720,+3.48,+14.621, +8.408,+1.008
1657690320,+3.48,+14.630, +8.404,+1.008
1657690920,+3.48,+14.673, +8.399,+1.008
1657691520,+3.48,+14.699, +8.410,+1.008
1657692120,+3.48,+14.673, +8.417,+1.008
1657692720,+3.47,+14.595, +8.417,+1.008
1657693320,+3.48,+14.699, +8.404,+1.008
1657693920,+3.48,+14.716, +8.395,+1.008
1657694520,+3.47,+14.621, +8.423,+1.008
1657695120,+3.48,+14.656, +8.424,+1.008
1657695720,+3.48,+14.690, +8.383,+1.007
1657696320,+3.48,+14.665, +8.396,+1.008
1657696920,+3.47,+14.613, +8.418,+1.008
1657697520,+3.48,+14.656, +8.388,+1.008
1657698120,+3.48,+14.699, +8.448,+1.008
1657698720,+3.48,+14.682, +8.459,+1.008
1657699320,+3.48,+14.656, +8.431,+1.008
1657699920,+3.48,+14.656, +8.452,+1.008
1657700520,+3.48,+14.656, +8.553,+1.007
1657701120,+3.48,+14.656, +8.522,+1.008
1657701720,+3.48,+14.647, +8.489,+1.008
1657702320,+3.48,+14.647, +8.423,+1.008
1657702920,+3.48,+14.613, +8.410,+1.008
1657703520,+3.47,+14.621, +8.408,+1.008
1657704120,+3.47,+14.604, +8.403,+1.008
1657704720,+3.48,+14.630, +8.418,+1.008
1657705320,+3.48,+14.639, +8.425,+1.008
1657705920,+3.48,+14.647, +8.435,+1.008
1657706520,+3.48,+14.639, +8.424,+1.008
1657707120,+3.47,+14.613, +8.403,+1.008
1657707720,+3.47,+14.613, +8.393,+1.008
1657708320,+3.48,+14.621, +8.390,+1.008
1657708920,+3.48,+14.630, +8.371,+1.008
1657709520,+3.47,+14.613, +8.371,+1.008
1657710120,+3.47,+14.604, +8.384,+1.008
1657710720,+3.48,+14.621, +8.374,+1.008
1657711320,+3.47,+14.604, +8.376,+1.008
1657711920,+3.48,+14.639, +8.361,+1.008
1657712520,+3.48,+14.673, +8.425,+1.008
1657713120,+3.48,+14.708, +8.417,+1.008
1657713720,+3.48,+14.682, +8.402,+1.008
1657714320,+3.48,+14.699, +8.347,+1.007
1657714920,+3.48,+14.690, +8.416,+1.008
1657715520,+3.48,+14.690, +8.450,+1.008
1657716120,+3.48,+14.708, +8.380,+1.008
1657716720,+3.48,+14.682, +8.387,+1.008
1657717320,+3.48,+14.665, +8.420,+1.008
1657717920,+3.48,+14.656, +8.381,+1.008
1657718520,+3.48,+14.639, +8.384,+1.008
1657719120,+3.48,+14.639, +8.365,+1.008
1657719720,+3.48,+14.682, +8.372,+1.009
1657720320,+3.48,+14.690, +8.403,+1.008
1657720920,+3.48,+14.682, +8.401,+1.008
1657721520,+3.48,+14.690, +8.396,+1.008
1657722120,+3.48,+14.708, +8.380,+1.008
1657722720,+3.48,+14.690, +8.571,+1.008
1657723320,+3.48,+14.682, +8.649,+1.008
1657723920,+3.48,+14.673, +8.573,+1.008
1657724520,+3.48,+14.665, +8.677,+1.008
1657725120,+3.48,+14.682, +8.485,+1.008
1657725720,+3.48,+14.682, +8.451,+1.008
1657726320,+3.48,+14.682, +8.551,+1.008
1657726920,+3.48,+14.682, +8.594,+1.008
1657727520,+3.48,+14.665, +8.584,+1.008
1657728120,+3.48,+14.656, +8.451,+1.008
1657728720,+3.48,+14.656, +8.416,+1.008
1657729320,+3.48,+14.647, +8.436,+1.008
1657729920,+3.48,+14.656, +8.445,+1.008
1657730520,+3.48,+14.647, +8.417,+1.008
1657731120,+3.48,+14.639, +8.420,+1.008
1657731720,+3.48,+14.656, +8.416,+1.008
1657732320,+3.48,+14.673, +8.429,+1.008
1657732920,+3.48,+14.699, +8.418,+1.008
1657733520,+3.48,+14.716, +8.426,+1.008
1657734120,+3.48,+14.734, +8.403,+1.008
1657734720,+3.48,+14.785, +8.407,+1.008
1657735320,+3.48,+14.794, +8.391,+1.008
1657735920,+3.48,+14.803, +8.462,+1.009
1657736520,+3.48,+14.794, +8.499,+1.008
1657737120,+3.48,+14.854, +8.340,+1.008
1657737720,+3.48,+14.940, +8.124,+1.008
1657738320,+3.48,+14.846, +8.445,+1.007
1657738920,+3.48,+14.854, +8.452,+1.008
1657739520,+3.48,+14.932, +8.278,+1.008
1657740120,+3.48,+14.897, +8.451,+1.008
1657740720,+3.48,+14.820, +8.419,+1.008
1657741320,+3.48,+14.863, +8.241,+1.008
1657741920,+3.48,+14.863, +8.207,+1.008
1657742520,+3.48,+14.871, +8.284,+1.008
1657743120,+3.48,+14.871, +8.288,+1.007
1657743720,+3.48,+14.932, +8.431,+1.008
1657744320,+3.48,+15.087, +8.451,+1.008
1657744920,+3.48,+14.949, +8.340,+1.008
1657745520,+3.48,+15.078, +8.568,+1.008
1657746120,+3.47,+15.224, +8.271,+1.008
1657746720,+3.47,+15.198, +8.395,+1.008
