7450-293738
OS REV: 1.05 Sensor Cal: 1592496161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1657312560,+3.07,+22.197, +6.943,+1.024
1657313160,+3.07,+20.242, +7.048,+1.025
1657313760,+3.08,+14.677, +8.972,+1.026
1657314360,+3.07,+13.375, +9.185,+1.029
1657314960,+3.08,+13.121, +9.077,+1.028
1657315560,+3.08,+13.078, +9.088,+1.030
1657316160,+3.08,+13.025, +9.138,+1.029
1657316760,+3.08,+13.034, +9.151,+1.030
1657317360,+3.08,+12.981, +9.281,+1.029
1657317960,+3.08,+13.025, +9.252,+1.030
1657318560,+3.08,+12.999, +9.153,+1.030
1657319160,+3.08,+13.060, +9.073,+1.029
1657319760,+3.08,+13.034, +9.268,+1.030
1657320360,+3.08,+13.086, +9.152,+1.029
1657320960,+3.08,+13.095, +9.114,+1.030
1657321560,+3.08,+13.086, +9.125,+1.029
1657322160,+3.08,+13.148, +9.092,+1.030
1657322760,+3.08,+13.218, +8.902,+1.029
1657323360,+3.08,+13.253, +8.850,+1.029
1657323960,+3.08,+13.209, +8.968,+1.029
1657324560,+3.08,+13.200, +9.049,+1.029
1657325160,+3.08,+13.174, +9.101,+1.029
1657325760,+3.08,+13.113, +9.043,+1.030
1657326360,+3.08,+13.078, +8.950,+1.029
1657326960,+3.08,+13.007, +9.601,+1.030
1657327560,+3.08,+13.156, +9.268,+1.029
1657328160,+3.08,+13.183, +9.050,+1.030
1657328760,+3.08,+13.253, +9.037,+1.029
1657329360,+3.08,+13.637, +8.806,+1.028
1657329960,+3.08,+13.785, +8.707,+1.029
1657330560,+3.08,+13.654, +8.756,+1.029
1657331160,+3.08,+13.593, +8.768,+1.029
1657331760,+3.08,+13.541, +8.821,+1.029
1657332360,+3.08,+13.497, +8.838,+1.029
1657332960,+3.08,+13.619, +8.843,+1.028
1657333560,+3.08,+13.558, +8.766,+1.029
1657334160,+3.08,+13.706, +8.699,+1.029
1657334760,+3.08,+13.793, +8.604,+1.029
1657335360,+3.08,+13.898, +8.543,+1.029
1657335960,+3.08,+13.828, +8.499,+1.028
1657336560,+3.08,+13.828, +8.512,+1.028
1657337160,+3.08,+13.689, +8.569,+1.028
1657337760,+3.08,+13.593, +8.662,+1.028
1657338360,+3.08,+13.366, +8.695,+1.028
1657338960,+3.07,+13.419, +8.726,+1.028
1657339560,+3.07,+13.384, +8.685,+1.029
1657340160,+3.08,+13.331, +8.670,+1.028
1657340760,+3.08,+13.288, +8.757,+1.029
1657341360,+3.08,+13.349, +8.664,+1.028
1657341960,+3.08,+13.506, +8.489,+1.029
1657342560,+3.08,+13.584, +8.420,+1.028
1657343160,+3.08,+13.576, +8.422,+1.028
1657343760,+3.08,+13.541, +8.299,+1.028
1657344360,+3.08,+13.506, +8.347,+1.028
1657344960,+3.08,+13.497, +8.373,+1.028
1657345560,+3.08,+13.454, +8.359,+1.028
1657346160,+3.08,+13.515, +8.377,+1.028
1657346760,+3.08,+13.550, +8.453,+1.028
1657347360,+3.08,+13.550, +8.461,+1.028
1657347960,+3.08,+13.541, +8.441,+1.028
1657348560,+3.08,+13.515, +8.424,+1.028
1657349160,+3.08,+13.532, +8.425,+1.028
1657349760,+3.08,+13.515, +8.452,+1.028
1657350360,+3.08,+13.506, +8.395,+1.028
1657350960,+3.08,+13.506, +8.325,+1.028
1657351560,+3.08,+13.480, +8.348,+1.028
1657352160,+3.08,+13.515, +8.359,+1.028
1657352760,+3.08,+13.532, +8.373,+1.028
1657353360,+3.08,+13.480, +8.284,+1.028
1657353960,+3.07,+13.410, +8.296,+1.028
1657354560,+3.07,+13.401, +8.326,+1.028
1657355160,+3.07,+13.410, +8.329,+1.029
1657355760,+3.07,+13.366, +8.257,+1.028
1657356360,+3.08,+13.331, +8.198,+1.028
1657356960,+3.07,+13.349, +8.314,+1.028
1657357560,+3.07,+13.366, +8.345,+1.028
1657358160,+3.08,+13.358, +8.336,+1.028
1657358760,+3.07,+13.340, +8.339,+1.029
1657359360,+3.08,+13.340, +8.317,+1.028
1657359960,+3.07,+13.331, +8.318,+1.028
1657360560,+3.08,+13.314, +8.356,+1.028
1657361160,+3.08,+13.296, +8.344,+1.028
1657361760,+3.08,+13.296, +8.335,+1.028
1657362360,+3.08,+13.279, +8.360,+1.028
1657362960,+3.08,+13.270, +8.354,+1.028
1657363560,+3.08,+13.270, +8.281,+1.028
1657364160,+3.08,+13.235, +8.324,+1.028
1657364760,+3.08,+13.244, +8.337,+1.028
1657365360,+3.08,+13.200, +8.319,+1.028
1657365960,+3.08,+13.148, +8.304,+1.029
1657366560,+3.08,+13.165, +8.279,+1.028
1657367160,+3.08,+13.165, +8.316,+1.028
1657367760,+3.08,+13.156, +8.318,+1.028
1657368360,+3.08,+13.130, +8.362,+1.028
1657368960,+3.08,+13.113, +8.376,+1.028
1657369560,+3.08,+13.121, +8.392,+1.028
1657370160,+3.08,+13.104, +8.400,+1.029
1657370760,+3.08,+13.069, +8.412,+1.029
1657371360,+3.08,+13.086, +8.390,+1.028
1657371960,+3.08,+13.060, +8.400,+1.029
1657372560,+3.08,+13.034, +8.365,+1.028
1657373160,+3.08,+13.025, +8.293,+1.029
1657373760,+3.08,+12.981, +8.250,+1.029
1657374360,+3.08,+12.963, +8.186,+1.029
1657374960,+3.08,+12.937, +8.260,+1.028
1657375560,+3.08,+12.946, +8.284,+1.028
1657376160,+3.08,+12.946, +8.294,+1.028
1657376760,+3.08,+12.955, +8.310,+1.028
1657377360,+3.08,+12.946, +8.336,+1.028
1657377960,+3.08,+12.937, +8.340,+1.028
1657378560,+3.08,+12.937, +8.342,+1.029
1657379160,+3.08,+12.911, +8.340,+1.028
1657379760,+3.08,+12.920, +8.328,+1.028
1657380360,+3.08,+12.911, +8.352,+1.028
1657380960,+3.08,+12.902, +8.369,+1.028
1657381560,+3.08,+12.911, +8.376,+1.029
1657382160,+3.08,+12.876, +8.379,+1.028
1657382760,+3.08,+12.884, +8.381,+1.028
1657383360,+3.08,+12.867, +8.375,+1.028
1657383960,+3.08,+12.876, +8.363,+1.028
1657384560,+3.08,+12.867, +8.410,+1.028
1657385160,+3.08,+12.946, +8.396,+1.028
1657385760,+3.08,+13.007, +8.428,+1.029
1657386360,+3.08,+12.999, +8.398,+1.028
1657386960,+3.08,+12.999, +8.397,+1.028
1657387560,+3.08,+12.990, +8.393,+1.028
1657388160,+3.08,+13.025, +8.399,+1.028
1657388760,+3.08,+13.051, +8.395,+1.028
1657389360,+3.08,+13.121, +8.426,+1.028
1657389960,+3.08,+13.191, +8.481,+1.028
1657390560,+3.08,+13.191, +8.514,+1.028
1657391160,+3.08,+13.209, +8.495,+1.028
1657391760,+3.08,+13.253, +8.539,+1.028
1657392360,+3.08,+13.244, +8.567,+1.028
1657392960,+3.08,+13.270, +8.567,+1.028
1657393560,+3.08,+13.296, +8.606,+1.028
1657394160,+3.08,+13.305, +8.687,+1.028
1657394760,+3.08,+13.427, +8.717,+1.028
1657395360,+3.08,+13.532, +8.740,+1.027
1657395960,+3.08,+13.663, +8.632,+1.028
1657396560,+3.08,+13.672, +8.601,+1.028
1657397160,+3.08,+13.724, +8.635,+1.027
1657397760,+3.08,+13.715, +8.644,+1.028
1657398360,+3.08,+13.672, +8.759,+1.027
1657398960,+3.08,+13.698, +8.947,+1.027
