7450-293738
OS REV: 1.05 Sensor Cal: 1592496161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1599108000,+3.50,+13.139, +9.440,+0.987
1599108600,+3.50,+13.156, +9.422,+0.987
1599109200,+3.50,+13.191, +9.416,+0.987
1599109800,+3.50,+13.139, +9.443,+0.988
1599110400,+3.50,+13.130, +9.440,+0.988
1599111000,+3.50,+13.034, +9.479,+0.988
1599111600,+3.50,+13.104, +9.439,+0.987
1599112200,+3.50,+13.060, +9.469,+0.988
1599112800,+3.50,+13.095, +9.444,+0.988
1599113400,+3.50,+13.104, +9.435,+0.987
1599114000,+3.50,+13.104, +9.434,+0.987
1599114600,+3.50,+13.104, +9.435,+0.988
1599115200,+3.50,+13.095, +9.419,+0.987
1599115800,+3.50,+13.095, +9.430,+0.987
1599116400,+3.50,+13.104, +9.424,+0.987
1599117000,+3.50,+13.069, +9.422,+0.987
1599117600,+3.50,+13.060, +9.432,+0.987
1599118200,+3.50,+13.060, +9.436,+0.988
1599118800,+3.50,+13.069, +9.435,+0.988
1599119400,+3.50,+13.086, +9.418,+0.987
1599120000,+3.50,+13.069, +9.426,+0.987
1599120600,+3.50,+13.069, +9.418,+0.988
1599121200,+3.50,+13.078, +9.413,+0.988
1599121800,+3.50,+13.069, +9.414,+0.987
1599122400,+3.50,+13.086, +9.403,+0.987
1599123000,+3.50,+13.051, +9.420,+0.987
1599123600,+3.50,+13.086, +9.403,+0.987
1599124200,+3.50,+13.078, +9.413,+0.988
1599124800,+3.50,+13.078, +9.421,+0.988
1599125400,+3.50,+13.104, +9.405,+0.987
1599126000,+3.50,+13.078, +9.418,+0.988
1599126600,+3.50,+13.113, +9.385,+0.987
1599127200,+3.50,+13.086, +9.391,+0.987
1599127800,+3.50,+13.069, +9.414,+0.988
1599128400,+3.50,+13.121, +9.395,+0.988
1599129000,+3.50,+13.121, +9.386,+0.988
1599129600,+3.50,+13.121, +9.382,+0.987
1599130200,+3.50,+13.078, +9.398,+0.987
1599130800,+3.50,+13.113, +9.384,+0.987
1599131400,+3.50,+13.095, +9.396,+0.987
1599132000,+3.50,+13.060, +9.401,+0.988
1599132600,+3.50,+13.095, +9.395,+0.988
