7450-027328
OS REV: 1.05 Sensor Cal: 1592497139
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1659038220,+3.06,+18.148, +8.074,+0.961
1659038820,+3.06,+18.148, +8.097,+0.961
1659039420,+3.06,+18.173, +8.176,+0.961
1659040020,+3.06,+18.114, +8.279,+0.961
1659040620,+3.07,+18.038, +8.333,+0.961
1659041220,+3.07,+18.089, +8.349,+0.961
1659041820,+3.06,+18.148, +8.296,+0.961
1659042420,+3.06,+18.241, +8.279,+0.961
1659043020,+3.06,+18.266, +8.280,+0.962
1659043620,+3.06,+18.300, +8.235,+0.961
1659044220,+3.06,+18.342, +8.253,+0.961
1659044820,+3.06,+18.376, +8.132,+0.962
1659045420,+3.06,+18.393, +8.115,+0.961
1659046020,+3.06,+18.426, +8.037,+0.961
1659046620,+3.06,+18.426, +8.061,+0.961
1659047220,+3.06,+18.443, +8.085,+0.961
1659047820,+3.06,+18.426, +8.140,+0.961
1659048420,+3.06,+18.401, +8.220,+0.961
1659049020,+3.06,+18.393, +8.179,+0.961
1659049620,+3.06,+18.409, +8.158,+0.961
1659050220,+3.06,+18.527, +8.045,+0.961
1659050820,+3.06,+18.494, +8.110,+0.961
1659051420,+3.06,+18.485, +8.106,+0.960
1659052020,+3.06,+18.376, +8.308,+0.960
1659052620,+3.06,+18.334, +8.229,+0.960
1659053220,+3.06,+18.216, +8.358,+0.961
1659053820,+3.06,+18.275, +8.291,+0.961
1659054420,+3.06,+18.275, +8.313,+0.961
1659055020,+3.06,+18.283, +8.275,+0.961
1659055620,+3.06,+18.300, +8.326,+0.961
1659056220,+3.06,+18.291, +8.343,+0.961
1659056820,+3.06,+18.283, +8.345,+0.961
1659057420,+3.06,+18.334, +8.289,+0.961
1659058020,+3.06,+18.342, +8.275,+0.960
1659058620,+3.06,+18.367, +8.336,+0.961
1659059220,+3.06,+18.325, +8.276,+0.961
1659059820,+3.06,+18.308, +8.249,+0.961
1659060420,+3.06,+18.359, +8.255,+0.961
1659061020,+3.06,+18.350, +8.205,+0.961
1659061620,+3.06,+18.300, +8.319,+0.961
1659062220,+3.06,+18.325, +8.212,+0.961
1659062820,+3.06,+18.334, +8.236,+0.960
1659063420,+3.06,+18.317, +8.228,+0.961
1659064020,+3.06,+18.334, +8.239,+0.961
1659064620,+3.06,+18.317, +8.260,+0.962
1659065220,+3.06,+18.283, +8.269,+0.961
1659065820,+3.06,+18.275, +8.196,+0.961
1659066420,+3.06,+18.325, +8.112,+0.961
1659067020,+3.06,+18.334, +8.137,+0.961
1659067620,+3.06,+18.342, +8.128,+0.961
1659068220,+3.06,+18.334, +8.108,+0.961
1659068820,+3.06,+18.350, +8.114,+0.961
1659069420,+3.06,+18.342, +8.090,+0.961
1659070020,+3.06,+18.300, +8.077,+0.961
1659070620,+3.06,+18.291, +8.066,+0.961
1659071220,+3.06,+18.291, +8.101,+0.961
1659071820,+3.06,+18.334, +8.067,+0.961
1659072420,+3.06,+18.325, +8.084,+0.961
1659073020,+3.06,+18.300, +8.083,+0.962
1659073620,+3.06,+18.334, +8.061,+0.961
1659074220,+3.06,+18.342, +8.059,+0.961
1659074820,+3.06,+18.350, +8.067,+0.961
1659075420,+3.06,+18.334, +8.067,+0.961
1659076020,+3.06,+18.334, +8.071,+0.961
1659076620,+3.06,+18.291, +8.089,+0.961
1659077220,+3.06,+18.249, +8.137,+0.961
1659077820,+3.06,+18.275, +8.075,+0.961
1659078420,+3.06,+18.275, +8.074,+0.961
1659079020,+3.06,+18.249, +8.127,+0.961
1659079620,+3.06,+18.241, +8.104,+0.961
1659080220,+3.06,+18.291, +8.122,+0.961
1659080820,+3.06,+18.325, +8.156,+0.961
1659081420,+3.06,+18.350, +8.154,+0.961
1659082020,+3.06,+18.367, +8.234,+0.961
1659082620,+3.06,+18.384, +8.242,+0.961
1659083220,+3.06,+18.350, +8.219,+0.961
1659083820,+3.06,+18.317, +8.250,+0.961
1659084420,+3.06,+18.342, +8.197,+0.962
1659085020,+3.06,+18.342, +8.223,+0.961
1659085620,+3.06,+18.359, +8.235,+0.961
1659086220,+3.06,+18.308, +8.327,+0.961
1659086820,+3.06,+18.300, +8.334,+0.961
1659087420,+3.06,+18.334, +8.123,+0.961
1659088020,+3.06,+18.350, +8.152,+0.961
1659088620,+3.06,+18.367, +8.125,+0.961
1659089220,+3.06,+18.325, +8.118,+0.961
1659089820,+3.06,+18.325, +8.102,+0.961
1659090420,+3.06,+18.350, +8.084,+0.961
1659091020,+3.06,+18.350, +8.067,+0.961
1659091620,+3.06,+18.359, +8.071,+0.961
1659092220,+3.06,+18.325, +8.196,+0.960
1659092820,+3.06,+18.350, +8.102,+0.961
1659093420,+3.06,+18.266, +8.282,+0.962
1659094020,+3.06,+18.266, +8.320,+0.961
1659094620,+3.06,+18.249, +8.314,+0.961
1659095220,+3.06,+18.266, +8.271,+0.960
1659095820,+3.06,+18.258, +8.310,+0.961
1659096420,+3.06,+18.258, +8.215,+0.960
1659097020,+3.06,+18.266, +8.276,+0.961
1659097620,+3.06,+18.275, +8.154,+0.960
1659098220,+3.06,+18.376, +7.798,+0.961
1659098820,+3.06,+18.401, +7.781,+0.961
1659099420,+3.06,+18.401, +7.784,+0.961
1659100020,+3.06,+18.376, +7.957,+0.961
1659100620,+3.06,+18.334, +8.032,+0.961
1659101220,+3.06,+18.342, +7.913,+0.961
1659101820,+3.06,+18.334, +7.894,+0.961
1659102420,+3.06,+18.325, +7.891,+0.961
1659103020,+3.06,+18.359, +7.840,+0.961
1659103620,+3.06,+18.342, +7.881,+0.961
1659104220,+3.06,+18.300, +8.062,+0.961
1659104820,+3.06,+18.376, +7.911,+0.960
1659105420,+3.06,+18.359, +7.933,+0.960
1659106020,+3.06,+18.384, +7.893,+0.961
1659106620,+3.06,+18.426, +7.853,+0.961
1659107220,+3.06,+18.443, +7.857,+0.961
1659107820,+3.06,+18.426, +7.842,+0.961
1659108420,+3.06,+18.409, +7.863,+0.961
1659109020,+3.06,+18.494, +7.859,+0.961
1659109620,+3.06,+18.477, +7.881,+0.961
1659110220,+3.06,+18.468, +7.897,+0.961
1659110820,+3.06,+18.502, +7.881,+0.961
1659111420,+3.06,+18.510, +7.920,+0.961
1659112020,+3.06,+18.519, +7.952,+0.962
1659112620,+3.06,+18.510, +7.918,+0.961
1659113220,+3.06,+18.494, +7.953,+0.961
1659113820,+3.06,+18.502, +7.956,+0.961
1659114420,+3.06,+18.494, +7.946,+0.961
1659115020,+3.06,+18.468, +7.934,+0.960
1659115620,+3.06,+18.468, +7.955,+0.961
1659116220,+3.06,+18.460, +7.994,+0.961
1659116820,+3.06,+18.426, +8.026,+0.961
1659117420,+3.06,+18.485, +7.973,+0.961
1659118020,+3.06,+18.502, +7.975,+0.961
1659118620,+3.06,+18.544, +7.969,+0.961
1659119220,+3.06,+18.502, +7.932,+0.960
1659119820,+3.06,+18.527, +7.944,+0.961
1659120420,+3.06,+18.527, +8.110,+0.961
1659121020,+3.06,+18.561, +8.168,+0.962
1659121620,+3.06,+18.569, +8.229,+0.961
1659122220,+3.06,+18.603, +8.139,+0.961
1659122820,+3.06,+18.628, +8.019,+0.961
1659123420,+3.06,+18.754, +7.944,+0.961
1659124020,+3.06,+18.881, +7.883,+0.960
1659124620,+3.06,+19.023, +7.881,+0.961
