7450-268227
OS REV: 1.05 Sensor Cal: 1592496917
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1659477720,+3.48,+19.134, +8.317,+0.994
1659478320,+3.48,+19.142, +8.341,+0.993
1659478920,+3.48,+19.159, +8.365,+0.994
1659479520,+3.48,+19.151, +8.309,+0.993
1659480120,+3.48,+19.151, +8.356,+0.993
1659480720,+3.48,+19.159, +8.377,+0.994
1659481320,+3.48,+19.193, +8.397,+0.993
1659481920,+3.48,+19.151, +8.514,+0.994
1659482520,+3.48,+19.092, +8.523,+0.994
1659483120,+3.48,+19.100, +8.447,+0.993
1659483720,+3.48,+19.067, +8.426,+0.994
1659484320,+3.48,+19.075, +8.399,+0.994
1659484920,+3.48,+18.991, +8.403,+0.994
1659485520,+3.48,+18.890, +8.318,+0.994
1659486120,+3.48,+18.865, +8.285,+0.994
1659486720,+3.48,+18.764, +8.181,+0.994
1659487320,+3.48,+18.689, +8.116,+0.994
1659487920,+3.48,+18.630, +8.075,+0.994
1659488520,+3.48,+18.630, +8.046,+0.993
1659489120,+3.48,+18.613, +8.106,+0.994
1659489720,+3.48,+18.596, +8.076,+0.994
1659490320,+3.48,+18.554, +8.056,+0.994
1659490920,+3.48,+18.554, +8.062,+0.993
1659491520,+3.48,+18.487, +7.954,+0.993
1659492120,+3.48,+18.588, +8.067,+0.993
1659492720,+3.48,+18.554, +8.045,+0.994
1659493320,+3.48,+18.521, +7.978,+0.994
1659493920,+3.48,+18.436, +7.827,+0.993
1659494520,+3.48,+18.546, +8.046,+0.994
1659495120,+3.48,+18.487, +7.956,+0.993
1659495720,+3.48,+18.453, +7.731,+0.994
1659496320,+3.48,+18.554, +8.050,+0.993
1659496920,+3.48,+18.462, +7.844,+0.994
1659497520,+3.48,+18.310, +7.558,+0.994
1659498120,+3.48,+18.302, +7.586,+0.993
1659498720,+3.48,+18.310, +7.596,+0.994
1659499320,+3.48,+18.327, +7.744,+0.993
1659499920,+3.48,+18.192, +7.435,+0.993
1659500520,+3.48,+18.226, +7.515,+0.994
1659501120,+3.48,+18.243, +7.486,+0.993
1659501720,+3.48,+18.293, +7.546,+0.994
1659502320,+3.48,+18.403, +7.627,+0.994
1659502920,+3.48,+18.420, +7.707,+0.994
1659503520,+3.48,+18.361, +7.661,+0.994
1659504120,+3.48,+18.327, +7.731,+0.994
1659504720,+3.48,+18.285, +7.584,+0.994
1659505320,+3.48,+18.276, +7.799,+0.994
1659505920,+3.48,+18.310, +7.847,+0.994
1659506520,+3.48,+18.327, +7.760,+0.993
1659507120,+3.48,+18.268, +7.673,+0.994
1659507720,+3.48,+18.192, +7.548,+0.994
1659508320,+3.48,+18.234, +7.606,+0.994
1659508920,+3.48,+18.234, +7.749,+0.993
1659509520,+3.48,+18.226, +7.739,+0.993
1659510120,+3.48,+18.218, +7.718,+0.994
1659510720,+3.48,+18.226, +7.692,+0.994
1659511320,+3.48,+18.234, +7.769,+0.993
1659511920,+3.48,+18.243, +7.780,+0.994
1659512520,+3.48,+18.234, +7.802,+0.993
1659513120,+3.48,+18.218, +7.809,+0.994
1659513720,+3.48,+18.159, +7.814,+0.994
1659514320,+3.48,+18.142, +7.722,+0.993
1659514920,+3.48,+18.159, +7.757,+0.994
1659515520,+3.48,+18.133, +7.710,+0.994
1659516120,+3.48,+18.125, +7.768,+0.994
1659516720,+3.48,+18.159, +7.824,+0.993
1659517320,+3.48,+18.125, +7.776,+0.993
1659517920,+3.48,+18.125, +7.712,+0.994
1659518520,+3.48,+18.083, +7.760,+0.994
1659519120,+3.48,+18.024, +7.748,+0.994
1659519720,+3.48,+18.041, +7.792,+0.994
1659520320,+3.48,+17.956, +7.737,+0.994
1659520920,+3.48,+17.965, +7.775,+0.994
1659521520,+3.48,+17.948, +7.799,+0.994
1659522120,+3.48,+17.956, +7.842,+0.994
1659522720,+3.48,+17.965, +7.820,+0.994
1659523320,+3.48,+17.982, +7.878,+0.994
1659523920,+3.48,+17.788, +7.637,+0.993
1659524520,+3.48,+17.771, +7.647,+0.993
