7450-671179
OS REV: 1.04 Sensor Cal: 1560966684
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1662014100,+2.96,+17.653, +7.705,+0.961
1662014700,+2.95,+17.619, +7.701,+0.961
1662015300,+2.95,+17.619, +7.690,+0.961
1662015900,+2.95,+17.670, +7.708,+0.961
1662016500,+2.95,+17.721, +7.716,+0.961
1662017100,+2.95,+17.636, +7.703,+0.961
1662017700,+2.95,+17.628, +7.698,+0.961
1662018300,+2.96,+17.602, +7.687,+0.961
1662018900,+2.95,+17.619, +7.689,+0.961
1662019500,+2.95,+17.619, +7.688,+0.961
1662020100,+2.96,+17.619, +7.690,+0.961
1662020700,+2.95,+17.636, +7.685,+0.961
1662021300,+2.95,+17.662, +7.696,+0.962
1662021900,+2.95,+17.678, +7.714,+0.962
1662022500,+2.95,+17.687, +7.714,+0.961
1662023100,+2.95,+17.687, +7.692,+0.962
1662023700,+2.95,+17.670, +7.684,+0.961
1662024300,+2.95,+17.687, +7.691,+0.961
1662024900,+2.95,+17.721, +7.698,+0.961
1662025500,+2.95,+17.754, +7.691,+0.961
1662026100,+2.95,+17.729, +7.688,+0.961
1662026700,+2.95,+17.721, +7.682,+0.961
1662027300,+2.95,+17.738, +7.671,+0.961
1662027900,+2.95,+17.721, +7.677,+0.961
1662028500,+2.95,+17.729, +7.669,+0.961
1662029100,+2.95,+17.695, +7.677,+0.960
1662029700,+2.95,+17.670, +7.685,+0.961
1662030300,+2.95,+17.636, +7.685,+0.962
1662030900,+2.95,+17.636, +7.698,+0.961
1662031500,+2.96,+17.645, +7.675,+0.961
1662032100,+2.95,+17.619, +7.706,+0.962
1662032700,+2.95,+17.602, +7.707,+0.962
1662033300,+2.96,+17.585, +7.704,+0.961
1662033900,+2.96,+17.577, +7.726,+0.961
1662034500,+2.96,+17.552, +7.705,+0.961
1662035100,+2.96,+17.543, +7.692,+0.962
1662035700,+2.96,+17.526, +7.686,+0.961
1662036300,+2.96,+17.509, +7.689,+0.961
1662036900,+2.96,+17.518, +7.684,+0.961
1662037500,+2.96,+17.492, +7.692,+0.961
1662038100,+2.96,+17.492, +7.688,+0.961
1662038700,+2.96,+17.476, +7.700,+0.961
1662039300,+2.96,+17.442, +7.686,+0.961
1662039900,+2.96,+17.433, +7.687,+0.961
1662040500,+2.96,+17.416, +7.703,+0.961
1662041100,+2.96,+17.416, +7.711,+0.962
1662041700,+2.96,+17.425, +7.710,+0.962
1662042300,+2.96,+17.425, +7.704,+0.961
1662042900,+2.96,+17.408, +7.705,+0.961
1662043500,+2.96,+17.399, +7.722,+0.961
1662044100,+2.96,+17.408, +7.715,+0.961
1662044700,+2.96,+17.408, +7.715,+0.961
1662045300,+2.96,+17.416, +7.714,+0.961
1662045900,+2.96,+17.433, +7.715,+0.961
1662046500,+2.96,+17.442, +7.712,+0.961
1662047100,+2.96,+17.442, +7.711,+0.961
1662047700,+2.96,+17.433, +7.720,+0.961
1662048300,+2.96,+17.425, +7.719,+0.961
1662048900,+2.96,+17.416, +7.717,+0.961
1662049500,+2.96,+17.442, +7.721,+0.961
1662050100,+2.96,+17.450, +7.736,+0.961
1662050700,+2.96,+17.442, +7.757,+0.962
1662051300,+2.96,+17.450, +7.748,+0.961
1662051900,+2.96,+17.450, +7.773,+0.962
1662052500,+2.96,+17.484, +7.763,+0.961
1662053100,+2.96,+17.476, +7.767,+0.961
1662053700,+2.96,+17.492, +7.757,+0.961
1662054300,+2.96,+17.484, +7.766,+0.961
1662054900,+2.96,+17.492, +7.760,+0.961
1662055500,+2.96,+17.509, +7.770,+0.961
1662056100,+2.96,+17.543, +7.773,+0.961
1662056700,+2.96,+17.560, +7.769,+0.961
1662057300,+2.95,+17.569, +7.762,+0.961
1662057900,+2.96,+17.569, +7.765,+0.961
1662058500,+2.95,+17.636, +7.749,+0.961
1662059100,+2.95,+17.611, +7.758,+0.961
1662059700,+2.95,+17.653, +7.765,+0.961
1662060300,+2.95,+17.712, +7.765,+0.962
1662060900,+2.95,+17.738, +7.760,+0.961
1662061500,+2.95,+17.729, +7.819,+0.961
1662062100,+2.95,+17.712, +7.778,+0.961
1662062700,+2.95,+17.712, +7.794,+0.961
1662063300,+2.95,+17.729, +7.811,+0.962
1662063900,+2.95,+17.729, +7.811,+0.962
1662064500,+2.95,+17.738, +7.796,+0.961
1662065100,+2.95,+17.771, +7.793,+0.962
1662065700,+2.95,+17.763, +7.804,+0.962
1662066300,+2.95,+17.763, +7.809,+0.961
1662066900,+2.96,+17.906, +7.846,+0.961
1662067500,+2.95,+17.788, +7.837,+0.961
1662068100,+2.95,+17.771, +7.859,+0.961
1662068700,+2.95,+17.822, +7.918,+0.961
1662069300,+2.95,+17.856, +7.891,+0.962
1662069900,+2.96,+17.923, +7.867,+0.961
1662070500,+2.96,+18.075, +7.806,+0.961
1662071100,+2.96,+18.092, +7.810,+0.962
1662071700,+2.96,+18.025, +7.817,+0.961
1662072300,+2.96,+18.075, +7.806,+0.961
1662072900,+2.96,+18.109, +7.767,+0.961
1662073500,+2.96,+18.126, +7.744,+0.961
1662074100,+2.96,+18.134, +7.777,+0.962
1662074700,+2.96,+18.143, +7.766,+0.961
1662075300,+2.96,+18.117, +7.750,+0.961
1662075900,+2.96,+18.109, +7.760,+0.961
1662076500,+2.96,+18.109, +7.756,+0.961
1662077100,+2.96,+18.033, +7.762,+0.961
1662077700,+2.96,+18.117, +7.759,+0.961
1662078300,+2.96,+18.185, +7.758,+0.961
1662078900,+2.96,+18.168, +7.762,+0.962
1662079500,+2.96,+18.176, +7.745,+0.961
1662080100,+2.96,+18.176, +7.756,+0.962
1662080700,+2.96,+18.176, +7.757,+0.962
1662081300,+2.96,+18.193, +7.746,+0.962
