7450-585180
OS REV: 1.04 Sensor Cal: 1557947487
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1662366120,+3.03,+17.053, +6.957,+0.906
1662366720,+3.03,+17.011, +6.973,+0.906
1662367320,+3.03,+16.986, +6.954,+0.906
1662367920,+3.03,+16.960, +6.951,+0.906
1662368520,+3.03,+16.943, +6.943,+0.906
1662369120,+3.03,+16.969, +6.935,+0.906
1662369720,+3.03,+16.952, +6.921,+0.906
1662370320,+3.03,+16.935, +6.912,+0.906
1662370920,+3.03,+16.884, +6.908,+0.906
1662371520,+3.03,+16.884, +6.899,+0.906
1662372120,+3.03,+16.892, +6.905,+0.907
1662372720,+3.03,+16.909, +6.890,+0.906
1662373320,+3.03,+16.875, +6.908,+0.907
1662373920,+3.03,+16.892, +6.900,+0.906
1662374520,+3.02,+16.824, +6.909,+0.906
1662375120,+3.02,+16.799, +6.928,+0.906
1662375720,+3.02,+16.773, +6.913,+0.906
1662376320,+3.02,+16.782, +6.906,+0.907
1662376920,+3.02,+16.807, +6.914,+0.906
1662377520,+3.02,+16.799, +6.969,+0.906
1662378120,+3.02,+16.799, +6.962,+0.906
1662378720,+3.02,+16.833, +6.999,+0.906
1662379320,+3.03,+16.841, +7.019,+0.906
1662379920,+3.03,+16.816, +6.990,+0.906
1662380520,+3.02,+16.799, +6.955,+0.906
1662381120,+3.02,+16.773, +6.926,+0.906
1662381720,+3.02,+16.739, +6.907,+0.906
1662382320,+3.02,+16.731, +6.879,+0.906
1662382920,+3.02,+16.731, +6.889,+0.906
1662383520,+3.02,+16.722, +6.894,+0.906
1662384120,+3.02,+16.705, +6.922,+0.906
1662384720,+3.02,+16.714, +6.964,+0.906
1662385320,+3.02,+16.722, +6.938,+0.906
1662385920,+3.02,+16.680, +6.964,+0.906
1662386520,+3.02,+16.722, +6.995,+0.906
1662387120,+3.02,+16.722, +7.101,+0.906
1662387720,+3.02,+16.773, +7.326,+0.906
1662388320,+3.03,+16.841, +7.573,+0.906
1662388920,+3.03,+16.935, +7.982,+0.906
1662389520,+3.03,+17.011, +8.201,+0.907
1662390120,+3.03,+17.011, +8.013,+0.906
1662390720,+3.03,+17.053, +7.802,+0.906
1662391320,+3.03,+17.070, +7.741,+0.906
1662391920,+3.03,+17.070, +7.727,+0.906
1662392520,+3.03,+17.070, +7.679,+0.906
1662393120,+3.03,+17.121, +7.686,+0.906
1662393720,+3.03,+17.138, +7.649,+0.906
1662394320,+3.03,+17.206, +7.715,+0.906
1662394920,+3.02,+17.257, +7.666,+0.906
1662395520,+3.03,+17.223, +7.629,+0.906
1662396120,+3.02,+17.265, +7.673,+0.905
1662396720,+3.03,+17.257, +7.627,+0.905
1662397320,+3.02,+17.257, +7.690,+0.906
1662397920,+3.02,+17.324, +7.772,+0.906
1662398520,+3.02,+17.375, +7.748,+0.905
1662399120,+3.02,+17.409, +7.800,+0.906
1662399720,+3.02,+17.434, +7.807,+0.906
1662400320,+3.02,+17.477, +7.816,+0.906
1662400920,+3.02,+17.485, +7.792,+0.906
1662401520,+3.02,+17.519, +7.831,+0.906
1662402120,+3.02,+17.544, +7.803,+0.906
1662402720,+3.02,+17.587, +7.792,+0.906
1662403320,+3.02,+17.637, +7.773,+0.906
1662403920,+3.02,+17.671, +7.777,+0.906
1662404520,+3.02,+17.637, +7.835,+0.906
1662405120,+3.02,+17.663, +7.841,+0.906
1662405720,+3.02,+17.654, +7.910,+0.906
1662406320,+3.02,+17.603, +7.861,+0.906
1662406920,+3.02,+17.654, +7.893,+0.906
1662407520,+3.02,+17.722, +7.933,+0.906
1662408120,+3.02,+17.815, +7.931,+0.906
1662408720,+3.02,+17.781, +7.918,+0.906
1662409320,+3.02,+17.789, +7.886,+0.906
1662409920,+3.02,+17.739, +7.832,+0.906
1662410520,+3.02,+17.764, +7.893,+0.906
1662411120,+3.02,+17.823, +7.977,+0.906
1662411720,+3.02,+17.798, +8.036,+0.907
1662412320,+3.02,+17.815, +7.963,+0.906
1662412920,+3.02,+17.815, +7.979,+0.906
1662413520,+3.02,+17.772, +7.934,+0.906
1662414120,+3.02,+17.772, +7.932,+0.906
1662414720,+3.02,+17.764, +7.923,+0.906
1662415320,+3.02,+17.848, +7.985,+0.906
1662415920,+3.02,+17.890, +8.016,+0.907
1662416520,+3.02,+17.874, +7.937,+0.906
1662417120,+3.02,+17.823, +7.906,+0.906
1662417720,+3.02,+17.747, +7.910,+0.907
1662418320,+3.02,+17.637, +7.767,+0.907
1662418920,+3.02,+17.654, +7.710,+0.906
1662419520,+3.02,+17.620, +7.615,+0.906
1662420120,+3.02,+17.620, +7.641,+0.907
1662420720,+3.02,+17.603, +7.636,+0.907
1662421320,+3.02,+17.603, +7.613,+0.906
1662421920,+3.02,+17.587, +7.587,+0.906
1662422520,+3.02,+17.570, +7.585,+0.907
1662423120,+3.02,+17.536, +7.544,+0.906
1662423720,+3.02,+17.510, +7.526,+0.906
1662424320,+3.02,+17.477, +7.468,+0.907
1662424920,+3.02,+17.451, +7.421,+0.906
1662425520,+3.02,+17.443, +7.405,+0.907
1662426120,+3.02,+17.417, +7.374,+0.907
1662426720,+3.02,+17.350, +7.337,+0.907
1662427320,+3.02,+17.324, +7.284,+0.906
1662427920,+3.02,+17.307, +7.243,+0.907
1662428520,+3.02,+17.307, +7.190,+0.907
1662429120,+3.03,+17.257, +7.151,+0.906
1662429720,+3.03,+17.240, +7.104,+0.906
1662430320,+3.03,+17.164, +7.021,+0.906
1662430920,+3.03,+17.164, +7.041,+0.906
1662431520,+3.03,+17.130, +7.054,+0.907
1662432120,+3.03,+17.113, +6.998,+0.906
1662432720,+3.03,+17.113, +7.021,+0.906
1662433320,+3.03,+17.096, +7.052,+0.906
1662433920,+3.03,+17.104, +7.038,+0.906
1662434520,+3.03,+17.087, +6.995,+0.906
1662435120,+3.03,+17.079, +6.947,+0.906
1662435720,+3.03,+17.062, +6.928,+0.906
1662436320,+3.03,+17.070, +6.962,+0.906
1662436920,+3.03,+17.070, +6.979,+0.906
1662437520,+3.03,+17.053, +6.960,+0.906
1662438120,+3.03,+17.036, +6.921,+0.906
1662438720,+3.03,+17.028, +6.909,+0.906
1662439320,+3.03,+16.960, +6.873,+0.906
1662439920,+3.03,+16.969, +6.872,+0.906
1662440520,+3.03,+16.926, +6.890,+0.906
1662441120,+3.03,+16.901, +6.791,+0.906
1662441720,+3.03,+16.909, +6.854,+0.906
1662442320,+3.03,+16.935, +6.903,+0.907
1662442920,+3.03,+16.935, +7.027,+0.906
1662443520,+3.03,+16.960, +7.085,+0.906
1662444120,+3.03,+16.994, +7.015,+0.906
1662444720,+3.03,+16.977, +6.679,+0.907
1662445320,+3.03,+16.960, +6.841,+0.906
1662445920,+3.03,+16.926, +6.895,+0.906
1662446520,+3.03,+16.918, +6.872,+0.906
1662447120,+3.03,+16.892, +6.835,+0.906
1662447720,+3.03,+16.867, +6.882,+0.906
1662448320,+3.03,+16.884, +6.929,+0.907
1662448920,+3.03,+16.892, +6.955,+0.906
1662449520,+3.03,+16.875, +6.982,+0.906
1662450120,+3.03,+16.858, +7.017,+0.906
1662450720,+3.03,+16.875, +7.051,+0.906
1662451320,+3.03,+16.875, +7.054,+0.906
1662451920,+3.03,+16.867, +7.030,+0.906
1662452520,+3.03,+16.858, +7.019,+0.907
