7450-027328
OS REV: 1.05 Sensor Cal: 1592497139
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1628049060,+3.17,+22.323, +8.284,+0.973
1628049660,+3.17,+22.339, +8.229,+0.973
1628050260,+3.16,+22.373, +8.188,+0.973
1628050860,+3.16,+22.373, +8.175,+0.974
1628051460,+3.16,+22.339, +8.213,+0.973
1628052060,+3.16,+22.323, +8.195,+0.974
1628052660,+3.16,+22.323, +8.162,+0.973
1628053260,+3.16,+22.297, +8.155,+0.973
1628053860,+3.16,+22.247, +8.171,+0.974
1628054460,+3.16,+22.256, +8.161,+0.973
1628055060,+3.16,+22.264, +8.174,+0.973
1628055660,+3.16,+22.264, +8.182,+0.974
1628056260,+3.16,+22.239, +8.173,+0.973
1628056860,+3.16,+22.222, +8.165,+0.973
1628057460,+3.16,+22.189, +8.158,+0.974
1628058060,+3.16,+22.189, +8.164,+0.974
1628058660,+3.16,+22.180, +8.151,+0.973
1628059260,+3.16,+22.164, +8.137,+0.973
1628059860,+3.16,+22.164, +8.160,+0.973
1628060460,+3.16,+22.139, +8.165,+0.973
1628061060,+3.16,+22.122, +8.157,+0.973
1628061660,+3.16,+22.105, +8.141,+0.973
1628062260,+3.16,+22.105, +8.129,+0.973
1628062860,+3.16,+22.088, +8.143,+0.973
1628063460,+3.16,+22.072, +8.137,+0.973
1628064060,+3.16,+22.072, +8.133,+0.973
1628064660,+3.16,+22.055, +8.132,+0.973
1628065260,+3.16,+22.038, +8.139,+0.973
1628065860,+3.16,+22.030, +8.134,+0.973
1628066460,+3.16,+22.005, +8.120,+0.972
1628067060,+3.16,+21.988, +8.137,+0.973
1628067660,+3.16,+21.980, +8.122,+0.974
1628068260,+3.16,+21.955, +8.131,+0.973
1628068860,+3.16,+21.946, +8.095,+0.973
1628069460,+3.16,+21.921, +8.112,+0.972
1628070060,+3.16,+21.921, +8.120,+0.974
1628070660,+3.16,+21.888, +8.112,+0.973
1628071260,+3.16,+21.871, +8.131,+0.973
1628071860,+3.16,+21.871, +8.113,+0.972
1628072460,+3.16,+21.812, +8.138,+0.973
1628073060,+3.16,+21.804, +8.139,+0.973
1628073660,+3.16,+21.796, +8.156,+0.973
1628074260,+3.16,+21.762, +8.136,+0.973
1628074860,+3.16,+21.737, +8.157,+0.972
1628075460,+3.16,+21.729, +8.165,+0.973
1628076060,+3.16,+21.720, +8.178,+0.973
1628076660,+3.16,+21.687, +8.197,+0.973
1628077260,+3.16,+21.654, +8.185,+0.973
1628077860,+3.16,+21.628, +8.170,+0.973
1628078460,+3.16,+21.612, +8.198,+0.973
1628079060,+3.16,+21.595, +8.171,+0.973
1628079660,+3.16,+21.595, +8.180,+0.973
1628080260,+3.16,+21.578, +8.228,+0.973
1628080860,+3.16,+21.520, +8.225,+0.973
1628081460,+3.16,+21.536, +8.228,+0.974
1628082060,+3.16,+21.520, +8.227,+0.974
1628082660,+3.16,+21.495, +8.239,+0.973
1628083260,+3.16,+21.470, +8.250,+0.974
1628083860,+3.16,+21.461, +8.265,+0.974
1628084460,+3.16,+21.444, +8.226,+0.973
1628085060,+3.16,+21.436, +8.228,+0.973
1628085660,+3.16,+21.428, +8.246,+0.973
1628086260,+3.16,+21.411, +8.252,+0.973
1628086860,+3.16,+21.411, +8.258,+0.974
1628087460,+3.16,+21.403, +8.230,+0.973
1628088060,+3.16,+21.403, +8.234,+0.974
1628088660,+3.16,+21.411, +8.220,+0.973
1628089260,+3.16,+21.394, +8.215,+0.973
1628089860,+3.16,+21.394, +8.248,+0.974
1628090460,+3.16,+21.411, +8.218,+0.973
1628091060,+3.16,+21.403, +8.231,+0.973
1628091660,+3.16,+21.378, +8.274,+0.973
1628092260,+3.16,+21.394, +8.286,+0.973
1628092860,+3.16,+21.378, +8.268,+0.973
1628093460,+3.16,+21.378, +8.277,+0.974
1628094060,+3.16,+21.361, +8.265,+0.973
1628094660,+3.16,+21.378, +8.230,+0.973
1628095260,+3.16,+21.394, +8.221,+0.973
1628095860,+3.16,+21.394, +8.223,+0.973
1628096460,+3.16,+21.369, +8.247,+0.974
1628097060,+3.16,+21.386, +8.256,+0.974
1628097660,+3.16,+21.394, +8.255,+0.974
1628098260,+3.16,+21.394, +8.240,+0.973
1628098860,+3.16,+21.403, +8.232,+0.973
1628099460,+3.16,+21.428, +8.230,+0.973
1628100060,+3.16,+21.428, +8.237,+0.973
1628100660,+3.16,+21.428, +8.232,+0.973
1628101260,+3.16,+21.436, +8.240,+0.973
1628101860,+3.16,+21.419, +8.256,+0.973
1628102460,+3.16,+21.461, +8.248,+0.973
1628103060,+3.16,+21.436, +8.270,+0.973
1628103660,+3.16,+21.453, +8.278,+0.973
1628104260,+3.16,+21.461, +8.297,+0.973
1628104860,+3.16,+21.461, +8.297,+0.973
1628105460,+3.16,+21.486, +8.272,+0.973
1628106060,+3.16,+21.486, +8.285,+0.973
1628106660,+3.16,+21.486, +8.289,+0.973
1628107260,+3.16,+21.520, +8.290,+0.973
1628107860,+3.16,+21.536, +8.304,+0.973
1628108460,+3.16,+21.545, +8.190,+0.973
1628109060,+3.16,+21.553, +8.160,+0.973
1628109660,+3.16,+21.578, +8.166,+0.973
1628110260,+3.16,+21.595, +8.191,+0.973
1628110860,+3.16,+21.620, +8.180,+0.973
1628111460,+3.16,+21.637, +8.190,+0.973
1628112060,+3.16,+21.670, +8.200,+0.973
1628112660,+3.16,+21.704, +8.231,+0.974
1628113260,+3.16,+21.695, +8.238,+0.973
1628113860,+3.16,+21.754, +8.294,+0.974
1628114460,+3.16,+21.812, +8.288,+0.973
1628115060,+3.16,+21.812, +8.311,+0.973
1628115660,+3.16,+21.846, +8.301,+0.973
1628116260,+3.16,+21.879, +8.280,+0.974
1628116860,+3.16,+21.930, +8.281,+0.974
1628117460,+3.16,+21.955, +8.286,+0.973
1628118060,+3.16,+21.971, +8.297,+0.973
1628118660,+3.16,+21.963, +8.315,+0.974
1628119260,+3.16,+21.971, +8.323,+0.973
1628119860,+3.16,+21.971, +8.317,+0.974
1628120460,+3.16,+22.022, +8.266,+0.973
1628121060,+3.16,+22.013, +8.263,+0.974
1628121660,+3.16,+21.938, +8.312,+0.973
1628122260,+3.16,+21.971, +8.306,+0.973
1628122860,+3.16,+21.980, +8.310,+0.973
1628123460,+3.16,+22.047, +8.269,+0.973
1628124060,+3.16,+22.022, +8.305,+0.973
1628124660,+3.16,+21.963, +8.338,+0.973
1628125260,+3.16,+22.038, +8.286,+0.973
1628125860,+3.16,+22.047, +8.292,+0.973
1628126460,+3.16,+22.063, +8.298,+0.974
1628127060,+3.16,+22.105, +8.289,+0.973
1628127660,+3.16,+22.047, +8.318,+0.973
1628128260,+3.16,+21.996, +8.333,+0.973
1628128860,+3.16,+22.130, +8.301,+0.974
1628129460,+3.16,+22.247, +8.252,+0.973
1628130060,+3.16,+22.013, +8.298,+0.972
1628130660,+3.16,+22.038, +8.294,+0.974
1628131260,+3.16,+22.088, +8.281,+0.973
1628131860,+3.16,+22.155, +8.233,+0.973
1628132460,+3.16,+22.214, +8.234,+0.973
1628133060,+3.16,+22.205, +8.214,+0.973
1628133660,+3.16,+22.231, +8.223,+0.973
1628134260,+3.16,+22.222, +8.209,+0.973
1628134860,+3.16,+22.205, +8.187,+0.973
1628135460,+3.16,+22.239, +8.249,+0.974
