7450-027328
OS REV: 1.05 Sensor Cal: 1592497139
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1594936860,+3.54,+15.463, +8.441,+0.984
1594937460,+3.55,+14.895, +8.609,+0.987
1594938060,+3.54,+14.515, +8.745,+0.986
1594938660,+3.54,+14.532, +8.724,+0.987
1594939260,+3.54,+14.636, +8.687,+0.987
1594939860,+3.54,+14.584, +8.700,+0.986
1594940460,+3.54,+14.766, +8.670,+0.987
1594941060,+3.54,+14.895, +8.636,+0.986
1594941660,+3.54,+15.153, +8.535,+0.985
1594942260,+3.54,+14.912, +8.649,+0.986
1594942860,+3.54,+14.990, +8.620,+0.986
1594943460,+3.54,+15.153, +8.575,+0.986
1594944060,+3.54,+15.257, +8.575,+0.986
1594944660,+3.54,+15.291, +8.566,+0.986
1594945260,+3.54,+15.196, +8.584,+0.986
1594945860,+3.54,+15.007, +8.649,+0.986
1594946460,+3.54,+14.748, +8.686,+0.985
1594947060,+3.54,+14.740, +8.698,+0.986
1594947660,+3.54,+14.662, +8.713,+0.985
1594948260,+3.54,+14.593, +8.746,+0.986
1594948860,+3.54,+14.558, +8.774,+0.987
1594949460,+3.54,+14.636, +8.733,+0.986
1594950060,+3.54,+14.610, +8.765,+0.986
1594950660,+3.54,+14.679, +8.807,+0.986
1594951260,+3.54,+14.731, +8.848,+0.986
1594951860,+3.54,+14.792, +8.906,+0.986
1594952460,+3.54,+14.981, +8.702,+0.985
1594953060,+3.54,+14.973, +8.675,+0.985
1594953660,+3.54,+14.990, +8.672,+0.986
1594954260,+3.54,+15.033, +8.654,+0.985
1594954860,+3.54,+15.007, +8.641,+0.985
1594955460,+3.54,+14.990, +8.663,+0.985
1594956060,+3.54,+15.024, +8.639,+0.985
1594956660,+3.54,+14.973, +8.641,+0.985
1594957260,+3.54,+15.033, +8.609,+0.985
1594957860,+3.54,+15.050, +8.598,+0.985
1594958460,+3.54,+15.050, +8.600,+0.985
1594959060,+3.54,+14.964, +8.570,+0.985
1594959660,+3.54,+15.016, +8.574,+0.985
1594960260,+3.54,+14.981, +8.591,+0.985
1594960860,+3.54,+14.973, +8.608,+0.985
1594961460,+3.54,+14.938, +8.619,+0.986
1594962060,+3.54,+14.912, +8.693,+0.985
1594962660,+3.54,+14.895, +8.577,+0.985
1594963260,+3.54,+14.869, +8.580,+0.985
1594963860,+3.54,+14.843, +8.582,+0.985
1594964460,+3.54,+14.757, +8.572,+0.985
1594965060,+3.54,+14.714, +8.568,+0.985
1594965660,+3.54,+14.679, +8.547,+0.985
1594966260,+3.54,+14.653, +8.537,+0.985
1594966860,+3.53,+14.619, +8.532,+0.985
1594967460,+3.53,+14.601, +8.529,+0.985
1594968060,+3.53,+14.576, +8.512,+0.985
1594968660,+3.53,+14.567, +8.489,+0.985
1594969260,+3.53,+14.541, +8.464,+0.985
1594969860,+3.53,+14.498, +8.472,+0.985
1594970460,+3.53,+14.489, +8.452,+0.985
1594971060,+3.53,+14.437, +8.453,+0.985
1594971660,+3.53,+14.394, +8.443,+0.986
1594972260,+3.53,+14.350, +8.423,+0.986
1594972860,+3.53,+14.316, +8.423,+0.986
1594973460,+3.53,+14.281, +8.406,+0.985
1594974060,+3.53,+14.229, +8.425,+0.986
1594974660,+3.53,+14.186, +8.439,+0.985
1594975260,+3.53,+14.220, +8.423,+0.985
1594975860,+3.53,+14.220, +8.421,+0.985
1594976460,+3.53,+14.168, +8.434,+0.986
1594977060,+3.53,+14.134, +8.430,+0.985
1594977660,+3.53,+14.125, +8.421,+0.985
1594978260,+3.53,+14.116, +8.414,+0.986
1594978860,+3.53,+14.073, +8.417,+0.985
1594979460,+3.53,+14.047, +8.429,+0.986
1594980060,+3.53,+14.029, +8.413,+0.985
1594980660,+3.53,+14.003, +8.426,+0.986
1594981260,+3.53,+13.960, +8.436,+0.985
1594981860,+3.53,+13.960, +8.411,+0.985
1594982460,+3.53,+13.942, +8.421,+0.985
1594983060,+3.53,+13.942, +8.411,+0.985
1594983660,+3.53,+13.934, +8.413,+0.985
1594984260,+3.53,+13.873, +8.426,+0.985
1594984860,+3.53,+13.873, +8.420,+0.985
1594985460,+3.53,+13.864, +8.403,+0.985
1594986060,+3.53,+13.847, +8.407,+0.985
1594986660,+3.53,+13.829, +8.409,+0.985
1594987260,+3.53,+13.812, +8.390,+0.984
1594987860,+3.53,+13.777, +8.407,+0.985
1594988460,+3.53,+13.751, +8.405,+0.985
1594989060,+3.53,+13.759, +8.397,+0.985
1594989660,+3.53,+13.716, +8.398,+0.985
1594990260,+3.53,+13.716, +8.393,+0.985
1594990860,+3.53,+13.698, +8.395,+0.985
1594991460,+3.53,+13.724, +8.376,+0.985
1594992060,+3.53,+13.690, +8.377,+0.985
1594992660,+3.53,+13.663, +8.378,+0.985
1594993260,+3.53,+13.655, +8.379,+0.985
1594993860,+3.53,+13.637, +8.380,+0.985
1594994460,+3.53,+13.646, +8.378,+0.985
1594995060,+3.53,+13.629, +8.372,+0.985
1594995660,+3.53,+13.620, +8.372,+0.985
1594996260,+3.53,+13.611, +8.381,+0.986
1594996860,+3.53,+13.567, +8.382,+0.985
