7450-027328
OS REV: 1.05 Sensor Cal: 1592497139
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1599327780,+3.52,+14.714, +8.326,+0.986
1599328380,+3.52,+14.740, +8.335,+0.986
1599328980,+3.52,+14.740, +8.355,+0.987
1599329580,+3.52,+14.731, +8.359,+0.986
1599330180,+3.52,+14.826, +8.357,+0.986
1599330780,+3.52,+14.843, +8.362,+0.986
1599331380,+3.52,+14.895, +8.332,+0.986
1599331980,+3.52,+14.869, +8.327,+0.986
1599332580,+3.52,+14.912, +8.312,+0.986
1599333180,+3.52,+14.955, +8.325,+0.986
1599333780,+3.52,+14.947, +8.335,+0.986
1599334380,+3.52,+14.973, +8.354,+0.986
1599334980,+3.52,+15.033, +8.348,+0.986
1599335580,+3.52,+15.196, +8.401,+0.986
1599336180,+3.52,+15.248, +8.408,+0.986
1599336780,+3.52,+15.239, +8.422,+0.986
1599337380,+3.51,+15.300, +8.439,+0.986
1599337980,+3.51,+15.291, +8.433,+0.985
1599338580,+3.51,+15.317, +8.426,+0.985
1599339180,+3.51,+15.360, +8.420,+0.985
1599339780,+3.52,+15.351, +8.403,+0.986
1599340380,+3.52,+15.300, +8.383,+0.986
1599340980,+3.51,+15.360, +8.400,+0.985
1599341580,+3.51,+15.411, +8.405,+0.985
1599342180,+3.51,+15.420, +8.418,+0.986
1599342780,+3.51,+15.463, +8.414,+0.985
1599343380,+3.51,+15.514, +8.418,+0.985
1599343980,+3.51,+15.523, +8.438,+0.986
1599344580,+3.51,+15.540, +8.431,+0.986
1599345180,+3.51,+15.548, +8.446,+0.986
1599345780,+3.51,+15.583, +8.429,+0.985
1599346380,+3.51,+15.600, +8.488,+0.985
1599346980,+3.51,+15.583, +8.463,+0.986
1599347580,+3.51,+15.608, +8.521,+0.985
1599348180,+3.52,+15.694, +8.628,+0.986
1599348780,+3.52,+15.720, +8.642,+0.985
1599349380,+3.52,+15.703, +8.574,+0.985
1599349980,+3.52,+15.668, +8.597,+0.986
1599350580,+3.51,+15.668, +8.583,+0.986
1599351180,+3.51,+15.668, +8.575,+0.985
1599351780,+3.51,+15.643, +8.578,+0.985
1599352380,+3.51,+15.617, +8.602,+0.986
