7450-277916
OS REV: 1.05 Sensor Cal: 1592497888
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1595947140,+3.51,+15.656, +8.571,+0.976
1595947740,+3.51,+15.665, +8.535,+0.976
1595948340,+3.51,+15.682, +8.492,+0.977
1595948940,+3.51,+15.759, +8.440,+0.976
1595949540,+3.51,+15.785, +8.460,+0.976
1595950140,+3.51,+15.759, +8.480,+0.977
1595950740,+3.51,+15.742, +8.473,+0.976
1595951340,+3.51,+15.716, +8.487,+0.976
1595951940,+3.51,+15.716, +8.485,+0.976
1595952540,+3.51,+15.682, +8.498,+0.976
1595953140,+3.51,+15.656, +8.511,+0.976
1595953740,+3.51,+15.631, +8.511,+0.976
1595954340,+3.51,+15.553, +8.561,+0.977
1595954940,+3.51,+15.562, +8.540,+0.976
1595955540,+3.51,+15.536, +8.559,+0.977
1595956140,+3.51,+15.536, +8.560,+0.976
1595956740,+3.51,+15.545, +8.555,+0.977
1595957340,+3.51,+15.553, +8.566,+0.976
1595957940,+3.51,+15.596, +8.556,+0.976
1595958540,+3.51,+15.596, +8.567,+0.977
1595959140,+3.51,+15.639, +8.547,+0.976
1595959740,+3.51,+15.656, +8.550,+0.976
1595960340,+3.51,+15.673, +8.533,+0.976
1595960940,+3.51,+15.699, +8.549,+0.976
1595961540,+3.51,+15.767, +8.521,+0.976
1595962140,+3.51,+15.844, +8.533,+0.976
1595962740,+3.51,+15.853, +8.527,+0.976
1595963340,+3.51,+15.870, +8.515,+0.975
1595963940,+3.51,+15.913, +8.511,+0.975
1595964540,+3.51,+15.896, +8.514,+0.976
1595965140,+3.51,+15.862, +8.528,+0.976
1595965740,+3.51,+15.879, +8.528,+0.976
1595966340,+3.51,+15.904, +8.526,+0.976
1595966940,+3.51,+15.913, +8.536,+0.976
1595967540,+3.51,+15.990, +8.536,+0.977
1595968140,+3.51,+16.058, +8.524,+0.976
1595968740,+3.51,+16.160, +8.508,+0.976
1595969340,+3.51,+16.203, +8.506,+0.976
1595969940,+3.51,+16.211, +8.512,+0.976
1595970540,+3.51,+16.246, +8.498,+0.975
1595971140,+3.51,+16.322, +8.489,+0.976
1595971740,+3.51,+16.297, +8.502,+0.976
1595972340,+3.51,+16.288, +8.495,+0.976
1595972940,+3.51,+16.177, +8.519,+0.976
1595973540,+3.51,+16.118, +8.522,+0.975
1595974140,+3.51,+16.066, +8.522,+0.975
1595974740,+3.51,+16.058, +8.535,+0.976
1595975340,+3.51,+16.169, +8.542,+0.976
1595975940,+3.51,+16.160, +8.538,+0.976
1595976540,+3.51,+16.348, +8.484,+0.976
1595977140,+3.51,+16.390, +8.472,+0.975
1595977740,+3.51,+16.407, +8.480,+0.976
1595978340,+3.51,+16.450, +8.492,+0.976
1595978940,+3.51,+16.535, +8.522,+0.976
1595979540,+3.51,+16.569, +8.524,+0.976
1595980140,+3.51,+16.620, +8.503,+0.975
1595980740,+3.51,+16.629, +8.505,+0.975
1595981340,+3.51,+16.603, +8.499,+0.976
1595981940,+3.51,+16.595, +8.483,+0.976
1595982540,+3.51,+16.654, +8.483,+0.976
1595983140,+3.51,+16.637, +8.490,+0.976
1595983740,+3.51,+16.620, +8.488,+0.976
1595984340,+3.51,+16.603, +8.476,+0.976
1595984940,+3.51,+16.629, +8.467,+0.976
1595985540,+3.51,+16.612, +8.475,+0.976
1595986140,+3.51,+16.578, +8.468,+0.976
1595986740,+3.51,+16.544, +8.472,+0.976
1595987340,+3.51,+16.535, +8.467,+0.976
1595987940,+3.51,+16.527, +8.440,+0.975
1595988540,+3.51,+16.544, +8.440,+0.975
1595989140,+3.51,+16.518, +8.444,+0.976
1595989740,+3.51,+16.510, +8.447,+0.976
1595990340,+3.51,+16.484, +8.445,+0.976
1595990940,+3.51,+16.484, +8.438,+0.975
1595991540,+3.51,+16.493, +8.443,+0.976
1595992140,+3.51,+16.476, +8.440,+0.975
1595992740,+3.51,+16.467, +8.445,+0.975
1595993340,+3.51,+16.467, +8.473,+0.976
1595993940,+3.51,+16.467, +8.480,+0.976
1595994540,+3.51,+16.458, +8.480,+0.976
1595995140,+3.51,+16.433, +8.474,+0.976
1595995740,+3.51,+16.433, +8.469,+0.976
1595996340,+3.51,+16.433, +8.465,+0.976
1595996940,+3.51,+16.407, +8.421,+0.976
1595997540,+3.51,+16.399, +8.417,+0.976
1595998140,+3.51,+16.390, +8.420,+0.976
1595998740,+3.51,+16.399, +8.421,+0.976
1595999340,+3.51,+16.382, +8.427,+0.976
1595999940,+3.51,+16.382, +8.426,+0.976
1596000540,+3.51,+16.399, +8.427,+0.976
1596001140,+3.51,+16.399, +8.411,+0.976
1596001740,+3.51,+16.416, +8.401,+0.976
1596002340,+3.51,+16.424, +8.399,+0.976
1596002940,+3.51,+16.390, +8.402,+0.976
1596003540,+3.51,+16.416, +8.404,+0.977
1596004140,+3.51,+16.382, +8.404,+0.976
1596004740,+3.51,+16.373, +8.398,+0.976
1596005340,+3.51,+16.356, +8.404,+0.976
1596005940,+3.51,+16.356, +8.397,+0.976
1596006540,+3.51,+16.356, +8.392,+0.976
1596007140,+3.51,+16.331, +8.397,+0.976
1596007740,+3.51,+16.314, +8.395,+0.976
1596008340,+3.51,+16.297, +8.391,+0.976
1596008940,+3.51,+16.288, +8.402,+0.976
1596009540,+3.51,+16.254, +8.424,+0.977
1596010140,+3.51,+16.254, +8.412,+0.976
1596010740,+3.51,+16.246, +8.410,+0.976
1596011340,+3.51,+16.229, +8.416,+0.976
1596011940,+3.51,+16.220, +8.438,+0.976
1596012540,+3.51,+16.220, +8.437,+0.976
1596013140,+3.51,+16.203, +8.441,+0.976
1596013740,+3.51,+16.194, +8.430,+0.976
1596014340,+3.51,+16.194, +8.421,+0.976
1596014940,+3.51,+16.177, +8.424,+0.976
1596015540,+3.51,+16.152, +8.437,+0.976
