7450-293738
OS REV: 1.05 Sensor Cal: 1592496161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1625954340,+3.18,+22.673, +9.093,+1.015
1625954940,+3.18,+22.706, +8.885,+1.015
1625955540,+3.18,+22.840, +8.916,+1.015
1625956140,+3.18,+22.957, +8.742,+1.015
1625956740,+3.18,+23.057, +8.618,+1.015
1625957340,+3.18,+23.108, +8.555,+1.015
1625957940,+3.18,+23.124, +8.812,+1.015
1625958540,+3.18,+23.108, +8.799,+1.015
1625959140,+3.18,+23.091, +9.157,+1.015
1625959740,+3.18,+23.141, +9.175,+1.015
1625960340,+3.18,+23.032, +8.972,+1.015
1625960940,+3.18,+23.024, +8.977,+1.015
1625961540,+3.18,+23.108, +9.517,+1.015
1625962140,+3.18,+23.250, +9.348,+1.015
1625962740,+3.18,+23.350, +9.701,+1.016
1625963340,+3.18,+23.542, +9.528,+1.015
1625963940,+3.18,+23.911, +9.057,+1.015
1625964540,+3.18,+23.911, +9.089,+1.014
1625965140,+3.18,+23.902, +9.237,+1.015
1625965740,+3.18,+24.137, +8.657,+1.014
1625966340,+3.18,+24.129, +8.633,+1.014
1625966940,+3.18,+24.020, +8.801,+1.014
1625967540,+3.18,+23.819, +9.101,+1.014
1625968140,+3.18,+23.643, +9.300,+1.014
1625968740,+3.18,+23.517, +8.827,+1.015
1625969340,+3.18,+23.442, +8.791,+1.014
1625969940,+3.18,+23.300, +9.280,+1.014
1625970540,+3.18,+23.183, +8.993,+1.015
1625971140,+3.18,+23.208, +9.021,+1.015
1625971740,+3.18,+23.250, +8.906,+1.014
1625972340,+3.18,+23.325, +8.962,+1.015
1625972940,+3.18,+23.409, +8.937,+1.015
1625973540,+3.18,+23.442, +8.926,+1.014
1625974140,+3.18,+23.450, +8.906,+1.015
1625974740,+3.18,+23.409, +8.887,+1.015
1625975340,+3.18,+23.434, +8.929,+1.014
1625975940,+3.18,+23.467, +8.947,+1.015
1625976540,+3.18,+23.467, +8.836,+1.015
1625977140,+3.18,+23.434, +8.764,+1.015
1625977740,+3.18,+23.450, +8.953,+1.015
1625978340,+3.18,+23.509, +8.989,+1.015
1625978940,+3.18,+23.417, +9.109,+1.015
1625979540,+3.18,+23.517, +9.029,+1.015
1625980140,+3.18,+23.517, +9.022,+1.015
1625980740,+3.18,+23.534, +8.896,+1.015
1625981340,+3.18,+23.534, +8.775,+1.014
1625981940,+3.18,+23.551, +8.719,+1.015
1625982540,+3.18,+23.542, +8.656,+1.014
1625983140,+3.18,+23.576, +8.560,+1.015
1625983740,+3.18,+23.517, +8.602,+1.015
1625984340,+3.18,+23.492, +8.486,+1.015
1625984940,+3.18,+23.450, +8.645,+1.015
1625985540,+3.18,+23.417, +8.489,+1.015
1625986140,+3.18,+23.384, +8.475,+1.015
1625986740,+3.18,+23.342, +8.540,+1.015
1625987340,+3.18,+23.308, +8.543,+1.015
1625987940,+3.18,+23.283, +8.521,+1.015
1625988540,+3.18,+23.208, +8.599,+1.015
1625989140,+3.18,+23.183, +8.522,+1.015
1625989740,+3.18,+23.166, +8.579,+1.015
1625990340,+3.18,+23.124, +8.559,+1.014
1625990940,+3.18,+23.074, +8.514,+1.015
1625991540,+3.18,+23.032, +8.519,+1.015
1625992140,+3.18,+22.974, +8.537,+1.015
1625992740,+3.18,+22.932, +8.523,+1.016
1625993340,+3.18,+22.882, +8.514,+1.014
1625993940,+3.18,+22.840, +8.524,+1.015
1625994540,+3.18,+22.798, +8.537,+1.015
1625995140,+3.18,+22.757, +8.549,+1.015
1625995740,+3.18,+22.731, +8.586,+1.015
1625996340,+3.18,+22.681, +8.578,+1.015
1625996940,+3.18,+22.665, +8.523,+1.015
1625997540,+3.18,+22.631, +8.555,+1.015
1625998140,+3.18,+22.614, +8.499,+1.014
1625998740,+3.18,+22.573, +8.561,+1.015
1625999340,+3.18,+22.564, +8.584,+1.015
1625999940,+3.18,+22.531, +8.627,+1.015
1626000540,+3.18,+22.481, +8.612,+1.015
1626001140,+3.18,+22.447, +8.600,+1.015
1626001740,+3.18,+22.397, +8.542,+1.015
1626002340,+3.18,+22.406, +8.562,+1.015
1626002940,+3.18,+22.356, +8.578,+1.015
1626003540,+3.18,+22.314, +8.571,+1.016
1626004140,+3.18,+22.305, +8.576,+1.015
1626004740,+3.18,+22.264, +8.583,+1.016
1626005340,+3.18,+22.222, +8.565,+1.015
1626005940,+3.18,+22.172, +8.539,+1.015
1626006540,+3.18,+22.163, +8.576,+1.016
1626007140,+3.18,+22.138, +8.590,+1.015
1626007740,+3.18,+22.097, +8.572,+1.015
1626008340,+3.18,+22.088, +8.533,+1.015
1626008940,+3.18,+22.088, +8.557,+1.015
1626009540,+3.18,+22.047, +8.539,+1.016
1626010140,+3.18,+22.038, +8.528,+1.015
1626010740,+3.18,+21.963, +8.530,+1.015
1626011340,+3.18,+21.980, +8.536,+1.015
1626011940,+3.18,+21.955, +8.550,+1.015
1626012540,+3.18,+21.938, +8.559,+1.015
1626013140,+3.18,+21.971, +8.530,+1.015
1626013740,+3.18,+21.938, +8.518,+1.015
1626014340,+3.18,+21.905, +8.541,+1.015
1626014940,+3.18,+21.921, +8.636,+1.015
1626015540,+3.18,+21.913, +8.630,+1.016
1626016140,+3.18,+21.896, +8.612,+1.015
1626016740,+3.18,+21.921, +8.601,+1.015
1626017340,+3.18,+21.921, +8.566,+1.015
1626017940,+3.18,+21.913, +8.608,+1.016
1626018540,+3.18,+21.930, +8.576,+1.015
1626019140,+3.18,+21.930, +8.605,+1.015
1626019740,+3.18,+21.955, +8.540,+1.015
1626020340,+3.18,+21.963, +8.587,+1.015
1626020940,+3.18,+21.996, +8.581,+1.015
1626021540,+3.18,+22.055, +8.547,+1.015
1626022140,+3.18,+22.072, +8.592,+1.015
1626022740,+3.18,+22.088, +8.586,+1.015
1626023340,+3.18,+22.138, +8.548,+1.015
1626023940,+3.18,+22.180, +8.518,+1.015
1626024540,+3.18,+22.205, +8.569,+1.015
1626025140,+3.18,+22.214, +8.623,+1.015
1626025740,+3.18,+22.205, +8.621,+1.015
1626026340,+3.18,+22.205, +8.641,+1.015
1626026940,+3.18,+22.172, +8.639,+1.015
1626027540,+3.18,+22.188, +8.663,+1.015
1626028140,+3.18,+22.197, +8.726,+1.016
1626028740,+3.18,+22.389, +8.630,+1.015
1626029340,+3.18,+22.531, +8.630,+1.015
1626029940,+3.18,+22.640, +8.614,+1.015
1626030540,+3.18,+22.706, +8.614,+1.015
1626031140,+3.18,+22.740, +8.638,+1.015
1626031740,+3.18,+22.840, +8.632,+1.014
1626032340,+3.18,+22.907, +8.642,+1.015
1626032940,+3.18,+22.957, +8.637,+1.015
1626033540,+3.18,+23.057, +8.633,+1.015
1626034140,+3.18,+23.091, +8.678,+1.015
1626034740,+3.18,+23.174, +8.629,+1.015
1626035340,+3.18,+23.216, +8.649,+1.015
1626035940,+3.18,+23.283, +8.621,+1.015
1626036540,+3.18,+23.342, +8.602,+1.014
1626037140,+3.18,+23.367, +8.600,+1.014
1626037740,+3.18,+23.409, +8.595,+1.014
1626038340,+3.18,+23.442, +8.634,+1.014
1626038940,+3.18,+23.534, +8.745,+1.015
1626039540,+3.18,+23.542, +8.746,+1.015
1626040140,+3.18,+23.551, +8.735,+1.014
1626040740,+3.18,+23.593, +8.706,+1.014
