7450-585180
OS REV: 1.04 Sensor Cal: 1557947487
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1597967220,+3.51,+17.958, +7.215,+0.909
1597967820,+3.51,+17.958, +7.223,+0.909
1597968420,+3.51,+17.992, +7.219,+0.909
1597969020,+3.51,+18.034, +7.228,+0.909
1597969620,+3.51,+18.059, +7.210,+0.909
1597970220,+3.51,+18.084, +7.218,+0.909
1597970820,+3.51,+18.101, +7.214,+0.909
1597971420,+3.51,+18.084, +7.216,+0.909
1597972020,+3.51,+18.076, +7.211,+0.909
1597972620,+3.51,+18.076, +7.216,+0.909
1597973220,+3.51,+18.042, +7.218,+0.909
1597973820,+3.51,+18.000, +7.216,+0.909
1597974420,+3.51,+18.009, +7.214,+0.909
1597975020,+3.51,+17.966, +7.216,+0.910
1597975620,+3.51,+17.966, +7.208,+0.909
1597976220,+3.51,+17.941, +7.222,+0.909
1597976820,+3.51,+17.941, +7.211,+0.909
1597977420,+3.50,+17.907, +7.219,+0.909
1597978020,+3.50,+17.916, +7.212,+0.910
1597978620,+3.50,+17.907, +7.212,+0.909
1597979220,+3.50,+17.865, +7.212,+0.909
1597979820,+3.50,+17.857, +7.212,+0.909
1597980420,+3.50,+17.840, +7.206,+0.909
1597981020,+3.50,+17.815, +7.215,+0.910
1597981620,+3.50,+17.789, +7.212,+0.909
1597982220,+3.50,+17.798, +7.206,+0.909
1597982820,+3.50,+17.798, +7.209,+0.909
1597983420,+3.50,+17.747, +7.207,+0.909
1597984020,+3.50,+17.730, +7.213,+0.909
1597984620,+3.50,+17.730, +7.212,+0.909
1597985220,+3.50,+17.705, +7.223,+0.910
1597985820,+3.50,+17.705, +7.205,+0.909
1597986420,+3.50,+17.705, +7.209,+0.909
1597987020,+3.50,+17.679, +7.213,+0.909
1597987620,+3.50,+17.671, +7.211,+0.909
1597988220,+3.50,+17.646, +7.216,+0.909
1597988820,+3.50,+17.663, +7.214,+0.910
1597989420,+3.50,+17.620, +7.211,+0.909
1597990020,+3.50,+17.612, +7.217,+0.909
1597990620,+3.50,+17.595, +7.221,+0.909
1597991220,+3.50,+17.587, +7.216,+0.909
1597991820,+3.50,+17.561, +7.225,+0.909
1597992420,+3.50,+17.553, +7.226,+0.910
1597993020,+3.50,+17.544, +7.222,+0.909
1597993620,+3.50,+17.536, +7.222,+0.909
1597994220,+3.50,+17.510, +7.212,+0.909
1597994820,+3.50,+17.510, +7.217,+0.909
1597995420,+3.50,+17.477, +7.221,+0.909
