7450-585180
OS REV: 1.04 Sensor Cal: 1557947487
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1595798040,+3.50,+16.926, +7.392,+0.912
1595798640,+3.50,+16.952, +7.399,+0.913
1595799240,+3.50,+16.969, +7.393,+0.912
1595799840,+3.50,+16.994, +7.389,+0.912
1595800440,+3.50,+17.036, +7.391,+0.912
1595801040,+3.50,+17.062, +7.397,+0.913
1595801640,+3.50,+17.070, +7.389,+0.912
1595802240,+3.50,+17.113, +7.378,+0.912
1595802840,+3.50,+17.138, +7.383,+0.912
1595803440,+3.50,+17.155, +7.390,+0.912
1595804040,+3.50,+17.180, +7.380,+0.912
1595804640,+3.50,+17.197, +7.376,+0.912
1595805240,+3.50,+17.206, +7.387,+0.913
1595805840,+3.50,+17.240, +7.387,+0.913
1595806440,+3.50,+17.240, +7.381,+0.912
1595807040,+3.50,+17.282, +7.379,+0.913
1595807640,+3.50,+17.291, +7.373,+0.912
1595808240,+3.50,+17.291, +7.372,+0.912
1595808840,+3.50,+17.291, +7.379,+0.912
1595809440,+3.50,+17.316, +7.375,+0.912
1595810040,+3.50,+17.333, +7.373,+0.913
1595810640,+3.50,+17.324, +7.372,+0.912
1595811240,+3.50,+17.341, +7.371,+0.913
1595811840,+3.50,+17.333, +7.368,+0.912
1595812440,+3.50,+17.350, +7.362,+0.912
1595813040,+3.50,+17.333, +7.376,+0.913
1595813640,+3.50,+17.350, +7.374,+0.913
1595814240,+3.50,+17.341, +7.368,+0.913
1595814840,+3.50,+17.324, +7.366,+0.912
1595815440,+3.50,+17.307, +7.368,+0.912
1595816040,+3.50,+17.316, +7.360,+0.913
1595816640,+3.50,+17.299, +7.357,+0.912
1595817240,+3.50,+17.291, +7.355,+0.912
1595817840,+3.50,+17.274, +7.369,+0.913
1595818440,+3.50,+17.282, +7.361,+0.913
1595819040,+3.50,+17.274, +7.365,+0.913
1595819640,+3.50,+17.265, +7.359,+0.913
1595820240,+3.50,+17.282, +7.366,+0.913
1595820840,+3.50,+17.282, +7.355,+0.912
1595821440,+3.50,+17.274, +7.360,+0.912
1595822040,+3.50,+17.291, +7.358,+0.912
1595822640,+3.50,+17.265, +7.357,+0.912
1595823240,+3.50,+17.248, +7.354,+0.912
1595823840,+3.50,+17.214, +7.359,+0.912
1595824440,+3.50,+17.223, +7.355,+0.912
1595825040,+3.50,+17.197, +7.353,+0.912
1595825640,+3.50,+17.180, +7.362,+0.913
1595826240,+3.50,+17.155, +7.365,+0.913
1595826840,+3.50,+17.147, +7.356,+0.912
1595827440,+3.50,+17.121, +7.362,+0.913
1595828040,+3.50,+17.096, +7.365,+0.913
1595828640,+3.50,+17.079, +7.351,+0.912
1595829240,+3.50,+17.070, +7.358,+0.912
1595829840,+3.50,+17.053, +7.350,+0.912
1595830440,+3.50,+17.028, +7.364,+0.913
1595831040,+3.50,+17.011, +7.362,+0.912
1595831640,+3.50,+17.011, +7.352,+0.912
1595832240,+3.50,+16.994, +7.365,+0.912
1595832840,+3.50,+16.969, +7.361,+0.912
1595833440,+3.50,+16.960, +7.367,+0.912
1595834040,+3.50,+16.935, +7.371,+0.912
1595834640,+3.50,+16.909, +7.374,+0.912
1595835240,+3.50,+16.884, +7.376,+0.912
1595835840,+3.50,+16.867, +7.372,+0.912
1595836440,+3.50,+16.841, +7.378,+0.912
1595837040,+3.50,+16.807, +7.375,+0.912
1595837640,+3.50,+16.799, +7.371,+0.912
1595838240,+3.50,+16.765, +7.379,+0.913
1595838840,+3.50,+16.731, +7.385,+0.912
1595839440,+3.50,+16.705, +7.383,+0.913
1595840040,+3.50,+16.688, +7.385,+0.913
1595840640,+3.50,+16.688, +7.380,+0.912
1595841240,+3.50,+16.671, +7.382,+0.912
1595841840,+3.50,+16.663, +7.381,+0.913
1595842440,+3.50,+16.646, +7.370,+0.912
1595843040,+3.50,+16.637, +7.383,+0.912
1595843640,+3.50,+16.612, +7.372,+0.912
1595844240,+3.50,+16.603, +7.380,+0.913
1595844840,+3.50,+16.586, +7.375,+0.912
1595845440,+3.50,+16.569, +7.369,+0.912
1595846040,+3.50,+16.561, +7.375,+0.913
1595846640,+3.50,+16.544, +7.378,+0.913
1595847240,+3.50,+16.544, +7.365,+0.912
1595847840,+3.50,+16.510, +7.373,+0.912
1595848440,+3.50,+16.510, +7.373,+0.912
1595849040,+3.50,+16.510, +7.373,+0.913
1595849640,+3.50,+16.476, +7.376,+0.913
1595850240,+3.50,+16.467, +7.372,+0.912
1595850840,+3.50,+16.459, +7.373,+0.912
1595851440,+3.50,+16.450, +7.372,+0.913
1595852040,+3.50,+16.442, +7.368,+0.912
1595852640,+3.50,+16.442, +7.367,+0.912
1595853240,+3.50,+16.416, +7.365,+0.912
1595853840,+3.50,+16.391, +7.377,+0.913
1595854440,+3.50,+16.365, +7.371,+0.912
1595855040,+3.50,+16.357, +7.370,+0.912
1595855640,+3.50,+16.374, +7.363,+0.912
1595856240,+3.50,+16.340, +7.368,+0.912
1595856840,+3.50,+16.340, +7.370,+0.913
1595857440,+3.50,+16.314, +7.362,+0.912
1595858040,+3.50,+16.314, +7.358,+0.912
1595858640,+3.50,+16.306, +7.363,+0.912
1595859240,+3.50,+16.297, +7.367,+0.913
1595859840,+3.50,+16.297, +7.366,+0.912
1595860440,+3.50,+16.297, +7.365,+0.912
1595861040,+3.50,+16.314, +7.356,+0.912
1595861640,+3.50,+16.323, +7.364,+0.912
1595862240,+3.50,+16.340, +7.357,+0.912
1595862840,+3.50,+16.348, +7.361,+0.912
1595863440,+3.50,+16.357, +7.365,+0.912
1595864040,+3.50,+16.374, +7.366,+0.912
1595864640,+3.50,+16.374, +7.370,+0.913
1595865240,+3.50,+16.399, +7.358,+0.912
1595865840,+3.50,+16.391, +7.366,+0.912
1595866440,+3.50,+16.391, +7.357,+0.912
1595867040,+3.50,+16.382, +7.367,+0.912
1595867640,+3.50,+16.416, +7.377,+0.912
1595868240,+3.50,+16.391, +7.377,+0.912
1595868840,+3.50,+16.442, +7.372,+0.912
1595869440,+3.50,+16.433, +7.394,+0.912
1595870040,+3.50,+16.484, +7.385,+0.912
1595870640,+3.50,+16.467, +7.385,+0.912
1595871240,+3.50,+16.501, +7.385,+0.912
1595871840,+3.50,+16.518, +7.393,+0.912
1595872440,+3.50,+16.552, +7.398,+0.912
1595873040,+3.50,+16.569, +7.401,+0.912
1595873640,+3.50,+16.688, +7.394,+0.912
1595874240,+3.50,+16.663, +7.388,+0.912
1595874840,+3.50,+16.697, +7.389,+0.912
1595875440,+3.50,+16.782, +7.390,+0.912
1595876040,+3.50,+16.892, +7.386,+0.912
1595876640,+3.50,+17.002, +7.371,+0.912
1595877240,+3.50,+17.104, +7.369,+0.912
1595877840,+3.50,+17.138, +7.360,+0.912
1595878440,+3.50,+17.197, +7.363,+0.912
1595879040,+3.50,+17.257, +7.360,+0.912
1595879640,+3.50,+17.282, +7.355,+0.912
1595880240,+3.50,+17.307, +7.349,+0.912
1595880840,+3.50,+17.333, +7.361,+0.913
1595881440,+3.50,+17.358, +7.355,+0.912
1595882040,+3.50,+17.392, +7.353,+0.912
1595882640,+3.50,+17.460, +7.352,+0.912
1595883240,+3.50,+17.477, +7.359,+0.912
1595883840,+3.50,+17.519, +7.354,+0.913
1595884440,+3.50,+17.510, +7.364,+0.912
