MiniDOT Logger Concatenated Data File
Sensor:             7450-585180
Concatenation Date: 2020Sep30 15:04:43 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1880.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1592964960,           2020-06-24 02:16:00,           2020-06-23 20:16:00,      3.540000,      9.472000,          8.387000,                    92.418097,      0.912000
                1592965560,           2020-06-24 02:26:00,           2020-06-23 20:26:00,      3.530000,      8.655000,          9.020000,                    97.449331,      0.915000
                1592966160,           2020-06-24 02:36:00,           2020-06-23 20:36:00,      3.540000,      8.355000,          9.041000,                    96.963450,      0.916000
                1592966760,           2020-06-24 02:46:00,           2020-06-23 20:46:00,      3.540000,      8.214000,          9.050000,                    96.725153,      0.916000
                1592967360,           2020-06-24 02:56:00,           2020-06-23 20:56:00,      3.540000,      8.214000,          9.052000,                    96.746529,      0.916000
                1592967960,           2020-06-24 03:06:00,           2020-06-23 21:06:00,      3.540000,      8.157000,          9.062000,                    96.717968,      0.916000
                1592968560,           2020-06-24 03:16:00,           2020-06-23 21:16:00,      3.540000,      8.186000,          9.052000,                    96.680064,      0.916000
                1592969160,           2020-06-24 03:26:00,           2020-06-23 21:26:00,      3.540000,      8.148000,          9.073000,                    96.813964,      0.917000
                1592969760,           2020-06-24 03:36:00,           2020-06-23 21:36:00,      3.540000,      8.167000,          9.061000,                    96.731050,      0.917000
                1592970360,           2020-06-24 03:46:00,           2020-06-23 21:46:00,      3.540000,      8.063000,          9.054000,                    96.409543,      0.916000
                1592970960,           2020-06-24 03:56:00,           2020-06-23 21:56:00,      3.540000,      7.988000,          9.067000,                    96.369862,      0.916000
                1592971560,           2020-06-24 04:06:00,           2020-06-23 22:06:00,      3.540000,      7.940000,          9.077000,                    96.362082,      0.917000
                1592972160,           2020-06-24 04:16:00,           2020-06-23 22:16:00,      3.530000,      7.570000,          9.084000,                    95.557750,      0.916000
                1592972760,           2020-06-24 04:26:00,           2020-06-23 22:26:00,      3.530000,      7.637000,          9.114000,                    96.032790,      0.917000
                1592973360,           2020-06-24 04:36:00,           2020-06-23 22:36:00,      3.540000,      7.741000,          9.062000,                    95.731132,      0.916000
                1592973960,           2020-06-24 04:46:00,           2020-06-23 22:46:00,      3.540000,      7.865000,          9.098000,                    96.406455,      0.917000
                1592974560,           2020-06-24 04:56:00,           2020-06-23 22:56:00,      3.540000,      7.969000,          9.081000,                    96.473487,      0.916000
                1592975160,           2020-06-24 05:06:00,           2020-06-23 23:06:00,      3.540000,      7.997000,          9.078000,                    96.508171,      0.917000
                1592975760,           2020-06-24 05:16:00,           2020-06-23 23:16:00,      3.530000,      8.006000,          9.073000,                    96.476400,      0.916000
                1592976360,           2020-06-24 05:26:00,           2020-06-23 23:26:00,      3.540000,      8.025000,          9.088000,                    96.681122,      0.917000
                1592976960,           2020-06-24 05:36:00,           2020-06-23 23:36:00,      3.540000,      7.846000,          9.063000,                    95.990532,      0.916000
                1592977560,           2020-06-24 05:46:00,           2020-06-23 23:46:00,      3.530000,      7.732000,          9.117000,                    96.290705,      0.917000
                1592978160,           2020-06-24 05:56:00,           2020-06-23 23:56:00,      3.530000,      7.808000,          9.073000,                    96.006271,      0.916000
                1592978760,           2020-06-24 06:06:00,           2020-06-24 00:06:00,      3.530000,      7.732000,          9.058000,                    95.667567,      0.917000
                1592979360,           2020-06-24 06:16:00,           2020-06-24 00:16:00,      3.530000,      7.751000,          9.097000,                    96.124652,      0.917000
                1592979960,           2020-06-24 06:26:00,           2020-06-24 00:26:00,      3.530000,      7.722000,          9.067000,                    95.738924,      0.916000
                1592980560,           2020-06-24 06:36:00,           2020-06-24 00:36:00,      3.530000,      7.427000,          9.100000,                    95.386496,      0.916000
                1592981160,           2020-06-24 06:46:00,           2020-06-24 00:46:00,      3.530000,      7.322000,          9.084000,                    94.970113,      0.916000
                1592981760,           2020-06-24 06:56:00,           2020-06-24 00:56:00,      3.530000,      7.475000,          9.085000,                    95.343018,      0.917000
