datetime,irr_0,irr_2,irr_4,irr_6,irr_8,irr_9
2020-07-24T23:00:00Z,753.5,10333.4,1550,656.6,258.3,1894.5
2020-07-24T23:30:00Z,139.9,5511.1,721.2,279.9,96.9,269.1
2020-07-25T00:00:00Z,139.9,2152.8,398.3,86.1,43.1,96.9
2020-07-25T00:30:00Z,43.1,1722.2,312.2,64.6,32.3,53.8
2020-07-25T01:00:00Z,10.8,592,118.4,21.5,0,21.5
2020-07-25T01:30:00Z,0,484.4,86.1,10.8,0,0
2020-07-25T02:00:00Z,10.8,452.1,75.3,10.8,0,0
2020-07-25T02:30:00Z,0,312.2,64.6,0,0,0
2020-07-25T03:00:00Z,0,118.4,10.8,0,0,0
2020-07-25T03:30:00Z,0,10.8,0,0,0,0
2020-07-25T04:00:00Z,0,0,0,0,0,0
2020-07-25T04:30:00Z,0,0,0,0,0,0
2020-07-25T05:00:00Z,0,0,0,0,0,0
2020-07-25T05:30:00Z,0,0,0,0,0,0
2020-07-25T06:00:00Z,0,0,0,0,0,0
2020-07-25T06:30:00Z,0,0,0,0,0,0
2020-07-25T07:00:00Z,0,0,0,0,0,0
2020-07-25T07:30:00Z,0,0,0,0,0,0
2020-07-25T08:00:00Z,0,0,0,0,0,0
2020-07-25T08:30:00Z,0,0,0,0,0,0
2020-07-25T09:00:00Z,0,0,0,0,0,0
2020-07-25T09:30:00Z,0,0,0,0,0,0
2020-07-25T10:00:00Z,0,0,0,0,0,0
2020-07-25T10:30:00Z,0,0,0,0,0,0
2020-07-25T11:00:00Z,0,0,0,0,0,0
2020-07-25T11:30:00Z,0,0,0,0,0,0
2020-07-25T12:00:00Z,0,32.3,0,0,0,0
2020-07-25T12:30:00Z,10.8,279.9,43.1,10.8,0,0
2020-07-25T13:00:00Z,21.5,484.4,75.3,21.5,0,10.8
2020-07-25T13:30:00Z,21.5,602.8,107.6,32.3,0,21.5
2020-07-25T14:00:00Z,32.3,688.9,139.9,43.1,0,32.3
2020-07-25T14:30:00Z,32.3,753.5,161.5,43.1,0,32.3
2020-07-25T15:00:00Z,32.3,818.1,193.8,53.8,10.8,43.1
2020-07-25T15:30:00Z,344.4,3100,2927.8,785.8,107.6,1011.8
2020-07-25T16:00:00Z,366,3272.2,2669.5,1011.8,129.2,1119.5
2020-07-25T16:30:00Z,667.4,4822.3,2755.6,1194.8,161.5,1173.3
2020-07-25T17:00:00Z,355.2,4650,2669.5,1054.9,183,914.9
2020-07-25T17:30:00Z,387.5,6200,3272.2,1044.1,215.3,979.5
2020-07-25T18:00:00Z,430.6,4650,4305.6,764.2,247.6,839.6
2020-07-25T18:30:00Z,495.1,6200,4822.3,807.3,279.9,624.3
2020-07-25T19:00:00Z,527.4,5166.7,4822.3,592,312.2,775
2020-07-25T19:30:00Z,581.3,16533.4,4650,505.9,398.3,527.4
2020-07-25T20:00:00Z,570.5,8266.7,6200,419.8,419.8,441.3
2020-07-25T20:30:00Z,613.5,6200,4822.3,430.6,452.1,430.6
2020-07-25T21:00:00Z,1011.8,11711.2,5166.7,366,484.4,387.5
2020-07-25T21:30:00Z,549,5511.1,8266.7,344.4,505.9,387.5
2020-07-25T22:00:00Z,452.1,15844.5,8611.2,312.2,538.2,269.1
2020-07-25T22:30:00Z,462.9,4822.3,10333.4,279.9,538.2,258.3
2020-07-25T23:00:00Z,452.1,11711.2,6200,236.8,559.7,226
2020-07-25T23:30:00Z,387.5,9644.5,3272.2,236.8,473.6,204.5
2020-07-26T00:00:00Z,366,6200,3100,183,452.1,161.5
2020-07-26T00:30:00Z,333.7,6200,1808.3,139.9,301.4,107.6
2020-07-26T01:00:00Z,96.9,925.7,226,43.1,10.8,32.3
2020-07-26T01:30:00Z,75.3,979.5,129.2,43.1,10.8,21.5
2020-07-26T02:00:00Z,53.8,807.3,107.6,32.3,0,21.5
2020-07-26T02:30:00Z,32.3,581.3,86.1,21.5,0,10.8
2020-07-26T03:00:00Z,10.8,279.9,32.3,0,0,0
2020-07-26T03:30:00Z,0,21.5,0,0,0,0
2020-07-26T04:00:00Z,0,0,0,0,0,0
2020-07-26T04:30:00Z,0,0,0,0,0,0
2020-07-26T05:00:00Z,0,0,0,0,0,0
2020-07-26T05:30:00Z,0,0,0,0,0,0
2020-07-26T06:00:00Z,0,0,0,0,0,0
2020-07-26T06:30:00Z,0,0,0,0,0,0
2020-07-26T07:00:00Z,0,0,0,0,0,0
2020-07-26T07:30:00Z,0,0,0,0,0,0
2020-07-26T08:00:00Z,0,0,0,0,0,0
2020-07-26T08:30:00Z,0,0,0,0,0,0
2020-07-26T09:00:00Z,0,0,0,0,0,0
2020-07-26T09:30:00Z,0,0,0,0,0,0
2020-07-26T10:00:00Z,0,0,0,0,0,0
2020-07-26T10:30:00Z,0,0,0,0,0,0
2020-07-26T11:00:00Z,0,0,0,0,0,0
2020-07-26T11:30:00Z,0,0,0,0,0,0
2020-07-26T12:00:00Z,0,32.3,0,0,0,0
2020-07-26T12:30:00Z,0,258.3,32.3,10.8,0,0
2020-07-26T13:00:00Z,21.5,452.1,75.3,21.5,0,10.8
2020-07-26T13:30:00Z,32.3,549,96.9,32.3,0,21.5
2020-07-26T14:00:00Z,32.3,624.3,118.4,43.1,0,21.5
2020-07-26T14:30:00Z,32.3,688.9,139.9,43.1,0,21.5
2020-07-26T15:00:00Z,43.1,742.7,161.5,43.1,10.8,21.5
2020-07-26T15:30:00Z,344.4,3616.7,5338.9,581.3,107.6,871.9
2020-07-26T16:00:00Z,419.8,3616.7,4650,656.6,139.9,990.3
2020-07-26T16:30:00Z,1141,7233.4,1980.6,1377.8,172.2,1011.8
2020-07-26T17:00:00Z,1377.8,6200,2152.8,1463.9,204.5,947.2
2020-07-26T17:30:00Z,1141,4133.4,2755.6,1205.6,226,839.6
2020-07-26T18:00:00Z,914.9,5166.7,2927.8,1022.6,258.3,775
2020-07-26T18:30:00Z,1087.2,8611.2,2927.8,785.8,301.4,602.8
2020-07-26T19:00:00Z,861.1,7233.4,5166.7,678.1,344.4,527.4
2020-07-26T19:30:00Z,635.1,9644.5,4650,570.5,366,484.4
2020-07-26T20:00:00Z,376.7,8266.7,5166.7,549,430.6,452.1
2020-07-26T20:30:00Z,592,5338.9,5511.1,516.7,462.9,376.7
2020-07-26T21:00:00Z,635.1,7577.8,5166.7,484.4,516.7,355.2
2020-07-26T21:30:00Z,516.7,10333.4,5511.1,441.3,559.7,290.6
2020-07-26T22:00:00Z,592,6544.5,8266.7,398.3,570.5,258.3
2020-07-26T22:30:00Z,430.6,10333.4,4477.8,366,581.3,236.8
2020-07-26T23:00:00Z,419.8,5166.7,4994.5,333.7,559.7,204.5
2020-07-26T23:30:00Z,376.7,10333.4,4305.6,290.6,527.4,161.5
2020-07-27T00:00:00Z,376.7,4477.8,3444.5,258.3,452.1,129.2
2020-07-27T00:30:00Z,312.2,3616.7,2669.5,193.8,290.6,86.1
2020-07-27T01:00:00Z,107.6,925.7,215.3,75.3,10.8,21.5
2020-07-27T01:30:00Z,107.6,850.4,172.2,64.6,10.8,21.5
2020-07-27T02:00:00Z,86.1,721.2,139.9,53.8,0,10.8
2020-07-27T02:30:00Z,32.3,581.3,75.3,43.1,0,0
2020-07-27T03:00:00Z,10.8,258.3,32.3,10.8,0,0
2020-07-27T03:30:00Z,0,10.8,0,0,0,0
2020-07-27T04:00:00Z,0,0,0,0,0,0
2020-07-27T04:30:00Z,0,0,0,0,0,0
2020-07-27T05:00:00Z,0,0,0,0,0,0
2020-07-27T05:30:00Z,0,0,0,0,0,0
2020-07-27T06:00:00Z,0,0,0,0,0,0
2020-07-27T06:30:00Z,0,0,0,0,0,0
2020-07-27T07:00:00Z,0,0,0,0,0,0
2020-07-27T07:30:00Z,0,0,0,0,0,0
2020-07-27T08:00:00Z,0,0,0,0,0,0
2020-07-27T08:30:00Z,0,0,0,0,0,0
2020-07-27T09:00:00Z,0,0,0,0,0,0
2020-07-27T09:30:00Z,0,0,0,0,0,0
2020-07-27T10:00:00Z,0,0,0,0,0,0
2020-07-27T10:30:00Z,0,0,0,0,0,0
2020-07-27T11:00:00Z,0,0,0,0,0,0
2020-07-27T11:30:00Z,0,0,0,0,0,0
2020-07-27T12:00:00Z,0,21.5,0,0,0,0
2020-07-27T12:30:00Z,21.5,258.3,32.3,21.5,0,0
2020-07-27T13:00:00Z,32.3,462.9,75.3,43.1,0,10.8
2020-07-27T13:30:00Z,21.5,527.4,107.6,64.6,0,10.8
2020-07-27T14:00:00Z,43.1,613.5,129.2,64.6,0,21.5
2020-07-27T14:30:00Z,43.1,688.9,150.7,64.6,0,21.5
2020-07-27T15:00:00Z,53.8,775,172.2,75.3,10.8,21.5
2020-07-27T15:30:00Z,376.7,3616.7,4477.8,721.2,107.6,635.1
2020-07-27T16:00:00Z,366,4650,5166.7,807.3,150.7,796.5
2020-07-27T16:30:00Z,592,3444.5,2583.4,1377.8,172.2,828.8
2020-07-27T17:00:00Z,1550,6200,1894.5,1808.3,204.5,871.9
2020-07-27T17:30:00Z,1463.9,7577.8,2411.1,1636.1,236.8,764.2
2020-07-27T18:00:00Z,914.9,6200,2927.8,1377.8,279.9,667.4
2020-07-27T18:30:00Z,1184,4305.6,3272.2,1162.5,301.4,592
2020-07-27T19:00:00Z,1033.3,7577.8,3444.5,914.9,355.2,516.7
2020-07-27T19:30:00Z,753.5,4650,4650,667.4,398.3,462.9
2020-07-27T20:00:00Z,699.7,4994.5,7577.8,592,452.1,430.6
2020-07-27T20:30:00Z,570.5,5511.1,6200,538.2,462.9,387.5
2020-07-27T21:00:00Z,592,6200,6544.5,462.9,527.4,333.7
2020-07-27T21:30:00Z,559.7,5166.7,7577.8,398.3,549,312.2
2020-07-27T22:00:00Z,516.7,6544.5,7577.8,376.7,592,269.1
2020-07-27T22:30:00Z,484.4,6200,6544.5,333.7,592,236.8
2020-07-27T23:00:00Z,484.4,3961.1,9300.1,290.6,581.3,215.3
2020-07-27T23:30:00Z,366,4994.5,5166.7,269.1,538.2,183
2020-07-28T00:00:00Z,355.2,4477.8,7577.8,226,484.4,150.7
2020-07-28T00:30:00Z,301.4,3788.9,2755.6,172.2,269.1,96.9
2020-07-28T01:00:00Z,118.4,1162.5,301.4,75.3,21.5,32.3
2020-07-28T01:30:00Z,96.9,1194.8,226,64.6,21.5,32.3
2020-07-28T02:00:00Z,86.1,1173.3,150.7,64.6,10.8,21.5
2020-07-28T02:30:00Z,53.8,796.5,86.1,43.1,0,10.8
2020-07-28T03:00:00Z,21.5,290.6,32.3,10.8,0,0
