time,latitude,longitude,vgrd10m,ugrd10m
2020-06-07T00:00:00Z,47,246,0.5991406,3.1462376
2020-06-07T00:00:00Z,47.5,246,-0.9908593,1.8362378
2020-06-07T00:00:00Z,48,246,2.6491406,1.1862378
2020-06-07T03:00:00Z,47,246,-0.39127198,1.3941858
2020-06-07T03:00:00Z,47.5,246,1.338728,0.40418577
2020-06-07T03:00:00Z,48,246,1.168728,1.1241858
2020-06-07T06:00:00Z,47,246,0.52830565,1.6940136
2020-06-07T06:00:00Z,47.5,246,1.3183056,0.87401366
2020-06-07T06:00:00Z,48,246,1.2883056,0.81401366
2020-06-07T09:00:00Z,47,246,0.30968505,1.1892542
2020-06-07T09:00:00Z,47.5,246,0.80968505,0.9192541
2020-06-07T09:00:00Z,48,246,1.379685,1.5092541
2020-06-07T12:00:00Z,47,246,0.13946044,1.1146215
2020-06-07T12:00:00Z,47.5,246,1.3994604,-0.35537842
2020-06-07T12:00:00Z,48,246,2.4794605,0.05462158
2020-06-07T15:00:00Z,47,246,0.08013672,2.2398229
2020-06-07T15:00:00Z,47.5,246,1.0701367,1.9498229
2020-06-07T15:00:00Z,48,246,2.9701366,1.239823
2020-06-07T18:00:00Z,47,246,0.06391846,3.50426
2020-06-07T18:00:00Z,47.5,246,-0.36608154,4.2042603
2020-06-07T18:00:00Z,48,246,3.2639184,1.2442602
2020-06-07T21:00:00Z,47,246,-1.2040136,3.3616674
2020-06-07T21:00:00Z,47.5,246,-0.36401367,3.4416673
2020-06-07T21:00:00Z,48,246,0.9659863,3.6916673
2020-06-08T00:00:00Z,47,246,-1.7967334,3.6372924
2020-06-08T00:00:00Z,47.5,246,0.1932666,1.4072925
2020-06-08T00:00:00Z,48,246,0.5432666,2.9172924
2020-06-08T03:00:00Z,47,246,-0.4524951,2.1960888
2020-06-08T03:00:00Z,47.5,246,-0.1624951,2.1960888
2020-06-08T03:00:00Z,48,246,1.0175048,1.3160888
2020-06-08T06:00:00Z,47,246,0.026848145,1.6631176
2020-06-08T06:00:00Z,47.5,246,0.90684813,0.40311766
2020-06-08T06:00:00Z,48,246,0.9168481,1.1631176
2020-06-08T09:00:00Z,47,246,-0.34094483,1.6765137
2020-06-08T09:00:00Z,47.5,246,0.75905514,0.7965137
2020-06-08T09:00:00Z,48,246,1.7190552,1.2865137
2020-06-08T12:00:00Z,47,246,0.32776245,2.447412
2020-06-08T12:00:00Z,47.5,246,0.55776244,1.5074121
2020-06-08T12:00:00Z,48,246,0.8377624,1.5074121
2020-06-08T15:00:00Z,47,246,0.66824704,3.0883324
2020-06-08T15:00:00Z,47.5,246,1.408247,1.7783325
2020-06-08T15:00:00Z,48,246,1.148247,1.6383325
2020-06-08T18:00:00Z,47,246,-0.08605347,5.7725534
2020-06-08T18:00:00Z,47.5,246,0.62394655,3.8725536
2020-06-08T18:00:00Z,48,246,1.8739465,0.5625537
2020-06-08T21:00:00Z,47,246,-0.75232667,5.385134
2020-06-08T21:00:00Z,47.5,246,0.35767332,5.105134
2020-06-08T21:00:00Z,48,246,2.3576732,5.3051343
2020-06-09T00:00:00Z,47,246,1.2146716,4.0633082
2020-06-09T00:00:00Z,47.5,246,0.8946716,2.763308
2020-06-09T00:00:00Z,48,246,3.9546716,1.3633081
2020-06-09T03:00:00Z,47,246,1.7987401,1.5026611
2020-06-09T03:00:00Z,47.5,246,0.23874024,2.0826612
2020-06-09T03:00:00Z,48,246,1.3187402,2.692661
2020-06-09T06:00:00Z,47,246,0.9709594,0.26933348
2020-06-09T06:00:00Z,47.5,246,1.3509594,-0.8006665
2020-06-09T06:00:00Z,48,246,3.4009595,-0.1706665
2020-06-09T09:00:00Z,47,246,0.3492444,1.1549951
2020-06-09T09:00:00Z,47.5,246,2.6492443,-0.36500487
2020-06-09T09:00:00Z,48,246,3.3592443,0.8549951
2020-06-09T12:00:00Z,47,246,0.8729016,-0.49245116
2020-06-09T12:00:00Z,47.5,246,1.8629016,-0.97245115
2020-06-09T12:00:00Z,48,246,2.6529016,-0.5024512
2020-06-09T15:00:00Z,47,246,1.1582458,0.8583789
2020-06-09T15:00:00Z,47.5,246,1.5782458,1.7183789
2020-06-09T15:00:00Z,48,246,2.6682458,0.9583789
2020-06-09T18:00:00Z,47,246,0.17056641,2.227595
2020-06-09T18:00:00Z,47.5,246,1.4305664,3.287595
2020-06-09T18:00:00Z,48,246,3.1205664,1.6175952
2020-06-09T21:00:00Z,47,246,0.29333007,4.2072167
2020-06-09T21:00:00Z,47.5,246,1.2833301,2.1572168
2020-06-09T21:00:00Z,48,246,3.97333,2.3772168
2020-06-10T00:00:00Z,47,246,0.99783933,3.2552562
2020-06-10T00:00:00Z,47.5,246,-0.21216065,2.0252564
2020-06-10T00:00:00Z,48,246,2.0978394,3.5152562
2020-06-10T03:00:00Z,47,246,-0.6732886,1.0496386
2020-06-10T03:00:00Z,47.5,246,0.55671144,0.70963866
2020-06-10T03:00:00Z,48,246,3.1867113,1.0796386
2020-06-10T06:00:00Z,47,246,0.14456786,0.53546387
2020-06-10T06:00:00Z,47.5,246,1.1245679,0.67546386
2020-06-10T06:00:00Z,48,246,1.5245678,1.0654639
2020-06-10T09:00:00Z,47,246,0.60281,-0.7825488
