"","datetime","wnd_10"
"2",2020-06-06 18:00:00,2.08652136594508
"2.1",2020-06-06 18:30:00,2.08652136594508
"2.2",2020-06-06 19:00:00,2.08652136594508
"2.3",2020-06-06 19:30:00,2.08652136594508
"2.4",2020-06-06 20:00:00,2.08652136594508
"2.5",2020-06-06 20:30:00,2.08652136594508
"5",2020-06-06 21:00:00,1.39841295569459
"5.1",2020-06-06 21:30:00,1.39841295569459
"5.2",2020-06-06 22:00:00,1.39841295569459
"5.3",2020-06-06 22:30:00,1.39841295569459
"5.4",2020-06-06 23:00:00,1.39841295569459
"5.5",2020-06-06 23:30:00,1.39841295569459
"8",2020-06-07 00:00:00,1.58171727336397
"8.1",2020-06-07 00:30:00,1.58171727336397
"8.2",2020-06-07 01:00:00,1.58171727336397
"8.3",2020-06-07 01:30:00,1.58171727336397
"8.4",2020-06-07 02:00:00,1.58171727336397
"8.5",2020-06-07 02:30:00,1.58171727336397
"11",2020-06-07 03:00:00,1.22499713491923
"11.1",2020-06-07 03:30:00,1.22499713491923
"11.2",2020-06-07 04:00:00,1.22499713491923
"11.3",2020-06-07 04:30:00,1.22499713491923
"11.4",2020-06-07 05:00:00,1.22499713491923
"11.5",2020-06-07 05:30:00,1.22499713491923
"14",2020-06-07 06:00:00,1.44387784544603
"14.1",2020-06-07 06:30:00,1.44387784544603
"14.2",2020-06-07 07:00:00,1.44387784544603
"14.3",2020-06-07 07:30:00,1.44387784544603
"14.4",2020-06-07 08:00:00,1.44387784544603
"14.5",2020-06-07 08:30:00,1.44387784544603
"17",2020-06-07 09:00:00,2.22418567076836
"17.1",2020-06-07 09:30:00,2.22418567076836
"17.2",2020-06-07 10:00:00,2.22418567076836
"17.3",2020-06-07 10:30:00,2.22418567076836
"17.4",2020-06-07 11:00:00,2.22418567076836
"17.5",2020-06-07 11:30:00,2.22418567076836
"20",2020-06-07 12:00:00,4.22016828622803
"20.1",2020-06-07 12:30:00,4.22016828622803
"20.2",2020-06-07 13:00:00,4.22016828622803
"20.3",2020-06-07 13:30:00,4.22016828622803
"20.4",2020-06-07 14:00:00,4.22016828622803
"20.5",2020-06-07 14:30:00,4.22016828622803
"23",2020-06-07 15:00:00,3.46086401868611
"23.1",2020-06-07 15:30:00,3.46086401868611
"23.2",2020-06-07 16:00:00,3.46086401868611
"23.3",2020-06-07 16:30:00,3.46086401868611
"23.4",2020-06-07 17:00:00,3.46086401868611
"23.5",2020-06-07 17:30:00,3.46086401868611
"26",2020-06-07 18:00:00,1.4205013760049
"26.1",2020-06-07 18:30:00,1.4205013760049
"26.2",2020-06-07 19:00:00,1.4205013760049
"26.3",2020-06-07 19:30:00,1.4205013760049
"26.4",2020-06-07 20:00:00,1.4205013760049
"26.5",2020-06-07 20:30:00,1.4205013760049
"29",2020-06-07 21:00:00,2.20209234025493
"29.1",2020-06-07 21:30:00,2.20209234025493
"29.2",2020-06-07 22:00:00,2.20209234025493
"29.3",2020-06-07 22:30:00,2.20209234025493
"29.4",2020-06-07 23:00:00,2.20209234025493
"29.5",2020-06-07 23:30:00,2.20209234025493
"32",2020-06-08 00:00:00,0.992409884416904
"32.1",2020-06-08 00:30:00,0.992409884416904
"32.2",2020-06-08 01:00:00,0.992409884416904
"32.3",2020-06-08 01:30:00,0.992409884416904
"32.4",2020-06-08 02:00:00,0.992409884416904
"32.5",2020-06-08 02:30:00,0.992409884416904
"35",2020-06-08 03:00:00,1.10027213899476
"35.1",2020-06-08 03:30:00,1.10027213899476
"35.2",2020-06-08 04:00:00,1.10027213899476
"35.3",2020-06-08 04:30:00,1.10027213899476
"35.4",2020-06-08 05:00:00,1.10027213899476
"35.5",2020-06-08 05:30:00,1.10027213899476
"38",2020-06-08 06:00:00,1.60729281050503
"38.1",2020-06-08 06:30:00,1.60729281050503
"38.2",2020-06-08 07:00:00,1.60729281050503
"38.3",2020-06-08 07:30:00,1.60729281050503
"38.4",2020-06-08 08:00:00,1.60729281050503
"38.5",2020-06-08 08:30:00,1.60729281050503
"41",2020-06-08 09:00:00,2.26839725215079
"41.1",2020-06-08 09:30:00,2.26839725215079
"41.2",2020-06-08 10:00:00,2.26839725215079
"41.3",2020-06-08 10:30:00,2.26839725215079
"41.4",2020-06-08 11:00:00,2.26839725215079
"41.5",2020-06-08 11:30:00,2.26839725215079
"44",2020-06-08 12:00:00,3.92249674086925
"44.1",2020-06-08 12:30:00,3.92249674086925
"44.2",2020-06-08 13:00:00,3.92249674086925
"44.3",2020-06-08 13:30:00,3.92249674086925
"44.4",2020-06-08 14:00:00,3.92249674086925
"44.5",2020-06-08 14:30:00,3.92249674086925
"47",2020-06-08 15:00:00,5.11764822567904
"47.1",2020-06-08 15:30:00,5.11764822567904
