datetime,wtr_0,wtr_2,wtr_4,wtr_5,wtr_6,wtr_7,wtr_1
2020-07-24T23:00:00Z,15.473,15.664,13.365,11.139,9.275,7.882,14.659
2020-07-24T23:30:00Z,15.187,15.187,12.69,11.334,9.571,7.682,14.624
2020-07-25T00:00:00Z,14.996,14.9,12.69,11.722,9.571,8.779,14.572
2020-07-25T00:30:00Z,14.9,14.804,12.98,10.748,10.063,7.782,14.564
2020-07-25T01:00:00Z,14.709,14.804,12.98,10.357,9.176,7.782,14.512
2020-07-25T01:30:00Z,14.804,14.709,12.497,10.161,9.373,7.983,14.512
2020-07-25T02:00:00Z,14.804,14.804,12.401,10.944,10.063,8.581,14.59
2020-07-25T02:30:00Z,14.804,14.804,12.304,11.139,9.077,8.481,14.572
2020-07-25T03:00:00Z,14.709,14.709,12.787,11.334,9.373,7.481,14.521
2020-07-25T03:30:00Z,14.613,14.709,12.594,11.236,9.176,7.179,14.486
2020-07-25T04:00:00Z,14.613,14.613,12.883,11.431,9.373,7.381,14.417
2020-07-25T04:30:00Z,14.613,14.613,12.98,10.944,10.063,8.082,14.451
2020-07-25T05:00:00Z,14.517,14.517,13.076,11.041,9.866,7.682,14.382
2020-07-25T05:30:00Z,14.517,14.517,13.076,11.139,9.176,7.582,14.33
2020-07-25T06:00:00Z,14.421,14.421,12.594,11.334,8.879,7.179,14.243
2020-07-25T06:30:00Z,14.325,14.421,12.69,11.819,8.978,7.381,14.183
2020-07-25T07:00:00Z,14.325,14.325,12.787,11.722,8.978,7.582,14.174
2020-07-25T07:30:00Z,14.325,14.325,12.883,10.944,8.879,7.983,14.174
2020-07-25T08:00:00Z,14.325,14.325,12.98,11.041,9.176,8.282,14.157
2020-07-25T08:30:00Z,14.23,14.325,13.076,11.041,8.978,8.082,14.113
2020-07-25T09:00:00Z,14.23,14.325,12.98,10.846,9.373,8.082,14.07
2020-07-25T09:30:00Z,14.23,14.23,12.98,11.041,9.275,8.182,14.061
2020-07-25T10:00:00Z,14.134,14.134,12.883,11.041,9.373,8.182,14.018
2020-07-25T10:30:00Z,14.134,14.134,12.401,11.139,9.373,8.382,13.948
2020-07-25T11:00:00Z,14.038,14.134,12.401,11.139,9.373,7.882,13.887
2020-07-25T11:30:00Z,14.038,14.038,12.497,11.236,9.472,7.682,13.879
2020-07-25T12:00:00Z,14.038,14.038,12.69,11.528,9.077,7.28,13.87
2020-07-25T12:30:00Z,14.038,14.134,12.69,11.431,9.077,7.381,13.879
2020-07-25T13:00:00Z,14.038,14.038,12.497,11.139,9.373,7.582,13.826
2020-07-25T13:30:00Z,14.038,14.038,12.594,11.139,9.373,7.582,13.826
2020-07-25T14:00:00Z,14.325,14.134,12.883,11.041,9.275,8.182,13.835
2020-07-25T14:30:00Z,14.134,14.517,12.98,11.236,9.373,8.382,13.852
2020-07-25T15:00:00Z,14.325,14.421,13.269,11.236,9.373,8.581,13.87
2020-07-25T15:30:00Z,15.091,14.325,13.461,11.139,9.571,8.382,13.896
2020-07-25T16:00:00Z,16.618,14.325,12.98,11.236,9.472,8.282,13.887
2020-07-25T16:30:00Z,16.046,14.421,13.461,11.528,9.571,8.282,13.896
2020-07-25T17:00:00Z,17.379,14.421,13.269,11.625,9.472,8.182,13.948
2020-07-25T17:30:00Z,17.189,14.421,13.365,11.819,9.373,7.782,14
