datetime,lake,depth_m,par_umol
2020-07-27T17:00:00Z,MCD,10,592.3536518377941
2020-07-27T17:00:00Z,MCD,12,180.34901161563357
2020-07-27T17:00:00Z,MCD,2,574.5308642714035
2020-07-27T17:00:00Z,MCD,4,1818.3051442450696
2020-07-27T17:00:00Z,MCD,6,1607.2962098282164
2020-07-27T17:00:00Z,MCD,8,336.0144519397436
2020-07-27T17:30:00Z,MCD,10,429.26474864769625
2020-07-27T17:30:00Z,MCD,12,283.91225163468334
2020-07-27T17:30:00Z,MCD,2,520.6008072618288
2020-07-27T17:30:00Z,MCD,4,1047.0034803278959
2020-07-27T17:30:00Z,MCD,6,1078.7163731488804
2020-07-27T17:30:00Z,MCD,8,354.8134841907504
2020-07-27T18:00:00Z,MCD,10,610.1034909581767
2020-07-27T18:00:00Z,MCD,12,49.55410923723139
2020-07-27T18:00:00Z,MCD,2,1918.7285099198307
2020-07-27T18:00:00Z,MCD,4,243.2429351550154
2020-07-27T18:00:00Z,MCD,6,271.9926873921395
2020-07-27T18:00:00Z,MCD,8,94.36933911709639
2020-07-27T18:30:00Z,MCD,10,447.6821086036598
2020-07-27T18:30:00Z,MCD,12,42.04073985658488
2020-07-27T18:30:00Z,MCD,2,2015.909882136189
2020-07-27T18:30:00Z,MCD,4,187.6497413815814
2020-07-27T18:30:00Z,MCD,6,211.912029179407
2020-07-27T18:30:00Z,MCD,8,74.49993121220996
2020-07-27T19:00:00Z,MCD,10,317.13815925950894
2020-07-27T19:00:00Z,MCD,12,37.009865411146166
2020-07-27T19:00:00Z,MCD,2,1661.3615712810097
2020-07-27T19:00:00Z,MCD,4,141.2367086183458
2020-07-27T19:00:00Z,MCD,6,155.9471163640137
2020-07-27T19:00:00Z,MCD,8,54.548863838755096
2020-07-27T19:30:00Z,MCD,10,136.3307813533811
2020-07-27T19:30:00Z,MCD,12,42.04073985658488
2020-07-27T19:30:00Z,MCD,2,317.13815925950894
2020-07-27T19:30:00Z,MCD,4,645.3855169471481
2020-07-27T19:30:00Z,MCD,6,447.6821086036598
2020-07-27T19:30:00Z,MCD,8,111.70268959950135
2020-07-27T20:00:00Z,MCD,10,91.881476818794
2020-07-27T20:00:00Z,MCD,12,14.40040688764202
2020-07-27T20:00:00Z,MCD,2,177.9280256274924
2020-07-27T20:00:00Z,MCD,4,209.48465340997427
2020-07-27T20:00:00Z,MCD,6,151.05626256572668
2020-07-27T20:00:00Z,MCD,8,34.51580139192538
2020-07-27T20:30:00Z,MCD,10,52.04051024213186
2020-07-27T20:30:00Z,MCD,12,16.904721033255555
2020-07-27T20:30:00Z,MCD,2,111.70268959950135
2020-07-27T20:30:00Z,MCD,4,47.043185379809074
2020-07-27T20:30:00Z,MCD,6,44.53096942103821
2020-07-27T20:30:00Z,MCD,8,14.40040688764202
2020-07-27T21:00:00Z,MCD,10,16.904721033255555
2020-07-27T21:00:00Z,MCD,12,4.300000000000182
2020-07-27T21:00:00Z,MCD,2,39.52594967932873
2020-07-27T21:00:00Z,MCD,4,16.904721033255555
2020-07-27T21:00:00Z,MCD,6,21.932896577570318
2020-07-27T21:00:00Z,MCD,8,6.832907846217495
2020-07-27T21:30:00Z,MCD,10,4.300000000000182
2020-07-27T21:30:00Z,MCD,12,4.300000000000182
2020-07-27T21:30:00Z,MCD,2,4.300000000000182
2020-07-27T21:30:00Z,MCD,4,4.300000000000182
2020-07-27T21:30:00Z,MCD,6,4.300000000000182
2020-07-27T21:30:00Z,MCD,8,4.300000000000182
2020-07-27T22:00:00Z,MCD,10,4.300000000000182
2020-07-27T22:00:00Z,MCD,12,4.300000000000182
2020-07-27T22:00:00Z,MCD,2,4.300000000000182
2020-07-27T22:00:00Z,MCD,4,4.300000000000182
2020-07-27T22:00:00Z,MCD,6,4.300000000000182
2020-07-27T22:00:00Z,MCD,8,4.300000000000182
2020-07-27T22:30:00Z,MCD,10,4.300000000000182
2020-07-27T22:30:00Z,MCD,12,4.300000000000182
2020-07-27T22:30:00Z,MCD,2,4.300000000000182
2020-07-27T22:30:00Z,MCD,4,4.300000000000182
2020-07-27T22:30:00Z,MCD,6,4.300000000000182
2020-07-27T22:30:00Z,MCD,8,4.300000000000182
2020-07-27T23:00:00Z,MCD,10,4.300000000000182
2020-07-27T23:00:00Z,MCD,12,4.300000000000182
2020-07-27T23:00:00Z,MCD,2,4.300000000000182
2020-07-27T23:00:00Z,MCD,4,4.300000000000182
2020-07-27T23:00:00Z,MCD,6,4.300000000000182
2020-07-27T23:00:00Z,MCD,8,4.300000000000182
2020-07-27T23:30:00Z,MCD,10,4.300000000000182
2020-07-27T23:30:00Z,MCD,12,4.300000000000182
2020-07-27T23:30:00Z,MCD,2,4.300000000000182
2020-07-27T23:30:00Z,MCD,4,4.300000000000182
2020-07-27T23:30:00Z,MCD,6,4.300000000000182
2020-07-27T23:30:00Z,MCD,8,4.300000000000182
2020-07-28T00:00:00Z,MCD,10,4.300000000000182
2020-07-28T00:00:00Z,MCD,12,4.300000000000182
2020-07-28T00:00:00Z,MCD,2,4.300000000000182
2020-07-28T00:00:00Z,MCD,4,4.300000000000182
2020-07-28T00:00:00Z,MCD,6,4.300000000000182
2020-07-28T00:00:00Z,MCD,8,4.300000000000182
2020-07-28T00:30:00Z,MCD,10,4.300000000000182
2020-07-28T00:30:00Z,MCD,12,4.300000000000182
2020-07-28T00:30:00Z,MCD,2,4.300000000000182
2020-07-28T00:30:00Z,MCD,4,4.300000000000182
2020-07-28T00:30:00Z,MCD,6,4.300000000000182
2020-07-28T00:30:00Z,MCD,8,4.300000000000182
2020-07-28T01:00:00Z,MCD,10,4.300000000000182
2020-07-28T01:00:00Z,MCD,12,4.300000000000182
2020-07-28T01:00:00Z,MCD,2,4.300000000000182
2020-07-28T01:00:00Z,MCD,4,4.300000000000182
2020-07-28T01:00:00Z,MCD,6,4.300000000000182
2020-07-28T01:00:00Z,MCD,8,4.300000000000182
2020-07-28T01:30:00Z,MCD,10,4.300000000000182
2020-07-28T01:30:00Z,MCD,12,4.300000000000182
2020-07-28T01:30:00Z,MCD,2,4.300000000000182
2020-07-28T01:30:00Z,MCD,4,4.300000000000182
2020-07-28T01:30:00Z,MCD,6,4.300000000000182
2020-07-28T01:30:00Z,MCD,8,4.300000000000182
2020-07-28T02:00:00Z,MCD,10,4.300000000000182
2020-07-28T02:00:00Z,MCD,12,4.300000000000182
2020-07-28T02:00:00Z,MCD,2,4.300000000000182
2020-07-28T02:00:00Z,MCD,4,4.300000000000182
2020-07-28T02:00:00Z,MCD,6,4.300000000000182
2020-07-28T02:00:00Z,MCD,8,4.300000000000182
2020-07-28T02:30:00Z,MCD,10,4.300000000000182
2020-07-28T02:30:00Z,MCD,12,4.300000000000182
2020-07-28T02:30:00Z,MCD,2,4.300000000000182
2020-07-28T02:30:00Z,MCD,4,4.300000000000182
2020-07-28T02:30:00Z,MCD,6,4.300000000000182
2020-07-28T02:30:00Z,MCD,8,4.300000000000182
2020-07-28T03:00:00Z,MCD,10,4.300000000000182
2020-07-28T03:00:00Z,MCD,12,4.300000000000182
2020-07-28T03:00:00Z,MCD,2,4.300000000000182
2020-07-28T03:00:00Z,MCD,4,4.300000000000182
2020-07-28T03:00:00Z,MCD,6,4.300000000000182
2020-07-28T03:00:00Z,MCD,8,4.300000000000182
2020-07-28T03:30:00Z,MCD,10,4.300000000000182
2020-07-28T03:30:00Z,MCD,12,4.300000000000182
2020-07-28T03:30:00Z,MCD,2,4.300000000000182
2020-07-28T03:30:00Z,MCD,4,4.300000000000182
2020-07-28T03:30:00Z,MCD,6,4.300000000000182
2020-07-28T03:30:00Z,MCD,8,4.300000000000182
2020-07-28T04:00:00Z,MCD,10,4.300000000000182
2020-07-28T04:00:00Z,MCD,12,4.300000000000182
2020-07-28T04:00:00Z,MCD,2,4.300000000000182
2020-07-28T04:00:00Z,MCD,4,4.300000000000182
2020-07-28T04:00:00Z,MCD,6,4.300000000000182
2020-07-28T04:00:00Z,MCD,8,4.300000000000182
2020-07-28T04:30:00Z,MCD,10,4.300000000000182
2020-07-28T04:30:00Z,MCD,12,4.300000000000182
2020-07-28T04:30:00Z,MCD,2,4.300000000000182
2020-07-28T04:30:00Z,MCD,4,4.300000000000182
2020-07-28T04:30:00Z,MCD,6,4.300000000000182
2020-07-28T04:30:00Z,MCD,8,4.300000000000182
2020-07-28T05:00:00Z,MCD,10,4.300000000000182
2020-07-28T05:00:00Z,MCD,12,4.300000000000182
2020-07-28T05:00:00Z,MCD,2,4.300000000000182
2020-07-28T05:00:00Z,MCD,4,4.300000000000182
2020-07-28T05:00:00Z,MCD,6,4.300000000000182
2020-07-28T05:00:00Z,MCD,8,4.300000000000182
