datetime,lake,depth,light,par
2020-07-27T17:00:00Z,MCD,10,2669.5,592.3536518377941
2020-07-27T17:00:00Z,MCD,12,764.2,180.34901161563357
2020-07-27T17:00:00Z,MCD,2,2583.4,574.5308642714035
2020-07-27T17:00:00Z,MCD,4,9644.5,1818.3051442450696
2020-07-27T17:00:00Z,MCD,6,8266.7,1607.2962098282164
2020-07-27T17:00:00Z,MCD,8,1463.9,336.0144519397436
2020-07-27T17:30:00Z,MCD,10,1894.5,429.26474864769625
2020-07-27T17:30:00Z,MCD,12,1227.1,283.91225163468334
2020-07-27T17:30:00Z,MCD,2,2325,520.6008072618288
2020-07-27T17:30:00Z,MCD,4,4994.5,1047.0034803278959
2020-07-27T17:30:00Z,MCD,6,5166.7,1078.7163731488804
2020-07-27T17:30:00Z,MCD,8,1550,354.8134841907504
2020-07-27T18:00:00Z,MCD,10,2755.6,610.1034909581767
2020-07-27T18:00:00Z,MCD,12,193.8,49.55410923723139
2020-07-27T18:00:00Z,MCD,2,10333.4,1918.7285099198307
2020-07-27T18:00:00Z,MCD,4,1044.1,243.2429351550154
2020-07-27T18:00:00Z,MCD,6,1173.3,271.9926873921395
2020-07-27T18:00:00Z,MCD,8,387.5,94.36933911709639
2020-07-27T18:30:00Z,MCD,10,1980.6,447.6821086036598
2020-07-27T18:30:00Z,MCD,12,161.5,42.04073985658488
2020-07-27T18:30:00Z,MCD,2,11022.3,2015.909882136189
2020-07-27T18:30:00Z,MCD,4,796.5,187.6497413815814
2020-07-27T18:30:00Z,MCD,6,904.2,211.912029179407
2020-07-27T18:30:00Z,MCD,8,301.4,74.49993121220996
2020-07-27T19:00:00Z,MCD,10,1377.8,317.13815925950894
2020-07-27T19:00:00Z,MCD,12,139.9,37.009865411146166
2020-07-27T19:00:00Z,MCD,2,8611.2,1661.3615712810097
2020-07-27T19:00:00Z,MCD,4,592,141.2367086183458
2020-07-27T19:00:00Z,MCD,6,656.6,155.9471163640137
2020-07-27T19:00:00Z,MCD,8,215.3,54.548863838755096
2020-07-27T19:30:00Z,MCD,10,570.5,136.3307813533811
2020-07-27T19:30:00Z,MCD,12,161.5,42.04073985658488
2020-07-27T19:30:00Z,MCD,2,1377.8,317.13815925950894
2020-07-27T19:30:00Z,MCD,4,2927.8,645.3855169471481
2020-07-27T19:30:00Z,MCD,6,1980.6,447.6821086036598
2020-07-27T19:30:00Z,MCD,8,462.9,111.70268959950135
2020-07-27T20:00:00Z,MCD,10,376.7,91.881476818794
2020-07-27T20:00:00Z,MCD,12,43.1,14.40040688764202
2020-07-27T20:00:00Z,MCD,2,753.5,177.9280256274924
2020-07-27T20:00:00Z,MCD,4,893.4,209.48465340997427
2020-07-27T20:00:00Z,MCD,6,635.1,151.05626256572668
2020-07-27T20:00:00Z,MCD,8,129.2,34.51580139192538
2020-07-27T20:30:00Z,MCD,10,204.5,52.04051024213186
2020-07-27T20:30:00Z,MCD,12,53.8,16.904721033255555
2020-07-27T20:30:00Z,MCD,2,462.9,111.70268959950135
2020-07-27T20:30:00Z,MCD,4,183,47.043185379809074
2020-07-27T20:30:00Z,MCD,6,172.2,44.53096942103821
2020-07-27T20:30:00Z,MCD,8,43.1,14.40040688764202
2020-07-27T21:00:00Z,MCD,10,53.8,16.904721033255555
2020-07-27T21:00:00Z,MCD,12,0,4.300000000000182
2020-07-27T21:00:00Z,MCD,2,150.7,39.52594967932873
2020-07-27T21:00:00Z,MCD,4,53.8,16.904721033255555
2020-07-27T21:00:00Z,MCD,6,75.3,21.932896577570318
2020-07-27T21:00:00Z,MCD,8,10.8,6.832907846217495
2020-07-27T21:30:00Z,MCD,10,0,4.300000000000182
2020-07-27T21:30:00Z,MCD,12,0,4.300000000000182
2020-07-27T21:30:00Z,MCD,2,0,4.300000000000182
2020-07-27T21:30:00Z,MCD,4,0,4.300000000000182
2020-07-27T21:30:00Z,MCD,6,0,4.300000000000182
2020-07-27T21:30:00Z,MCD,8,0,4.300000000000182
2020-07-27T22:00:00Z,MCD,10,0,4.300000000000182
2020-07-27T22:00:00Z,MCD,12,0,4.300000000000182
2020-07-27T22:00:00Z,MCD,2,0,4.300000000000182
2020-07-27T22:00:00Z,MCD,4,0,4.300000000000182
2020-07-27T22:00:00Z,MCD,6,0,4.300000000000182
2020-07-27T22:00:00Z,MCD,8,0,4.300000000000182
2020-07-27T22:30:00Z,MCD,10,0,4.300000000000182
2020-07-27T22:30:00Z,MCD,12,0,4.300000000000182
2020-07-27T22:30:00Z,MCD,2,0,4.300000000000182
2020-07-27T22:30:00Z,MCD,4,0,4.300000000000182
2020-07-27T22:30:00Z,MCD,6,0,4.300000000000182
2020-07-27T22:30:00Z,MCD,8,0,4.300000000000182
2020-07-27T23:00:00Z,MCD,10,0,4.300000000000182
2020-07-27T23:00:00Z,MCD,12,0,4.300000000000182
2020-07-27T23:00:00Z,MCD,2,0,4.300000000000182
2020-07-27T23:00:00Z,MCD,4,0,4.300000000000182
2020-07-27T23:00:00Z,MCD,6,0,4.300000000000182
2020-07-27T23:00:00Z,MCD,8,0,4.300000000000182
2020-07-27T23:30:00Z,MCD,10,0,4.300000000000182
2020-07-27T23:30:00Z,MCD,12,0,4.300000000000182
2020-07-27T23:30:00Z,MCD,2,0,4.300000000000182
2020-07-27T23:30:00Z,MCD,4,0,4.300000000000182
2020-07-27T23:30:00Z,MCD,6,0,4.300000000000182
2020-07-27T23:30:00Z,MCD,8,0,4.300000000000182
2020-07-28T00:00:00Z,MCD,10,0,4.300000000000182
2020-07-28T00:00:00Z,MCD,12,0,4.300000000000182
2020-07-28T00:00:00Z,MCD,2,0,4.300000000000182
2020-07-28T00:00:00Z,MCD,4,0,4.300000000000182
2020-07-28T00:00:00Z,MCD,6,0,4.300000000000182
2020-07-28T00:00:00Z,MCD,8,0,4.300000000000182
2020-07-28T00:30:00Z,MCD,10,0,4.300000000000182
2020-07-28T00:30:00Z,MCD,12,0,4.300000000000182
2020-07-28T00:30:00Z,MCD,2,0,4.300000000000182
2020-07-28T00:30:00Z,MCD,4,0,4.300000000000182
2020-07-28T00:30:00Z,MCD,6,0,4.300000000000182
2020-07-28T00:30:00Z,MCD,8,0,4.300000000000182
2020-07-28T01:00:00Z,MCD,10,0,4.300000000000182
2020-07-28T01:00:00Z,MCD,12,0,4.300000000000182
2020-07-28T01:00:00Z,MCD,2,0,4.300000000000182
2020-07-28T01:00:00Z,MCD,4,0,4.300000000000182
2020-07-28T01:00:00Z,MCD,6,0,4.300000000000182
2020-07-28T01:00:00Z,MCD,8,0,4.300000000000182
2020-07-28T01:30:00Z,MCD,10,0,4.300000000000182
2020-07-28T01:30:00Z,MCD,12,0,4.300000000000182
2020-07-28T01:30:00Z,MCD,2,0,4.300000000000182
2020-07-28T01:30:00Z,MCD,4,0,4.300000000000182
2020-07-28T01:30:00Z,MCD,6,0,4.300000000000182
2020-07-28T01:30:00Z,MCD,8,0,4.300000000000182
2020-07-28T02:00:00Z,MCD,10,0,4.300000000000182
2020-07-28T02:00:00Z,MCD,12,0,4.300000000000182
2020-07-28T02:00:00Z,MCD,2,0,4.300000000000182
2020-07-28T02:00:00Z,MCD,4,0,4.300000000000182
2020-07-28T02:00:00Z,MCD,6,0,4.300000000000182
2020-07-28T02:00:00Z,MCD,8,0,4.300000000000182
2020-07-28T02:30:00Z,MCD,10,0,4.300000000000182
2020-07-28T02:30:00Z,MCD,12,0,4.300000000000182
2020-07-28T02:30:00Z,MCD,2,0,4.300000000000182
2020-07-28T02:30:00Z,MCD,4,0,4.300000000000182
2020-07-28T02:30:00Z,MCD,6,0,4.300000000000182
2020-07-28T02:30:00Z,MCD,8,0,4.300000000000182
2020-07-28T03:00:00Z,MCD,10,0,4.300000000000182
2020-07-28T03:00:00Z,MCD,12,0,4.300000000000182
2020-07-28T03:00:00Z,MCD,2,0,4.300000000000182
2020-07-28T03:00:00Z,MCD,4,0,4.300000000000182
2020-07-28T03:00:00Z,MCD,6,0,4.300000000000182
2020-07-28T03:00:00Z,MCD,8,0,4.300000000000182
2020-07-28T03:30:00Z,MCD,10,0,4.300000000000182
2020-07-28T03:30:00Z,MCD,12,0,4.300000000000182
2020-07-28T03:30:00Z,MCD,2,0,4.300000000000182
2020-07-28T03:30:00Z,MCD,4,0,4.300000000000182
2020-07-28T03:30:00Z,MCD,6,0,4.300000000000182
2020-07-28T03:30:00Z,MCD,8,0,4.300000000000182
2020-07-28T04:00:00Z,MCD,10,0,4.300000000000182
2020-07-28T04:00:00Z,MCD,12,0,4.300000000000182
2020-07-28T04:00:00Z,MCD,2,0,4.300000000000182
2020-07-28T04:00:00Z,MCD,4,0,4.300000000000182
2020-07-28T04:00:00Z,MCD,6,0,4.300000000000182
2020-07-28T04:00:00Z,MCD,8,0,4.300000000000182
2020-07-28T04:30:00Z,MCD,10,0,4.300000000000182
2020-07-28T04:30:00Z,MCD,12,0,4.300000000000182
2020-07-28T04:30:00Z,MCD,2,0,4.300000000000182
2020-07-28T04:30:00Z,MCD,4,0,4.300000000000182
2020-07-28T04:30:00Z,MCD,6,0,4.300000000000182
2020-07-28T04:30:00Z,MCD,8,0,4.300000000000182
2020-07-28T05:00:00Z,MCD,10,0,4.300000000000182
2020-07-28T05:00:00Z,MCD,12,0,4.300000000000182
2020-07-28T05:00:00Z,MCD,2,0,4.300000000000182
2020-07-28T05:00:00Z,MCD,4,0,4.300000000000182
2020-07-28T05:00:00Z,MCD,6,0,4.300000000000182
2020-07-28T05:00:00Z,MCD,8,0,4.300000000000182
2020-07-28T05:30:00Z,MCD,10,0,4.300000000000182
2020-07-28T05:30:00Z,MCD,12,0,4.300000000000182
2020-07-28T05:30:00Z,MCD,2,0,4.300000000000182
2020-07-28T05:30:00Z,MCD,4,0,4.300000000000182
2020-07-28T05:30:00Z,MCD,6,0,4.300000000000182
2020-07-28T05:30:00Z,MCD,8,0,4.300000000000182
2020-07-28T06:00:00Z,MCD,10,0,4.300000000000182
2020-07-28T06:00:00Z,MCD,12,0,4.300000000000182
2020-07-28T06:00:00Z,MCD,2,10.8,6.832907846217495
2020-07-28T06:00:00Z,MCD,4,0,4.300000000000182
2020-07-28T06:00:00Z,MCD,6,0,4.300000000000182
2020-07-28T06:00:00Z,MCD,8,0,4.300000000000182
2020-07-28T06:30:00Z,MCD,10,64.6,19.431145926845602
2020-07-28T06:30:00Z,MCD,12,0,4.300000000000182
2020-07-28T06:30:00Z,MCD,2,172.2,44.53096942103821
2020-07-28T06:30:00Z,MCD,4,86.1,24.45673534301295
2020-07-28T06:30:00Z,MCD,6,53.8,16.904721033255555
2020-07-28T06:30:00Z,MCD,8,21.5,9.341078134033523
2020-07-28T07:00:00Z,MCD,10,139.9,37.009865411146166
2020-07-28T07:00:00Z,MCD,12,32.3,11.871393215948956
2020-07-28T07:00:00Z,MCD,2,376.7,91.881476818794
2020-07-28T07:00:00Z,MCD,4,183,47.043185379809074
