datetime,lake,depth_m,temp_C
2020-07-27T17:00:00Z,MCD,10,11.722
2020-07-27T17:00:00Z,MCD,12,8.68
2020-07-27T17:00:00Z,MCD,2,18.236
2020-07-27T17:00:00Z,MCD,4,15.091
2020-07-27T17:00:00Z,MCD,6,14.134
2020-07-27T17:00:00Z,MCD,8,13.173
2020-07-27T17:00:00Z,MCD,1,18.306
2020-07-27T17:30:00Z,MCD,10,11.528
2020-07-27T17:30:00Z,MCD,12,8.382
2020-07-27T17:30:00Z,MCD,2,18.236
2020-07-27T17:30:00Z,MCD,4,14.9
2020-07-27T17:30:00Z,MCD,6,14.038
2020-07-27T17:30:00Z,MCD,8,13.173
2020-07-27T17:30:00Z,MCD,1,18.323
2020-07-27T18:00:00Z,MCD,10,11.139
2020-07-27T18:00:00Z,MCD,12,8.282
2020-07-27T18:00:00Z,MCD,2,18.045
2020-07-27T18:00:00Z,MCD,4,15.091
2020-07-27T18:00:00Z,MCD,6,14.038
2020-07-27T18:00:00Z,MCD,8,13.365
2020-07-27T18:00:00Z,MCD,1,18.39
2020-07-27T18:30:00Z,MCD,10,11.139
2020-07-27T18:30:00Z,MCD,12,8.182
2020-07-27T18:30:00Z,MCD,2,18.045
2020-07-27T18:30:00Z,MCD,4,14.9
2020-07-27T18:30:00Z,MCD,6,14.134
2020-07-27T18:30:00Z,MCD,8,13.269
2020-07-27T18:30:00Z,MCD,1,18.18
2020-07-27T19:00:00Z,MCD,10,10.748
2020-07-27T19:00:00Z,MCD,12,8.182
2020-07-27T19:00:00Z,MCD,2,18.14
2020-07-27T19:00:00Z,MCD,4,14.9
2020-07-27T19:00:00Z,MCD,6,14.134
2020-07-27T19:00:00Z,MCD,8,13.173
2020-07-27T19:00:00Z,MCD,1,17.928
2020-07-27T19:30:00Z,MCD,10,11.041
2020-07-27T19:30:00Z,MCD,12,8.182
2020-07-27T19:30:00Z,MCD,2,17.76
2020-07-27T19:30:00Z,MCD,4,14.804
2020-07-27T19:30:00Z,MCD,6,14.134
2020-07-27T19:30:00Z,MCD,8,13.173
2020-07-27T19:30:00Z,MCD,1,17.961
2020-07-27T20:00:00Z,MCD,10,11.041
2020-07-27T20:00:00Z,MCD,12,8.182
2020-07-27T20:00:00Z,MCD,2,17.57
2020-07-27T20:00:00Z,MCD,4,14.804
2020-07-27T20:00:00Z,MCD,6,14.038
2020-07-27T20:00:00Z,MCD,8,13.076
2020-07-27T20:00:00Z,MCD,1,17.995
2020-07-27T20:30:00Z,MCD,10,11.139
2020-07-27T20:30:00Z,MCD,12,8.182
2020-07-27T20:30:00Z,MCD,2,17.76
2020-07-27T20:30:00Z,MCD,4,14.9
2020-07-27T20:30:00Z,MCD,6,13.942
2020-07-27T20:30:00Z,MCD,8,13.269
2020-07-27T20:30:00Z,MCD,1,18.079
2020-07-27T21:00:00Z,MCD,10,11.139
2020-07-27T21:00:00Z,MCD,12,8.182
2020-07-27T21:00:00Z,MCD,2,17.57
2020-07-27T21:00:00Z,MCD,4,14.996
2020-07-27T21:00:00Z,MCD,6,14.038
2020-07-27T21:00:00Z,MCD,8,13.076
2020-07-27T21:00:00Z,MCD,1,18.424
2020-07-27T21:30:00Z,MCD,10,11.334
2020-07-27T21:30:00Z,MCD,12,8.282
2020-07-27T21:30:00Z,MCD,2,17.379
2020-07-27T21:30:00Z,MCD,4,14.996
2020-07-27T21:30:00Z,MCD,6,14.134
2020-07-27T21:30:00Z,MCD,8,13.076
