datetime,DO,temperature
2022-06-06T20:30:00Z,9.357,14.952
2022-06-06T20:40:00Z,9.292,14.599
2022-06-06T20:50:00Z,9.188,14.633
2022-06-06T21:00:00Z,9.061,14.806
2022-06-06T21:10:00Z,8.976,14.978
2022-06-06T21:20:00Z,8.912,15.132
2022-06-06T21:30:00Z,8.848,15.313
2022-06-06T21:40:00Z,8.809,15.475
2022-06-06T21:50:00Z,8.756,15.638
2022-06-06T22:00:00Z,8.729,15.775
2022-07-08T20:40:00Z,6.943,22.197
2022-07-08T20:50:00Z,7.048,20.242
2022-07-08T21:00:00Z,8.972,14.677
2022-07-08T21:10:00Z,9.185,13.375
2022-07-08T21:20:00Z,9.077,13.121
2022-07-08T21:30:00Z,9.088,13.078
2022-07-08T21:40:00Z,9.138,13.025
2022-07-08T21:50:00Z,9.151,13.034
2022-07-08T22:00:00Z,9.281,12.981
2022-07-08T22:10:00Z,9.252,13.025
2022-07-08T22:20:00Z,9.153,12.999
2022-07-08T22:30:00Z,9.073,13.06
2022-07-08T22:40:00Z,9.268,13.034
2022-07-08T22:50:00Z,9.152,13.086
2022-07-08T23:00:00Z,9.114,13.095
2022-07-08T23:10:00Z,9.125,13.086
2022-07-08T23:20:00Z,9.092,13.148
2022-07-08T23:30:00Z,8.902,13.218
2022-07-08T23:40:00Z,8.85,13.253
2022-07-08T23:50:00Z,8.968,13.209
2022-07-09T00:00:00Z,9.049,13.2
2022-07-09T00:10:00Z,9.101,13.174
2022-07-09T00:20:00Z,9.043,13.113
2022-07-09T00:30:00Z,8.95,13.078
2022-07-09T00:40:00Z,9.601,13.007
2022-07-09T00:50:00Z,9.268,13.156
2022-07-09T01:00:00Z,9.05,13.183
2022-07-09T01:10:00Z,9.037,13.253
2022-07-09T01:20:00Z,8.806,13.637
2022-07-09T01:30:00Z,8.707,13.785
2022-07-09T01:40:00Z,8.756,13.654
2022-07-09T01:50:00Z,8.768,13.593
2022-07-09T02:00:00Z,8.821,13.541
2022-07-09T02:10:00Z,8.838,13.497
2022-07-09T02:20:00Z,8.843,13.619
2022-07-09T02:30:00Z,8.766,13.558
2022-07-09T02:40:00Z,8.699,13.706
2022-07-09T02:50:00Z,8.604,13.793
2022-07-09T03:00:00Z,8.543,13.898
2022-07-09T03:10:00Z,8.499,13.828
2022-07-09T03:20:00Z,8.512,13.828
2022-07-09T03:30:00Z,8.569,13.689
2022-07-09T03:40:00Z,8.662,13.593
2022-07-09T03:50:00Z,8.695,13.366
2022-07-09T04:00:00Z,8.726,13.419
2022-07-09T04:10:00Z,8.685,13.384
2022-07-09T04:20:00Z,8.67,13.331
2022-07-09T04:30:00Z,8.757,13.288
2022-07-09T04:40:00Z,8.664,13.349
2022-07-09T04:50:00Z,8.489,13.506
2022-07-09T05:00:00Z,8.42,13.584
2022-07-09T05:10:00Z,8.422,13.576
2022-07-09T05:20:00Z,8.299,13.541
2022-07-09T05:30:00Z,8.347,13.506
2022-07-09T05:40:00Z,8.373,13.497
2022-07-09T05:50:00Z,8.359,13.454
2022-07-09T06:00:00Z,8.377,13.515
2022-07-09T06:10:00Z,8.453,13.55
2022-07-09T06:20:00Z,8.461,13.55
