date,lake,funct,model,mgO2_day
7/28/20,MCD,GPP,bayes,0.086781153
7/28/20,MCD,GPP,book,0.409378306
7/28/20,MCD,R,bayes,-0.111166743
7/28/20,MCD,R,book,-0.306804405
7/28/20,MCD,NEP,bayes,-0.02438559
7/28/20,MCD,NEP,book,-0.012565008
7/28/20,MCD,GPP2,bayes,0.086781153
7/28/20,MCD,GPP2,book,0.409378306
7/28/20,MCD,R2,bayes,-0.111166743
7/28/20,MCD,R2,book,-0.306804405
7/28/20,MCD,NEP2,bayes,-0.02438559
7/28/20,MCD,NEP2,book,0.102573901
7/28/20,MCD,NEP3,bayes,-0.02438559
7/28/20,MCD,NEP3,book,0.102573901
7/28/20,MCD,GPPsd,bayes,0.023912426
7/28/20,MCD,Rsd,bayes,0.023488963
7/28/20,MCD,NEPsd,bayes,0.033519182
7/29/20,MCD,GPP,bayes,0.010838511
7/29/20,MCD,GPP,book,0.303777339
7/29/20,MCD,R,bayes,0.014089566
7/29/20,MCD,R,book,-0.195575295
7/29/20,MCD,NEP,bayes,0.024928077
7/29/20,MCD,NEP,book,0.035105093
7/29/20,MCD,GPP2,bayes,0.010838511
7/29/20,MCD,GPP2,book,0.303777339
7/29/20,MCD,R2,bayes,-0.014089566
7/29/20,MCD,R2,book,-0.195575295
7/29/20,MCD,NEP2,bayes,0.024928077
7/29/20,MCD,NEP2,book,0.108202044
7/29/20,MCD,NEP3,bayes,-0.003251055
7/29/20,MCD,NEP3,book,0.108202044
7/29/20,MCD,GPPsd,bayes,0.024372684
7/29/20,MCD,Rsd,bayes,0.024151651
7/29/20,MCD,NEPsd,bayes,0.034312243
7/30/20,MCD,GPP,bayes,0.192454234
7/30/20,MCD,GPP,book,0.978861922
7/30/20,MCD,R,bayes,-0.251627871
7/30/20,MCD,R,book,-0.766406918
7/30/20,MCD,NEP,bayes,-0.059173637
7/30/20,MCD,NEP,book,-0.075471699
7/30/20,MCD,GPP2,bayes,0.192454234
7/30/20,MCD,GPP2,book,0.978861922
7/30/20,MCD,R2,bayes,-0.251627871
7/30/20,MCD,R2,book,-0.766406918
7/30/20,MCD,NEP2,bayes,-0.059173637
7/30/20,MCD,NEP2,book,0.212455004
7/30/20,MCD,NEP3,bayes,-0.059173637
7/30/20,MCD,NEP3,book,0.212455004
7/30/20,MCD,GPPsd,bayes,0.024207052
7/30/20,MCD,Rsd,bayes,0.023995035
7/30/20,MCD,NEPsd,bayes,0.034084352
7/31/20,MCD,GPP,bayes,0.256077613
7/31/20,MCD,GPP,book,0.586275797
7/31/20,MCD,R,bayes,-0.263208371
7/31/20,MCD,R,book,-0.430724408
7/31/20,MCD,NEP,bayes,-0.007130758
7/31/20,MCD,NEP,book,-0.006012013
7/31/20,MCD,GPP2,bayes,0.256077613
7/31/20,MCD,GPP2,book,0.586275797
7/31/20,MCD,R2,bayes,-0.263208371
7/31/20,MCD,R2,book,-0.430724408
7/31/20,MCD,NEP2,bayes,-0.007130758
7/31/20,MCD,NEP2,book,0.15555139
7/31/20,MCD,NEP3,bayes,-0.007130758
7/31/20,MCD,NEP3,book,0.15555139
7/31/20,MCD,GPPsd,bayes,0.028203608
7/31/20,MCD,Rsd,bayes,0.02771933
7/31/20,MCD,NEPsd,bayes,0.039544972
8/1/20,MCD,GPP,bayes,0.117159348
