"","datetime","irr_0","irr_10","irr_2","irr_3","irr_4","irr_5","irr_6","irr_7","irr_8","irr_9"
"1",2022-07-08 20:00:00,53,24,15,10,32,53,32,13,0,6
"2",2022-07-08 20:30:00,21,12,7,6,21,32,19,8,0,4
"3",2022-07-08 21:00:00,31,8,3,4,12,20,11,5,0,2
"4",2022-07-08 21:30:00,6,2,0,1,4,6,3,1,0,0
"5",2022-07-08 22:00:00,0,0,0,0,0,0,0,0,0,0
"6",2022-07-08 22:30:00,0,0,0,0,0,0,0,0,0,0
"7",2022-07-08 23:00:00,0,0,0,0,0,0,0,0,0,0
"8",2022-07-08 23:30:00,0,0,0,0,0,0,0,0,0,0
"9",2022-07-09 00:00:00,0,0,0,0,0,0,0,0,0,0
"10",2022-07-09 00:30:00,0,0,0,0,0,0,0,0,0,0
"11",2022-07-09 01:00:00,0,0,0,0,0,0,0,0,0,0
"12",2022-07-09 01:30:00,0,0,0,0,0,0,0,0,0,0
"13",2022-07-09 02:00:00,0,0,0,0,0,0,0,0,0,0
"14",2022-07-09 02:30:00,0,0,0,0,0,0,0,0,0,0
"15",2022-07-09 03:00:00,0,0,0,0,0,0,0,0,0,0
"16",2022-07-09 03:30:00,0,0,0,0,0,0,0,0,0,0
"17",2022-07-09 04:00:00,0,0,0,0,0,0,0,0,0,0
"18",2022-07-09 04:30:00,0,0,0,0,0,0,0,0,0,0
"19",2022-07-09 05:00:00,0,0,0,0,0,0,0,0,0,0
"20",2022-07-09 05:30:00,0,0,0,0,0,0,0,0,0,0
"21",2022-07-09 06:00:00,4,1,0,0,3,6,2,1,0,0
"22",2022-07-09 06:30:00,20,7,3,6,20,26,15,6,0,3
"23",2022-07-09 07:00:00,136,15,9,23,89,85,59,12,0,10
"24",2022-07-09 07:30:00,576,22,13,59,160,168,152,19,2,27
"25",2022-07-09 08:00:00,48,104,29,152,224,352,85,200,6,36
"26",2022-07-09 08:30:00,74,192,94,47,76,128,49,113,8,16
"27",2022-07-09 09:00:00,98,272,107,86,121,208,64,160,11,20
"28",2022-07-09 09:30:00,1344,91,55,94,240,432,512,46,11,88
"29",2022-07-09 10:00:00,512,152,144,67,120,240,232,45,13,38
"30",2022-07-09 10:30:00,256,304,448,48,80,192,105,80,15,26
"31",2022-07-09 11:00:00,1088,192,160,72,144,304,272,61,17,50
"32",2022-07-09 11:30:00,224,512,272,64,117,320,122,160,19,35
"33",2022-07-09 12:00:00,80,416,99,71,168,400,152,176,16,37
"34",2022-07-09 12:30:00,896,256,76,168,704,1408,864,184,19,152
"35",2022-07-09 13:00:00,336,336,110,176,672,1344,704,216,22,152
"36",2022-07-09 13:30:00,176,512,240,97,256,576,232,176,23,57
"37",2022-07-09 14:00:00,152,400,160,152,400,960,672,176,27,115
"38",2022-07-09 14:30:00,128,288,152,103,272,480,304,136,19,71
"39",2022-07-09 15:00:00,232,200,103,76,208,416,224,100,11,47
"40",2022-07-09 15:30:00,224,216,128,63,160,336,192,89,11,38
"41",2022-07-09 16:00:00,152,256,248,70,152,352,288,98,21,45
"42",2022-07-09 16:30:00,99,98,62,30,79,160,96,43,4,17
"43",2022-07-09 17:00:00,44,128,73,31,320,320,256,49,6,25
"44",2022-07-09 17:30:00,107,92,58,27,100,184,81,44,4,18
"45",2022-07-09 18:00:00,78,57,50,25,99,160,97,34,2,16
"46",2022-07-09 18:30:00,91,39,33,16,53,98,49,23,1,10
"47",2022-07-09 19:00:00,54,43,30,22,75,120,62,24,2,11
"48",2022-07-09 19:30:00,46,25,13,18,66,95,54,23,1,10
"49",2022-07-09 20:00:00,61,26,14,7,28,50,33,11,0,4
"50",2022-07-09 20:30:00,43,17,10,5,17,33,16,7,0,3
"51",2022-07-09 21:00:00,17,9,5,3,9,17,9,4,0,1
"52",2022-07-09 21:30:00,3,1,0,0,4,5,3,0,0,0
"53",2022-07-09 22:00:00,0,0,0,0,0,0,0,0,0,0
"54",2022-07-09 22:30:00,0,0,0,0,0,0,0,0,0,0
"55",2022-07-09 23:00:00,0,0,0,0,0,0,0,0,0,0
"56",2022-07-09 23:30:00,0,0,0,0,0,0,0,0,0,0
"57",2022-07-10 00:00:00,0,0,0,0,0,0,0,0,0,0
"58",2022-07-10 00:30:00,0,0,0,0,0,0,0,0,0,0
"59",2022-07-10 01:00:00,0,0,0,0,0,0,0,0,0,0
"60",2022-07-10 01:30:00,0,0,0,0,0,0,0,0,0,0
"61",2022-07-10 02:00:00,0,0,0,0,0,0,0,0,0,0
"62",2022-07-10 02:30:00,0,0,0,0,0,0,0,0,0,0
"63",2022-07-10 03:00:00,0,0,0,0,0,0,0,0,0,0
"64",2022-07-10 03:30:00,0,0,0,0,0,0,0,0,0,0
"65",2022-07-10 04:00:00,0,0,0,0,0,0,0,0,0,0
"66",2022-07-10 04:30:00,0,0,0,0,0,0,0,0,0,0
"67",2022-07-10 05:00:00,0,0,0,0,0,0,0,0,0,0
"68",2022-07-10 05:30:00,0,0,0,0,0,0,0,0,0,0
"69",2022-07-10 06:00:00,1,1,0,0,1,3,1,0,0,0
"70",2022-07-10 06:30:00,13,7,3,3,13,21,11,6,0,2
"71",2022-07-10 07:00:00,77,21,9,11,52,79,44,15,0,8
"72",2022-07-10 07:30:00,304,51,29,17,37,62,33,15,2,7
"73",2022-07-10 08:00:00,480,76,47,27,81,136,72,29,4,15
"74",2022-07-10 08:30:00,288,58,32,20,66,122,61,25,2,11
"75",2022-07-10 09:00:00,1152,136,71,62,118,216,116,40,10,26
"76",2022-07-10 09:30:00,200,81,71,19,59,121,58,31,3,12
"77",2022-07-10 10:00:00,272,416,464,53,160,304,176,115,15,36
"78",2022-07-10 10:30:00,1920,464,240,92,256,448,208,109,14,55
