datetime,doobs_1
2021-06-17T18:10:00Z,8.536
2021-06-17T18:20:00Z,8.592
2021-06-17T18:30:00Z,8.617
2021-06-17T18:40:00Z,8.587
2021-06-17T18:50:00Z,8.577
2021-06-17T19:00:00Z,8.61
2021-06-17T19:10:00Z,8.693
2021-06-17T19:20:00Z,8.56
2021-06-17T19:30:00Z,8.607
2021-06-17T19:40:00Z,8.619
2021-06-17T19:50:00Z,8.65
2021-06-17T20:00:00Z,8.636
2021-06-17T20:10:00Z,8.643
2021-06-17T20:20:00Z,8.635
2021-06-17T20:30:00Z,8.625
2021-06-17T20:40:00Z,8.619
2021-06-17T20:50:00Z,8.61
2021-06-17T21:00:00Z,8.593
2021-06-17T21:10:00Z,8.59
2021-06-17T21:20:00Z,8.603
2021-06-17T21:30:00Z,8.562
2021-06-17T21:40:00Z,8.594
2021-06-17T21:50:00Z,8.588
2021-06-17T22:00:00Z,8.593
2021-06-17T22:10:00Z,8.727
2021-06-17T22:20:00Z,8.728
2021-06-17T22:30:00Z,8.628
2021-06-17T22:40:00Z,8.589
2021-06-17T22:50:00Z,8.591
2021-06-17T23:00:00Z,8.614
2021-06-17T23:10:00Z,8.613
2021-06-17T23:20:00Z,8.642
2021-06-17T23:30:00Z,8.642
2021-06-17T23:40:00Z,8.714
2021-06-17T23:50:00Z,8.702
2021-06-18T00:00:00Z,8.729
2021-06-18T00:10:00Z,8.704
2021-06-18T00:20:00Z,8.675
2021-06-18T00:30:00Z,8.666
2021-06-18T00:40:00Z,8.66
2021-06-18T00:50:00Z,8.655
2021-06-18T01:00:00Z,8.654
2021-06-18T01:10:00Z,8.651
2021-06-18T01:20:00Z,8.652
2021-06-18T01:30:00Z,8.632
2021-06-18T01:40:00Z,8.636
2021-06-18T01:50:00Z,8.63
2021-06-18T02:00:00Z,8.628
2021-06-18T02:10:00Z,8.601
2021-06-18T02:20:00Z,8.595
2021-06-18T02:30:00Z,8.588
2021-06-18T02:40:00Z,8.592
2021-06-18T02:50:00Z,8.586
2021-06-18T03:00:00Z,8.586
2021-06-18T03:10:00Z,8.571
2021-06-18T03:20:00Z,8.592
2021-06-18T03:30:00Z,8.574
2021-06-18T03:40:00Z,8.574
2021-06-18T03:50:00Z,8.564
2021-06-18T04:00:00Z,8.557
2021-06-18T04:10:00Z,8.563
2021-06-18T04:20:00Z,8.541
2021-06-18T04:30:00Z,8.556
2021-06-18T04:40:00Z,8.564
2021-06-18T04:50:00Z,8.57
2021-06-18T05:00:00Z,8.547
2021-06-18T05:10:00Z,8.555
2021-06-18T05:20:00Z,8.536
2021-06-18T05:30:00Z,8.545
2021-06-18T05:40:00Z,8.529
2021-06-18T05:50:00Z,8.545
2021-06-18T06:00:00Z,8.536
2021-06-18T06:10:00Z,8.535
2021-06-18T06:20:00Z,8.526
2021-06-18T06:30:00Z,8.523
2021-06-18T06:40:00Z,8.514
2021-06-18T06:50:00Z,8.518
2021-06-18T07:00:00Z,8.518
2021-06-18T07:10:00Z,8.542
2021-06-18T07:20:00Z,8.565
2021-06-18T07:30:00Z,8.565
2021-06-18T07:40:00Z,8.611
2021-06-18T07:50:00Z,8.541
2021-06-18T08:00:00Z,8.527
2021-06-18T08:10:00Z,8.556
2021-06-18T08:20:00Z,8.56
2021-06-18T08:30:00Z,8.598
2021-06-18T08:40:00Z,8.629
2021-06-18T08:50:00Z,8.57
2021-06-18T09:00:00Z,8.561
2021-06-18T09:10:00Z,8.573
2021-06-18T09:20:00Z,8.564
2021-06-18T09:30:00Z,8.57
2021-06-18T09:40:00Z,8.576
2021-06-18T09:50:00Z,8.542
2021-06-18T10:00:00Z,8.64
2021-06-18T10:10:00Z,8.584
2021-06-18T10:20:00Z,8.562
2021-06-18T10:30:00Z,8.57
2021-06-18T10:40:00Z,8.56
2021-06-18T10:50:00Z,8.566
2021-06-18T11:00:00Z,8.582
2021-06-18T11:10:00Z,8.555
2021-06-18T11:20:00Z,8.571
2021-06-18T11:30:00Z,8.601
2021-06-18T11:40:00Z,8.572
2021-06-18T11:50:00Z,8.574
2021-06-18T12:00:00Z,8.581
2021-06-18T12:10:00Z,8.553
2021-06-18T12:20:00Z,8.591
2021-06-18T12:30:00Z,8.605
2021-06-18T12:40:00Z,8.61
2021-06-18T12:50:00Z,8.607
2021-06-18T13:00:00Z,8.602
2021-06-18T13:10:00Z,8.596
2021-06-18T13:20:00Z,8.594
2021-06-18T13:30:00Z,8.594
2021-06-18T13:40:00Z,8.583
2021-06-18T13:50:00Z,8.544
2021-06-18T14:00:00Z,8.539
2021-06-18T14:10:00Z,8.515
2021-06-18T14:20:00Z,8.505
2021-06-18T14:30:00Z,8.519
2021-06-18T14:40:00Z,8.54
2021-06-18T14:50:00Z,8.52
2021-06-18T15:00:00Z,8.517
2021-06-18T15:10:00Z,8.518
2021-06-18T15:20:00Z,8.524
2021-06-18T15:30:00Z,8.554
2021-06-18T15:40:00Z,8.541
2021-06-18T15:50:00Z,8.564
2021-06-18T16:00:00Z,8.578
2021-06-18T16:10:00Z,8.571
2021-06-18T16:20:00Z,8.573
2021-06-18T16:30:00Z,8.591
2021-06-18T16:40:00Z,8.556
2021-06-18T16:50:00Z,8.583
2021-06-18T17:00:00Z,8.574
2021-06-18T17:10:00Z,8.566
2021-06-18T17:20:00Z,8.592
2021-06-18T17:30:00Z,8.572
2021-06-18T17:40:00Z,8.591
2021-06-18T17:50:00Z,8.592
2021-06-18T18:00:00Z,8.623
2021-06-18T18:10:00Z,8.608
2021-06-18T18:20:00Z,8.589
2021-06-18T18:30:00Z,8.599
2021-06-18T18:40:00Z,8.565
2021-06-18T18:50:00Z,8.577
2021-06-18T19:00:00Z,8.693
2021-06-18T19:10:00Z,8.724
2021-06-18T19:20:00Z,8.78
2021-06-18T19:30:00Z,8.814
2021-06-18T19:40:00Z,8.819
2021-06-18T19:50:00Z,8.82
2021-06-18T20:00:00Z,8.69
2021-06-18T20:10:00Z,8.68
2021-06-18T20:20:00Z,8.707
2021-06-18T20:30:00Z,8.717
2021-06-18T20:40:00Z,8.827
2021-06-18T20:50:00Z,8.919
2021-06-18T21:00:00Z,9.07
2021-06-18T21:10:00Z,8.953
2021-06-18T21:20:00Z,9.112
2021-06-18T21:30:00Z,9.064
2021-06-18T21:40:00Z,8.737
2021-06-18T21:50:00Z,8.763
2021-06-18T22:00:00Z,8.792
