"Plot Title: 0_m_ASH"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889818, SEN S/N: 20889818, LBL: 0 m)","Intensity, Lux (LGR S/N: 20889818, SEN S/N: 20889818, LBL: 0 m)"
1,07/09/21 03:00:00 PM,18.521,430.6
2,07/09/21 03:30:00 PM,18.806,721.2
3,07/09/21 04:00:00 PM,18.996,688.9
4,07/09/21 04:30:00 PM,19.567,667.4
5,07/09/21 05:00:00 PM,19.472,635.1
6,07/09/21 05:30:00 PM,19.662,645.8
7,07/09/21 06:00:00 PM,19.662,602.8
8,07/09/21 06:30:00 PM,19.662,538.2
9,07/09/21 07:00:00 PM,19.662,484.4
10,07/09/21 07:30:00 PM,19.472,452.1
11,07/09/21 08:00:00 PM,19.472,21.5
12,07/09/21 08:30:00 PM,19.282,10.8
13,07/09/21 09:00:00 PM,19.092,0.0
14,07/09/21 09:30:00 PM,18.996,0.0
15,07/09/21 10:00:00 PM,18.711,0.0
16,07/09/21 10:30:00 PM,18.616,0.0
17,07/09/21 11:00:00 PM,18.616,0.0
18,07/09/21 11:30:00 PM,18.426,0.0
19,07/10/21 12:00:00 AM,18.426,0.0
20,07/10/21 12:30:00 AM,18.331,0.0
21,07/10/21 01:00:00 AM,18.236,0.0
22,07/10/21 01:30:00 AM,18.140,0.0
23,07/10/21 02:00:00 AM,18.140,0.0
24,07/10/21 02:30:00 AM,18.045,0.0
25,07/10/21 03:00:00 AM,17.950,0.0
26,07/10/21 03:30:00 AM,17.855,0.0
27,07/10/21 04:00:00 AM,17.855,0.0
28,07/10/21 04:30:00 AM,17.760,0.0
29,07/10/21 05:00:00 AM,17.665,0.0
30,07/10/21 05:30:00 AM,17.665,0.0
31,07/10/21 06:00:00 AM,17.665,0.0
32,07/10/21 06:30:00 AM,17.665,0.0
33,07/10/21 07:00:00 AM,17.665,0.0
34,07/10/21 07:30:00 AM,17.665,10.8
35,07/10/21 08:00:00 AM,17.570,10.8
36,07/10/21 08:30:00 AM,17.570,32.3
37,07/10/21 09:00:00 AM,17.570,161.5
38,07/10/21 09:30:00 AM,17.665,269.1
39,07/10/21 10:00:00 AM,17.855,344.4
40,07/10/21 10:30:00 AM,17.950,333.7
41,07/10/21 11:00:00 AM,18.426,505.9
42,07/10/21 11:30:00 AM,18.616,581.3
43,07/10/21 12:00:00 PM,18.711,602.8
44,07/10/21 12:30:00 PM,18.711,667.4
45,07/10/21 01:00:00 PM,18.901,785.8
46,07/10/21 01:30:00 PM,19.092,645.8
47,07/10/21 02:00:00 PM,18.806,688.9
48,07/10/21 02:30:00 PM,19.662,678.1
49,07/10/21 03:00:00 PM,20.043,688.9
50,07/10/21 03:30:00 PM,19.567,731.9
51,07/10/21 04:00:00 PM,20.710,441.3
52,07/10/21 04:30:00 PM,21.282,602.8
53,07/10/21 05:00:00 PM,20.615,538.2
54,07/10/21 05:30:00 PM,20.805,452.1
55,07/10/21 06:00:00 PM,20.901,409.0
56,07/10/21 06:30:00 PM,21.187,172.2
57,07/10/21 07:00:00 PM,21.473,269.1
58,07/10/21 07:30:00 PM,21.282,139.9
59,07/10/21 08:00:00 PM,20.710,43.1
60,07/10/21 08:30:00 PM,20.043,21.5
61,07/10/21 09:00:00 PM,20.234,0.0
62,07/10/21 09:30:00 PM,19.948,0.0
63,07/10/21 10:00:00 PM,19.662,0.0
64,07/10/21 10:30:00 PM,19.472,0.0
65,07/10/21 11:00:00 PM,19.282,0.0
66,07/10/21 11:30:00 PM,19.187,0.0
67,07/11/21 12:00:00 AM,18.996,0.0
68,07/11/21 12:30:00 AM,18.806,0.0
69,07/11/21 01:00:00 AM,18.711,0.0
70,07/11/21 01:30:00 AM,18.616,0.0
71,07/11/21 02:00:00 AM,18.426,0.0
72,07/11/21 02:30:00 AM,18.331,0.0
73,07/11/21 03:00:00 AM,18.236,0.0
74,07/11/21 03:30:00 AM,18.236,0.0
75,07/11/21 04:00:00 AM,18.045,0.0
76,07/11/21 04:30:00 AM,17.950,0.0
77,07/11/21 05:00:00 AM,17.950,0.0
78,07/11/21 05:30:00 AM,17.950,0.0
79,07/11/21 06:00:00 AM,17.855,0.0
80,07/11/21 06:30:00 AM,17.760,0.0
81,07/11/21 07:00:00 AM,17.760,0.0
82,07/11/21 07:30:00 AM,17.665,10.8
83,07/11/21 08:00:00 AM,17.665,32.3
84,07/11/21 08:30:00 AM,17.665,53.8
85,07/11/21 09:00:00 AM,17.760,236.8
86,07/11/21 09:30:00 AM,17.855,215.3
87,07/11/21 10:00:00 AM,18.045,441.3
88,07/11/21 10:30:00 AM,18.236,419.8
89,07/11/21 11:00:00 AM,18.236,430.6
90,07/11/21 11:30:00 AM,18.426,419.8
91,07/11/21 12:00:00 PM,18.521,462.9
92,07/11/21 12:30:00 PM,18.521,549.0
93,07/11/21 01:00:00 PM,18.331,570.5
94,07/11/21 01:30:00 PM,18.806,699.7
95,07/11/21 02:00:00 PM,18.806,645.8
96,07/11/21 02:30:00 PM,19.092,613.5
97,07/11/21 03:00:00 PM,18.901,581.3
98,07/11/21 03:30:00 PM,18.806,624.3
99,07/11/21 04:00:00 PM,18.806,688.9
100,07/11/21 04:30:00 PM,18.996,613.5
101,07/11/21 05:00:00 PM,19.282,667.4
102,07/11/21 05:30:00 PM,19.282,635.1
103,07/11/21 06:00:00 PM,19.092,592.0
104,07/11/21 06:30:00 PM,19.282,570.5
105,07/11/21 07:00:00 PM,19.092,710.4
106,07/11/21 07:30:00 PM,18.996,409.0
107,07/11/21 08:00:00 PM,18.616,32.3
108,07/11/21 08:30:00 PM,18.616,10.8
109,07/11/21 09:00:00 PM,18.806,0.0
110,07/11/21 09:30:00 PM,18.616,0.0
111,07/11/21 10:00:00 PM,18.616,0.0
112,07/11/21 10:30:00 PM,18.711,0.0
113,07/11/21 11:00:00 PM,18.616,0.0
114,07/11/21 11:30:00 PM,18.616,0.0
115,07/12/21 12:00:00 AM,18.616,0.0
116,07/12/21 12:30:00 AM,18.426,0.0
117,07/12/21 01:00:00 AM,18.331,0.0
118,07/12/21 01:30:00 AM,18.331,0.0
119,07/12/21 02:00:00 AM,18.236,0.0
120,07/12/21 02:30:00 AM,18.236,0.0
121,07/12/21 03:00:00 AM,18.236,0.0
122,07/12/21 03:30:00 AM,18.140,0.0
123,07/12/21 04:00:00 AM,18.140,0.0
124,07/12/21 04:30:00 AM,18.045,0.0
