datetime,wtr_0,wtr_10,wtr_2,wtr_3,wtr_4,wtr_5,wtr_6,wtr_8,wtr_1
2021-07-09T15:00:00Z,18.521,10.748,17.95,17.57,16.903,15.282,13.365,11.334,17.492
2021-07-09T15:30:00Z,18.806,10.748,18.236,17.76,16.618,14.804,13.365,11.431,17.56
2021-07-09T16:00:00Z,18.996,10.748,18.236,17.76,16.332,14.613,13.365,11.431,17.687
2021-07-09T16:30:00Z,19.567,10.748,18.426,17.76,15.855,14.613,13.75,11.431,17.805
2021-07-09T17:00:00Z,19.472,10.748,18.045,17.57,16.808,14.996,13.558,11.236,17.687
2021-07-09T17:30:00Z,19.662,10.748,18.236,17.475,16.332,15.091,13.461,11.236,17.763
2021-07-09T18:00:00Z,19.662,10.748,18.331,17.475,16.332,14.996,13.461,11.236,17.729
2021-07-09T18:30:00Z,19.662,10.748,18.236,17.57,16.237,14.9,13.269,11.334,17.678
2021-07-09T19:00:00Z,19.662,10.651,18.045,17.379,16.427,14.421,13.365,11.334,17.645
2021-07-09T19:30:00Z,19.472,10.553,17.855,17.475,16.427,14.517,13.269,11.334,17.712
2021-07-09T20:00:00Z,19.472,10.553,17.76,17.379,15.951,14.23,13.269,11.236,17.754
2021-07-09T20:30:00Z,19.282,10.455,17.76,17.189,15.855,14.517,13.365,11.139,17.729
2021-07-09T21:00:00Z,19.092,10.553,17.665,17.284,15.855,14.613,13.558,11.041,17.754
2021-07-09T21:30:00Z,18.996,10.553,17.665,17.189,15.951,14.613,13.558,11.041,17.678
2021-07-09T22:00:00Z,18.711,10.553,17.665,17.189,15.951,14.517,13.269,11.139,17.678
2021-07-09T22:30:00Z,18.616,10.651,17.665,17.189,15.76,14.421,13.269,11.236,17.687
2021-07-09T23:00:00Z,18.616,10.651,17.665,17.284,15.855,14.421,13.269,11.236,17.704
2021-07-09T23:30:00Z,18.426,10.455,17.76,17.284,16.141,14.421,13.076,11.139,17.712
2021-07-10T00:00:00Z,18.426,10.455,17.665,17.189,15.951,14.421,13.269,11.139,17.662
2021-07-10T00:30:00Z,18.331,10.455,17.665,17.189,15.76,14.517,13.365,11.139,17.645
2021-07-10T01:00:00Z,18.236,10.553,17.665,17.189,16.046,14.613,13.269,11.139,17.645
2021-07-10T01:30:00Z,18.14,10.553,17.665,17.189,15.951,14.613,13.076,11.041,17.653
2021-07-10T02:00:00Z,18.14,10.553,17.665,17.189,15.76,14.517,13.173,11.139,17.662
2021-07-10T02:30:00Z,18.045,10.553,17.665,17.189,15.76,14.325,13.173,11.236,17.712
2021-07-10T03:00:00Z,17.95,10.455,17.665,17.284,15.855,14.23,13.173,11.139,17.678
2021-07-10T03:30:00Z,17.855,10.553,17.57,17.284,16.046,14.325,13.269,11.041,17.628
2021-07-10T04:00:00Z,17.855,10.651,17.57,17.189,15.76,14.421,13.365,10.944,17.619
2021-07-10T04:30:00Z,17.76,10.651,17.57,17.189,15.76,14.517,13.365,11.041,17.585
2021-07-10T05:00:00Z,17.665,10.651,17.665,17.189,15.76,14.517,13.365,11.041,17.526
2021-07-10T05:30:00Z,17.665,10.553,17.665,17.189,15.76,14.517,13.173,11.139,17.484
2021-07-10T06:00:00Z,17.665,10.455,17.665,17.094,16.046,14.325,13.076,11.236,17.492
2021-07-10T06:30:00Z,17.665,10.455,17.57,17.284,15.855,14.325,13.076,11.236,17.433
2021-07-10T07:00:00Z,17.665,10.455,17.57,17.284,15.855,14.421,13.269,11.139,17.442
2021-07-10T07:30:00Z,17.665,10.553,17.57,17.189,15.951,14.421,13.269,11.041,17.416
2021-07-10T08:00:00Z,17.57,10.553,17.57,17.189,15.951,14.517,13.365,11.041,17.374
2021-07-10T08:30:00Z,17.57,10.553,17.57,17.094,15.951,14.517,13.461,11.041,17.349
2021-07-10T09:00:00Z,17.57,10.553,17.76,17.284,16.141,14.709,13.461,11.139,17.349
2021-07-10T09:30:00Z,17.665,10.651,17.76,17.284,16.332,14.709,13.269,11.236,17.383
2021-07-10T10:00:00Z,17.855,10.651,17.76,17.284,16.237,14.613,13.269,11.236,17.408
2021-07-10T10:30:00Z,17.95,10.651,17.665,17.189,16.141,14.613,13.269,11.334,17.383
2021-07-10T11:00:00Z,18.426,10.651,17.76,17.379,16.237,14.709,13.365,11.236,17.357
2021-07-10T11:30:00Z,18.616,10.651,17.855,17.379,16.332,14.709,13.558,11.236,17.383
2021-07-10T12:00:00Z,18.711,10.651,17.855,17.379,16.427,14.804,13.558,11.236,17.374
2021-07-10T12:30:00Z,18.711,10.748,18.045,17.475,16.332,14.996,13.654,11.236,17.425
2021-07-10T13:00:00Z,18.901,10.748,18.14,17.665,16.523,14.996,13.558,11.431,17.509
2021-07-10T13:30:00Z,19.092,10.748,18.045,17.76,16.808,14.9,13.461,11.431,17.552
2021-07-10T14:00:00Z,18.806,10.846,18.14,17.57,16.808,14.9,13.558,11.431,17.56
2021-07-10T14:30:00Z,19.662,10.846,18.14,17.665,16.808,14.9,13.558,11.528,17.645
2021-07-10T15:00:00Z,20.043,10.846,18.236,17.855,16.523,14.9,13.654,11.431,17.645
2021-07-10T15:30:00Z,19.567,10.748,18.331,17.665,16.618,14.996,13.558,11.528,17.763
2021-07-10T16:00:00Z,20.71,10.846,18.14,17.665,17.189,14.804,13.654,11.334,17.746
2021-07-10T16:30:00Z,21.282,10.846,18.14,17.665,16.903,14.804,13.75,11.334,17.738
2021-07-10T17:00:00Z,20.615,10.846,18.045,17.665,16.808,14.9,13.558,11.334,17.78
