"Plot Title: 4_m_BON"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889825, SEN S/N: 20889825, LBL: 4 m)","Intensity, Lux (LGR S/N: 20889825, SEN S/N: 20889825, LBL: 4 m)"
1,07/19/22 08:00:00 PM,9.275,398.3
2,07/19/22 08:30:00 PM,9.176,290.6
3,07/19/22 09:00:00 PM,9.373,183.0
4,07/19/22 09:30:00 PM,9.077,32.3
5,07/19/22 10:00:00 PM,8.978,0.0
6,07/19/22 10:30:00 PM,8.978,0.0
7,07/19/22 11:00:00 PM,9.275,0.0
8,07/19/22 11:30:00 PM,9.275,0.0
9,07/20/22 12:00:00 AM,9.373,0.0
10,07/20/22 12:30:00 AM,9.176,0.0
11,07/20/22 01:00:00 AM,9.176,0.0
12,07/20/22 01:30:00 AM,9.176,0.0
13,07/20/22 02:00:00 AM,9.373,0.0
14,07/20/22 02:30:00 AM,9.275,0.0
15,07/20/22 03:00:00 AM,9.077,0.0
16,07/20/22 03:30:00 AM,9.176,0.0
17,07/20/22 04:00:00 AM,9.275,0.0
18,07/20/22 04:30:00 AM,9.176,0.0
19,07/20/22 05:00:00 AM,9.176,0.0
20,07/20/22 05:30:00 AM,9.275,0.0
21,07/20/22 06:00:00 AM,9.077,10.8
22,07/20/22 06:30:00 AM,9.077,129.2
23,07/20/22 07:00:00 AM,9.077,312.2
24,07/20/22 07:30:00 AM,8.978,538.2
25,07/20/22 08:00:00 AM,9.275,785.8
26,07/20/22 08:30:00 AM,9.571,6544.5
27,07/20/22 09:00:00 AM,9.472,2238.9
28,07/20/22 09:30:00 AM,9.669,13777.9
29,07/20/22 10:00:00 AM,9.571,16533.4
30,07/20/22 10:30:00 AM,9.373,4477.8
31,07/20/22 11:00:00 AM,9.571,22044.6
32,07/20/22 11:30:00 AM,9.373,5166.7
33,07/20/22 12:00:00 PM,9.472,3616.7
34,07/20/22 12:30:00 PM,9.768,19289.0
35,07/20/22 01:00:00 PM,9.472,16533.4
36,07/20/22 01:30:00 PM,9.965,3961.1
37,07/20/22 02:00:00 PM,9.768,5166.7
38,07/20/22 02:30:00 PM,9.768,6544.5
39,07/20/22 03:00:00 PM,9.669,3272.2
40,07/20/22 03:30:00 PM,9.866,3272.2
41,07/20/22 04:00:00 PM,9.571,2669.5
42,07/20/22 04:30:00 PM,9.077,6544.5
43,07/20/22 05:00:00 PM,10.063,2238.9
44,07/20/22 05:30:00 PM,9.768,2669.5
45,07/20/22 06:00:00 PM,9.571,2497.2
46,07/20/22 06:30:00 PM,9.965,6200.0
47,07/20/22 07:00:00 PM,9.866,409.0
48,07/20/22 07:30:00 PM,9.373,376.7
49,07/20/22 08:00:00 PM,9.768,322.9
50,07/20/22 08:30:00 PM,8.779,269.1
51,07/20/22 09:00:00 PM,9.669,139.9
52,07/20/22 09:30:00 PM,9.373,21.5
53,07/20/22 10:00:00 PM,9.866,0.0
54,07/20/22 10:30:00 PM,9.373,0.0
55,07/20/22 11:00:00 PM,8.978,0.0
56,07/20/22 11:30:00 PM,9.373,0.0
57,07/21/22 12:00:00 AM,9.965,0.0
58,07/21/22 12:30:00 AM,9.176,0.0
59,07/21/22 01:00:00 AM,9.571,0.0
60,07/21/22 01:30:00 AM,9.373,0.0
61,07/21/22 02:00:00 AM,9.472,0.0
62,07/21/22 02:30:00 AM,9.275,0.0
63,07/21/22 03:00:00 AM,9.373,0.0
64,07/21/22 03:30:00 AM,9.669,0.0
65,07/21/22 04:00:00 AM,9.472,0.0
66,07/21/22 04:30:00 AM,9.571,0.0
67,07/21/22 05:00:00 AM,9.373,0.0
68,07/21/22 05:30:00 AM,9.472,0.0
69,07/21/22 06:00:00 AM,9.373,10.8
70,07/21/22 06:30:00 AM,9.373,129.2
71,07/21/22 07:00:00 AM,9.176,312.2
72,07/21/22 07:30:00 AM,9.373,839.6
73,07/21/22 08:00:00 AM,9.472,731.9
74,07/21/22 08:30:00 AM,9.669,1205.6
75,07/21/22 09:00:00 AM,9.472,8611.2
76,07/21/22 09:30:00 AM,9.965,12400.1
77,07/21/22 10:00:00 AM,9.768,16533.4
78,07/21/22 10:30:00 AM,10.161,4994.5
79,07/21/22 11:00:00 AM,9.965,4650.0
80,07/21/22 11:30:00 AM,9.768,20666.8
81,07/21/22 12:00:00 PM,9.965,17911.2
82,07/21/22 12:30:00 PM,10.063,13089.0
83,07/21/22 01:00:00 PM,9.866,15155.7
84,07/21/22 01:30:00 PM,9.965,4305.6
85,07/21/22 02:00:00 PM,10.259,5338.9
86,07/21/22 02:30:00 PM,9.965,5511.1
87,07/21/22 03:00:00 PM,9.866,5166.7
88,07/21/22 03:30:00 PM,9.965,3272.2
89,07/21/22 04:00:00 PM,9.768,3100.0
90,07/21/22 04:30:00 PM,9.965,2325.0
91,07/21/22 05:00:00 PM,10.063,2583.4
92,07/21/22 05:30:00 PM,10.161,1894.5
93,07/21/22 06:00:00 PM,10.161,1894.5
94,07/21/22 06:30:00 PM,9.965,1722.2
95,07/21/22 07:00:00 PM,9.768,430.6
96,07/21/22 07:30:00 PM,9.965,366.0
97,07/21/22 08:00:00 PM,9.472,322.9
98,07/21/22 08:30:00 PM,9.965,236.8
99,07/21/22 09:00:00 PM,10.161,161.5
100,07/21/22 09:30:00 PM,9.669,21.5
101,07/21/22 10:00:00 PM,9.669,0.0
102,07/21/22 10:30:00 PM,9.472,0.0
103,07/21/22 11:00:00 PM,9.669,0.0
104,07/21/22 11:30:00 PM,9.965,0.0
105,07/22/22 12:00:00 AM,9.571,0.0
106,07/22/22 12:30:00 AM,9.866,0.0
107,07/22/22 01:00:00 AM,10.161,0.0
108,07/22/22 01:30:00 AM,9.965,0.0
109,07/22/22 02:00:00 AM,9.571,0.0
110,07/22/22 02:30:00 AM,9.768,0.0
111,07/22/22 03:00:00 AM,9.866,0.0
112,07/22/22 03:30:00 AM,9.571,0.0
113,07/22/22 04:00:00 AM,9.768,0.0
114,07/22/22 04:30:00 AM,9.866,0.0
115,07/22/22 05:00:00 AM,9.669,0.0
116,07/22/22 05:30:00 AM,9.768,0.0
117,07/22/22 06:00:00 AM,9.669,0.0
118,07/22/22 06:30:00 AM,9.571,43.1
119,07/22/22 07:00:00 AM,9.669,269.1
120,07/22/22 07:30:00 AM,9.965,290.6
121,07/22/22 08:00:00 AM,9.866,570.5
122,07/22/22 08:30:00 AM,9.571,1302.4
123,07/22/22 09:00:00 AM,9.669,645.8
124,07/22/22 09:30:00 AM,9.866,1894.5
125,07/22/22 10:00:00 AM,9.965,2669.5
126,07/22/22 10:30:00 AM,9.965,4994.5
127,07/22/22 11:00:00 AM,10.357,5166.7
128,07/22/22 11:30:00 AM,10.259,2325.0
129,07/22/22 12:00:00 PM,10.161,4650.0
130,07/22/22 12:30:00 PM,9.965,3100.0
131,07/22/22 01:00:00 PM,9.965,2411.1
132,07/22/22 01:30:00 PM,10.063,10677.8
133,07/22/22 02:00:00 PM,10.259,3961.1
134,07/22/22 02:30:00 PM,9.866,2497.2
135,07/22/22 03:00:00 PM,10.259,19289.0
136,07/22/22 03:30:00 PM,10.455,2066.7
137,07/22/22 04:00:00 PM,10.455,4305.6
138,07/22/22 04:30:00 PM,9.965,1722.2
139,07/22/22 05:00:00 PM,10.161,1894.5
140,07/22/22 05:30:00 PM,10.063,2152.8
141,07/22/22 06:00:00 PM,10.259,1808.3
142,07/22/22 06:30:00 PM,9.866,1162.5
143,07/22/22 07:00:00 PM,9.669,409.0
144,07/22/22 07:30:00 PM,9.866,366.0
145,07/22/22 08:00:00 PM,10.161,333.7
146,07/22/22 08:30:00 PM,9.768,247.6
147,07/22/22 09:00:00 PM,10.748,150.7
148,07/22/22 09:30:00 PM,10.357,10.8
149,07/22/22 10:00:00 PM,9.373,0.0
150,07/22/22 10:30:00 PM,9.768,0.0
151,07/22/22 11:00:00 PM,9.472,0.0
152,07/22/22 11:30:00 PM,10.259,0.0
153,07/23/22 12:00:00 AM,10.259,0.0
154,07/23/22 12:30:00 AM,9.965,0.0
155,07/23/22 01:00:00 AM,10.161,0.0
156,07/23/22 01:30:00 AM,10.259,0.0
157,07/23/22 02:00:00 AM,10.455,0.0
158,07/23/22 02:30:00 AM,10.063,0.0
159,07/23/22 03:00:00 AM,10.259,0.0
160,07/23/22 03:30:00 AM,9.373,0.0
161,07/23/22 04:00:00 AM,9.866,0.0
162,07/23/22 04:30:00 AM,9.669,0.0
163,07/23/22 05:00:00 AM,10.259,0.0
164,07/23/22 05:30:00 AM,9.965,0.0
165,07/23/22 06:00:00 AM,9.965,0.0
166,07/23/22 06:30:00 AM,10.161,118.4
167,07/23/22 07:00:00 AM,10.259,1141.0
168,07/23/22 07:30:00 AM,9.965,3100.0
