"","datetime","wtr_0","wtr_10","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_1"
"1",2022-07-19 20:00:00,15.282,5.141,14.134,10.846,9.275,7.782,7.079,6.471,5.655,5.45,15.03
"2",2022-07-19 20:30:00,15.282,5.347,14.038,10.846,9.176,8.082,6.978,6.37,5.757,5.655,14.961
"3",2022-07-19 21:00:00,15.091,5.037,14.038,10.944,9.373,8.082,6.877,6.166,5.655,5.347,14.616
"4",2022-07-19 21:30:00,14.9,5.037,14.038,10.944,9.077,8.182,6.877,6.37,5.655,5.347,14.84
"5",2022-07-19 22:00:00,14.709,5.141,13.942,11.236,8.978,7.983,7.179,6.37,5.757,5.45,14.399
"6",2022-07-19 22:30:00,14.517,5.141,14.038,11.041,8.978,7.882,6.877,6.268,5.655,5.347,14.676
"7",2022-07-19 23:00:00,14.517,5.141,14.038,10.846,9.275,8.282,6.877,6.268,5.655,5.45,14.806
"8",2022-07-19 23:30:00,14.613,5.037,14.134,10.259,9.275,7.782,7.079,6.166,5.757,5.552,14.624
"9",2022-07-20 00:00:00,14.325,5.244,14.038,10.944,9.373,7.882,7.079,6.268,5.757,5.45,14.607
"10",2022-07-20 00:30:00,14.421,5.244,14.038,10.846,9.176,8.182,6.877,6.064,5.757,5.552,14.676
"11",2022-07-20 01:00:00,14.325,5.244,14.038,10.846,9.176,8.082,6.877,6.268,5.86,5.552,14.616
"12",2022-07-20 01:30:00,14.23,5.244,14.134,11.041,9.176,7.882,6.775,6.268,5.757,5.552,14.547
"13",2022-07-20 02:00:00,14.134,5.244,14.134,10.748,9.373,7.782,6.775,6.268,5.757,5.552,14.46
"14",2022-07-20 02:30:00,14.134,5.244,14.23,10.748,9.275,7.882,6.978,6.268,5.86,5.552,14.434
"15",2022-07-20 03:00:00,14.421,5.244,14.134,10.748,9.077,8.082,6.978,6.166,5.757,5.45,14.356
"16",2022-07-20 03:30:00,14.421,5.141,14.038,10.944,9.176,7.983,6.978,6.37,5.757,5.45,14.278
"17",2022-07-20 04:00:00,14.23,5.141,14.23,11.139,9.275,7.782,6.978,6.268,5.655,5.347,14.183
"18",2022-07-20 04:30:00,14.134,5.141,14.23,10.748,9.176,8.082,6.877,6.268,5.655,5.347,14.157
"19",2022-07-20 05:00:00,14.038,5.141,14.325,11.041,9.176,7.882,6.978,6.37,5.757,5.347,14.122
"20",2022-07-20 05:30:00,14.134,5.141,14.134,11.236,9.275,7.782,6.674,6.166,5.757,5.552,14.113
"21",2022-07-20 06:00:00,14.134,5.141,14.23,11.041,9.077,7.983,6.978,6.268,5.757,5.45,14.07
"22",2022-07-20 06:30:00,13.942,5.141,14.23,10.846,9.077,7.882,7.079,6.37,5.757,5.347,13.992
"23",2022-07-20 07:00:00,14.517,5.141,14.23,10.944,9.077,8.182,7.079,6.166,5.757,5.45,13.913
"24",2022-07-20 07:30:00,14.996,5.141,14.23,11.236,8.978,7.983,7.079,6.268,5.655,5.45,13.948
"25",2022-07-20 08:00:00,15.282,5.141,14.325,11.236,9.275,8.282,7.079,6.37,5.655,5.45,13.983
"26",2022-07-20 08:30:00,15.569,5.141,14.804,10.748,9.571,8.382,6.978,6.268,5.757,5.552,14
"27",2022-07-20 09:00:00,14.325,5.244,14.517,11.041,9.472,8.082,6.978,6.37,5.86,5.552,14.07
"28",2022-07-20 09:30:00,15.855,5.347,14.804,10.748,9.669,8.581,7.079,6.37,5.86,5.655,14.087
"29",2022-07-20 10:00:00,16.237,5.347,14.613,11.236,9.571,8.481,7.179,6.37,5.86,5.552,14.105
"30",2022-07-20 10:30:00,17.284,5.244,14.9,11.528,9.373,8.581,7.28,6.471,5.86,5.552,14.07
"31",2022-07-20 11:00:00,17.189,5.244,14.804,11.431,9.571,8.481,7.381,6.573,5.962,5.655,14.113
"32",2022-07-20 11:30:00,17.57,5.244,15.76,11.236,9.373,8.779,7.481,6.471,5.962,5.655,14.235
"33",2022-07-20 12:00:00,18.236,5.244,14.9,11.625,9.472,8.581,7.28,6.471,5.962,5.655,14.451
"34",2022-07-20 12:30:00,18.045,5.244,14.996,11.528,9.768,8.481,7.381,6.573,5.962,5.655,14.538
"35",2022-07-20 13:00:00,18.616,5.347,15.187,11.625,9.472,8.68,7.381,6.674,6.064,5.552,14.659
"36",2022-07-20 13:30:00,18.616,5.347,15.855,11.722,9.965,8.779,7.179,6.573,6.064,5.552,14.702
"37",2022-07-20 14:00:00,18.806,5.347,15.951,12.013,9.768,8.481,7.179,6.471,5.962,5.655,14.823
"38",2022-07-20 14:30:00,18.996,5.244,15.282,12.013,9.768,8.68,7.179,6.471,5.962,5.757,14.952
"39",2022-07-20 15:00:00,18.996,5.552,15.569,11.916,9.669,8.779,7.28,6.674,5.962,5.86,15.055
"40",2022-07-20 15:30:00,18.236,5.037,15.76,13.173,9.866,8.282,6.877,6.471,5.86,5.552,15.09
"41",2022-07-20 16:00:00,18.14,5.037,15.951,13.846,9.571,8.382,7.28,6.674,6.064,5.552,15.021
"42",2022-07-20 16:30:00,17.57,5.347,15.951,10.944,9.077,8.182,7.079,6.471,5.962,5.655,15.176
"43",2022-07-20 17:00:00,17.76,5.552,15.76,11.625,10.063,9.077,7.782,6.978,6.268,5.962,15.236
"44",2022-07-20 17:30:00,17.57,5.244,15.378,12.594,9.768,8.779,7.882,7.079,6.064,5.757,15.176
"45",2022-07-20 18:00:00,16.999,4.831,15.282,11.625,9.571,8.68,6.877,5.962,5.45,5.141,15.236
"46",2022-07-20 18:30:00,16.713,5.347,15.378,11.819,9.965,8.382,7.381,6.573,5.86,5.655,15.262
"47",2022-07-20 19:00:00,15.473,5.244,15.187,11.431,9.866,7.782,6.775,6.166,5.757,5.552,15.219
"48",2022-07-20 19:30:00,15.378,5.552,15.282,11.916,9.373,7.983,7.079,6.471,5.962,5.86,15.15
"49",2022-07-20 20:00:00,15.282,5.347,15.378,11.625,9.768,8.581,7.481,6.471,5.962,5.757,15.081
"50",2022-07-20 20:30:00,15.091,4.934,15.187,11.431,8.779,8.082,6.775,6.166,5.655,5.244,15.098
"51",2022-07-20 21:00:00,15.091,5.141,14.613,11.431,9.669,8.182,7.381,6.573,6.064,5.655,14.987
"52",2022-07-20 21:30:00,14.996,4.934,14.517,12.207,9.373,8.082,7.179,6.37,5.86,5.347,14.788
"53",2022-07-20 22:00:00,14.804,5.45,14.23,11.528,9.866,8.182,7.079,6.268,5.86,5.655,14.857
"54",2022-07-20 22:30:00,14.709,5.45,14.325,12.304,9.373,8.082,7.079,6.37,5.86,5.757,14.814
"55",2022-07-20 23:00:00,14.517,5.347,14.9,11.236,8.978,8.282,7.28,6.573,5.86,5.655,14.762
"56",2022-07-20 23:30:00,14.517,5.347,14.9,11.236,9.373,8.481,7.28,6.573,5.86,5.552,14.745
"57",2022-07-21 00:00:00,14.421,4.831,14.613,11.431,9.965,7.983,6.877,6.166,5.655,5.347,14.719
"58",2022-07-21 00:30:00,14.517,5.141,14.709,11.625,9.176,8.182,6.978,6.471,5.86,5.655,14.667
"59",2022-07-21 01:00:00,14.325,5.244,14.709,11.625,9.571,8.082,7.179,6.37,5.757,5.552,14.607
"60",2022-07-21 01:30:00,14.421,5.347,14.804,11.528,9.373,7.782,6.877,6.37,5.962,5.757,14.572
"61",2022-07-21 02:00:00,14.613,5.347,14.709,11.334,9.472,8.182,6.775,6.064,5.655,5.552,14.521
"62",2022-07-21 02:30:00,14.421,5.141,14.709,11.722,9.275,8.382,7.582,6.166,5.655,5.347,14.477
"63",2022-07-21 03:00:00,14.325,5.347,14.613,11.139,9.373,7.983,7.179,6.471,5.962,5.655,14.443
"64",2022-07-21 03:30:00,14.325,5.141,14.23,11.431,9.669,8.382,7.079,6.471,5.962,5.552,14.399
"65",2022-07-21 04:00:00,14.421,5.244,14.517,11.722,9.472,7.782,6.877,6.268,5.86,5.552,14.365
"66",2022-07-21 04:30:00,14.23,5.244,14.613,11.236,9.571,8.182,7.28,6.674,6.064,5.552,14.356
"67",2022-07-21 05:00:00,14.325,5.244,14.517,11.139,9.373,8.182,7.079,6.268,5.757,5.45,14.321
"68",2022-07-21 05:30:00,14.23,5.141,14.517,11.625,9.472,8.182,6.978,6.37,5.86,5.45,14.295
"69",2022-07-21 06:00:00,14.23,5.244,14.421,11.625,9.373,8.182,7.079,6.37,5.757,5.45,14.261
"70",2022-07-21 06:30:00,14.23,5.347,14.421,11.722,9.373,8.182,6.877,6.268,5.86,5.45,14.235
"71",2022-07-21 07:00:00,14.709,5.347,14.421,11.528,9.176,8.481,7.28,6.268,5.86,5.655,14.209
"72",2022-07-21 07:30:00,15.091,5.141,14.517,11.722,9.373,8.282,7.28,6.37,5.962,5.552,14.183
"73",2022-07-21 08:00:00,15.855,5.037,14.517,11.916,9.472,8.182,7.481,6.674,5.962,5.45,14.209
"74",2022-07-21 08:30:00,16.046,5.347,14.709,11.334,9.669,8.382,7.381,6.471,5.962,5.655,14.243
"75",2022-07-21 09:00:00,16.237,5.347,15.091,11.819,9.472,8.481,7.179,6.37,6.064,5.655,14.217
"76",2022-07-21 09:30:00,15.378,5.347,14.9,11.722,9.965,8.282,7.28,6.775,6.064,5.655,14.226
"77",2022-07-21 10:00:00,16.427,5.244,15.282,12.11,9.768,8.481,7.28,6.471,6.064,5.757,14.209
"78",2022-07-21 10:30:00,17.57,5.244,15.187,11.819,10.161,8.68,7.381,6.471,6.064,5.655,14.235
"79",2022-07-21 11:00:00,17.855,5.141,15.187,12.013,9.965,8.978,7.582,6.471,5.962,5.655,14.295
"80",2022-07-21 11:30:00,17.475,5.347,15.378,11.916,9.768,8.581,7.481,6.775,6.166,5.757,14.503
"81",2022-07-21 12:00:00,18.045,5.45,15.664,12.304,9.965,8.879,7.481,6.775,6.268,5.86,14.65
"82",2022-07-21 12:30:00,18.236,5.45,15.378,12.207,10.063,8.779,7.582,6.674,6.064,5.757,14.737
"83",2022-07-21 13:00:00,18.236,5.347,15.664,12.304,9.866,8.779,7.582,6.877,6.064,5.655,14.866
"84",2022-07-21 13:30:00,19.377,5.45,15.282,11.916,9.965,9.275,7.782,7.079,6.064,5.757,14.883
"85",2022-07-21 14:00:00,19.472,5.45,15.378,12.69,10.259,8.978,7.381,6.573,5.962,5.757,14.935
"86",2022-07-21 14:30:00,19.282,5.552,15.855,12.98,9.965,8.68,7.481,6.674,6.166,5.757,14.926
"87",2022-07-21 15:00:00,19.472,5.45,15.378,12.98,9.866,8.879,7.381,6.674,6.268,5.757,15.253
"88",2022-07-21 15:30:00,19.662,5.45,15.282,12.69,9.965,9.176,7.682,6.877,6.268,5.86,15.416
"89",2022-07-21 16:00:00,19.758,5.141,15.282,12.98,9.768,8.978,7.481,6.877,6.166,5.757,15.493
"90",2022-07-21 16:30:00,19.282,4.934,15.187,12.401,9.965,8.978,7.582,6.775,5.962,5.347,15.622
"91",2022-07-21 17:00:00,18.996,5.244,15.091,12.207,10.063,8.879,7.682,7.079,6.166,5.86,15.699
"92",2022-07-21 17:30:00,18.616,5.552,15.187,12.497,10.161,8.779,7.179,6.573,6.064,5.86,15.785
"93",2022-07-21 18:00:00,17.95,5.45,15.187,12.11,10.161,8.879,7.481,6.674,5.962,5.757,15.87
"94",2022-07-21 18:30:00,17.189,5.347,15.187,12.304,9.965,8.481,7.079,6.674,6.064,5.655,15.938
"95",2022-07-21 19:00:00,16.141,5.347,14.9,11.528,9.768,8.581,7.179,6.775,6.064,5.655,15.904
"96",2022-07-21 19:30:00,16.141,5.347,15.664,11.625,9.965,8.581,7.582,6.573,6.064,5.86,15.887
"97",2022-07-21 20:00:00,15.951,5.45,14.804,12.11,9.472,8.282,7.381,6.775,6.166,5.86,15.819
"98",2022-07-21 20:30:00,16.046,5.45,15.091,11.819,9.965,8.481,7.28,6.37,5.962,5.757,15.493
"99",2022-07-21 21:00:00,15.855,5.141,14.804,11.916,10.161,8.68,7.28,6.37,5.86,5.552,15.227
"100",2022-07-21 21:30:00,15.664,5.244,14.804,12.787,9.669,7.882,7.079,6.471,5.86,5.552,15.047
"101",2022-07-21 22:00:00,15.378,5.45,14.804,11.916,9.669,8.182,7.381,6.674,6.268,5.757,15.141
"102",2022-07-21 22:30:00,15.378,5.45,14.9,12.207,9.472,8.082,7.381,6.573,5.962,5.757,15.27
"103",2022-07-21 23:00:00,15.473,5.45,14.9,11.625,9.669,8.382,7.179,6.37,5.757,5.655,15.356
"104",2022-07-21 23:30:00,15.282,5.037,14.9,11.916,9.965,8.481,7.582,6.775,5.86,5.552,15.399
"105",2022-07-22 00:00:00,15.282,5.141,14.996,11.819,9.571,8.481,7.381,6.877,6.37,5.757,15.313
"106",2022-07-22 00:30:00,15.187,5.244,15.091,11.431,9.866,8.481,7.179,6.573,6.064,5.757,15.124
"107",2022-07-22 01:00:00,15.091,5.347,15.091,11.722,10.161,8.581,6.775,6.37,5.962,5.655,15.124
"108",2022-07-22 01:30:00,14.996,5.552,14.996,11.625,9.965,8.082,7.179,6.573,5.962,5.86,15.184
"109",2022-07-22 02:00:00,14.996,5.45,14.996,11.431,9.571,8.282,7.381,6.674,5.962,5.757,15.116
"110",2022-07-22 02:30:00,14.996,5.244,14.996,12.013,9.768,8.282,7.28,6.877,5.86,5.655,15.055
"111",2022-07-22 03:00:00,14.9,5.037,14.9,12.304,9.866,8.182,7.28,6.573,5.962,5.757,15.038
"112",2022-07-22 03:30:00,14.996,5.244,14.9,12.11,9.571,8.382,7.481,6.978,6.064,5.757,14.978
"113",2022-07-22 04:00:00,14.804,5.347,14.804,11.722,9.768,8.282,7.179,6.674,6.064,5.757,14.918
"114",2022-07-22 04:30:00,14.804,5.141,15.091,12.207,9.866,8.481,7.28,6.573,5.962,5.655,14.918
"115",2022-07-22 05:00:00,14.804,5.347,15.091,11.916,9.669,8.481,7.481,6.471,5.86,5.552,14.892
"116",2022-07-22 05:30:00,14.804,5.552,15.091,11.722,9.768,8.481,7.179,6.471,5.962,5.757,14.892
"117",2022-07-22 06:00:00,14.804,5.347,14.9,12.11,9.669,8.581,7.381,6.471,5.962,5.757,14.84
"118",2022-07-22 06:30:00,14.804,5.45,14.9,12.304,9.571,8.382,7.481,6.573,6.064,5.655,14.84
