"Plot Title: 4_m_CLW"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889814, SEN S/N: 20889814, LBL: 4 m)","Intensity, Lux (LGR S/N: 20889814, SEN S/N: 20889814, LBL: 4 m)"
1,06/17/21 04:00:00 PM,14.134,3788.9
2,06/17/21 04:30:00 PM,14.325,1636.1
3,06/17/21 05:00:00 PM,14.134,1636.1
4,06/17/21 05:30:00 PM,14.230,2152.8
5,06/17/21 06:00:00 PM,14.134,4822.3
6,06/17/21 06:30:00 PM,14.134,796.5
7,06/17/21 07:00:00 PM,14.038,656.6
8,06/17/21 07:30:00 PM,14.134,366.0
9,06/17/21 08:00:00 PM,14.038,247.6
10,06/17/21 08:30:00 PM,13.750,161.5
11,06/17/21 09:00:00 PM,13.846,75.3
12,06/17/21 09:30:00 PM,13.942,10.8
13,06/17/21 10:00:00 PM,14.134,0.0
14,06/17/21 10:30:00 PM,13.942,0.0
15,06/17/21 11:00:00 PM,13.942,0.0
16,06/17/21 11:30:00 PM,13.846,0.0
17,06/18/21 12:00:00 AM,14.230,0.0
18,06/18/21 12:30:00 AM,14.038,0.0
19,06/18/21 01:00:00 AM,13.846,0.0
20,06/18/21 01:30:00 AM,13.750,0.0
21,06/18/21 02:00:00 AM,14.038,0.0
22,06/18/21 02:30:00 AM,13.942,0.0
23,06/18/21 03:00:00 AM,13.942,0.0
24,06/18/21 03:30:00 AM,13.846,0.0
25,06/18/21 04:00:00 AM,13.846,0.0
26,06/18/21 04:30:00 AM,13.942,0.0
27,06/18/21 05:00:00 AM,13.846,0.0
28,06/18/21 05:30:00 AM,13.846,0.0
29,06/18/21 06:00:00 AM,14.134,32.3
30,06/18/21 06:30:00 AM,14.134,75.3
31,06/18/21 07:00:00 AM,13.942,107.6
32,06/18/21 07:30:00 AM,13.942,150.7
33,06/18/21 08:00:00 AM,13.942,861.1
34,06/18/21 08:30:00 AM,13.846,1463.9
35,06/18/21 09:00:00 AM,13.846,1636.1
36,06/18/21 09:30:00 AM,14.038,3961.1
37,06/18/21 10:00:00 AM,14.134,1022.6
38,06/18/21 10:30:00 AM,14.325,4650.0
39,06/18/21 11:00:00 AM,14.325,4822.3
40,06/18/21 11:30:00 AM,14.230,2066.7
41,06/18/21 12:00:00 PM,14.230,2066.7
42,06/18/21 12:30:00 PM,14.230,2411.1
43,06/18/21 01:00:00 PM,14.230,1980.6
44,06/18/21 01:30:00 PM,14.421,2325.0
45,06/18/21 02:00:00 PM,14.613,2583.4
46,06/18/21 02:30:00 PM,14.421,2927.8
47,06/18/21 03:00:00 PM,14.325,2238.9
48,06/18/21 03:30:00 PM,14.325,1636.1
49,06/18/21 04:00:00 PM,14.230,1377.8
50,06/18/21 04:30:00 PM,14.517,1011.8
51,06/18/21 05:00:00 PM,14.421,1345.5
52,06/18/21 05:30:00 PM,14.517,1097.9
53,06/18/21 06:00:00 PM,14.804,527.4
54,06/18/21 06:30:00 PM,14.421,1550.0
55,06/18/21 07:00:00 PM,14.038,1248.6
56,06/18/21 07:30:00 PM,14.325,936.5
57,06/18/21 08:00:00 PM,14.325,538.2
58,06/18/21 08:30:00 PM,14.230,290.6
59,06/18/21 09:00:00 PM,14.517,64.6
60,06/18/21 09:30:00 PM,14.325,10.8
61,06/18/21 10:00:00 PM,14.134,0.0
62,06/18/21 10:30:00 PM,14.134,0.0
63,06/18/21 11:00:00 PM,14.134,0.0
64,06/18/21 11:30:00 PM,13.942,0.0
65,06/19/21 12:00:00 AM,14.230,0.0
66,06/19/21 12:30:00 AM,14.421,0.0
67,06/19/21 01:00:00 AM,14.325,0.0
68,06/19/21 01:30:00 AM,14.230,0.0
69,06/19/21 02:00:00 AM,14.325,0.0
70,06/19/21 02:30:00 AM,14.325,0.0
71,06/19/21 03:00:00 AM,14.325,0.0
72,06/19/21 03:30:00 AM,14.421,0.0
73,06/19/21 04:00:00 AM,14.421,0.0
74,06/19/21 04:30:00 AM,14.230,0.0
75,06/19/21 05:00:00 AM,14.038,0.0
76,06/19/21 05:30:00 AM,13.942,0.0
77,06/19/21 06:00:00 AM,14.230,21.5
78,06/19/21 06:30:00 AM,14.325,64.6
79,06/19/21 07:00:00 AM,14.325,129.2
80,06/19/21 07:30:00 AM,14.325,161.5
81,06/19/21 08:00:00 AM,14.517,204.5
82,06/19/21 08:30:00 AM,14.325,301.4
83,06/19/21 09:00:00 AM,14.325,366.0
84,06/19/21 09:30:00 AM,14.517,731.9
85,06/19/21 10:00:00 AM,14.230,721.2
86,06/19/21 10:30:00 AM,14.230,688.9
87,06/19/21 11:00:00 AM,14.517,1162.5
88,06/19/21 11:30:00 AM,14.613,1377.8
89,06/19/21 12:00:00 PM,14.709,6544.5
90,06/19/21 12:30:00 PM,14.804,6544.5
