datetime,wtr_0,wtr_10,wtr_2,wtr_4,wtr_6,wtr_8,wtr_1
2021-06-17T16:00:00Z,20.043,9.176,18.331,14.134,11.334,9.768,17.527
2021-06-17T16:30:00Z,19.662,9.077,18.331,14.325,11.625,9.866,17.57
2021-06-17T17:00:00Z,19.662,8.978,18.331,14.134,11.334,9.965,17.612
2021-06-17T17:30:00Z,18.806,8.978,18.426,14.23,11.334,10.259,17.663
2021-06-17T18:00:00Z,19.758,8.978,18.426,14.134,11.334,10.063,17.654
2021-06-17T18:30:00Z,19.758,8.978,18.236,14.134,11.431,9.965,17.663
2021-06-17T19:00:00Z,18.616,8.978,18.236,14.038,11.722,9.866,17.739
2021-06-17T19:30:00Z,19.092,8.978,18.045,14.134,11.431,9.768,17.696
2021-06-17T20:00:00Z,18.426,8.879,18.045,14.038,11.722,9.768,17.696
2021-06-17T20:30:00Z,18.236,8.879,17.95,13.75,11.528,9.669,17.654
2021-06-17T21:00:00Z,17.76,8.879,17.855,13.846,11.334,9.669,17.62
2021-06-17T21:30:00Z,18.045,8.879,17.855,13.942,11.528,9.768,17.722
2021-06-17T22:00:00Z,17.95,8.879,17.76,14.134,11.236,9.768,17.722
2021-06-17T22:30:00Z,17.95,8.879,17.665,13.942,11.334,9.768,17.705
2021-06-17T23:00:00Z,18.14,8.978,17.665,13.942,11.334,9.768,17.924
2021-06-17T23:30:00Z,18.331,8.978,17.665,13.846,11.334,9.669,18
2021-06-18T00:00:00Z,18.14,9.077,17.665,14.23,11.236,9.866,17.916
2021-06-18T00:30:00Z,18.045,8.879,17.665,14.038,11.431,9.768,17.823
2021-06-18T01:00:00Z,17.855,8.779,17.665,13.846,11.528,9.669,17.722
2021-06-18T01:30:00Z,17.76,8.779,17.855,13.75,11.431,9.768,17.62
2021-06-18T02:00:00Z,17.76,8.879,17.76,14.038,11.334,9.866,17.578
2021-06-18T02:30:00Z,17.665,8.879,17.665,13.942,11.236,9.965,17.527
2021-06-18T03:00:00Z,17.57,8.879,17.57,13.942,11.236,9.866,17.426
2021-06-18T03:30:00Z,17.57,8.879,17.57,13.846,11.236,9.768,17.367
2021-06-18T04:00:00Z,17.475,8.978,17.475,13.846,11.236,9.768,17.299
2021-06-18T04:30:00Z,17.379,8.879,17.379,13.942,11.334,9.866,17.265
2021-06-18T05:00:00Z,17.379,8.779,17.379,13.846,11.334,9.866,17.172
2021-06-18T05:30:00Z,17.284,8.779,17.284,13.846,11.528,9.768,17.121
2021-06-18T06:00:00Z,17.284,8.879,17.284,14.134,11.431,9.866,17.045
2021-06-18T06:30:00Z,17.189,9.077,17.189,14.134,11.334,9.866,16.994
2021-06-18T07:00:00Z,17.189,9.077,17.189,13.942,11.431,9.866,16.926
2021-06-18T07:30:00Z,17.094,8.978,17.094,13.942,11.334,9.768,16.85
2021-06-18T08:00:00Z,17.57,9.077,17.189,13.942,11.431,9.866,16.867
2021-06-18T08:30:00Z,17.76,8.978,17.284,13.846,11.431,9.669,16.918
2021-06-18T09:00:00Z,17.95,8.978,17.284,13.846,11.528,9.669,16.986
2021-06-18T09:30:00Z,18.616,8.978,17.57,14.038,11.528,9.768,17.019
2021-06-18T10:00:00Z,18.236,8.978,17.475,14.134,11.528,9.768,17.036
2021-06-18T10:30:00Z,17.95,8.978,17.665,14.325,11.528,9.768,17.028
2021-06-18T11:00:00Z,18.14,8.978,17.76,14.325,11.722,9.866,17.079
2021-06-18T11:30:00Z,18.711,9.077,17.76,14.23,11.722,9.965,17.24
2021-06-18T12:00:00Z,18.426,9.176,17.855,14.23,11.722,9.965,17.485
2021-06-18T12:30:00Z,18.901,9.176,17.855,14.23,11.722,9.866,17.35
2021-06-18T13:00:00Z,19.187,9.275,17.855,14.23,11.819,9.965,17.358
2021-06-18T13:30:00Z,19.282,9.373,17.95,14.421,11.819,9.965,17.316
2021-06-18T14:00:00Z,19.758,9.373,18.045,14.613,11.722,10.063,17.477
2021-06-18T14:30:00Z,19.567,9.373,18.14,14.421,11.819,10.161,17.696
2021-06-18T15:00:00Z,19.472,9.275,18.331,14.325,11.916,10.259,17.924
2021-06-18T15:30:00Z,20.234,9.275,18.426,14.325,11.916,10.161,17.899
2021-06-18T16:00:00Z,20.996,9.275,18.236,14.23,11.819,10.259,18.194
2021-06-18T16:30:00Z,20.805,9.275,18.14,14.517,12.013,10.161,18.329
2021-06-18T17:00:00Z,20.71,9.176,18.236,14.421,11.819,10.161,18.186
2021-06-18T17:30:00Z,20.71,9.176,18.236,14.517,11.625,9.965,18.101
2021-06-18T18:00:00Z,20.424,9.176,18.14,14.804,11.722,10.161,18.135
2021-06-18T18:30:00Z,20.615,9.176,18.236,14.421,11.819,10.063,18.169
2021-06-18T19:00:00Z,19.948,9.176,18.236,14.038,11.625,10.161,18.758
2021-06-18T19:30:00Z,19.948,9.176,18.045,14.325,11.819,9.965,18.842
2021-06-18T20:00:00Z,19.472,9.176,18.045,14.325,11.722,9.965,18.884
2021-06-18T20:30:00Z,19.187,9.176,17.855,14.23,11.722,10.161,18.842
2021-06-18T21:00:00Z,18.996,9.077,17.76,14.517,11.528,10.161,18.791
2021-06-18T21:30:00Z,19.282,9.077,17.665,14.325,11.722,10.063,18.791
2021-06-18T22:00:00Z,19.282,9.077,17.76,14.134,11.625,10.161,18.808
2021-06-18T22:30:00Z,19.377,8.978,17.57,14.134,11.819,10.161,18.884
2021-06-18T23:00:00Z,19.187,8.978,17.57,14.134,11.916,9.768,18.833
2021-06-18T23:30:00Z,18.996,8.879,17.665,13.942,12.013,9.669,18.775
2021-06-19T00:00:00Z,18.806,8.978,17.76,14.23,11.236,10.259,18.598
2021-06-19T00:30:00Z,18.616,9.275,17.76,14.421,11.139,10.161,18.497
2021-06-19T01:00:00Z,18.711,8.978,17.665,14.325,11.431,9.965,18.472
2021-06-19T01:30:00Z,18.711,8.879,17.57,14.23,11.625,9.965,18.463
2021-06-19T02:00:00Z,18.616,8.879,17.57,14.325,11.819,9.965,18.396
2021-06-19T02:30:00Z,18.521,8.879,17.57,14.325,11.722,10.063,18.32
2021-06-19T03:00:00Z,18.331,8.978,17.665,14.325,11.431,9.965,18.194
2021-06-19T03:30:00Z,18.236,8.978,17.76,14.421,11.431,9.866,18.093
2021-06-19T04:00:00Z,18.236,8.978,17.57,14.421,11.528,9.768,18.084
2021-06-19T04:30:00Z,18.14,9.077,17.665,14.23,11.819,9.866,17.966
2021-06-19T05:00:00Z,18.045,9.077,17.95,14.038,11.625,10.063,17.882
2021-06-19T05:30:00Z,17.95,9.077,17.855,13.942,11.625,10.161,17.806
2021-06-19T06:00:00Z,17.95,9.176,17.665,14.23,11.722,10.063,17.755
2021-06-19T06:30:00Z,17.76,9.176,17.76,14.325,11.528,10.063,17.595
2021-06-19T07:00:00Z,17.665,9.275,17.665,14.325,11.625,10.063,17.46
2021-06-19T07:30:00Z,17.76,9.373,17.665,14.325,11.722,10.063,17.443
2021-06-19T08:00:00Z,17.855,9.373,17.76,14.517,11.722,10.161,17.409
2021-06-19T08:30:00Z,17.95,9.176,17.76,14.325,11.625,10.161,17.417
2021-06-19T09:00:00Z,18.236,9.176,17.76,14.325,11.625,10.063,17.51
2021-06-19T09:30:00Z,19.092,9.176,17.95,14.517,11.819,10.063,17.578
2021-06-19T10:00:00Z,18.996,9.176,17.95,14.23,11.819,10.063,17.57
2021-06-19T10:30:00Z,18.806,9.077,17.855,14.23,11.819,10.063,17.679
2021-06-19T11:00:00Z,19.853,9.176,18.14,14.517,12.013,10.161,17.739
2021-06-19T11:30:00Z,18.901,9.176,17.855,14.613,11.819,10.063,17.713
2021-06-19T12:00:00Z,19.187,9.275,18.236,14.709,12.013,10.161,17.739
2021-06-19T12:30:00Z,19.853,9.373,18.521,14.804,12.013,10.161,17.941
2021-06-19T13:00:00Z,19.187,9.275,18.14,14.613,11.722,9.965,18.101
2021-06-19T13:30:00Z,19.472,9.275,18.236,14.613,11.916,9.965,18.152
2021-06-19T14:00:00Z,20.424,9.275,18.331,14.421,11.916,10.259,18.278
2021-06-19T14:30:00Z,19.567,9.373,18.426,14.325,11.916,10.357,18.379
2021-06-19T15:00:00Z,19.662,9.472,18.616,14.23,11.819,10.259,18.472
2021-06-19T15:30:00Z,19.282,9.373,18.806,14.517,11.819,10.161,18.489
2021-06-19T16:00:00Z,19.853,9.275,19.092,14.709,11.916,10.259,18.548
2021-06-19T16:30:00Z,19.948,9.176,18.806,14.613,12.11,10.259,18.556
2021-06-19T17:00:00Z,19.377,9.077,18.901,14.517,11.916,10.259,18.548
2021-06-19T17:30:00Z,19.187,8.978,18.331,14.709,11.916,9.965,18.581
2021-06-19T18:00:00Z,18.806,9.077,18.711,14.613,11.625,10.161,18.548
2021-06-19T18:30:00Z,18.901,9.077,18.616,14.517,11.722,10.259,18.522
2021-06-19T19:00:00Z,18.901,9.077,18.711,14.517,11.819,10.063,18.531
2021-06-19T19:30:00Z,18.996,9.176,18.616,14.421,11.916,10.063,18.539
2021-06-19T20:00:00Z,18.806,9.275,18.331,14.421,11.916,10.161,18.531
2021-06-19T20:30:00Z,18.711,9.373,18.14,14.325,11.625,10.259,18.531
2021-06-19T21:00:00Z,18.711,9.373,18.236,14.325,11.625,10.161,18.463
2021-06-19T21:30:00Z,18.521,9.275,18.14,14.325,12.013,10.063,18.371
2021-06-19T22:00:00Z,18.521,9.176,18.331,14.325,11.819,10.063,18.32
2021-06-19T22:30:00Z,18.426,9.077,18.331,14.421,11.722,10.161,18.287
2021-06-19T23:00:00Z,18.426,9.077,18.331,14.134,11.722,10.357,18.278
2021-06-19T23:30:00Z,18.331,8.978,18.426,14.23,11.625,10.357,18.202
2021-06-20T00:00:00Z,18.331,8.978,18.426,14.421,11.722,10.161,18.16
2021-06-20T00:30:00Z,18.331,9.077,18.331,14.325,11.625,10.161,18.143
2021-06-20T01:00:00Z,18.331,9.176,18.331,14.325,11.722,10.063,18.16
2021-06-20T01:30:00Z,18.331,9.077,18.331,14.134,11.722,10.063,18.143
2021-06-20T02:00:00Z,18.236,9.077,18.331,14.325,11.819,9.965,18.076
2021-06-20T02:30:00Z,18.14,9.176,18.236,14.517,11.916,10.063,18.034
2021-06-20T03:00:00Z,18.14,9.275,18.14,14.613,11.916,10.161,18
2021-06-20T03:30:00Z,18.14,9.373,18.14,14.613,11.722,10.357,17.983
2021-06-20T04:00:00Z,18.14,9.176,18.14,14.325,11.625,10.063,17.95
2021-06-20T04:30:00Z,18.045,9.077,18.14,14.421,11.722,9.965,17.933
2021-06-20T05:00:00Z,18.045,9.077,18.14,14.134,11.819,9.965,17.933
2021-06-20T05:30:00Z,18.045,9.077,18.045,14.23,11.722,10.063,17.874
2021-06-20T06:00:00Z,17.95,9.077,18.045,14.325,11.722,10.063,17.823
2021-06-20T06:30:00Z,18.045,9.077,18.045,14.23,11.722,9.965,17.815
2021-06-20T07:00:00Z,17.95,9.176,17.95,14.325,11.625,10.161,17.798
2021-06-20T07:30:00Z,17.95,9.275,17.95,14.421,11.528,10.259,17.739
2021-06-20T08:00:00Z,18.045,9.373,17.95,14.517,11.625,10.259,17.747
2021-06-20T08:30:00Z,18.045,9.571,17.855,14.421,11.819,10.161,17.637
2021-06-20T09:00:00Z,17.855,9.275,17.76,14.517,11.819,10.063,17.544
2021-06-20T09:30:00Z,18.045,9.176,17.855,14.325,11.819,9.866,17.51
2021-06-20T10:00:00Z,18.045,9.373,17.855,14.421,12.013,10.063,17.544
2021-06-20T10:30:00Z,17.95,9.373,17.76,14.517,11.916,10.161,17.494
2021-06-20T11:00:00Z,17.855,9.275,17.76,14.134,12.013,10.259,17.477
2021-06-20T11:30:00Z,17.95,9.275,17.855,14.517,11.916,10.259,17.494
2021-06-20T12:00:00Z,18.045,9.275,17.855,14.517,11.528,10.357,17.468
2021-06-20T12:30:00Z,17.95,9.373,17.855,14.613,11.722,10.357,17.485
2021-06-20T13:00:00Z,18.331,9.275,17.95,14.804,12.11,10.357,17.494
2021-06-20T13:30:00Z,18.331,9.275,17.855,14.325,11.916,10.259,17.536
2021-06-20T14:00:00Z,18.711,9.373,18.14,14.996,12.11,10.455,17.587
2021-06-20T14:30:00Z,19.092,9.373,18.331,14.517,12.11,10.259,17.679
2021-06-20T15:00:00Z,18.14,9.275,17.76,14.23,11.916,10.063,17.646
2021-06-20T15:30:00Z,18.14,9.176,17.855,14.325,11.819,10.161,17.663
2021-06-20T16:00:00Z,18.331,9.077,17.95,14.421,11.819,10.357,17.679
2021-06-20T16:30:00Z,18.331,9.077,17.95,14.517,11.722,10.357,17.73
2021-06-20T17:00:00Z,18.236,9.077,17.95,14.709,11.819,10.259,17.739
2021-06-20T17:30:00Z,18.236,9.176,17.95,14.804,11.819,10.161,17.772
2021-06-20T18:00:00Z,18.14,9.176,17.855,14.613,11.916,10.063,17.747
2021-06-20T18:30:00Z,18.14,9.176,17.95,14.613,11.916,10.161,17.713
2021-06-20T19:00:00Z,18.236,9.275,18.045,14.421,12.013,10.161,17.739
2021-06-20T19:30:00Z,18.331,9.373,18.236,14.23,12.11,10.259,17.772
2021-06-20T20:00:00Z,18.331,9.373,18.14,14.325,11.916,10.357,17.755
2021-06-20T20:30:00Z,18.14,9.275,18.045,14.325,11.916,10.063,17.722
2021-06-20T21:00:00Z,17.95,9.275,17.855,14.421,11.625,9.965,17.688
2021-06-20T21:30:00Z,17.855,9.275,17.855,14.325,11.722,10.063,17.654
2021-06-20T22:00:00Z,17.76,9.373,17.76,14.325,11.819,10.259,17.603
2021-06-20T22:30:00Z,17.665,9.275,17.76,14.23,11.625,10.161,17.527
2021-06-20T23:00:00Z,17.665,9.275,17.665,14.325,11.722,10.259,17.494
2021-06-20T23:30:00Z,17.665,9.275,17.665,14.517,11.722,10.259,17.485
2021-06-21T00:00:00Z,17.57,9.275,17.665,14.421,11.819,10.357,17.434
2021-06-21T00:30:00Z,17.475,9.275,17.57,14.517,11.819,10.455,17.401
2021-06-21T01:00:00Z,17.475,9.275,17.57,14.517,11.819,10.357,17.358
2021-06-21T01:30:00Z,17.475,9.176,17.475,14.421,12.013,10.259,17.307
2021-06-21T02:00:00Z,17.379,9.176,17.475,14.613,11.819,10.161,17.265
2021-06-21T02:30:00Z,17.379,9.176,17.379,14.421,11.916,10.063,17.189
2021-06-21T03:00:00Z,17.284,9.176,17.379,14.134,12.11,10.063,17.172
2021-06-21T03:30:00Z,17.284,9.176,17.284,14.23,11.819,10.161,17.13
2021-06-21T04:00:00Z,17.284,9.275,17.284,14.325,11.722,10.161,17.104
2021-06-21T04:30:00Z,17.189,9.176,17.284,14.325,11.625,10.259,17.07
2021-06-21T05:00:00Z,17.189,9.275,17.189,14.23,11.722,10.259,17.019
2021-06-21T05:30:00Z,17.094,9.275,17.189,14.134,11.819,10.259,16.96
2021-06-21T06:00:00Z,17.094,9.275,17.094,14.325,11.722,10.259,16.884
2021-06-21T06:30:00Z,16.999,9.275,17.094,14.325,11.819,10.063,16.824
2021-06-21T07:00:00Z,16.999,9.176,16.999,14.325,11.916,10.063,16.765
2021-06-21T07:30:00Z,16.903,9.176,16.999,14.421,11.916,10.161,16.748
2021-06-21T08:00:00Z,17.284,9.176,17.189,14.517,12.013,10.161,16.731
2021-06-21T08:30:00Z,17.475,9.176,17.284,14.517,12.11,10.259,16.756
2021-06-21T09:00:00Z,17.284,9.176,17.379,14.613,12.013,10.357,16.748
2021-06-21T09:30:00Z,17.379,9.275,17.475,14.613,12.207,10.455,16.782
2021-06-21T10:00:00Z,17.475,9.373,17.57,14.804,12.207,10.357,16.824
2021-06-21T10:30:00Z,17.57,9.373,17.57,14.709,12.304,10.259,16.867
2021-06-21T11:00:00Z,17.76,9.373,17.665,14.709,12.11,10.259,16.952
2021-06-21T11:30:00Z,18.521,9.373,17.855,14.517,11.916,10.455,17.062
2021-06-21T12:00:00Z,18.426,9.373,17.76,14.613,12.207,10.455,17.079
2021-06-21T12:30:00Z,18.901,9.472,18.045,14.613,12.207,10.455,17.13
2021-06-21T13:00:00Z,19.282,9.472,18.045,14.9,12.11,10.357,17.189
2021-06-21T13:30:00Z,19.092,9.472,17.855,14.709,12.013,10.455,17.316
2021-06-21T14:00:00Z,19.187,9.669,18.045,14.804,12.304,10.553,17.417
2021-06-21T14:30:00Z,20.043,9.571,18.045,14.996,12.304,10.455,17.468
2021-06-21T15:00:00Z,20.329,9.472,18.045,15.378,12.207,10.553,17.51
2021-06-21T15:30:00Z,20.329,9.373,18.045,14.996,12.401,10.357,17.578
2021-06-21T16:00:00Z,20.805,9.373,18.236,14.709,12.401,10.455,17.578
2021-06-21T16:30:00Z,20.901,9.373,18.236,14.325,12.497,10.357,17.679
2021-06-21T17:00:00Z,20.329,9.373,18.426,14.517,12.497,10.357,17.933
2021-06-21T17:30:00Z,19.853,9.373,18.236,14.709,12.207,10.357,18.11
2021-06-21T18:00:00Z,19.853,9.472,18.331,14.709,12.013,10.455,18.261
2021-06-21T18:30:00Z,19.567,9.571,18.236,14.804,12.013,10.553,18.228
2021-06-21T19:00:00Z,19.377,9.571,18.236,14.9,12.207,10.455,18.261
2021-06-21T19:30:00Z,18.901,9.472,18.331,15.091,12.013,10.259,18.228
2021-06-21T20:00:00Z,18.806,9.373,18.616,15.091,12.207,10.357,18.219
2021-06-21T20:30:00Z,18.616,9.373,18.426,14.804,12.207,10.357,18.186
2021-06-21T21:00:00Z,18.331,9.373,18.331,15.091,12.207,10.651,18.152
2021-06-21T21:30:00Z,18.806,9.275,18.331,14.709,12.11,10.651,18.211
2021-06-21T22:00:00Z,18.616,9.275,18.331,14.421,11.916,10.651,18.287
