"Plot Title: 4 m HOL"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20658239, SEN S/N: 20658239, LBL: 4 m)","Intensity, Lux (LGR S/N: 20658239, SEN S/N: 20658239, LBL: 4 m)"
1,07/08/20 11:00:00 AM,19.282,721.2
2,07/08/20 11:30:00 AM,14.325,710.4
3,07/08/20 12:00:00 PM,14.325,452.1
4,07/08/20 12:30:00 PM,14.613,1151.7
5,07/08/20 01:00:00 PM,14.709,635.1
6,07/08/20 01:30:00 PM,14.709,764.2
7,07/08/20 02:00:00 PM,14.325,344.4
8,07/08/20 02:30:00 PM,14.421,387.5
9,07/08/20 03:00:00 PM,14.517,269.1
10,07/08/20 03:30:00 PM,14.517,344.4
11,07/08/20 04:00:00 PM,14.421,333.7
12,07/08/20 04:30:00 PM,14.517,387.5
13,07/08/20 05:00:00 PM,14.421,1980.6
14,07/08/20 05:30:00 PM,14.613,344.4
15,07/08/20 06:00:00 PM,14.804,290.6
16,07/08/20 06:30:00 PM,14.900,516.7
17,07/08/20 07:00:00 PM,14.709,139.9
18,07/08/20 07:30:00 PM,14.517,86.1
19,07/08/20 08:00:00 PM,14.709,43.1
20,07/08/20 08:30:00 PM,14.709,21.5
21,07/08/20 09:00:00 PM,14.709,10.8
22,07/08/20 09:30:00 PM,14.709,0.0
23,07/08/20 10:00:00 PM,14.517,0.0
24,07/08/20 10:30:00 PM,14.325,0.0
25,07/08/20 11:00:00 PM,14.325,0.0
26,07/08/20 11:30:00 PM,14.421,0.0
27,07/09/20 12:00:00 AM,14.325,0.0
28,07/09/20 12:30:00 AM,14.325,0.0
29,07/09/20 01:00:00 AM,14.325,0.0
30,07/09/20 01:30:00 AM,14.421,0.0
31,07/09/20 02:00:00 AM,14.421,0.0
32,07/09/20 02:30:00 AM,14.421,0.0
33,07/09/20 03:00:00 AM,14.325,0.0
34,07/09/20 03:30:00 AM,14.230,0.0
35,07/09/20 04:00:00 AM,14.230,0.0
36,07/09/20 04:30:00 AM,14.134,0.0
37,07/09/20 05:00:00 AM,14.134,0.0
38,07/09/20 05:30:00 AM,14.134,0.0
39,07/09/20 06:00:00 AM,14.038,0.0
40,07/09/20 06:30:00 AM,13.942,10.8
41,07/09/20 07:00:00 AM,13.942,21.5
42,07/09/20 07:30:00 AM,13.846,32.3
43,07/09/20 08:00:00 AM,14.038,43.1
44,07/09/20 08:30:00 AM,14.230,1097.9
45,07/09/20 09:00:00 AM,14.325,990.3
46,07/09/20 09:30:00 AM,14.517,505.9
47,07/09/20 10:00:00 AM,14.613,710.4
48,07/09/20 10:30:00 AM,14.613,947.2
49,07/09/20 11:00:00 AM,14.613,624.3
50,07/09/20 11:30:00 AM,14.613,914.9
51,07/09/20 12:00:00 PM,14.709,968.8
52,07/09/20 12:30:00 PM,14.709,1119.5
53,07/09/20 01:00:00 PM,14.517,1194.8
54,07/09/20 01:30:00 PM,14.996,839.6
55,07/09/20 02:00:00 PM,14.996,753.5
56,07/09/20 02:30:00 PM,14.804,645.8
57,07/09/20 03:00:00 PM,14.900,441.3
58,07/09/20 03:30:00 PM,15.187,366.0
59,07/09/20 04:00:00 PM,15.187,398.3
60,07/09/20 04:30:00 PM,15.091,387.5
61,07/09/20 05:00:00 PM,15.282,387.5
62,07/09/20 05:30:00 PM,15.282,344.4
63,07/09/20 06:00:00 PM,15.187,129.2
64,07/09/20 06:30:00 PM,15.378,258.3
65,07/09/20 07:00:00 PM,15.664,183.0
66,07/09/20 07:30:00 PM,15.569,161.5
67,07/09/20 08:00:00 PM,15.378,269.1
68,07/09/20 08:30:00 PM,14.709,43.1
69,07/09/20 09:00:00 PM,14.613,21.5
70,07/09/20 09:30:00 PM,14.325,0.0
71,07/09/20 10:00:00 PM,14.421,0.0
72,07/09/20 10:30:00 PM,14.517,0.0
73,07/09/20 11:00:00 PM,14.804,0.0
74,07/09/20 11:30:00 PM,14.613,0.0
75,07/10/20 12:00:00 AM,14.421,0.0
76,07/10/20 12:30:00 AM,14.230,0.0
77,07/10/20 01:00:00 AM,14.709,0.0
78,07/10/20 01:30:00 AM,14.517,0.0
79,07/10/20 02:00:00 AM,14.517,0.0
80,07/10/20 02:30:00 AM,14.421,0.0
81,07/10/20 03:00:00 AM,14.325,0.0
82,07/10/20 03:30:00 AM,14.230,0.0
83,07/10/20 04:00:00 AM,14.038,0.0
84,07/10/20 04:30:00 AM,13.942,0.0
85,07/10/20 05:00:00 AM,14.038,0.0
86,07/10/20 05:30:00 AM,14.038,0.0
87,07/10/20 06:00:00 AM,14.134,0.0
88,07/10/20 06:30:00 AM,13.942,0.0
89,07/10/20 07:00:00 AM,14.325,0.0
90,07/10/20 07:30:00 AM,14.134,75.3
91,07/10/20 08:00:00 AM,14.230,86.1
92,07/10/20 08:30:00 AM,14.517,215.3
93,07/10/20 09:00:00 AM,14.613,215.3
94,07/10/20 09:30:00 AM,14.709,387.5
95,07/10/20 10:00:00 AM,14.517,118.4
96,07/10/20 10:30:00 AM,14.709,398.3
97,07/10/20 11:00:00 AM,14.709,355.2
98,07/10/20 11:30:00 AM,14.804,721.2
99,07/10/20 12:00:00 PM,14.804,635.1
100,07/10/20 12:30:00 PM,14.517,258.3
101,07/10/20 01:00:00 PM,14.900,807.3
102,07/10/20 01:30:00 PM,14.900,322.9
103,07/10/20 02:00:00 PM,15.091,322.9
104,07/10/20 02:30:00 PM,15.282,721.2
105,07/10/20 03:00:00 PM,15.091,301.4
106,07/10/20 03:30:00 PM,14.900,139.9
107,07/10/20 04:00:00 PM,15.187,236.8
108,07/10/20 04:30:00 PM,15.473,505.9
109,07/10/20 05:00:00 PM,14.996,107.6
110,07/10/20 05:30:00 PM,15.473,376.7
111,07/10/20 06:00:00 PM,15.378,279.9
112,07/10/20 06:30:00 PM,15.569,258.3
113,07/10/20 07:00:00 PM,15.855,161.5
114,07/10/20 07:30:00 PM,15.855,129.2
