"Plot Title: HOL_8_m"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20641367, SEN S/N: 20641367, LBL: 8 m)","Intensity, Lux (LGR S/N: 20641367, SEN S/N: 20641367, LBL: 8 m)"
1,08/25/20 02:30:00 PM,15.664,559.7
2,08/25/20 03:00:00 PM,15.569,75.3
3,08/25/20 03:30:00 PM,15.951,204.5
4,08/25/20 04:00:00 PM,15.855,333.7
5,08/25/20 04:30:00 PM,15.951,516.7
6,08/25/20 05:00:00 PM,15.855,96.9
7,08/25/20 05:30:00 PM,15.664,430.6
8,08/25/20 06:00:00 PM,15.951,1108.7
9,08/25/20 06:30:00 PM,15.473,290.6
10,08/25/20 07:00:00 PM,15.473,312.2
11,08/25/20 07:30:00 PM,15.473,215.3
12,08/25/20 08:00:00 PM,15.664,53.8
13,08/25/20 08:30:00 PM,15.760,0.0
14,08/25/20 09:00:00 PM,15.951,0.0
15,08/25/20 09:30:00 PM,16.332,0.0
16,08/25/20 10:00:00 PM,15.951,0.0
17,08/25/20 10:30:00 PM,15.951,0.0
18,08/25/20 11:00:00 PM,15.951,0.0
19,08/25/20 11:30:00 PM,15.855,0.0
20,08/26/20 12:00:00 AM,15.473,0.0
21,08/26/20 12:30:00 AM,15.282,0.0
22,08/26/20 01:00:00 AM,15.569,0.0
23,08/26/20 01:30:00 AM,16.141,0.0
24,08/26/20 02:00:00 AM,16.237,0.0
25,08/26/20 02:30:00 AM,16.427,0.0
26,08/26/20 03:00:00 AM,16.618,0.0
27,08/26/20 03:30:00 AM,16.618,0.0
28,08/26/20 04:00:00 AM,16.332,0.0
29,08/26/20 04:30:00 AM,15.664,0.0
30,08/26/20 05:00:00 AM,15.378,0.0
31,08/26/20 05:30:00 AM,15.282,0.0
32,08/26/20 06:00:00 AM,15.187,0.0
33,08/26/20 06:30:00 AM,15.569,0.0
34,08/26/20 07:00:00 AM,16.332,0.0
35,08/26/20 07:30:00 AM,16.427,21.5
36,08/26/20 08:00:00 AM,16.523,32.3
37,08/26/20 08:30:00 AM,16.332,96.9
38,08/26/20 09:00:00 AM,15.951,645.8
39,08/26/20 09:30:00 AM,15.855,882.6
40,08/26/20 10:00:00 AM,15.760,871.9
41,08/26/20 10:30:00 AM,15.569,1141.0
42,08/26/20 11:00:00 AM,15.473,2927.8
43,08/26/20 11:30:00 AM,16.046,2755.6
44,08/26/20 12:00:00 PM,16.332,2669.5
45,08/26/20 12:30:00 PM,16.713,4822.3
46,08/26/20 01:00:00 PM,16.808,1151.7
47,08/26/20 01:30:00 PM,17.379,290.6
48,08/26/20 02:00:00 PM,17.475,269.1
49,08/26/20 02:30:00 PM,17.189,495.1
50,08/26/20 03:00:00 PM,16.618,247.6
51,08/26/20 03:30:00 PM,16.237,366.0
52,08/26/20 04:00:00 PM,15.664,893.4
53,08/26/20 04:30:00 PM,15.378,430.6
54,08/26/20 05:00:00 PM,14.996,1463.9
55,08/26/20 05:30:00 PM,15.187,3961.1
56,08/26/20 06:00:00 PM,15.951,742.7
57,08/26/20 06:30:00 PM,16.427,1636.1
58,08/26/20 07:00:00 PM,16.808,236.8
59,08/26/20 07:30:00 PM,16.999,32.3
60,08/26/20 08:00:00 PM,17.094,10.8
61,08/26/20 08:30:00 PM,16.903,0.0
62,08/26/20 09:00:00 PM,15.282,0.0
63,08/26/20 09:30:00 PM,15.282,0.0
64,08/26/20 10:00:00 PM,14.613,0.0
65,08/26/20 10:30:00 PM,15.091,0.0
66,08/26/20 11:00:00 PM,15.664,0.0
67,08/26/20 11:30:00 PM,16.046,0.0
68,08/27/20 12:00:00 AM,16.237,0.0
69,08/27/20 12:30:00 AM,16.618,0.0
70,08/27/20 01:00:00 AM,16.618,0.0
71,08/27/20 01:30:00 AM,16.618,0.0
72,08/27/20 02:00:00 AM,16.141,0.0
73,08/27/20 02:30:00 AM,15.951,0.0
74,08/27/20 03:00:00 AM,15.855,0.0
75,08/27/20 03:30:00 AM,15.664,0.0
76,08/27/20 04:00:00 AM,15.664,0.0
77,08/27/20 04:30:00 AM,16.046,0.0
78,08/27/20 05:00:00 AM,16.141,0.0
79,08/27/20 05:30:00 AM,17.284,0.0
80,08/27/20 06:00:00 AM,16.427,0.0
81,08/27/20 06:30:00 AM,16.237,0.0
82,08/27/20 07:00:00 AM,15.855,0.0
83,08/27/20 07:30:00 AM,15.664,21.5
84,08/27/20 08:00:00 AM,15.760,32.3
85,08/27/20 08:30:00 AM,15.569,53.8
86,08/27/20 09:00:00 AM,15.855,75.3
87,08/27/20 09:30:00 AM,16.141,96.9
88,08/27/20 10:00:00 AM,16.046,75.3
89,08/27/20 10:30:00 AM,16.618,290.6
90,08/27/20 11:00:00 AM,16.523,936.5
91,08/27/20 11:30:00 AM,16.427,1097.9
92,08/27/20 12:00:00 PM,16.237,1130.2
93,08/27/20 12:30:00 PM,16.523,333.7
94,08/27/20 01:00:00 PM,16.427,344.4
95,08/27/20 01:30:00 PM,15.951,2238.9
96,08/27/20 02:00:00 PM,16.046,5166.7
97,08/27/20 02:30:00 PM,16.332,5166.7
98,08/27/20 03:00:00 PM,16.427,4822.3
99,08/27/20 03:30:00 PM,16.618,549.0
100,08/27/20 04:00:00 PM,16.713,333.7
101,08/27/20 04:30:00 PM,16.237,1270.1
102,08/27/20 05:00:00 PM,15.760,742.7
103,08/27/20 05:30:00 PM,15.951,333.7
104,08/27/20 06:00:00 PM,16.046,645.8
105,08/27/20 06:30:00 PM,16.046,581.3
106,08/27/20 07:00:00 PM,16.046,236.8
107,08/27/20 07:30:00 PM,16.141,118.4
108,08/27/20 08:00:00 PM,16.237,53.8
109,08/27/20 08:30:00 PM,16.237,0.0
110,08/27/20 09:00:00 PM,16.332,0.0
111,08/27/20 09:30:00 PM,15.664,0.0
112,08/27/20 10:00:00 PM,15.951,0.0
113,08/27/20 10:30:00 PM,15.664,0.0
114,08/27/20 11:00:00 PM,15.473,0.0
115,08/27/20 11:30:00 PM,15.855,0.0
116,08/28/20 12:00:00 AM,16.332,0.0
117,08/28/20 12:30:00 AM,15.855,0.0
118,08/28/20 01:00:00 AM,16.046,0.0
119,08/28/20 01:30:00 AM,16.046,0.0
120,08/28/20 02:00:00 AM,16.046,0.0
121,08/28/20 02:30:00 AM,15.951,0.0
122,08/28/20 03:00:00 AM,16.046,0.0
123,08/28/20 03:30:00 AM,16.237,0.0
124,08/28/20 04:00:00 AM,15.855,0.0
125,08/28/20 04:30:00 AM,16.332,0.0
126,08/28/20 05:00:00 AM,16.523,0.0
127,08/28/20 05:30:00 AM,16.332,0.0
128,08/28/20 06:00:00 AM,16.427,0.0
129,08/28/20 06:30:00 AM,16.046,0.0
130,08/28/20 07:00:00 AM,15.951,0.0
131,08/28/20 07:30:00 AM,16.141,21.5
132,08/28/20 08:00:00 AM,16.332,43.1
133,08/28/20 08:30:00 AM,16.332,172.2
134,08/28/20 09:00:00 AM,16.523,667.4
135,08/28/20 09:30:00 AM,16.523,1270.1
136,08/28/20 10:00:00 AM,16.332,1463.9
137,08/28/20 10:30:00 AM,16.332,1076.4
138,08/28/20 11:00:00 AM,16.141,678.1
139,08/28/20 11:30:00 AM,16.141,1367.0
140,08/28/20 12:00:00 PM,16.141,333.7
141,08/28/20 12:30:00 PM,16.237,678.1
142,08/28/20 01:00:00 PM,16.046,1463.9
143,08/28/20 01:30:00 PM,16.427,710.4
144,08/28/20 02:00:00 PM,16.713,516.7
145,08/28/20 02:30:00 PM,16.713,925.7
146,08/28/20 03:00:00 PM,16.332,742.7
147,08/28/20 03:30:00 PM,16.808,731.9
148,08/28/20 04:00:00 PM,16.618,645.8
149,08/28/20 04:30:00 PM,16.523,1270.1
150,08/28/20 05:00:00 PM,16.618,559.7
151,08/28/20 05:30:00 PM,16.903,484.4
152,08/28/20 06:00:00 PM,16.713,366.0
153,08/28/20 06:30:00 PM,16.618,344.4
154,08/28/20 07:00:00 PM,16.237,183.0
155,08/28/20 07:30:00 PM,16.523,441.3
156,08/28/20 08:00:00 PM,16.427,64.6
157,08/28/20 08:30:00 PM,16.332,0.0
158,08/28/20 09:00:00 PM,16.332,0.0
159,08/28/20 09:30:00 PM,16.237,0.0
160,08/28/20 10:00:00 PM,16.141,0.0
161,08/28/20 10:30:00 PM,16.141,0.0
162,08/28/20 11:00:00 PM,15.855,0.0
163,08/28/20 11:30:00 PM,16.046,0.0
164,08/29/20 12:00:00 AM,15.951,0.0
165,08/29/20 12:30:00 AM,16.141,0.0
166,08/29/20 01:00:00 AM,16.141,0.0
167,08/29/20 01:30:00 AM,16.141,0.0
168,08/29/20 02:00:00 AM,16.141,0.0
169,08/29/20 02:30:00 AM,16.141,0.0
170,08/29/20 03:00:00 AM,16.237,0.0
171,08/29/20 03:30:00 AM,16.141,0.0
172,08/29/20 04:00:00 AM,16.618,0.0
173,08/29/20 04:30:00 AM,16.523,0.0
174,08/29/20 05:00:00 AM,16.618,0.0
175,08/29/20 05:30:00 AM,16.618,0.0
176,08/29/20 06:00:00 AM,16.523,0.0
177,08/29/20 06:30:00 AM,16.237,0.0
178,08/29/20 07:00:00 AM,16.237,0.0
179,08/29/20 07:30:00 AM,16.141,21.5
180,08/29/20 08:00:00 AM,15.951,75.3
181,08/29/20 08:30:00 AM,15.760,107.6
182,08/29/20 09:00:00 AM,15.664,172.2
183,08/29/20 09:30:00 AM,15.760,183.0
184,08/29/20 10:00:00 AM,15.760,204.5
185,08/29/20 10:30:00 AM,16.141,247.6
186,08/29/20 11:00:00 AM,16.332,279.9
187,08/29/20 11:30:00 AM,16.237,538.2
188,08/29/20 12:00:00 PM,16.427,1044.1
189,08/29/20 12:30:00 PM,16.332,2669.5
