datetime,irr_0,irr_10,irr_2,irr_4,irr_6,irr_8
2020-08-05T16:00:00Z,656.6,269.1,1550,538.2,NA,2066.7
2020-08-05T16:30:00Z,355.2,355.2,5511.1,1894.5,NA,570.5
2020-08-05T17:00:00Z,409,366,5338.9,1808.3,NA,850.4
2020-08-05T17:30:00Z,549,699.7,2238.9,667.4,NA,3788.9
2020-08-05T18:00:00Z,441.3,2238.9,2755.6,441.3,NA,473.6
2020-08-05T18:30:00Z,635.1,1808.3,2325,462.9,NA,333.7
2020-08-05T19:00:00Z,667.4,1894.5,3100,473.6,NA,301.4
2020-08-05T19:30:00Z,559.7,1011.8,2325,699.7,NA,2238.9
2020-08-05T20:00:00Z,592,581.3,2755.6,721.2,NA,602.8
2020-08-05T20:30:00Z,1377.8,904.2,4822.3,1270.1,NA,1291.7
2020-08-05T21:00:00Z,667.4,699.7,8266.7,462.9,NA,667.4
2020-08-05T21:30:00Z,1248.6,1377.8,2755.6,645.8,NA,3616.7
2020-08-05T22:00:00Z,1334.7,1076.4,3788.9,462.9,NA,1550
2020-08-05T22:30:00Z,430.6,2066.7,21355.7,333.7,NA,333.7
2020-08-05T23:00:00Z,409,871.9,18600.1,301.4,NA,387.5
2020-08-05T23:30:00Z,387.5,667.4,17222.3,247.6,NA,592
2020-08-06T00:00:00Z,301.4,1463.9,33066.9,215.3,NA,678.1
2020-08-06T00:30:00Z,269.1,269.1,11711.2,161.5,NA,139.9
2020-08-06T01:00:00Z,193.8,376.7,4822.3,129.2,NA,183
2020-08-06T01:30:00Z,139.9,118.4,2927.8,86.1,NA,150.7
2020-08-06T02:00:00Z,129.2,86.1,441.3,107.6,NA,53.8
2020-08-06T02:30:00Z,21.5,32.3,279.9,21.5,NA,75.3
2020-08-06T03:00:00Z,0,0,53.8,0,NA,0
2020-08-06T03:30:00Z,0,0,0,0,NA,0
2020-08-06T04:00:00Z,0,0,0,0,NA,0
2020-08-06T04:30:00Z,0,0,0,0,NA,0
2020-08-06T05:00:00Z,0,0,0,0,NA,0
2020-08-06T05:30:00Z,0,0,0,0,NA,0
2020-08-06T06:00:00Z,0,0,0,0,NA,0
2020-08-06T06:30:00Z,0,0,0,0,NA,0
2020-08-06T07:00:00Z,0,0,0,0,NA,0
2020-08-06T07:30:00Z,0,0,0,0,NA,0
2020-08-06T08:00:00Z,0,0,0,0,NA,0
2020-08-06T08:30:00Z,0,0,0,0,NA,0
2020-08-06T09:00:00Z,0,0,0,0,NA,0
2020-08-06T09:30:00Z,0,0,0,0,NA,0
2020-08-06T10:00:00Z,0,0,0,0,NA,0
2020-08-06T10:30:00Z,0,0,0,0,NA,0
2020-08-06T11:00:00Z,0,0,0,0,NA,0
2020-08-06T11:30:00Z,0,0,0,0,NA,0
2020-08-06T12:00:00Z,0,0,0,0,NA,0
2020-08-06T12:30:00Z,0,0,204.5,0,NA,0
2020-08-06T13:00:00Z,43.1,53.8,678.1,43.1,NA,10.8
2020-08-06T13:30:00Z,21.5,21.5,215.3,21.5,NA,0
2020-08-06T14:00:00Z,0,10.8,215.3,0,NA,0
2020-08-06T14:30:00Z,96.9,107.6,1022.6,96.9,NA,64.6
2020-08-06T15:00:00Z,96.9,161.5,1463.9,107.6,NA,96.9
2020-08-06T15:30:00Z,279.9,215.3,3272.2,226,NA,150.7
2020-08-06T16:00:00Z,139.9,204.5,1216.3,150.7,NA,118.4
2020-08-06T16:30:00Z,462.9,495.1,3616.7,645.8,NA,312.2
2020-08-06T17:00:00Z,290.6,258.3,5338.9,279.9,NA,172.2
2020-08-06T17:30:00Z,376.7,473.6,28933.5,473.6,NA,355.2
2020-08-06T18:00:00Z,462.9,2066.7,8611.2,473.6,NA,1980.6
2020-08-06T18:30:00Z,505.9,1980.6,5511.1,624.3,NA,2066.7
2020-08-06T19:00:00Z,430.6,3100,9644.5,484.4,NA,3616.7
2020-08-06T19:30:00Z,1345.5,1636.1,4305.6,1463.9,NA,1808.3
2020-08-06T20:00:00Z,366,1463.9,7233.4,172.2,NA,1087.2
2020-08-06T20:30:00Z,290.6,549,4133.4,226,NA,1194.8
2020-08-06T21:00:00Z,204.5,527.4,3788.9,139.9,NA,914.9
2020-08-06T21:30:00Z,1022.6,1463.9,5511.1,635.1,NA,1463.9
2020-08-06T22:00:00Z,1216.3,592,3272.2,742.7,NA,376.7
2020-08-06T22:30:00Z,538.2,4133.4,44089.2,333.7,NA,2325
2020-08-06T23:00:00Z,1205.6,2669.5,4305.6,484.4,NA,850.4
2020-08-06T23:30:00Z,387.5,419.8,2325,958,NA,333.7
2020-08-07T00:00:00Z,290.6,409,2152.8,226,NA,312.2
2020-08-07T00:30:00Z,258.3,1463.9,3788.9,172.2,NA,129.2
2020-08-07T01:00:00Z,172.2,301.4,1377.8,86.1,NA,150.7
2020-08-07T01:30:00Z,53.8,96.9,764.2,21.5,NA,21.5
2020-08-07T02:00:00Z,43.1,53.8,602.8,10.8,NA,107.6
2020-08-07T02:30:00Z,10.8,21.5,269.1,0,NA,75.3
2020-08-07T03:00:00Z,0,0,21.5,0,NA,0
2020-08-07T03:30:00Z,0,0,0,0,NA,0
2020-08-07T04:00:00Z,0,0,0,0,NA,0
2020-08-07T04:30:00Z,0,0,0,0,NA,0
2020-08-07T05:00:00Z,0,0,0,0,NA,0
2020-08-07T05:30:00Z,0,0,0,0,NA,0
2020-08-07T06:00:00Z,0,0,0,0,NA,0
2020-08-07T06:30:00Z,0,0,0,0,NA,0
2020-08-07T07:00:00Z,0,0,0,0,NA,0
2020-08-07T07:30:00Z,0,0,0,0,NA,0
2020-08-07T08:00:00Z,0,0,0,0,NA,0
2020-08-07T08:30:00Z,0,0,0,0,NA,0
2020-08-07T09:00:00Z,0,0,0,0,NA,0
2020-08-07T09:30:00Z,0,0,0,0,NA,0
2020-08-07T10:00:00Z,0,0,0,0,NA,0
2020-08-07T10:30:00Z,0,0,0,0,NA,0
2020-08-07T11:00:00Z,0,0,0,0,NA,0
2020-08-07T11:30:00Z,0,0,0,0,NA,0
2020-08-07T12:00:00Z,0,0,0,0,NA,0
2020-08-07T12:30:00Z,0,0,86.1,0,NA,0
2020-08-07T13:00:00Z,10.8,21.5,236.8,21.5,NA,0
2020-08-07T13:30:00Z,32.3,53.8,624.3,21.5,NA,32.3
2020-08-07T14:00:00Z,107.6,118.4,1377.8,64.6,NA,86.1
2020-08-07T14:30:00Z,96.9,150.7,1550,86.1,NA,129.2
2020-08-07T15:00:00Z,64.6,150.7,1356.3,64.6,NA,32.3
2020-08-07T15:30:00Z,958,1463.9,3961.1,462.9,NA,505.9
2020-08-07T16:00:00Z,161.5,387.5,4305.6,150.7,NA,301.4
2020-08-07T16:30:00Z,236.8,344.4,3961.1,183,NA,204.5
2020-08-07T17:00:00Z,290.6,495.1,5338.9,226,NA,322.9
2020-08-07T17:30:00Z,279.9,538.2,2755.6,290.6,NA,150.7
2020-08-07T18:00:00Z,527.4,904.2,4994.5,247.6,NA,1302.4
2020-08-07T18:30:00Z,387.5,678.1,3788.9,279.9,NA,258.3
2020-08-07T19:00:00Z,376.7,581.3,3616.7,398.3,NA,172.2
2020-08-07T19:30:00Z,366,968.8,3272.2,204.5,NA,139.9
2020-08-07T20:00:00Z,538.2,430.6,2927.8,247.6,NA,129.2
2020-08-07T20:30:00Z,344.4,462.9,3100,193.8,NA,96.9
2020-08-07T21:00:00Z,1011.8,3616.7,8611.2,409,NA,312.2
2020-08-07T21:30:00Z,462.9,301.4,2583.4,258.3,NA,462.9
2020-08-07T22:00:00Z,581.3,2238.9,4305.6,882.6,NA,1636.1
2020-08-07T22:30:00Z,1345.5,2583.4,27555.7,1044.1,NA,1894.5
2020-08-07T23:00:00Z,6200,2755.6,2325,947.2,NA,4822.3
2020-08-07T23:30:00Z,2927.8,1808.3,1377.8,1011.8,NA,2755.6
2020-08-08T00:00:00Z,549,1550,1237.9,1550,NA,2238.9
2020-08-08T00:30:00Z,312.2,1259.4,1130.2,1377.8,NA,2497.2
2020-08-08T01:00:00Z,258.3,430.6,775,581.3,NA,183
2020-08-08T01:30:00Z,139.9,183,1044.1,301.4,NA,1141
2020-08-08T02:00:00Z,139.9,96.9,430.6,32.3,NA,21.5
2020-08-08T02:30:00Z,64.6,10.8,376.7,10.8,NA,0
2020-08-08T03:00:00Z,0,0,43.1,0,NA,0
2020-08-08T03:30:00Z,0,0,0,0,NA,0
2020-08-08T04:00:00Z,0,0,0,0,NA,0
2020-08-08T04:30:00Z,0,0,0,0,NA,0
2020-08-08T05:00:00Z,0,0,0,0,NA,0
2020-08-08T05:30:00Z,0,0,0,0,NA,0
2020-08-08T06:00:00Z,0,0,0,0,NA,0
2020-08-08T06:30:00Z,0,0,0,0,NA,0
2020-08-08T07:00:00Z,0,0,0,0,NA,0
2020-08-08T07:30:00Z,0,0,0,0,NA,0
2020-08-08T08:00:00Z,0,0,0,0,NA,0
2020-08-08T08:30:00Z,0,0,0,0,NA,0
2020-08-08T09:00:00Z,0,0,0,0,NA,0
2020-08-08T09:30:00Z,0,0,0,0,NA,0
2020-08-08T10:00:00Z,0,0,0,0,NA,0
2020-08-08T10:30:00Z,0,0,0,0,NA,0
2020-08-08T11:00:00Z,0,0,0,0,NA,0
2020-08-08T11:30:00Z,0,0,0,0,NA,0
2020-08-08T12:00:00Z,0,0,0,0,NA,0
2020-08-08T12:30:00Z,21.5,0,129.2,0,NA,0
2020-08-08T13:00:00Z,96.9,21.5,495.1,10.8,NA,10.8
2020-08-08T13:30:00Z,118.4,43.1,581.3,21.5,NA,21.5
2020-08-08T14:00:00Z,226,118.4,871.9,75.3,NA,64.6
2020-08-08T14:30:00Z,322.9,150.7,1463.9,86.1,NA,96.9
2020-08-08T15:00:00Z,452.1,301.4,2497.2,161.5,NA,193.8
2020-08-08T15:30:00Z,613.5,549,2927.8,290.6,NA,279.9
2020-08-08T16:00:00Z,452.1,419.8,1377.8,226,NA,1636.1
2020-08-08T16:30:00Z,1151.7,1636.1,2927.8,656.6,NA,3100
2020-08-08T17:00:00Z,1550,2411.1,3100,947.2,NA,5511.1
2020-08-08T17:30:00Z,1141,1722.2,2669.5,979.5,NA,3272.2
2020-08-08T18:00:00Z,5166.7,1216.3,2325,1054.9,NA,4477.8
2020-08-08T18:30:00Z,839.6,947.2,2927.8,613.5,NA,1550
2020-08-08T19:00:00Z,355.2,2066.7,3961.1,559.7,NA,753.5
2020-08-08T19:30:00Z,742.7,2238.9,5166.7,947.2,NA,1894.5
2020-08-08T20:00:00Z,2927.8,1808.3,4477.8,570.5,NA,355.2
2020-08-08T20:30:00Z,3100,688.9,3444.5,333.7,NA,1463.9
2020-08-08T21:00:00Z,23422.4,3272.2,20666.8,1097.9,NA,2325
2020-08-08T21:30:00Z,1151.7,4477.8,6544.5,1022.6,NA,1227.1
2020-08-08T22:00:00Z,645.8,1377.8,4650,290.6,NA,1313.2
2020-08-08T22:30:00Z,861.1,688.9,3444.5,247.6,NA,570.5
2020-08-08T23:00:00Z,376.7,958,5511.1,107.6,NA,1302.4
2020-08-08T23:30:00Z,602.8,495.1,2927.8,150.7,NA,150.7
2020-08-09T00:00:00Z,462.9,312.2,2583.4,150.7,NA,581.3
2020-08-09T00:30:00Z,279.9,279.9,1636.1,172.2,NA,86.1
2020-08-09T01:00:00Z,204.5,193.8,1324,96.9,NA,53.8
2020-08-09T01:30:00Z,376.7,204.5,1044.1,53.8,NA,32.3
2020-08-09T02:00:00Z,161.5,75.3,645.8,21.5,NA,10.8
2020-08-09T02:30:00Z,129.2,10.8,118.4,0,NA,0
2020-08-09T03:00:00Z,0,0,0,0,NA,0
2020-08-09T03:30:00Z,0,0,0,0,NA,0
2020-08-09T04:00:00Z,0,0,0,0,NA,0
2020-08-09T04:30:00Z,0,0,0,0,NA,0
2020-08-09T05:00:00Z,0,0,0,0,NA,0
2020-08-09T05:30:00Z,0,0,0,0,NA,0
2020-08-09T06:00:00Z,0,0,0,0,NA,0
2020-08-09T06:30:00Z,0,0,0,0,NA,0
2020-08-09T07:00:00Z,0,0,0,0,NA,0
2020-08-09T07:30:00Z,0,0,0,0,NA,0
2020-08-09T08:00:00Z,0,0,0,0,NA,0
2020-08-09T08:30:00Z,0,0,0,0,NA,0
2020-08-09T09:00:00Z,0,0,0,0,NA,0
2020-08-09T09:30:00Z,0,0,0,0,NA,0
2020-08-09T10:00:00Z,0,0,0,0,NA,0
2020-08-09T10:30:00Z,0,0,0,0,NA,0
2020-08-09T11:00:00Z,0,0,0,0,NA,0
2020-08-09T11:30:00Z,0,0,0,0,NA,0
2020-08-09T12:00:00Z,0,0,0,0,NA,0
2020-08-09T12:30:00Z,0,0,32.3,0,NA,0
2020-08-09T13:00:00Z,43.1,21.5,258.3,10.8,NA,10.8
2020-08-09T13:30:00Z,139.9,64.6,699.7,32.3,NA,32.3
2020-08-09T14:00:00Z,226,118.4,1065.6,75.3,NA,64.6
2020-08-09T14:30:00Z,322.9,139.9,1087.2,139.9,NA,86.1
2020-08-09T15:00:00Z,441.3,204.5,1980.6,139.9,NA,161.5
2020-08-09T15:30:00Z,279.9,161.5,1722.2,118.4,NA,118.4
2020-08-09T16:00:00Z,592,301.4,2497.2,204.5,NA,172.2
2020-08-09T16:30:00Z,538.2,236.8,2325,172.2,NA,129.2
2020-08-09T17:00:00Z,936.5,322.9,2411.1,161.5,NA,538.2
2020-08-09T17:30:00Z,2238.9,581.3,4305.6,236.8,NA,1377.8
2020-08-09T18:00:00Z,1636.1,419.8,1808.3,193.8,NA,1001
2020-08-09T18:30:00Z,1463.9,1550,2927.8,333.7,NA,1980.6
2020-08-09T19:00:00Z,2927.8,2669.5,3100,1334.7,NA,8611.2
2020-08-09T19:30:00Z,1463.9,1119.5,1980.6,376.7,NA,3272.2
2020-08-09T20:00:00Z,11711.2,3272.2,4305.6,1280.9,NA,7233.4
2020-08-09T20:30:00Z,333.7,710.4,2927.8,172.2,NA,129.2
2020-08-09T21:00:00Z,1087.2,1894.5,17911.2,462.9,NA,1550
2020-08-09T21:30:00Z,409,516.7,3961.1,409,NA,193.8
2020-08-09T22:00:00Z,1022.6,2238.9,3961.1,613.5,NA,344.4
2020-08-09T22:30:00Z,5166.7,871.9,3961.1,473.6,NA,1033.3
2020-08-09T23:00:00Z,2066.7,1636.1,11711.2,376.7,NA,495.1
2020-08-09T23:30:00Z,1119.5,1463.9,18600.1,1280.9,NA,3616.7
2020-08-10T00:00:00Z,6200,667.4,2927.8,958,NA,4477.8
2020-08-10T00:30:00Z,60622.6,678.1,1377.8,678.1,NA,1808.3
2020-08-10T01:00:00Z,3961.1,592,1550,871.9,NA,2066.7
2020-08-10T01:30:00Z,753.5,96.9,462.9,96.9,NA,75.3
2020-08-10T02:00:00Z,161.5,86.1,1119.5,32.3,NA,86.1
2020-08-10T02:30:00Z,96.9,32.3,333.7,0,NA,86.1
2020-08-10T03:00:00Z,0,0,32.3,0,NA,10.8
2020-08-10T03:30:00Z,0,0,0,0,NA,0
2020-08-10T04:00:00Z,0,0,0,0,NA,0
2020-08-10T04:30:00Z,0,0,0,0,NA,0
2020-08-10T05:00:00Z,0,0,0,0,NA,0
2020-08-10T05:30:00Z,0,0,0,0,NA,0
2020-08-10T06:00:00Z,0,0,0,0,NA,0
2020-08-10T06:30:00Z,0,0,0,0,NA,0
2020-08-10T07:00:00Z,0,0,0,0,NA,0
2020-08-10T07:30:00Z,0,0,0,0,NA,0
2020-08-10T08:00:00Z,0,0,0,0,NA,0
