datetime,wtr_0,wtr_10,wtr_2,wtr_4,wtr_6,wtr_8,wtr_1
2020-06-18T23:00:00Z,14.038,9.472,15.76,12.594,10.651,10.161,13.476
2020-06-18T23:30:00Z,13.365,9.373,15.187,11.916,10.553,10.063,13.494
2020-06-19T00:00:00Z,13.942,9.275,15.664,12.207,10.651,10.161,13.529
2020-06-19T00:30:00Z,13.75,9.472,15.473,12.013,10.651,10.063,13.45
2020-06-19T01:00:00Z,13.365,9.373,14.421,12.207,10.553,10.063,13.441
2020-06-19T01:30:00Z,13.365,9.472,14.23,12.013,10.357,10.161,13.529
2020-06-19T02:00:00Z,13.461,9.571,14.134,12.304,10.455,10.161,13.642
2020-06-19T02:30:00Z,13.365,9.571,14.134,12.207,10.553,10.161,13.537
2020-06-19T03:00:00Z,13.365,9.472,14.23,12.304,10.651,10.063,13.686
2020-06-19T03:30:00Z,13.461,9.472,14.325,11.819,10.651,9.965,13.947
2020-06-19T04:00:00Z,13.461,9.571,14.709,11.625,10.553,9.965,13.982
2020-06-19T04:30:00Z,13.461,9.571,14.9,11.236,10.651,10.063,13.851
2020-06-19T05:00:00Z,13.461,9.373,14.613,11.722,10.553,9.866,13.782
2020-06-19T05:30:00Z,13.365,9.472,14.613,11.139,10.357,9.866,13.537
2020-06-19T06:00:00Z,13.558,9.472,14.517,11.139,10.357,9.965,13.947
2020-06-19T06:30:00Z,13.558,9.472,14.421,11.041,10.357,9.965,13.729
2020-06-19T07:00:00Z,13.461,9.373,14.421,11.041,10.651,10.063,13.843
2020-06-19T07:30:00Z,13.461,9.373,14.421,11.528,10.651,9.965,13.695
2020-06-19T08:00:00Z,13.461,9.373,14.421,11.334,10.553,10.063,13.799
2020-06-19T08:30:00Z,13.269,9.373,14.517,11.139,10.651,10.063,13.851
2020-06-19T09:00:00Z,13.269,9.373,14.421,11.236,10.553,9.965,13.956
2020-06-19T09:30:00Z,13.173,9.373,14.325,11.431,10.357,9.866,13.973
2020-06-19T10:00:00Z,13.269,9.472,14.23,11.236,10.259,9.866,13.756
2020-06-19T10:30:00Z,13.173,9.472,14.134,11.334,10.651,9.866,13.799
2020-06-19T11:00:00Z,13.173,9.275,14.134,12.013,10.553,9.866,13.834
2020-06-19T11:30:00Z,13.365,9.373,14.038,11.916,10.748,9.965,13.86
2020-06-19T12:00:00Z,13.365,9.472,13.942,11.916,10.651,9.866,13.729
2020-06-19T12:30:00Z,13.076,9.472,13.846,11.625,10.651,9.965,13.607
2020-06-19T13:00:00Z,13.269,9.571,13.75,11.722,10.553,9.866,13.537
2020-06-19T13:30:00Z,13.076,9.571,13.75,11.625,10.651,9.866,13.494
2020-06-19T14:00:00Z,13.365,9.373,13.75,11.625,10.651,9.866,13.476
2020-06-19T14:30:00Z,13.461,9.472,13.75,11.722,10.651,9.965,13.537
2020-06-19T15:00:00Z,13.558,9.571,13.942,11.722,10.651,9.965,13.537
