"Plot Title: surf_LNG"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889830, SEN S/N: 20889830, LBL: 0 m)","Intensity, Lux (LGR S/N: 20889830, SEN S/N: 20889830, LBL: 0 m)"
1,07/24/20 05:00:00 PM,15.664,753.5
2,07/24/20 05:30:00 PM,15.473,139.9
3,07/24/20 06:00:00 PM,15.378,139.9
4,07/24/20 06:30:00 PM,15.282,43.1
5,07/24/20 07:00:00 PM,14.996,10.8
6,07/24/20 07:30:00 PM,14.517,0.0
7,07/24/20 08:00:00 PM,14.613,10.8
8,07/24/20 08:30:00 PM,14.996,0.0
9,07/24/20 09:00:00 PM,14.804,0.0
10,07/24/20 09:30:00 PM,14.804,0.0
11,07/24/20 10:00:00 PM,14.709,0.0
12,07/24/20 10:30:00 PM,14.613,0.0
13,07/24/20 11:00:00 PM,14.613,0.0
14,07/24/20 11:30:00 PM,14.517,0.0
15,07/25/20 12:00:00 AM,14.517,0.0
16,07/25/20 12:30:00 AM,14.421,0.0
17,07/25/20 01:00:00 AM,14.421,0.0
18,07/25/20 01:30:00 AM,14.421,0.0
19,07/25/20 02:00:00 AM,14.517,0.0
20,07/25/20 02:30:00 AM,14.421,0.0
21,07/25/20 03:00:00 AM,14.325,0.0
22,07/25/20 03:30:00 AM,14.230,0.0
23,07/25/20 04:00:00 AM,14.230,0.0
24,07/25/20 04:30:00 AM,14.134,0.0
25,07/25/20 05:00:00 AM,14.134,0.0
26,07/25/20 05:30:00 AM,14.134,0.0
27,07/25/20 06:00:00 AM,14.038,0.0
28,07/25/20 06:30:00 AM,14.038,10.8
29,07/25/20 07:00:00 AM,13.942,21.5
30,07/25/20 07:30:00 AM,14.038,21.5
31,07/25/20 08:00:00 AM,13.942,32.3
32,07/25/20 08:30:00 AM,14.038,32.3
33,07/25/20 09:00:00 AM,13.942,32.3
34,07/25/20 09:30:00 AM,14.038,344.4
35,07/25/20 10:00:00 AM,14.517,366.0
36,07/25/20 10:30:00 AM,14.613,667.4
37,07/25/20 11:00:00 AM,14.325,355.2
38,07/25/20 11:30:00 AM,14.325,387.5
39,07/25/20 12:00:00 PM,14.421,430.6
40,07/25/20 12:30:00 PM,14.517,495.1
41,07/25/20 01:00:00 PM,14.613,527.4
42,07/25/20 01:30:00 PM,14.804,581.3
43,07/25/20 02:00:00 PM,14.900,570.5
44,07/25/20 02:30:00 PM,14.900,613.5
45,07/25/20 03:00:00 PM,14.709,1011.8
46,07/25/20 03:30:00 PM,14.804,549.0
47,07/25/20 04:00:00 PM,14.709,452.1
48,07/25/20 04:30:00 PM,14.804,462.9
49,07/25/20 05:00:00 PM,14.996,452.1
50,07/25/20 05:30:00 PM,14.996,387.5
51,07/25/20 06:00:00 PM,14.996,366.0
52,07/25/20 06:30:00 PM,15.187,333.7
53,07/25/20 07:00:00 PM,14.996,96.9
54,07/25/20 07:30:00 PM,14.900,75.3
55,07/25/20 08:00:00 PM,14.900,53.8
56,07/25/20 08:30:00 PM,14.900,32.3
57,07/25/20 09:00:00 PM,14.804,10.8
58,07/25/20 09:30:00 PM,14.804,0.0
59,07/25/20 10:00:00 PM,14.709,0.0
60,07/25/20 10:30:00 PM,14.709,0.0
61,07/25/20 11:00:00 PM,14.613,0.0
62,07/25/20 11:30:00 PM,14.613,0.0
63,07/26/20 12:00:00 AM,14.613,0.0
64,07/26/20 12:30:00 AM,14.613,0.0
65,07/26/20 01:00:00 AM,14.613,0.0
66,07/26/20 01:30:00 AM,14.517,0.0
67,07/26/20 02:00:00 AM,14.517,0.0
68,07/26/20 02:30:00 AM,14.421,0.0
69,07/26/20 03:00:00 AM,14.421,0.0
70,07/26/20 03:30:00 AM,14.325,0.0
71,07/26/20 04:00:00 AM,14.325,0.0
72,07/26/20 04:30:00 AM,14.325,0.0
73,07/26/20 05:00:00 AM,14.230,0.0
