"Plot Title: 8_m_LNG"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889818, SEN S/N: 20889818, LBL: 8 m)","Intensity, Lux (LGR S/N: 20889818, SEN S/N: 20889818, LBL: 8 m)"
1,07/24/20 05:00:00 PM,7.682,258.3
2,07/24/20 05:30:00 PM,7.582,96.9
3,07/24/20 06:00:00 PM,7.481,43.1
4,07/24/20 06:30:00 PM,7.381,32.3
5,07/24/20 07:00:00 PM,7.381,0.0
6,07/24/20 07:30:00 PM,7.280,0.0
7,07/24/20 08:00:00 PM,7.381,0.0
8,07/24/20 08:30:00 PM,7.381,0.0
9,07/24/20 09:00:00 PM,7.782,0.0
10,07/24/20 09:30:00 PM,7.782,0.0
11,07/24/20 10:00:00 PM,7.381,0.0
12,07/24/20 10:30:00 PM,7.682,0.0
13,07/24/20 11:00:00 PM,7.280,0.0
14,07/24/20 11:30:00 PM,7.280,0.0
15,07/25/20 12:00:00 AM,7.179,0.0
16,07/25/20 12:30:00 AM,7.179,0.0
17,07/25/20 01:00:00 AM,7.280,0.0
18,07/25/20 01:30:00 AM,7.582,0.0
19,07/25/20 02:00:00 AM,7.481,0.0
20,07/25/20 02:30:00 AM,7.280,0.0
21,07/25/20 03:00:00 AM,7.381,0.0
22,07/25/20 03:30:00 AM,7.381,0.0
23,07/25/20 04:00:00 AM,7.280,0.0
24,07/25/20 04:30:00 AM,7.179,0.0
25,07/25/20 05:00:00 AM,7.280,0.0
26,07/25/20 05:30:00 AM,7.481,0.0
27,07/25/20 06:00:00 AM,7.381,0.0
28,07/25/20 06:30:00 AM,7.481,0.0
29,07/25/20 07:00:00 AM,7.381,0.0
30,07/25/20 07:30:00 AM,7.481,0.0
31,07/25/20 08:00:00 AM,7.481,0.0
32,07/25/20 08:30:00 AM,7.582,0.0
33,07/25/20 09:00:00 AM,7.381,10.8
34,07/25/20 09:30:00 AM,7.381,107.6
35,07/25/20 10:00:00 AM,7.682,129.2
36,07/25/20 10:30:00 AM,7.682,161.5
37,07/25/20 11:00:00 AM,7.682,183.0
38,07/25/20 11:30:00 AM,7.782,215.3
39,07/25/20 12:00:00 PM,7.782,247.6
40,07/25/20 12:30:00 PM,7.782,279.9
41,07/25/20 01:00:00 PM,7.782,312.2
42,07/25/20 01:30:00 PM,7.782,398.3
