"Plot Title: 3_m_UOR"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889813, SEN S/N: 20889813, LBL: 3 m)","Intensity, Lux (LGR S/N: 20889813, SEN S/N: 20889813, LBL: 3 m)"
1,07/08/22 08:00:00 PM,10.846,75.3
2,07/08/22 08:30:00 PM,10.944,43.1
3,07/08/22 09:00:00 PM,10.846,10.8
4,07/08/22 09:30:00 PM,10.846,10.8
5,07/08/22 10:00:00 PM,10.846,0.0
6,07/08/22 10:30:00 PM,11.041,0.0
7,07/08/22 11:00:00 PM,10.748,0.0
8,07/08/22 11:30:00 PM,10.748,0.0
9,07/09/22 12:00:00 AM,10.748,0.0
10,07/09/22 12:30:00 AM,10.944,0.0
11,07/09/22 01:00:00 AM,10.651,0.0
12,07/09/22 01:30:00 AM,10.748,0.0
13,07/09/22 02:00:00 AM,10.846,0.0
14,07/09/22 02:30:00 AM,10.846,0.0
15,07/09/22 03:00:00 AM,10.748,0.0
16,07/09/22 03:30:00 AM,10.846,0.0
17,07/09/22 04:00:00 AM,10.748,0.0
18,07/09/22 04:30:00 AM,10.846,0.0
19,07/09/22 05:00:00 AM,10.748,0.0
20,07/09/22 05:30:00 AM,10.846,0.0
21,07/09/22 06:00:00 AM,10.846,0.0
22,07/09/22 06:30:00 AM,10.846,32.3
23,07/09/22 07:00:00 AM,10.846,53.8
24,07/09/22 07:30:00 AM,10.748,53.8
25,07/09/22 08:00:00 AM,10.748,86.1
26,07/09/22 08:30:00 AM,10.846,107.6
27,07/09/22 09:00:00 AM,10.846,96.9
28,07/09/22 09:30:00 AM,11.139,387.5
29,07/09/22 10:00:00 AM,11.236,473.6
30,07/09/22 10:30:00 AM,11.722,409.0
31,07/09/22 11:00:00 AM,11.722,581.3
32,07/09/22 11:30:00 AM,11.528,516.7
33,07/09/22 12:00:00 PM,12.013,1345.5
34,07/09/22 12:30:00 PM,12.110,1259.4
35,07/09/22 01:00:00 PM,11.625,1076.4
36,07/09/22 01:30:00 PM,11.334,1722.2
37,07/09/22 02:00:00 PM,11.916,1248.6
38,07/09/22 02:30:00 PM,11.722,2411.1
39,07/09/22 03:00:00 PM,11.528,1054.9
40,07/09/22 03:30:00 PM,11.625,1033.3
41,07/09/22 04:00:00 PM,11.916,3616.7
42,07/09/22 04:30:00 PM,11.334,1377.8
43,07/09/22 05:00:00 PM,11.236,2669.5
44,07/09/22 05:30:00 PM,11.431,581.3
45,07/09/22 06:00:00 PM,11.236,861.1
46,07/09/22 06:30:00 PM,11.334,344.4
47,07/09/22 07:00:00 PM,11.236,258.3
48,07/09/22 07:30:00 PM,11.041,301.4
49,07/09/22 08:00:00 PM,10.944,258.3
50,07/09/22 08:30:00 PM,11.236,193.8
51,07/09/22 09:00:00 PM,11.139,96.9
52,07/09/22 09:30:00 PM,11.041,21.5
53,07/09/22 10:00:00 PM,11.139,0.0
54,07/09/22 10:30:00 PM,11.236,0.0
55,07/09/22 11:00:00 PM,11.139,0.0
56,07/09/22 11:30:00 PM,10.846,0.0
57,07/10/22 12:00:00 AM,11.139,0.0
58,07/10/22 12:30:00 AM,10.944,0.0
59,07/10/22 01:00:00 AM,11.236,0.0
60,07/10/22 01:30:00 AM,10.944,0.0
61,07/10/22 02:00:00 AM,11.236,0.0
62,07/10/22 02:30:00 AM,11.041,0.0
63,07/10/22 03:00:00 AM,10.846,0.0
64,07/10/22 03:30:00 AM,10.846,0.0
65,07/10/22 04:00:00 AM,11.139,0.0
66,07/10/22 04:30:00 AM,11.236,0.0
67,07/10/22 05:00:00 AM,11.139,0.0
68,07/10/22 05:30:00 AM,10.846,0.0
69,07/10/22 06:00:00 AM,11.139,0.0
70,07/10/22 06:30:00 AM,11.041,53.8
71,07/10/22 07:00:00 AM,11.139,161.5
72,07/10/22 07:30:00 AM,10.944,150.7
73,07/10/22 08:00:00 AM,11.041,473.6
74,07/10/22 08:30:00 AM,11.334,527.4
75,07/10/22 09:00:00 AM,11.236,398.3
76,07/10/22 09:30:00 AM,11.334,570.5
77,07/10/22 10:00:00 AM,11.334,958.0
78,07/10/22 10:30:00 AM,11.625,1194.8
79,07/10/22 11:00:00 AM,11.722,1377.8
80,07/10/22 11:30:00 AM,12.110,796.5
81,07/10/22 12:00:00 PM,11.916,925.7
82,07/10/22 12:30:00 PM,12.013,947.2
83,07/10/22 01:00:00 PM,11.819,1248.6
84,07/10/22 01:30:00 PM,12.207,2755.6
85,07/10/22 02:00:00 PM,11.431,409.0
86,07/10/22 02:30:00 PM,12.207,1377.8
87,07/10/22 03:00:00 PM,11.722,1636.1
88,07/10/22 03:30:00 PM,12.401,1980.6
89,07/10/22 04:00:00 PM,12.110,1377.8
90,07/10/22 04:30:00 PM,11.625,602.8
91,07/10/22 05:00:00 PM,11.334,602.8
92,07/10/22 05:30:00 PM,11.528,495.1
93,07/10/22 06:00:00 PM,11.528,452.1
94,07/10/22 06:30:00 PM,11.431,344.4
95,07/10/22 07:00:00 PM,11.431,462.9
96,07/10/22 07:30:00 PM,11.334,430.6
97,07/10/22 08:00:00 PM,11.139,301.4
98,07/10/22 08:30:00 PM,11.431,118.4
99,07/10/22 09:00:00 PM,11.431,86.1
100,07/10/22 09:30:00 PM,11.431,0.0
101,07/10/22 10:00:00 PM,11.431,0.0
102,07/10/22 10:30:00 PM,11.528,0.0
103,07/10/22 11:00:00 PM,11.236,0.0
104,07/10/22 11:30:00 PM,11.139,0.0
105,07/11/22 12:00:00 AM,11.236,0.0
106,07/11/22 12:30:00 AM,11.334,0.0
107,07/11/22 01:00:00 AM,11.139,0.0
108,07/11/22 01:30:00 AM,11.236,0.0
109,07/11/22 02:00:00 AM,11.334,0.0
110,07/11/22 02:30:00 AM,11.431,0.0
111,07/11/22 03:00:00 AM,11.139,0.0
112,07/11/22 03:30:00 AM,11.334,0.0
113,07/11/22 04:00:00 AM,11.431,0.0
114,07/11/22 04:30:00 AM,11.236,0.0
115,07/11/22 05:00:00 AM,11.334,0.0
116,07/11/22 05:30:00 AM,11.236,0.0
117,07/11/22 06:00:00 AM,11.334,0.0
118,07/11/22 06:30:00 AM,11.334,43.1
119,07/11/22 07:00:00 AM,11.334,64.6
120,07/11/22 07:30:00 AM,11.431,75.3
121,07/11/22 08:00:00 AM,11.334,86.1
122,07/11/22 08:30:00 AM,11.236,75.3
123,07/11/22 09:00:00 AM,11.236,75.3
124,07/11/22 09:30:00 AM,11.916,473.6
125,07/11/22 10:00:00 AM,12.110,549.0
126,07/11/22 10:30:00 AM,12.207,559.7
127,07/11/22 11:00:00 AM,12.304,656.6
128,07/11/22 11:30:00 AM,12.304,721.2
129,07/11/22 12:00:00 PM,12.497,764.2
130,07/11/22 12:30:00 PM,12.207,1054.9
131,07/11/22 01:00:00 PM,12.401,1141.0
132,07/11/22 01:30:00 PM,12.787,914.9
133,07/11/22 02:00:00 PM,12.497,3444.5
134,07/11/22 02:30:00 PM,12.110,3272.2
135,07/11/22 03:00:00 PM,12.401,3100.0
136,07/11/22 03:30:00 PM,12.401,4650.0
137,07/11/22 04:00:00 PM,12.497,5338.9
138,07/11/22 04:30:00 PM,12.497,3616.7
139,07/11/22 05:00:00 PM,12.304,5511.1
140,07/11/22 05:30:00 PM,12.207,4994.5
141,07/11/22 06:00:00 PM,12.110,6200.0
142,07/11/22 06:30:00 PM,11.916,3961.1
143,07/11/22 07:00:00 PM,12.207,5166.7
144,07/11/22 07:30:00 PM,12.110,161.5
145,07/11/22 08:00:00 PM,11.431,129.2
146,07/11/22 08:30:00 PM,11.722,96.9
147,07/11/22 09:00:00 PM,11.528,64.6
148,07/11/22 09:30:00 PM,11.819,10.8
149,07/11/22 10:00:00 PM,12.013,0.0
150,07/11/22 10:30:00 PM,11.722,0.0
151,07/11/22 11:00:00 PM,11.722,0.0
152,07/11/22 11:30:00 PM,11.819,0.0
153,07/12/22 12:00:00 AM,11.722,0.0
154,07/12/22 12:30:00 AM,11.916,0.0
155,07/12/22 01:00:00 AM,11.819,0.0
156,07/12/22 01:30:00 AM,11.722,0.0
157,07/12/22 02:00:00 AM,11.722,0.0
158,07/12/22 02:30:00 AM,11.722,0.0
159,07/12/22 03:00:00 AM,11.722,0.0
160,07/12/22 03:30:00 AM,11.722,0.0
161,07/12/22 04:00:00 AM,11.722,0.0
162,07/12/22 04:30:00 AM,11.722,0.0
163,07/12/22 05:00:00 AM,11.722,0.0
164,07/12/22 05:30:00 AM,11.722,0.0
165,07/12/22 06:00:00 AM,11.722,0.0
166,07/12/22 06:30:00 AM,11.819,32.3
167,07/12/22 07:00:00 AM,11.819,64.6
168,07/12/22 07:30:00 AM,11.722,75.3
169,07/12/22 08:00:00 AM,11.722,86.1
170,07/12/22 08:30:00 AM,11.722,86.1
171,07/12/22 09:00:00 AM,11.722,86.1
172,07/12/22 09:30:00 AM,12.110,473.6
173,07/12/22 10:00:00 AM,12.497,581.3
174,07/12/22 10:30:00 AM,12.497,678.1
175,07/12/22 11:00:00 AM,12.497,1173.3
176,07/12/22 11:30:00 AM,12.594,947.2
177,07/12/22 12:00:00 PM,12.980,1022.6
178,07/12/22 12:30:00 PM,12.980,1550.0
179,07/12/22 01:00:00 PM,12.401,968.8
180,07/12/22 01:30:00 PM,12.594,818.1
181,07/12/22 02:00:00 PM,13.173,839.6
182,07/12/22 02:30:00 PM,13.269,753.5
183,07/12/22 03:00:00 PM,13.173,818.1
184,07/12/22 03:30:00 PM,13.173,742.7
185,07/12/22 04:00:00 PM,13.173,785.8
