"","datetime","irr_0","irr_2","irr_3","irr_4","irr_5"
"1",2022-07-08 20:00:00,667.4,1237.9,75.3,107.6,495.1
"2",2022-07-08 20:30:00,193.8,441.3,43.1,32.3,215.3
"3",2022-07-08 21:00:00,139.9,312.2,10.8,10.8,118.4
"4",2022-07-08 21:30:00,21.5,43.1,10.8,0,53.8
"5",2022-07-08 22:00:00,0,0,0,0,0
"6",2022-07-08 22:30:00,0,0,0,0,0
"7",2022-07-08 23:00:00,0,0,0,0,0
"8",2022-07-08 23:30:00,0,0,0,0,0
"9",2022-07-09 00:00:00,0,0,0,0,0
"10",2022-07-09 00:30:00,0,0,0,0,0
"11",2022-07-09 01:00:00,0,0,0,0,0
"12",2022-07-09 01:30:00,0,0,0,0,0
"13",2022-07-09 02:00:00,0,0,0,0,0
"14",2022-07-09 02:30:00,0,0,0,0,0
"15",2022-07-09 03:00:00,0,0,0,0,0
"16",2022-07-09 03:30:00,0,0,0,0,0
"17",2022-07-09 04:00:00,0,0,0,0,0
"18",2022-07-09 04:30:00,0,0,0,0,0
"19",2022-07-09 05:00:00,0,0,0,0,0
"20",2022-07-09 05:30:00,0,0,0,0,0
"21",2022-07-09 06:00:00,21.5,53.8,0,0,32.3
"22",2022-07-09 06:30:00,107.6,193.8,32.3,10.8,161.5
"23",2022-07-09 07:00:00,172.2,322.9,53.8,32.3,269.1
"24",2022-07-09 07:30:00,204.5,355.2,53.8,32.3,301.4
"25",2022-07-09 08:00:00,269.1,462.9,86.1,53.8,419.8
"26",2022-07-09 08:30:00,301.4,516.7,107.6,64.6,516.7
"27",2022-07-09 09:00:00,355.2,430.6,96.9,107.6,441.3
"28",2022-07-09 09:30:00,5166.7,2755.6,387.5,1550,1808.3
"29",2022-07-09 10:00:00,6200,4133.4,473.6,1894.5,2497.2
"30",2022-07-09 10:30:00,7233.4,21355.7,409,699.7,2238.9
"31",2022-07-09 11:00:00,5511.1,15155.7,581.3,505.9,3788.9
"32",2022-07-09 11:30:00,10333.4,8611.2,516.7,1356.3,3616.7
"33",2022-07-09 12:00:00,4477.8,6544.5,1345.5,635.1,10677.8
"34",2022-07-09 12:30:00,5511.1,8266.7,1259.4,688.9,10333.4
"35",2022-07-09 13:00:00,2583.4,3100,1076.4,667.4,5166.7
"36",2022-07-09 13:30:00,8611.2,5511.1,1722.2,2152.8,11711.2
"37",2022-07-09 14:00:00,13777.9,8611.2,1248.6,2325,9300.1
"38",2022-07-09 14:30:00,5338.9,5511.1,2411.1,1108.7,11022.3
"39",2022-07-09 15:00:00,4994.5,4650,1054.9,1377.8,6200
"40",2022-07-09 15:30:00,2583.4,2755.6,1033.3,968.8,4822.3
"41",2022-07-09 16:00:00,4477.8,3788.9,3616.7,1894.5,15155.7
"42",2022-07-09 16:30:00,1980.6,2755.6,1377.8,473.6,5511.1
"43",2022-07-09 17:00:00,4477.8,2927.8,2669.5,2927.8,11022.3
"44",2022-07-09 17:30:00,1550,1313.2,581.3,667.4,2497.2
"45",2022-07-09 18:00:00,1162.5,1248.6,861.1,376.7,1377.8
"46",2022-07-09 18:30:00,484.4,592,344.4,139.9,828.8
"47",2022-07-09 19:00:00,699.7,1722.2,258.3,107.6,1011.8
"48",2022-07-09 19:30:00,344.4,549,301.4,96.9,742.7
"49",2022-07-09 20:00:00,301.4,495.1,258.3,86.1,613.5
"50",2022-07-09 20:30:00,183,226,193.8,53.8,376.7
"51",2022-07-09 21:00:00,96.9,129.2,96.9,21.5,183
"52",2022-07-09 21:30:00,21.5,32.3,21.5,0,43.1
"53",2022-07-09 22:00:00,0,0,0,0,0
"54",2022-07-09 22:30:00,0,0,0,0,0
"55",2022-07-09 23:00:00,0,0,0,0,0
"56",2022-07-09 23:30:00,0,0,0,0,0
"57",2022-07-10 00:00:00,0,0,0,0,0
"58",2022-07-10 00:30:00,0,0,0,0,0
"59",2022-07-10 01:00:00,0,0,0,0,0
"60",2022-07-10 01:30:00,0,0,0,0,0
"61",2022-07-10 02:00:00,0,0,0,0,0
"62",2022-07-10 02:30:00,0,0,0,0,0
"63",2022-07-10 03:00:00,0,0,0,0,0
"64",2022-07-10 03:30:00,0,0,0,0,0
"65",2022-07-10 04:00:00,0,0,0,0,0
"66",2022-07-10 04:30:00,0,0,0,0,0
"67",2022-07-10 05:00:00,0,0,0,0,0
"68",2022-07-10 05:30:00,0,0,0,0,0
"69",2022-07-10 06:00:00,10.8,21.5,0,0,21.5
"70",2022-07-10 06:30:00,86.1,107.6,53.8,21.5,118.4
"71",2022-07-10 07:00:00,247.6,290.6,161.5,75.3,355.2
