"Plot Title: 10_m_MCD"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889824, SEN S/N: 20889824, LBL: 10 m)","Intensity, Lux (LGR S/N: 20889824, SEN S/N: 20889824, LBL: 10 m)"
1,07/27/20 05:00:00 PM,11.722,2669.5
2,07/27/20 05:30:00 PM,11.528,1894.5
3,07/27/20 06:00:00 PM,11.139,2755.6
4,07/27/20 06:30:00 PM,11.139,1980.6
5,07/27/20 07:00:00 PM,10.748,1377.8
6,07/27/20 07:30:00 PM,11.041,570.5
7,07/27/20 08:00:00 PM,11.041,376.7
8,07/27/20 08:30:00 PM,11.139,204.5
9,07/27/20 09:00:00 PM,11.139,53.8
10,07/27/20 09:30:00 PM,11.334,0.0
11,07/27/20 10:00:00 PM,11.625,0.0
12,07/27/20 10:30:00 PM,11.236,0.0
13,07/27/20 11:00:00 PM,11.334,0.0
14,07/27/20 11:30:00 PM,10.455,0.0
15,07/28/20 12:00:00 AM,10.259,0.0
16,07/28/20 12:30:00 AM,9.768,0.0
17,07/28/20 01:00:00 AM,9.669,0.0
18,07/28/20 01:30:00 AM,9.965,0.0
19,07/28/20 02:00:00 AM,9.965,0.0
20,07/28/20 02:30:00 AM,10.357,0.0
21,07/28/20 03:00:00 AM,10.651,0.0
22,07/28/20 03:30:00 AM,11.236,0.0
23,07/28/20 04:00:00 AM,11.236,0.0
24,07/28/20 04:30:00 AM,10.651,0.0
25,07/28/20 05:00:00 AM,11.139,0.0
26,07/28/20 05:30:00 AM,10.944,0.0
27,07/28/20 06:00:00 AM,10.944,0.0
28,07/28/20 06:30:00 AM,10.748,64.6
29,07/28/20 07:00:00 AM,11.041,139.9
30,07/28/20 07:30:00 AM,10.846,290.6
31,07/28/20 08:00:00 AM,11.139,452.1
32,07/28/20 08:30:00 AM,11.431,1291.7
33,07/28/20 09:00:00 AM,11.431,1345.5
34,07/28/20 09:30:00 AM,11.041,1377.8
35,07/28/20 10:00:00 AM,11.139,1722.2
36,07/28/20 10:30:00 AM,11.236,2238.9
37,07/28/20 11:00:00 AM,11.139,4477.8
38,07/28/20 11:30:00 AM,11.139,5338.9
39,07/28/20 12:00:00 PM,11.139,5511.1
40,07/28/20 12:30:00 PM,10.748,5166.7
41,07/28/20 01:00:00 PM,10.651,5511.1
42,07/28/20 01:30:00 PM,10.651,5511.1
43,07/28/20 02:00:00 PM,10.944,4133.4
44,07/28/20 02:30:00 PM,11.431,5166.7
45,07/28/20 03:00:00 PM,11.625,3444.5
46,07/28/20 03:30:00 PM,11.819,3788.9
47,07/28/20 04:00:00 PM,11.819,4305.6
48,07/28/20 04:30:00 PM,11.722,4305.6
