"Plot Title: 7_m_MIS"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20641371, SEN S/N: 20641371, LBL: 7 m)","Intensity, lum/ft² (LGR S/N: 20641371, SEN S/N: 20641371, LBL: 7 m)"
1,07/08/22 08:00:00 PM,5.552,13.0
2,07/08/22 08:30:00 PM,5.757,8.0
3,07/08/22 09:00:00 PM,5.655,5.0
4,07/08/22 09:30:00 PM,5.655,1.0
5,07/08/22 10:00:00 PM,5.655,0.0
6,07/08/22 10:30:00 PM,5.655,0.0
7,07/08/22 11:00:00 PM,5.655,0.0
8,07/08/22 11:30:00 PM,5.860,0.0
9,07/09/22 12:00:00 AM,5.450,0.0
10,07/09/22 12:30:00 AM,5.655,0.0
11,07/09/22 01:00:00 AM,5.655,0.0
12,07/09/22 01:30:00 AM,5.552,0.0
13,07/09/22 02:00:00 AM,5.655,0.0
14,07/09/22 02:30:00 AM,5.757,0.0
15,07/09/22 03:00:00 AM,5.757,0.0
16,07/09/22 03:30:00 AM,5.655,0.0
17,07/09/22 04:00:00 AM,5.655,0.0
18,07/09/22 04:30:00 AM,5.655,0.0
19,07/09/22 05:00:00 AM,5.655,0.0
20,07/09/22 05:30:00 AM,5.655,0.0
21,07/09/22 06:00:00 AM,5.552,1.0
22,07/09/22 06:30:00 AM,5.655,6.0
23,07/09/22 07:00:00 AM,5.757,12.0
24,07/09/22 07:30:00 AM,5.655,19.0
25,07/09/22 08:00:00 AM,5.655,200.0
26,07/09/22 08:30:00 AM,5.860,113.0
27,07/09/22 09:00:00 AM,5.757,160.0
28,07/09/22 09:30:00 AM,5.757,46.0
29,07/09/22 10:00:00 AM,5.757,45.0
30,07/09/22 10:30:00 AM,5.757,80.0
31,07/09/22 11:00:00 AM,5.757,61.0
32,07/09/22 11:30:00 AM,5.860,160.0
33,07/09/22 12:00:00 PM,5.860,176.0
34,07/09/22 12:30:00 PM,5.962,184.0
35,07/09/22 01:00:00 PM,5.962,216.0
36,07/09/22 01:30:00 PM,5.757,176.0
37,07/09/22 02:00:00 PM,5.757,176.0
38,07/09/22 02:30:00 PM,5.860,136.0
39,07/09/22 03:00:00 PM,5.860,100.0
40,07/09/22 03:30:00 PM,5.962,89.0
41,07/09/22 04:00:00 PM,5.860,98.0
42,07/09/22 04:30:00 PM,5.757,43.0
43,07/09/22 05:00:00 PM,5.860,49.0
44,07/09/22 05:30:00 PM,5.860,44.0
45,07/09/22 06:00:00 PM,5.962,34.0
46,07/09/22 06:30:00 PM,5.860,23.0
47,07/09/22 07:00:00 PM,5.757,24.0
48,07/09/22 07:30:00 PM,5.757,23.0
49,07/09/22 08:00:00 PM,5.962,11.0
50,07/09/22 08:30:00 PM,5.860,7.0
51,07/09/22 09:00:00 PM,5.860,4.0
52,07/09/22 09:30:00 PM,5.860,0.0
53,07/09/22 10:00:00 PM,5.860,0.0
54,07/09/22 10:30:00 PM,5.757,0.0
55,07/09/22 11:00:00 PM,5.757,0.0
56,07/09/22 11:30:00 PM,5.655,0.0
57,07/10/22 12:00:00 AM,5.860,0.0
58,07/10/22 12:30:00 AM,5.962,0.0
59,07/10/22 01:00:00 AM,6.064,0.0
60,07/10/22 01:30:00 AM,5.757,0.0
61,07/10/22 02:00:00 AM,5.860,0.0
62,07/10/22 02:30:00 AM,5.860,0.0
63,07/10/22 03:00:00 AM,5.757,0.0
64,07/10/22 03:30:00 AM,5.757,0.0
65,07/10/22 04:00:00 AM,5.860,0.0
66,07/10/22 04:30:00 AM,5.860,0.0
67,07/10/22 05:00:00 AM,5.962,0.0
68,07/10/22 05:30:00 AM,5.860,0.0
69,07/10/22 06:00:00 AM,5.757,0.0
70,07/10/22 06:30:00 AM,5.757,6.0
71,07/10/22 07:00:00 AM,5.860,15.0
72,07/10/22 07:30:00 AM,5.860,15.0
73,07/10/22 08:00:00 AM,5.962,29.0
74,07/10/22 08:30:00 AM,5.655,25.0
75,07/10/22 09:00:00 AM,5.860,40.0
76,07/10/22 09:30:00 AM,5.757,31.0
77,07/10/22 10:00:00 AM,6.166,115.0
78,07/10/22 10:30:00 AM,5.860,109.0
79,07/10/22 11:00:00 AM,5.860,38.0
80,07/10/22 11:30:00 AM,5.962,125.0
81,07/10/22 12:00:00 PM,6.064,152.0
82,07/10/22 12:30:00 PM,5.860,56.0
83,07/10/22 01:00:00 PM,6.064,184.0
84,07/10/22 01:30:00 PM,5.962,34.0
85,07/10/22 02:00:00 PM,6.064,240.0
86,07/10/22 02:30:00 PM,5.962,400.0
87,07/10/22 03:00:00 PM,5.962,288.0
88,07/10/22 03:30:00 PM,6.166,304.0
89,07/10/22 04:00:00 PM,6.268,464.0
90,07/10/22 04:30:00 PM,5.757,60.0
91,07/10/22 05:00:00 PM,6.166,64.0
92,07/10/22 05:30:00 PM,5.860,52.0
93,07/10/22 06:00:00 PM,6.064,256.0
94,07/10/22 06:30:00 PM,5.962,55.0
95,07/10/22 07:00:00 PM,5.962,25.0
96,07/10/22 07:30:00 PM,5.962,27.0
97,07/10/22 08:00:00 PM,5.962,20.0
98,07/10/22 08:30:00 PM,5.962,8.0
99,07/10/22 09:00:00 PM,5.962,5.0
100,07/10/22 09:30:00 PM,5.962,0.0
101,07/10/22 10:00:00 PM,6.064,0.0
102,07/10/22 10:30:00 PM,5.962,0.0
103,07/10/22 11:00:00 PM,5.860,0.0
104,07/10/22 11:30:00 PM,5.962,0.0
105,07/11/22 12:00:00 AM,5.962,0.0
106,07/11/22 12:30:00 AM,5.860,0.0
107,07/11/22 01:00:00 AM,5.860,0.0
108,07/11/22 01:30:00 AM,6.064,0.0
109,07/11/22 02:00:00 AM,5.860,0.0
110,07/11/22 02:30:00 AM,5.962,0.0
111,07/11/22 03:00:00 AM,5.860,0.0
112,07/11/22 03:30:00 AM,5.962,0.0
113,07/11/22 04:00:00 AM,5.962,0.0
114,07/11/22 04:30:00 AM,5.962,0.0
115,07/11/22 05:00:00 AM,5.757,0.0
116,07/11/22 05:30:00 AM,5.962,0.0
117,07/11/22 06:00:00 AM,6.166,1.0
118,07/11/22 06:30:00 AM,5.860,5.0
119,07/11/22 07:00:00 AM,5.962,17.0
120,07/11/22 07:30:00 AM,5.962,83.0
121,07/11/22 08:00:00 AM,6.064,184.0
122,07/11/22 08:30:00 AM,6.064,128.0
123,07/11/22 09:00:00 AM,6.166,304.0
124,07/11/22 09:30:00 AM,5.962,256.0
125,07/11/22 10:00:00 AM,6.064,58.0
126,07/11/22 10:30:00 AM,6.064,86.0
127,07/11/22 11:00:00 AM,6.166,70.0
128,07/11/22 11:30:00 AM,6.064,168.0
129,07/11/22 12:00:00 PM,6.064,26.0
130,07/11/22 12:30:00 PM,6.166,101.0
131,07/11/22 01:00:00 PM,6.166,119.0
132,07/11/22 01:30:00 PM,6.064,160.0
