"","datetime","wtr_0","wtr_10","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_1"
"1",2022-07-08 20:00:00,15.569,5.141,11.819,10.259,8.581,7.179,5.962,5.552,5.347,5.244,12.906
"2",2022-07-08 20:30:00,15.855,5.037,11.722,9.965,8.382,7.179,6.064,5.757,5.45,5.347,13.398
"3",2022-07-08 21:00:00,15.855,5.037,11.528,10.161,8.481,7.381,6.064,5.655,5.347,5.244,12.818
"4",2022-07-08 21:30:00,15.664,5.037,11.916,10.259,8.779,7.079,5.86,5.655,5.347,5.347,13.17
"5",2022-07-08 22:00:00,15.569,5.141,11.722,9.669,8.581,6.978,5.962,5.655,5.347,5.347,13.546
"6",2022-07-08 22:30:00,15.664,5.037,11.722,9.866,8.68,7.179,6.166,5.655,5.347,5.347,12.88
"7",2022-07-08 23:00:00,15.378,5.141,11.819,10.063,8.082,7.079,6.064,5.655,5.347,5.347,13.266
"8",2022-07-08 23:30:00,15.187,5.244,11.722,9.669,8.182,7.381,6.573,5.86,5.45,5.347,13.275
"9",2022-07-09 00:00:00,14.996,5.141,11.722,10.063,8.282,7.28,5.962,5.45,5.347,5.141,13.398
"10",2022-07-09 00:30:00,14.9,5.141,11.528,9.866,8.68,7.079,6.064,5.655,5.552,5.347,13.161
"11",2022-07-09 01:00:00,14.804,5.141,11.625,9.768,8.481,6.978,6.064,5.655,5.347,5.244,13.345
"12",2022-07-09 01:30:00,14.613,5.141,11.528,9.866,8.481,7.179,6.166,5.552,5.347,5.244,13.354
"13",2022-07-09 02:00:00,14.517,5.141,11.625,10.259,8.282,7.179,6.166,5.655,5.347,5.347,13.17
"14",2022-07-09 02:30:00,14.325,5.037,11.722,9.965,8.282,7.079,6.268,5.757,5.45,5.347,12.977
"15",2022-07-09 03:00:00,14.23,5.037,11.722,9.965,8.382,7.179,6.064,5.757,5.347,5.244,13.179
"16",2022-07-09 03:30:00,14.23,5.037,11.722,9.866,8.382,7.28,6.064,5.655,5.347,5.244,13.108
"17",2022-07-09 04:00:00,14.23,5.037,11.528,10.063,8.481,7.079,6.166,5.655,5.347,5.244,13.021
"18",2022-07-09 04:30:00,14.23,5.141,11.528,9.866,8.481,7.179,5.962,5.655,5.45,5.347,13.284
"19",2022-07-09 05:00:00,14.038,5.037,11.722,9.866,8.182,7.381,6.166,5.655,5.347,5.347,13.266
"20",2022-07-09 05:30:00,14.038,5.037,11.334,10.063,8.581,7.381,6.064,5.655,5.347,5.244,13.135
"21",2022-07-09 06:00:00,13.942,5.141,11.625,10.063,8.481,7.079,6.064,5.552,5.347,5.347,12.906
"22",2022-07-09 06:30:00,13.942,5.141,11.819,10.063,8.382,6.978,6.166,5.655,5.45,5.347,12.774
"23",2022-07-09 07:00:00,13.942,5.037,11.916,9.866,8.382,7.179,6.166,5.757,5.347,5.347,12.889
"24",2022-07-09 07:30:00,14.038,5.037,11.722,10.063,8.779,7.381,6.166,5.655,5.45,5.244,12.889
"25",2022-07-09 08:00:00,13.942,5.141,12.11,10.161,8.68,7.28,6.268,5.655,5.45,5.347,13.003
"26",2022-07-09 08:30:00,14.038,5.141,12.013,10.357,8.68,7.481,6.37,5.86,5.45,5.347,13.021
"27",2022-07-09 09:00:00,14.038,5.141,12.207,10.357,8.779,7.28,6.471,5.757,5.45,5.244,12.854
"28",2022-07-09 09:30:00,14.709,5.244,12.401,10.553,8.779,7.582,6.268,5.757,5.552,5.347,12.941
"29",2022-07-09 10:00:00,15.091,5.244,12.787,10.748,8.581,7.381,6.268,5.757,5.757,5.45,13.012
"30",2022-07-09 10:30:00,15.187,5.347,12.787,10.748,8.978,7.882,6.37,5.757,5.552,5.45,12.977
"31",2022-07-09 11:00:00,15.473,5.347,13.076,10.651,9.176,7.582,6.166,5.757,5.655,5.45,13.091
"32",2022-07-09 11:30:00,15.569,5.347,12.69,10.846,9.275,7.782,6.674,5.86,5.86,5.45,13.17
"33",2022-07-09 12:00:00,14.709,5.347,12.69,10.944,9.077,7.682,6.573,5.86,5.655,5.45,13.275
"34",2022-07-09 12:30:00,15.378,5.347,13.269,10.846,8.68,7.882,6.775,5.962,6.064,5.45,13.214
"35",2022-07-09 13:00:00,15.664,5.347,13.654,10.651,8.879,8.082,6.877,5.962,6.064,5.552,13.336
"36",2022-07-09 13:30:00,15.569,5.244,13.558,10.455,9.373,8.182,6.674,5.757,5.86,5.45,13.179
