"Plot Title: 4_m_CLT"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889805, SEN S/N: 20889805, LBL: 4 m)","Intensity, Lux (LGR S/N: 20889805, SEN S/N: 20889805, LBL: 4 m)"
1,06/17/21 04:00:00 PM,9.768,2669.5
2,06/17/21 04:30:00 PM,10.063,2411.1
3,06/17/21 05:00:00 PM,10.455,2152.8
4,06/17/21 05:30:00 PM,9.571,958.0
5,06/17/21 06:00:00 PM,10.161,828.8
6,06/17/21 06:30:00 PM,9.866,807.3
7,06/17/21 07:00:00 PM,9.866,624.3
8,06/17/21 07:30:00 PM,10.161,452.1
9,06/17/21 08:00:00 PM,10.063,333.7
10,06/17/21 08:30:00 PM,9.866,183.0
11,06/17/21 09:00:00 PM,10.161,43.1
12,06/17/21 09:30:00 PM,10.161,10.8
13,06/17/21 10:00:00 PM,10.161,0.0
14,06/17/21 10:30:00 PM,10.357,0.0
15,06/17/21 11:00:00 PM,10.553,0.0
16,06/17/21 11:30:00 PM,10.553,0.0
17,06/18/21 12:00:00 AM,10.357,0.0
18,06/18/21 12:30:00 AM,10.259,0.0
19,06/18/21 01:00:00 AM,10.357,0.0
20,06/18/21 01:30:00 AM,10.651,0.0
21,06/18/21 02:00:00 AM,10.357,0.0
22,06/18/21 02:30:00 AM,9.768,0.0
23,06/18/21 03:00:00 AM,10.161,0.0
24,06/18/21 03:30:00 AM,9.866,0.0
25,06/18/21 04:00:00 AM,9.768,0.0
26,06/18/21 04:30:00 AM,9.866,0.0
27,06/18/21 05:00:00 AM,10.455,0.0
28,06/18/21 05:30:00 AM,10.553,0.0
29,06/18/21 06:00:00 AM,10.553,21.5
30,06/18/21 06:30:00 AM,9.669,43.1
31,06/18/21 07:00:00 AM,10.161,193.8
32,06/18/21 07:30:00 AM,9.866,344.4
33,06/18/21 08:00:00 AM,10.161,484.4
34,06/18/21 08:30:00 AM,10.063,592.0
35,06/18/21 09:00:00 AM,9.768,678.1
36,06/18/21 09:30:00 AM,10.063,796.5
37,06/18/21 10:00:00 AM,10.259,925.7
38,06/18/21 10:30:00 AM,10.259,1001.0
39,06/18/21 11:00:00 AM,10.063,1151.7
40,06/18/21 11:30:00 AM,10.259,1237.9
41,06/18/21 12:00:00 PM,10.161,1248.6
42,06/18/21 12:30:00 PM,10.063,1291.7
43,06/18/21 01:00:00 PM,10.161,1291.7
44,06/18/21 01:30:00 PM,10.259,1345.5
45,06/18/21 02:00:00 PM,10.455,1313.2
46,06/18/21 02:30:00 PM,10.553,1302.4
47,06/18/21 03:00:00 PM,10.357,1313.2
48,06/18/21 03:30:00 PM,10.357,1345.5
49,06/18/21 04:00:00 PM,10.651,1377.8
50,06/18/21 04:30:00 PM,10.651,1259.4
51,06/18/21 05:00:00 PM,10.651,1237.9
52,06/18/21 05:30:00 PM,10.553,1076.4
53,06/18/21 06:00:00 PM,10.748,1022.6
54,06/18/21 06:30:00 PM,10.259,914.9
55,06/18/21 07:00:00 PM,10.063,645.8
56,06/18/21 07:30:00 PM,9.571,495.1
57,06/18/21 08:00:00 PM,10.161,344.4
58,06/18/21 08:30:00 PM,10.259,183.0
59,06/18/21 09:00:00 PM,10.455,32.3
60,06/18/21 09:30:00 PM,10.651,0.0
61,06/18/21 10:00:00 PM,10.161,0.0
62,06/18/21 10:30:00 PM,10.357,0.0
63,06/18/21 11:00:00 PM,10.357,0.0
64,06/18/21 11:30:00 PM,10.553,0.0
65,06/19/21 12:00:00 AM,10.651,0.0
66,06/19/21 12:30:00 AM,10.748,0.0
67,06/19/21 01:00:00 AM,10.161,0.0
68,06/19/21 01:30:00 AM,10.063,0.0
69,06/19/21 02:00:00 AM,9.866,0.0
70,06/19/21 02:30:00 AM,10.063,0.0
71,06/19/21 03:00:00 AM,9.768,0.0
72,06/19/21 03:30:00 AM,9.965,0.0
73,06/19/21 04:00:00 AM,10.161,0.0
74,06/19/21 04:30:00 AM,10.161,0.0
75,06/19/21 05:00:00 AM,10.357,0.0
76,06/19/21 05:30:00 AM,10.357,0.0
77,06/19/21 06:00:00 AM,10.455,21.5
78,06/19/21 06:30:00 AM,10.748,53.8
79,06/19/21 07:00:00 AM,10.357,236.8
80,06/19/21 07:30:00 AM,10.455,387.5
81,06/19/21 08:00:00 AM,10.651,322.9
82,06/19/21 08:30:00 AM,10.357,656.6
83,06/19/21 09:00:00 AM,10.259,710.4
84,06/19/21 09:30:00 AM,10.357,1044.1
85,06/19/21 10:00:00 AM,10.357,1001.0
86,06/19/21 10:30:00 AM,10.357,1227.1
87,06/19/21 11:00:00 AM,10.357,1280.9
88,06/19/21 11:30:00 AM,10.161,796.5
89,06/19/21 12:00:00 PM,10.651,1463.9
90,06/19/21 12:30:00 PM,10.748,1550.0
91,06/19/21 01:00:00 PM,10.455,1141.0
92,06/19/21 01:30:00 PM,10.651,1463.9
93,06/19/21 02:00:00 PM,10.846,1022.6
94,06/19/21 02:30:00 PM,11.236,850.4
95,06/19/21 03:00:00 PM,10.944,1130.2
96,06/19/21 03:30:00 PM,10.455,678.1
97,06/19/21 04:00:00 PM,10.553,1334.7
98,06/19/21 04:30:00 PM,9.965,688.9
99,06/19/21 05:00:00 PM,10.259,667.4
100,06/19/21 05:30:00 PM,10.455,667.4
101,06/19/21 06:00:00 PM,10.455,366.0
102,06/19/21 06:30:00 PM,10.161,398.3
103,06/19/21 07:00:00 PM,10.259,516.7
104,06/19/21 07:30:00 PM,10.063,355.2
105,06/19/21 08:00:00 PM,10.846,150.7
106,06/19/21 08:30:00 PM,10.748,32.3
107,06/19/21 09:00:00 PM,10.553,10.8
108,06/19/21 09:30:00 PM,10.944,0.0
109,06/19/21 10:00:00 PM,11.041,0.0
110,06/19/21 10:30:00 PM,10.651,0.0
111,06/19/21 11:00:00 PM,10.455,0.0
112,06/19/21 11:30:00 PM,10.161,0.0
113,06/20/21 12:00:00 AM,9.571,0.0
114,06/20/21 12:30:00 AM,9.866,0.0
115,06/20/21 01:00:00 AM,10.357,0.0
116,06/20/21 01:30:00 AM,10.651,0.0
117,06/20/21 02:00:00 AM,10.846,0.0
118,06/20/21 02:30:00 AM,10.748,0.0
119,06/20/21 03:00:00 AM,10.357,0.0
120,06/20/21 03:30:00 AM,10.553,0.0
121,06/20/21 04:00:00 AM,10.651,0.0
122,06/20/21 04:30:00 AM,10.455,0.0
123,06/20/21 05:00:00 AM,10.259,0.0
124,06/20/21 05:30:00 AM,10.651,0.0
125,06/20/21 06:00:00 AM,10.748,10.8
126,06/20/21 06:30:00 AM,10.553,43.1
127,06/20/21 07:00:00 AM,10.455,43.1
128,06/20/21 07:30:00 AM,10.259,107.6
129,06/20/21 08:00:00 AM,10.357,247.6
130,06/20/21 08:30:00 AM,10.357,398.3
131,06/20/21 09:00:00 AM,10.455,527.4
132,06/20/21 09:30:00 AM,10.357,871.9
133,06/20/21 10:00:00 AM,10.455,1022.6
134,06/20/21 10:30:00 AM,10.651,818.1
135,06/20/21 11:00:00 AM,10.748,538.2
136,06/20/21 11:30:00 AM,11.334,1141.0
137,06/20/21 12:00:00 PM,11.236,1044.1
138,06/20/21 12:30:00 PM,10.357,936.5
139,06/20/21 01:00:00 PM,10.455,1722.2
140,06/20/21 01:30:00 PM,10.651,2497.2
141,06/20/21 02:00:00 PM,10.161,1463.9
142,06/20/21 02:30:00 PM,10.455,1237.9
143,06/20/21 03:00:00 PM,10.357,1097.9
144,06/20/21 03:30:00 PM,10.357,904.2
145,06/20/21 04:00:00 PM,10.259,1550.0
146,06/20/21 04:30:00 PM,10.651,1087.2
147,06/20/21 05:00:00 PM,10.748,1065.6
148,06/20/21 05:30:00 PM,10.553,839.6
149,06/20/21 06:00:00 PM,10.748,635.1
150,06/20/21 06:30:00 PM,10.748,721.2
151,06/20/21 07:00:00 PM,10.651,871.9
152,06/20/21 07:30:00 PM,10.846,936.5
153,06/20/21 08:00:00 PM,10.846,613.5
154,06/20/21 08:30:00 PM,11.139,344.4
155,06/20/21 09:00:00 PM,10.748,75.3
156,06/20/21 09:30:00 PM,10.357,10.8
157,06/20/21 10:00:00 PM,10.748,0.0
158,06/20/21 10:30:00 PM,11.139,0.0
159,06/20/21 11:00:00 PM,10.944,0.0
160,06/20/21 11:30:00 PM,10.553,0.0
161,06/21/21 12:00:00 AM,10.748,0.0
162,06/21/21 12:30:00 AM,10.651,0.0
163,06/21/21 01:00:00 AM,10.651,0.0
164,06/21/21 01:30:00 AM,10.651,0.0
165,06/21/21 02:00:00 AM,10.063,0.0
166,06/21/21 02:30:00 AM,10.455,0.0
167,06/21/21 03:00:00 AM,10.748,0.0
168,06/21/21 03:30:00 AM,10.553,0.0
169,06/21/21 04:00:00 AM,10.651,0.0
170,06/21/21 04:30:00 AM,10.846,0.0
171,06/21/21 05:00:00 AM,10.651,0.0
172,06/21/21 05:30:00 AM,10.455,0.0
173,06/21/21 06:00:00 AM,10.455,10.8
174,06/21/21 06:30:00 AM,10.455,43.1
175,06/21/21 07:00:00 AM,10.455,161.5
176,06/21/21 07:30:00 AM,10.357,387.5
177,06/21/21 08:00:00 AM,10.357,570.5
178,06/21/21 08:30:00 AM,10.553,753.5
179,06/21/21 09:00:00 AM,10.748,914.9
180,06/21/21 09:30:00 AM,10.553,936.5
181,06/21/21 10:00:00 AM,10.553,1054.9
182,06/21/21 10:30:00 AM,10.748,1162.5
183,06/21/21 11:00:00 AM,10.944,1205.6
184,06/21/21 11:30:00 AM,10.748,1550.0
185,06/21/21 12:00:00 PM,10.651,1356.3
186,06/21/21 12:30:00 PM,10.748,1894.5
187,06/21/21 01:00:00 PM,11.041,1894.5
188,06/21/21 01:30:00 PM,10.748,1377.8
189,06/21/21 02:00:00 PM,10.944,1808.3
190,06/21/21 02:30:00 PM,11.236,1636.1
191,06/21/21 03:00:00 PM,11.236,1550.0
192,06/21/21 03:30:00 PM,11.139,1636.1
193,06/21/21 04:00:00 PM,11.139,1636.1
194,06/21/21 04:30:00 PM,11.236,1636.1
195,06/21/21 05:00:00 PM,11.139,1313.2
196,06/21/21 05:30:00 PM,11.528,1463.9
197,06/21/21 06:00:00 PM,11.528,1377.8
198,06/21/21 06:30:00 PM,10.455,1173.3
199,06/21/21 07:00:00 PM,9.965,925.7
200,06/21/21 07:30:00 PM,10.161,667.4
201,06/21/21 08:00:00 PM,10.455,505.9
202,06/21/21 08:30:00 PM,10.944,258.3
203,06/21/21 09:00:00 PM,11.236,64.6
204,06/21/21 09:30:00 PM,11.041,10.8
205,06/21/21 10:00:00 PM,11.041,0.0
206,06/21/21 10:30:00 PM,11.041,0.0
207,06/21/21 11:00:00 PM,10.846,0.0
208,06/21/21 11:30:00 PM,10.846,0.0
209,06/22/21 12:00:00 AM,11.139,0.0
210,06/22/21 12:30:00 AM,11.041,0.0
211,06/22/21 01:00:00 AM,10.748,0.0
212,06/22/21 01:30:00 AM,11.041,0.0
213,06/22/21 02:00:00 AM,11.625,0.0
214,06/22/21 02:30:00 AM,11.041,0.0
215,06/22/21 03:00:00 AM,10.553,0.0
216,06/22/21 03:30:00 AM,10.553,0.0
217,06/22/21 04:00:00 AM,10.455,0.0
218,06/22/21 04:30:00 AM,10.259,0.0
219,06/22/21 05:00:00 AM,10.553,0.0
220,06/22/21 05:30:00 AM,10.651,0.0
221,06/22/21 06:00:00 AM,10.846,53.8
222,06/22/21 06:30:00 AM,10.944,150.7
223,06/22/21 07:00:00 AM,10.944,236.8
224,06/22/21 07:30:00 AM,11.041,398.3
225,06/22/21 08:00:00 AM,11.431,710.4
226,06/22/21 08:30:00 AM,10.846,688.9
227,06/22/21 09:00:00 AM,10.748,1001.0
228,06/22/21 09:30:00 AM,10.846,1141.0
229,06/22/21 10:00:00 AM,10.846,1237.9
230,06/22/21 10:30:00 AM,10.748,1377.8
231,06/22/21 11:00:00 AM,10.553,1722.2
232,06/22/21 11:30:00 AM,10.651,1722.2
233,06/22/21 12:00:00 PM,10.944,2238.9
234,06/22/21 12:30:00 PM,11.236,2411.1
235,06/22/21 01:00:00 PM,11.236,2755.6
236,06/22/21 01:30:00 PM,11.041,2755.6
237,06/22/21 02:00:00 PM,11.139,3100.0
238,06/22/21 02:30:00 PM,11.431,3444.5
239,06/22/21 03:00:00 PM,11.625,3272.2
240,06/22/21 03:30:00 PM,11.819,3616.7
241,06/22/21 04:00:00 PM,11.236,2066.7
242,06/22/21 04:30:00 PM,11.236,1980.6
243,06/22/21 05:00:00 PM,11.334,1636.1
244,06/22/21 05:30:00 PM,10.748,1248.6
245,06/22/21 06:00:00 PM,11.139,1463.9
246,06/22/21 06:30:00 PM,11.236,1227.1
247,06/22/21 07:00:00 PM,10.944,990.3
248,06/22/21 07:30:00 PM,11.041,753.5
249,06/22/21 08:00:00 PM,11.431,581.3
250,06/22/21 08:30:00 PM,11.334,322.9
251,06/22/21 09:00:00 PM,11.625,75.3
252,06/22/21 09:30:00 PM,11.431,10.8
253,06/22/21 10:00:00 PM,11.334,0.0
254,06/22/21 10:30:00 PM,11.236,0.0
255,06/22/21 11:00:00 PM,10.553,0.0
256,06/22/21 11:30:00 PM,10.846,0.0
257,06/23/21 12:00:00 AM,11.236,0.0
258,06/23/21 12:30:00 AM,11.139,0.0
259,06/23/21 01:00:00 AM,11.041,0.0
260,06/23/21 01:30:00 AM,10.846,0.0
261,06/23/21 02:00:00 AM,10.846,0.0
262,06/23/21 02:30:00 AM,10.944,0.0
263,06/23/21 03:00:00 AM,10.748,0.0
264,06/23/21 03:30:00 AM,11.334,0.0
265,06/23/21 04:00:00 AM,11.722,0.0
266,06/23/21 04:30:00 AM,11.236,0.0
