datetime,irr_0,irr_2,irr_4,irr_6,irr_8
2021-06-17T16:00:00Z,9300.1,1076.4,2669.5,301.4,21.5
2021-06-17T16:30:00Z,11711.2,914.9,2411.1,258.3,21.5
2021-06-17T17:00:00Z,11711.2,796.5,2152.8,215.3,21.5
2021-06-17T17:30:00Z,4994.5,775,958,172.2,32.3
2021-06-17T18:00:00Z,24800.2,613.5,828.8,150.7,10.8
2021-06-17T18:30:00Z,2755.6,495.1,807.3,107.6,0
2021-06-17T19:00:00Z,2927.8,430.6,624.3,86.1,0
2021-06-17T19:30:00Z,3100,333.7,452.1,64.6,0
2021-06-17T20:00:00Z,2927.8,236.8,333.7,32.3,0
2021-06-17T20:30:00Z,2927.8,150.7,183,10.8,0
2021-06-17T21:00:00Z,312.2,64.6,43.1,0,0
2021-06-17T21:30:00Z,118.4,10.8,10.8,0,0
2021-06-17T22:00:00Z,10.8,0,0,0,0
2021-06-17T22:30:00Z,0,0,0,0,0
2021-06-17T23:00:00Z,0,0,0,0,0
2021-06-17T23:30:00Z,0,0,0,0,0
2021-06-18T00:00:00Z,0,0,0,0,0
2021-06-18T00:30:00Z,0,0,0,0,0
2021-06-18T01:00:00Z,0,0,0,0,0
2021-06-18T01:30:00Z,0,0,0,0,0
2021-06-18T02:00:00Z,0,0,0,0,0
2021-06-18T02:30:00Z,0,0,0,0,0
2021-06-18T03:00:00Z,0,0,0,0,0
2021-06-18T03:30:00Z,0,0,0,0,0
2021-06-18T04:00:00Z,0,0,0,0,0
2021-06-18T04:30:00Z,0,0,0,0,0
2021-06-18T05:00:00Z,0,0,0,0,0
2021-06-18T05:30:00Z,64.6,0,0,0,0
2021-06-18T06:00:00Z,215.3,64.6,21.5,0,0
2021-06-18T06:30:00Z,344.4,118.4,43.1,0,0
2021-06-18T07:00:00Z,5166.7,1722.2,193.8,86.1,0
2021-06-18T07:30:00Z,7233.4,3444.5,344.4,193.8,0
2021-06-18T08:00:00Z,8611.2,5166.7,484.4,312.2,0
2021-06-18T08:30:00Z,8611.2,6200,592,441.3,10.8
2021-06-18T09:00:00Z,9644.5,5511.1,678.1,559.7,10.8
2021-06-18T09:30:00Z,8266.7,5338.9,796.5,645.8,10.8
2021-06-18T10:00:00Z,11022.3,5166.7,925.7,721.2,21.5
2021-06-18T10:30:00Z,12400.1,4133.4,1001,764.2,21.5
2021-06-18T11:00:00Z,8266.7,6544.5,1151.7,818.1,21.5
2021-06-18T11:30:00Z,18600.1,4133.4,1237.9,785.8,43.1
2021-06-18T12:00:00Z,22044.6,3444.5,1248.6,785.8,64.6
