"Plot Title: 2_m_SAP"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889834, SEN S/N: 20889834, LBL: 2 m)","Intensity, Lux (LGR S/N: 20889834, SEN S/N: 20889834, LBL: 2 m)"
1,07/16/20 05:00:00 PM,13.365,5511.1
2,07/16/20 05:30:00 PM,13.365,4133.4
3,07/16/20 06:00:00 PM,13.076,4822.3
4,07/16/20 06:30:00 PM,12.690,4477.8
5,07/16/20 07:00:00 PM,13.558,3616.7
6,07/16/20 07:30:00 PM,13.461,3788.9
7,07/16/20 08:00:00 PM,12.883,2066.7
8,07/16/20 08:30:00 PM,13.365,1808.3
9,07/16/20 09:00:00 PM,12.980,301.4
10,07/16/20 09:30:00 PM,12.980,43.1
11,07/16/20 10:00:00 PM,13.269,0.0
12,07/16/20 10:30:00 PM,13.269,0.0
13,07/16/20 11:00:00 PM,13.076,0.0
14,07/16/20 11:30:00 PM,13.076,0.0
15,07/17/20 12:00:00 AM,13.365,0.0
16,07/17/20 12:30:00 AM,12.980,0.0
17,07/17/20 01:00:00 AM,12.883,0.0
18,07/17/20 01:30:00 AM,13.365,0.0
19,07/17/20 02:00:00 AM,13.750,0.0
20,07/17/20 02:30:00 AM,13.173,0.0
21,07/17/20 03:00:00 AM,13.461,0.0
22,07/17/20 03:30:00 AM,13.558,0.0
23,07/17/20 04:00:00 AM,13.558,0.0
24,07/17/20 04:30:00 AM,13.558,0.0
25,07/17/20 05:00:00 AM,13.365,0.0
26,07/17/20 05:30:00 AM,13.173,0.0
27,07/17/20 06:00:00 AM,13.269,96.9
28,07/17/20 06:30:00 AM,13.269,990.3
29,07/17/20 07:00:00 AM,13.269,1550.0
30,07/17/20 07:30:00 AM,13.365,1636.1
31,07/17/20 08:00:00 AM,13.461,3444.5
32,07/17/20 08:30:00 AM,13.558,3616.7
33,07/17/20 09:00:00 AM,13.654,6200.0
34,07/17/20 09:30:00 AM,13.942,12400.1
35,07/17/20 10:00:00 AM,14.134,18600.1
36,07/17/20 10:30:00 AM,14.325,19977.9
37,07/17/20 11:00:00 AM,14.230,12400.1
38,07/17/20 11:30:00 AM,14.230,11022.3
39,07/17/20 12:00:00 PM,13.654,8266.7
40,07/17/20 12:30:00 PM,13.846,6544.5
41,07/17/20 01:00:00 PM,13.365,6544.5
42,07/17/20 01:30:00 PM,13.558,6544.5
43,07/17/20 02:00:00 PM,13.461,6200.0
44,07/17/20 02:30:00 PM,13.558,9300.1
45,07/17/20 03:00:00 PM,13.558,7577.8
46,07/17/20 03:30:00 PM,13.654,7233.4
47,07/17/20 04:00:00 PM,13.942,16533.4
48,07/17/20 04:30:00 PM,14.038,22044.6
49,07/17/20 05:00:00 PM,13.750,5511.1
50,07/17/20 05:30:00 PM,13.750,18600.1
51,07/17/20 06:00:00 PM,13.654,4994.5
52,07/17/20 06:30:00 PM,13.846,5166.7
53,07/17/20 07:00:00 PM,13.750,2669.5
54,07/17/20 07:30:00 PM,13.942,2927.8
55,07/17/20 08:00:00 PM,13.558,2755.6
56,07/17/20 08:30:00 PM,13.558,602.8
57,07/17/20 09:00:00 PM,13.558,419.8
58,07/17/20 09:30:00 PM,13.558,64.6
59,07/17/20 10:00:00 PM,13.654,0.0
60,07/17/20 10:30:00 PM,13.365,0.0
61,07/17/20 11:00:00 PM,13.269,0.0
62,07/17/20 11:30:00 PM,13.558,0.0
63,07/18/20 12:00:00 AM,13.461,0.0
64,07/18/20 12:30:00 AM,13.365,0.0
65,07/18/20 01:00:00 AM,13.461,0.0
66,07/18/20 01:30:00 AM,13.269,0.0
67,07/18/20 02:00:00 AM,13.365,0.0
68,07/18/20 02:30:00 AM,13.269,0.0
