datetime,irr_0,irr_2,irr_3,irr_4,irr_6
2020-07-21T23:00:00Z,1980.6,2755.6,22044.6,807.3,2066.7
2020-07-21T23:30:00Z,1463.9,3272.2,14466.8,570.5,1722.2
2020-07-22T00:00:00Z,484.4,3272.2,16533.4,549,1302.4
2020-07-22T00:30:00Z,322.9,3272.2,13089,462.9,861.1
2020-07-22T01:00:00Z,1894.5,2669.5,11711.2,387.5,592
2020-07-22T01:30:00Z,279.9,2411.1,4650,312.2,430.6
2020-07-22T02:00:00Z,344.4,828.8,1270.1,193.8,204.5
2020-07-22T02:30:00Z,53.8,473.6,645.8,129.2,129.2
2020-07-22T03:00:00Z,21.5,236.8,312.2,64.6,64.6
2020-07-22T03:30:00Z,0,21.5,32.3,0,0
2020-07-22T04:00:00Z,0,0,0,0,0
2020-07-22T04:30:00Z,0,0,0,0,0
2020-07-22T05:00:00Z,0,0,0,0,0
2020-07-22T05:30:00Z,0,0,0,0,0
2020-07-22T06:00:00Z,0,0,0,0,0
2020-07-22T06:30:00Z,0,0,0,0,0
2020-07-22T07:00:00Z,0,0,0,0,0
2020-07-22T07:30:00Z,0,0,0,0,0
2020-07-22T08:00:00Z,0,0,0,0,0
2020-07-22T08:30:00Z,0,0,0,0,0
2020-07-22T09:00:00Z,0,0,0,0,0
2020-07-22T09:30:00Z,0,0,0,0,0
2020-07-22T10:00:00Z,0,0,0,0,0
2020-07-22T10:30:00Z,0,0,0,0,0
2020-07-22T11:00:00Z,0,0,0,0,0
2020-07-22T11:30:00Z,0,0,0,0,0
2020-07-22T12:00:00Z,10.8,75.3,75.3,21.5,10.8
2020-07-22T12:30:00Z,53.8,366,366,118.4,86.1
2020-07-22T13:00:00Z,86.1,613.5,570.5,204.5,139.9
2020-07-22T13:30:00Z,107.6,1044.1,731.9,699.7,258.3
2020-07-22T14:00:00Z,172.2,1980.6,925.7,635.1,549
2020-07-22T14:30:00Z,1151.7,3444.5,1980.6,4305.6,1894.5
2020-07-22T15:00:00Z,3444.5,17222.3,4305.6,5511.1,2411.1
2020-07-22T15:30:00Z,1808.3,4133.4,3272.2,4305.6,4477.8
2020-07-22T16:00:00Z,1463.9,3788.9,4133.4,4650,5511.1
2020-07-22T16:30:00Z,1722.2,5338.9,5166.7,4305.6,7233.4
2020-07-22T17:00:00Z,1722.2,6544.5,7233.4,3961.1,8266.7
2020-07-22T17:30:00Z,1894.5,4477.8,9300.1,3616.7,9300.1
2020-07-22T18:00:00Z,2238.9,5166.7,9300.1,2927.8,10677.8
2020-07-22T18:30:00Z,2066.7,5166.7,14466.8,3444.5,11022.3
