datetime,wtr_0,wtr_2,wtr_3,wtr_4,wtr_6,wtr_1
2020-07-21T23:00:00Z,23.966,16.523,14.421,13.461,12.98,17.049
2020-07-21T23:30:00Z,21.473,16.427,14.804,13.558,12.98,16.905
2020-07-22T00:00:00Z,20.138,16.332,14.9,13.173,12.98,16.794
2020-07-22T00:30:00Z,18.236,16.427,14.613,13.365,12.98,17.006
2020-07-22T01:00:00Z,23.581,16.427,14.613,13.461,12.98,17.015
2020-07-22T01:30:00Z,19.377,16.332,14.23,13.365,12.883,17.074
2020-07-22T02:00:00Z,19.758,16.332,14.421,13.269,12.883,17.083
2020-07-22T02:30:00Z,17.57,16.332,14.325,13.076,12.883,17.244
2020-07-22T03:00:00Z,17.189,16.332,14.325,13.365,12.883,17.134
2020-07-22T03:30:00Z,16.903,16.141,14.517,13.173,12.883,17.176
2020-07-22T04:00:00Z,16.618,16.046,14.23,13.173,12.787,17.168
2020-07-22T04:30:00Z,16.523,16.141,14.325,13.269,12.69,17.066
2020-07-22T05:00:00Z,16.332,16.237,14.23,13.269,12.787,17.117
2020-07-22T05:30:00Z,16.332,16.237,14.325,13.269,12.69,16.956
2020-07-22T06:00:00Z,16.332,16.141,14.325,13.173,12.69,17.04
2020-07-22T06:30:00Z,16.141,16.141,14.23,13.173,12.69,17.286
2020-07-22T07:00:00Z,16.046,16.141,14.325,13.269,12.787,17.193
2020-07-22T07:30:00Z,16.141,16.141,14.325,13.269,12.69,17.117
2020-07-22T08:00:00Z,15.76,16.046,14.325,13.173,12.69,17.091
2020-07-22T08:30:00Z,15.664,16.141,14.325,13.269,12.594,16.99
2020-07-22T09:00:00Z,15.664,16.141,14.23,13.269,12.69,16.905
2020-07-22T09:30:00Z,15.664,16.046,14.325,13.173,12.69,16.837
2020-07-22T10:00:00Z,15.569,16.046,14.23,13.269,12.594,16.76
2020-07-22T10:30:00Z,15.378,16.046,14.23,13.269,12.69,16.684
2020-07-22T11:00:00Z,15.282,16.046,14.23,13.269,12.594,16.616
2020-07-22T11:30:00Z,15.473,15.951,14.325,13.173,12.594,16.573
2020-07-22T12:00:00Z,16.141,16.046,14.23,13.173,12.594,16.497
2020-07-22T12:30:00Z,16.046,16.046,14.325,13.173,12.594,16.428
2020-07-22T13:00:00Z,16.523,15.951,14.23,13.173,12.594,16.326
2020-07-22T13:30:00Z,16.046,16.141,14.23,13.269,12.594,16.275
2020-07-22T14:00:00Z,16.237,15.855,14.325,13.269,12.594,16.25
2020-07-22T14:30:00Z,19.567,15.951,14.421,13.365,12.69,16.258
2020-07-22T15:00:00Z,18.045,16.141,14.325,13.461,12.69,16.275
2020-07-22T15:30:00Z,21.473,16.237,14.325,13.558,12.69,16.275
2020-07-22T16:00:00Z,21.855,16.237,14.421,13.558,12.787,16.215
2020-07-22T16:30:00Z,21.951,16.237,14.517,13.558,12.883,16.258
2020-07-22T17:00:00Z,22.525,16.046,14.517,13.75,13.076,16.411
2020-07-22T17:30:00Z,22.812,16.237,14.709,13.846,13.173,16.522
2020-07-22T18:00:00Z,23.1,16.427,14.804,13.942,13.173,16.59
2020-07-22T18:30:00Z,24.158,16.618,14.9,14.038,13.269,16.658
2020-07-22T19:00:00Z,21.855,16.618,14.996,14.134,13.269,16.786
2020-07-22T19:30:00Z,22.429,16.332,15.187,14.23,13.365,16.794
2020-07-22T20:00:00Z,21.569,16.808,15.187,14.038,13.365,16.998
2020-07-22T20:30:00Z,22.717,16.523,15.282,14.325,13.461,17.447
2020-07-22T21:00:00Z,18.901,16.332,14.421,13.75,13.173,17.456
2020-07-22T21:30:00Z,18.14,16.237,14.709,13.558,13.173,17.345
2020-07-22T22:00:00Z,18.14,16.427,14.804,13.365,13.076,17.108
2020-07-22T22:30:00Z,20.043,16.618,14.613,13.846,13.269,17.422
2020-07-22T23:00:00Z,18.806,16.713,14.804,13.558,13.173,17.396
2020-07-22T23:30:00Z,18.331,16.237,14.9,13.558,13.173,17.447
2020-07-23T00:00:00Z,17.76,16.427,14.709,13.654,13.076,17.43
2020-07-23T00:30:00Z,17.57,16.427,14.709,13.558,13.076,17.396
2020-07-23T01:00:00Z,17.665,16.713,14.517,13.75,13.076,17.312
2020-07-23T01:30:00Z,17.475,16.713,14.709,13.654,13.076,17.312
2020-07-23T02:00:00Z,17.665,16.618,14.709,13.461,13.173,17.303
2020-07-23T02:30:00Z,17.57,16.427,14.804,13.654,13.173,17.278
2020-07-23T03:00:00Z,17.379,16.332,14.709,13.654,13.076,17.176
2020-07-23T03:30:00Z,17.189,16.808,14.421,13.654,13.076,17.074
2020-07-23T04:00:00Z,16.999,17.094,14.709,13.654,13.076,17.015
2020-07-23T04:30:00Z,16.903,16.332,14.613,13.654,13.076,17.015
2020-07-23T05:00:00Z,16.903,16.332,14.709,13.365,13.076,16.956
2020-07-23T05:30:00Z,16.427,16.332,14.709,13.558,13.076,16.939
2020-07-23T06:00:00Z,16.999,16.332,14.517,13.654,13.076,16.956
2020-07-23T06:30:00Z,16.808,16.523,14.804,13.654,13.076,16.862
2020-07-23T07:00:00Z,16.523,16.523,14.709,13.365,13.076,16.811
2020-07-23T07:30:00Z,16.713,16.427,14.613,13.558,12.98,16.769
2020-07-23T08:00:00Z,16.808,16.332,14.613,13.558,12.98,16.709
2020-07-23T08:30:00Z,16.237,16.523,14.709,13.654,13.076,16.658
2020-07-23T09:00:00Z,16.618,16.046,14.613,13.558,12.98,16.607
2020-07-23T09:30:00Z,16.332,16.427,14.709,13.558,12.98,16.539
2020-07-23T10:00:00Z,16.332,16.141,14.517,13.654,13.076,16.411
2020-07-23T10:30:00Z,15.76,16.523,14.709,13.558,12.98,16.394
2020-07-23T11:00:00Z,16.141,16.427,14.517,13.654,12.883,16.326
2020-07-23T11:30:00Z,15.664,16.427,14.613,13.654,12.98,16.301
2020-07-23T12:00:00Z,15.76,16.237,14.804,13.365,12.98,16.258
2020-07-23T12:30:00Z,15.76,16.237,14.709,13.558,13.076,16.232
2020-07-23T13:00:00Z,15.855,16.332,14.517,13.654,13.076,16.181
2020-07-23T13:30:00Z,16.332,16.237,14.613,13.558,13.076,16.139
2020-07-23T14:00:00Z,16.903,16.237,14.709,13.558,12.98,16.122
2020-07-23T14:30:00Z,17.284,16.332,14.709,13.654,12.98,16.104
2020-07-23T15:00:00Z,20.901,16.427,14.804,13.846,13.076,16.113
2020-07-23T15:30:00Z,20.996,16.427,14.804,13.942,13.173,16.122
2020-07-23T16:00:00Z,23.1,16.523,14.9,13.942,13.269,16.113
2020-07-23T16:30:00Z,21.187,16.523,14.9,13.942,13.365,16.224
2020-07-23T17:00:00Z,22.046,16.903,15.187,14.038,13.461,16.284
2020-07-23T17:30:00Z,20.043,16.618,14.996,13.942,13.365,16.377
2020-07-23T18:00:00Z,19.948,16.618,14.996,13.846,13.269,16.411
2020-07-23T18:30:00Z,20.996,16.427,14.996,14.038,13.365,16.497
2020-07-23T19:00:00Z,23.677,16.999,15.282,14.325,13.558,16.582
2020-07-23T19:30:00Z,21.569,16.808,15.187,14.23,13.461,16.786
2020-07-23T20:00:00Z,19.282,16.618,14.996,13.942,13.365,16.922
2020-07-23T20:30:00Z,18.236,16.523,14.9,13.846,13.365,16.939
2020-07-23T21:00:00Z,17.57,16.523,15.187,13.75,13.269,16.913
2020-07-23T21:30:00Z,17.094,16.618,14.804,13.846,13.269,16.896
2020-07-23T22:00:00Z,17.284,16.618,14.9,13.846,13.269,16.871
2020-07-23T22:30:00Z,18.901,16.808,15.187,13.846,13.365,16.828
2020-07-23T23:00:00Z,19.662,16.903,15.187,14.134,13.461,16.862
2020-07-23T23:30:00Z,21.091,16.713,15.187,14.134,13.461,16.913
2020-07-24T00:00:00Z,18.806,16.808,15.569,14.23,13.461,16.973
2020-07-24T00:30:00Z,18.426,16.903,15.282,14.038,13.365,16.998
2020-07-24T01:00:00Z,18.521,16.713,15.091,13.75,13.365,16.998
2020-07-24T01:30:00Z,18.901,16.713,15.091,14.134,13.365,16.973
2020-07-24T02:00:00Z,17.76,16.903,15.282,13.846,13.365,16.973
2020-07-24T02:30:00Z,17.094,16.618,15.187,13.846,13.365,16.939
2020-07-24T03:00:00Z,16.141,16.713,14.996,13.75,13.365,16.922
