"Plot Title: 4_m_SUM"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889836, SEN S/N: 20889836, LBL: 4 m)","Intensity, Lux (LGR S/N: 20889836, SEN S/N: 20889836, LBL: 4 m)"
1,07/24/20 05:00:00 PM,13.365,419.8
2,07/24/20 05:30:00 PM,12.690,355.2
3,07/24/20 06:00:00 PM,12.690,215.3
4,07/24/20 06:30:00 PM,12.980,139.9
5,07/24/20 07:00:00 PM,12.980,53.8
6,07/24/20 07:30:00 PM,12.497,32.3
7,07/24/20 08:00:00 PM,12.401,21.5
8,07/24/20 08:30:00 PM,12.304,10.8
9,07/24/20 09:00:00 PM,12.787,0.0
10,07/24/20 09:30:00 PM,12.594,0.0
11,07/24/20 10:00:00 PM,12.883,0.0
12,07/24/20 10:30:00 PM,12.980,0.0
13,07/24/20 11:00:00 PM,13.076,0.0
14,07/24/20 11:30:00 PM,13.076,0.0
15,07/25/20 12:00:00 AM,12.594,0.0
16,07/25/20 12:30:00 AM,12.690,0.0
17,07/25/20 01:00:00 AM,12.787,0.0
18,07/25/20 01:30:00 AM,12.883,0.0
19,07/25/20 02:00:00 AM,12.980,0.0
20,07/25/20 02:30:00 AM,13.076,0.0
21,07/25/20 03:00:00 AM,12.980,0.0
22,07/25/20 03:30:00 AM,12.980,0.0
23,07/25/20 04:00:00 AM,12.883,0.0
24,07/25/20 04:30:00 AM,12.401,0.0
25,07/25/20 05:00:00 AM,12.401,0.0
26,07/25/20 05:30:00 AM,12.497,0.0
27,07/25/20 06:00:00 AM,12.690,0.0
28,07/25/20 06:30:00 AM,12.690,10.8
29,07/25/20 07:00:00 AM,12.497,43.1
30,07/25/20 07:30:00 AM,12.594,53.8
31,07/25/20 08:00:00 AM,12.883,150.7
32,07/25/20 08:30:00 AM,12.980,247.6
33,07/25/20 09:00:00 AM,13.269,258.3
34,07/25/20 09:30:00 AM,13.461,312.2
35,07/25/20 10:00:00 AM,12.980,678.1
36,07/25/20 10:30:00 AM,13.461,473.6
37,07/25/20 11:00:00 AM,13.269,613.5
38,07/25/20 11:30:00 AM,13.365,635.1
39,07/25/20 12:00:00 PM,13.076,699.7
40,07/25/20 12:30:00 PM,13.076,2066.7
41,07/25/20 01:00:00 PM,13.269,1894.5
42,07/25/20 01:30:00 PM,13.076,1894.5
43,07/25/20 02:00:00 PM,13.173,936.5
44,07/25/20 02:30:00 PM,13.365,678.1
45,07/25/20 03:00:00 PM,13.076,1377.8
46,07/25/20 03:30:00 PM,13.173,1808.3
47,07/25/20 04:00:00 PM,12.883,2497.2
48,07/25/20 04:30:00 PM,12.980,1980.6
49,07/25/20 05:00:00 PM,13.173,2497.2
50,07/25/20 05:30:00 PM,13.269,1722.2
51,07/25/20 06:00:00 PM,13.173,2238.9
52,07/25/20 06:30:00 PM,13.269,2325.0
53,07/25/20 07:00:00 PM,13.076,75.3
54,07/25/20 07:30:00 PM,13.173,64.6
55,07/25/20 08:00:00 PM,13.269,53.8
56,07/25/20 08:30:00 PM,13.076,43.1
57,07/25/20 09:00:00 PM,12.883,10.8
58,07/25/20 09:30:00 PM,12.980,0.0
59,07/25/20 10:00:00 PM,12.980,0.0
60,07/25/20 10:30:00 PM,13.173,0.0
61,07/25/20 11:00:00 PM,13.076,0.0
62,07/25/20 11:30:00 PM,12.980,0.0
63,07/26/20 12:00:00 AM,13.173,0.0
64,07/26/20 12:30:00 AM,13.173,0.0
65,07/26/20 01:00:00 AM,12.980,0.0
66,07/26/20 01:30:00 AM,12.980,0.0
67,07/26/20 02:00:00 AM,12.980,0.0
68,07/26/20 02:30:00 AM,12.883,0.0
69,07/26/20 03:00:00 AM,12.883,0.0
70,07/26/20 03:30:00 AM,12.883,0.0
71,07/26/20 04:00:00 AM,12.980,0.0
72,07/26/20 04:30:00 AM,13.076,0.0
73,07/26/20 05:00:00 AM,12.883,0.0
74,07/26/20 05:30:00 AM,13.076,0.0
75,07/26/20 06:00:00 AM,12.980,0.0
76,07/26/20 06:30:00 AM,13.076,21.5
77,07/26/20 07:00:00 AM,13.173,43.1
78,07/26/20 07:30:00 AM,13.076,53.8
79,07/26/20 08:00:00 AM,13.076,172.2
80,07/26/20 08:30:00 AM,13.076,226.0
81,07/26/20 09:00:00 AM,13.173,344.4
82,07/26/20 09:30:00 AM,13.269,441.3
83,07/26/20 10:00:00 AM,13.558,387.5
84,07/26/20 10:30:00 AM,13.558,452.1
85,07/26/20 11:00:00 AM,13.461,549.0
86,07/26/20 11:30:00 AM,13.654,581.3
87,07/26/20 12:00:00 PM,13.558,635.1
88,07/26/20 12:30:00 PM,13.558,818.1
89,07/26/20 01:00:00 PM,13.558,861.1
90,07/26/20 01:30:00 PM,13.461,1065.6
91,07/26/20 02:00:00 PM,13.558,742.7
92,07/26/20 02:30:00 PM,13.269,1291.7
93,07/26/20 03:00:00 PM,13.750,871.9
94,07/26/20 03:30:00 PM,13.654,592.0
95,07/26/20 04:00:00 PM,13.750,549.0
96,07/26/20 04:30:00 PM,13.558,990.3
97,07/26/20 05:00:00 PM,13.558,538.2
98,07/26/20 05:30:00 PM,13.173,527.4
99,07/26/20 06:00:00 PM,13.654,322.9
100,07/26/20 06:30:00 PM,13.654,247.6
101,07/26/20 07:00:00 PM,13.269,75.3
102,07/26/20 07:30:00 PM,13.365,64.6
103,07/26/20 08:00:00 PM,13.461,53.8
104,07/26/20 08:30:00 PM,13.365,43.1
105,07/26/20 09:00:00 PM,13.365,10.8
106,07/26/20 09:30:00 PM,13.461,0.0
107,07/26/20 10:00:00 PM,13.269,0.0
108,07/26/20 10:30:00 PM,13.173,0.0
109,07/26/20 11:00:00 PM,13.076,0.0
110,07/26/20 11:30:00 PM,13.173,0.0
111,07/27/20 12:00:00 AM,13.173,0.0
112,07/27/20 12:30:00 AM,13.173,0.0
113,07/27/20 01:00:00 AM,13.269,0.0
114,07/27/20 01:30:00 AM,13.076,0.0
115,07/27/20 02:00:00 AM,13.269,0.0
116,07/27/20 02:30:00 AM,13.365,0.0
117,07/27/20 03:00:00 AM,13.461,0.0
118,07/27/20 03:30:00 AM,13.269,0.0
119,07/27/20 04:00:00 AM,13.269,0.0
120,07/27/20 04:30:00 AM,13.173,0.0
121,07/27/20 05:00:00 AM,13.173,0.0
122,07/27/20 05:30:00 AM,13.173,0.0
123,07/27/20 06:00:00 AM,13.173,0.0
124,07/27/20 06:30:00 AM,13.173,21.5
125,07/27/20 07:00:00 AM,13.173,64.6
126,07/27/20 07:30:00 AM,13.269,75.3
127,07/27/20 08:00:00 AM,13.365,312.2
128,07/27/20 08:30:00 AM,13.269,473.6
129,07/27/20 09:00:00 AM,13.269,699.7
130,07/27/20 09:30:00 AM,13.365,570.5
131,07/27/20 10:00:00 AM,13.365,1894.5
132,07/27/20 10:30:00 AM,13.365,2669.5
133,07/27/20 11:00:00 AM,13.461,2152.8
134,07/27/20 11:30:00 AM,13.461,2411.1
135,07/27/20 12:00:00 PM,13.654,1808.3
136,07/27/20 12:30:00 PM,13.846,871.9
137,07/27/20 01:00:00 PM,13.846,1001.0
138,07/27/20 01:30:00 PM,13.942,828.8
139,07/27/20 02:00:00 PM,13.846,1022.6
140,07/27/20 02:30:00 PM,13.654,1636.1
141,07/27/20 03:00:00 PM,13.461,1980.6
142,07/27/20 03:30:00 PM,13.846,688.9
143,07/27/20 04:00:00 PM,13.846,592.0
144,07/27/20 04:30:00 PM,13.750,505.9
145,07/27/20 05:00:00 PM,13.654,527.4
146,07/27/20 05:30:00 PM,13.654,2411.1
147,07/27/20 06:00:00 PM,13.654,366.0
148,07/27/20 06:30:00 PM,13.558,236.8
149,07/27/20 07:00:00 PM,13.365,75.3
150,07/27/20 07:30:00 PM,13.558,75.3
151,07/27/20 08:00:00 PM,13.654,64.6
152,07/27/20 08:30:00 PM,13.750,43.1
153,07/27/20 09:00:00 PM,13.750,10.8
154,07/27/20 09:30:00 PM,13.558,0.0
155,07/27/20 10:00:00 PM,13.558,0.0
156,07/27/20 10:30:00 PM,13.365,0.0
157,07/27/20 11:00:00 PM,13.365,0.0
158,07/27/20 11:30:00 PM,13.558,0.0
159,07/28/20 12:00:00 AM,13.558,0.0
160,07/28/20 12:30:00 AM,13.461,0.0
161,07/28/20 01:00:00 AM,13.461,0.0
162,07/28/20 01:30:00 AM,13.461,0.0
163,07/28/20 02:00:00 AM,13.461,0.0
164,07/28/20 02:30:00 AM,13.461,0.0
165,07/28/20 03:00:00 AM,13.654,0.0
166,07/28/20 03:30:00 AM,13.654,0.0
167,07/28/20 04:00:00 AM,13.654,0.0
168,07/28/20 04:30:00 AM,13.654,0.0
169,07/28/20 05:00:00 AM,13.558,0.0
170,07/28/20 05:30:00 AM,13.269,0.0
171,07/28/20 06:00:00 AM,13.269,0.0
172,07/28/20 06:30:00 AM,13.269,21.5
173,07/28/20 07:00:00 AM,13.461,53.8
174,07/28/20 07:30:00 AM,13.365,118.4
175,07/28/20 08:00:00 AM,13.558,204.5
176,07/28/20 08:30:00 AM,13.654,441.3
177,07/28/20 09:00:00 AM,14.038,473.6
178,07/28/20 09:30:00 AM,13.750,462.9
179,07/28/20 10:00:00 AM,13.846,516.7
180,07/28/20 10:30:00 AM,14.134,355.2
181,07/28/20 11:00:00 AM,14.230,656.6
182,07/28/20 11:30:00 AM,14.230,764.2
183,07/28/20 12:00:00 PM,14.421,688.9
184,07/28/20 12:30:00 PM,14.230,818.1
185,07/28/20 01:00:00 PM,14.230,850.4
186,07/28/20 01:30:00 PM,13.654,936.5
187,07/28/20 02:00:00 PM,13.654,1173.3
188,07/28/20 02:30:00 PM,13.942,850.4
189,07/28/20 03:00:00 PM,13.846,2669.5
190,07/28/20 03:30:00 PM,14.134,1463.9
191,07/28/20 04:00:00 PM,14.038,828.8
192,07/28/20 04:30:00 PM,14.230,624.3
193,07/28/20 05:00:00 PM,14.230,3100.0
194,07/28/20 05:30:00 PM,14.230,1808.3
195,07/28/20 06:00:00 PM,13.942,107.6
196,07/28/20 06:30:00 PM,13.846,107.6
197,07/28/20 07:00:00 PM,13.942,366.0
198,07/28/20 07:30:00 PM,13.942,247.6
199,07/28/20 08:00:00 PM,14.038,107.6
200,07/28/20 08:30:00 PM,13.942,107.6
201,07/28/20 09:00:00 PM,13.750,21.5
202,07/28/20 09:30:00 PM,13.846,0.0
203,07/28/20 10:00:00 PM,13.846,0.0
204,07/28/20 10:30:00 PM,13.942,0.0
205,07/28/20 11:00:00 PM,14.038,0.0
206,07/28/20 11:30:00 PM,13.942,0.0
207,07/29/20 12:00:00 AM,13.846,0.0
208,07/29/20 12:30:00 AM,13.846,0.0
209,07/29/20 01:00:00 AM,13.654,0.0
210,07/29/20 01:30:00 AM,13.654,0.0
211,07/29/20 02:00:00 AM,13.558,0.0
212,07/29/20 02:30:00 AM,13.750,0.0
213,07/29/20 03:00:00 AM,13.654,0.0
214,07/29/20 03:30:00 AM,13.654,0.0
215,07/29/20 04:00:00 AM,13.558,0.0
216,07/29/20 04:30:00 AM,13.461,0.0
217,07/29/20 05:00:00 AM,13.654,0.0
218,07/29/20 05:30:00 AM,13.750,0.0
219,07/29/20 06:00:00 AM,13.750,0.0
220,07/29/20 06:30:00 AM,13.750,21.5
221,07/29/20 07:00:00 AM,13.942,64.6
222,07/29/20 07:30:00 AM,13.846,161.5
223,07/29/20 08:00:00 AM,14.038,161.5
224,07/29/20 08:30:00 AM,13.942,333.7
225,07/29/20 09:00:00 AM,14.134,290.6
226,07/29/20 09:30:00 AM,14.038,344.4
227,07/29/20 10:00:00 AM,14.325,462.9
228,07/29/20 10:30:00 AM,14.325,592.0
229,07/29/20 11:00:00 AM,14.613,549.0
230,07/29/20 11:30:00 AM,14.421,667.4
231,07/29/20 12:00:00 PM,14.230,764.2
232,07/29/20 12:30:00 PM,14.325,1097.9
233,07/29/20 01:00:00 PM,14.325,742.7
234,07/29/20 01:30:00 PM,14.230,667.4
235,07/29/20 02:00:00 PM,14.421,893.4
236,07/29/20 02:30:00 PM,14.421,775.0
237,07/29/20 03:00:00 PM,14.325,2238.9
238,07/29/20 03:30:00 PM,14.134,2152.8
239,07/29/20 04:00:00 PM,14.325,1141.0
240,07/29/20 04:30:00 PM,14.421,2152.8
241,07/29/20 05:00:00 PM,14.421,882.6
242,07/29/20 05:30:00 PM,14.325,398.3
243,07/29/20 06:00:00 PM,14.325,419.8
244,07/29/20 06:30:00 PM,14.230,236.8
245,07/29/20 07:00:00 PM,13.846,236.8
246,07/29/20 07:30:00 PM,13.750,150.7
247,07/29/20 08:00:00 PM,13.846,86.1
248,07/29/20 08:30:00 PM,14.038,64.6
249,07/29/20 09:00:00 PM,14.038,10.8
250,07/29/20 09:30:00 PM,14.230,0.0
251,07/29/20 10:00:00 PM,14.230,0.0
252,07/29/20 10:30:00 PM,14.230,0.0
253,07/29/20 11:00:00 PM,13.942,0.0
254,07/29/20 11:30:00 PM,13.846,0.0
255,07/30/20 12:00:00 AM,13.942,0.0
256,07/30/20 12:30:00 AM,13.846,0.0
257,07/30/20 01:00:00 AM,13.654,0.0
258,07/30/20 01:30:00 AM,13.846,0.0
259,07/30/20 02:00:00 AM,13.942,0.0
260,07/30/20 02:30:00 AM,13.942,0.0
261,07/30/20 03:00:00 AM,13.846,0.0
262,07/30/20 03:30:00 AM,14.038,0.0
263,07/30/20 04:00:00 AM,13.942,0.0
264,07/30/20 04:30:00 AM,13.942,0.0
265,07/30/20 05:00:00 AM,13.942,0.0
266,07/30/20 05:30:00 AM,13.942,0.0
267,07/30/20 06:00:00 AM,13.942,0.0
268,07/30/20 06:30:00 AM,14.038,10.8
269,07/30/20 07:00:00 AM,14.038,32.3
270,07/30/20 07:30:00 AM,14.038,96.9
271,07/30/20 08:00:00 AM,14.134,204.5
272,07/30/20 08:30:00 AM,14.230,247.6
273,07/30/20 09:00:00 AM,14.230,312.2
274,07/30/20 09:30:00 AM,14.230,409.0
275,07/30/20 10:00:00 AM,14.325,1151.7
276,07/30/20 10:30:00 AM,14.230,3272.2
277,07/30/20 11:00:00 AM,14.325,2927.8
278,07/30/20 11:30:00 AM,14.421,2927.8
279,07/30/20 12:00:00 PM,14.421,3100.0
280,07/30/20 12:30:00 PM,14.517,2152.8
281,07/30/20 01:00:00 PM,14.421,1463.9
282,07/30/20 01:30:00 PM,14.613,775.0
283,07/30/20 02:00:00 PM,14.517,1722.2
284,07/30/20 02:30:00 PM,14.709,871.9
285,07/30/20 03:00:00 PM,14.709,721.2
286,07/30/20 03:30:00 PM,14.613,947.2
287,07/30/20 04:00:00 PM,14.613,1011.8
288,07/30/20 04:30:00 PM,14.230,2583.4
289,07/30/20 05:00:00 PM,14.134,430.6
290,07/30/20 05:30:00 PM,13.942,462.9
291,07/30/20 06:00:00 PM,14.421,2238.9
292,07/30/20 06:30:00 PM,14.421,258.3
293,07/30/20 07:00:00 PM,14.613,139.9
294,07/30/20 07:30:00 PM,14.517,96.9
295,07/30/20 08:00:00 PM,14.709,53.8
296,07/30/20 08:30:00 PM,14.517,64.6
297,07/30/20 09:00:00 PM,14.325,10.8
298,07/30/20 09:30:00 PM,14.325,0.0
299,07/30/20 10:00:00 PM,14.325,0.0
300,07/30/20 10:30:00 PM,13.942,0.0
301,07/30/20 11:00:00 PM,13.942,0.0
302,07/30/20 11:30:00 PM,14.134,0.0
303,07/31/20 12:00:00 AM,14.421,0.0
304,07/31/20 12:30:00 AM,14.325,0.0
305,07/31/20 01:00:00 AM,14.230,0.0
306,07/31/20 01:30:00 AM,14.134,0.0
307,07/31/20 02:00:00 AM,14.134,0.0
308,07/31/20 02:30:00 AM,14.230,0.0
309,07/31/20 03:00:00 AM,14.230,0.0
310,07/31/20 03:30:00 AM,14.038,0.0
311,07/31/20 04:00:00 AM,14.230,0.0
312,07/31/20 04:30:00 AM,14.325,0.0
313,07/31/20 05:00:00 AM,14.421,0.0
314,07/31/20 05:30:00 AM,14.421,0.0
315,07/31/20 06:00:00 AM,14.230,0.0
316,07/31/20 06:30:00 AM,14.038,21.5
317,07/31/20 07:00:00 AM,14.134,53.8
318,07/31/20 07:30:00 AM,14.134,107.6
319,07/31/20 08:00:00 AM,14.325,226.0
320,07/31/20 08:30:00 AM,14.517,818.1
321,07/31/20 09:00:00 AM,14.421,2669.5
322,07/31/20 09:30:00 AM,14.421,2755.6
323,07/31/20 10:00:00 AM,14.517,2927.8
324,07/31/20 10:30:00 AM,14.613,2927.8
325,07/31/20 11:00:00 AM,14.613,3100.0
326,07/31/20 11:30:00 AM,14.613,1722.2
327,07/31/20 12:00:00 PM,14.709,947.2
328,07/31/20 12:30:00 PM,14.804,1280.9
329,07/31/20 01:00:00 PM,14.996,1001.0
330,07/31/20 01:30:00 PM,14.900,1087.2
331,07/31/20 02:00:00 PM,14.613,871.9
332,07/31/20 02:30:00 PM,14.709,1141.0
333,07/31/20 03:00:00 PM,14.421,742.7
334,07/31/20 03:30:00 PM,14.421,979.5
335,07/31/20 04:00:00 PM,14.804,624.3
336,07/31/20 04:30:00 PM,14.804,527.4
337,07/31/20 05:00:00 PM,14.900,462.9
338,07/31/20 05:30:00 PM,15.091,355.2
339,07/31/20 06:00:00 PM,14.900,312.2
340,07/31/20 06:30:00 PM,14.613,118.4
341,07/31/20 07:00:00 PM,14.613,107.6
342,07/31/20 07:30:00 PM,14.613,129.2
343,07/31/20 08:00:00 PM,14.709,75.3
344,07/31/20 08:30:00 PM,14.804,43.1
345,07/31/20 09:00:00 PM,14.325,10.8
346,07/31/20 09:30:00 PM,14.421,0.0
347,07/31/20 10:00:00 PM,14.421,0.0
348,07/31/20 10:30:00 PM,14.325,0.0
349,07/31/20 11:00:00 PM,14.517,0.0
350,07/31/20 11:30:00 PM,14.613,0.0
351,08/01/20 12:00:00 AM,14.421,0.0
352,08/01/20 12:30:00 AM,14.325,0.0
353,08/01/20 01:00:00 AM,14.421,0.0
354,08/01/20 01:30:00 AM,14.517,0.0
355,08/01/20 02:00:00 AM,14.613,0.0
356,08/01/20 02:30:00 AM,14.613,0.0
357,08/01/20 03:00:00 AM,14.900,0.0
358,08/01/20 03:30:00 AM,14.517,0.0
359,08/01/20 04:00:00 AM,14.325,0.0
360,08/01/20 04:30:00 AM,14.230,0.0
361,08/01/20 05:00:00 AM,14.134,0.0
362,08/01/20 05:30:00 AM,14.325,0.0
363,08/01/20 06:00:00 AM,14.325,0.0
364,08/01/20 06:30:00 AM,14.421,32.3
365,08/01/20 07:00:00 AM,14.613,64.6
366,08/01/20 07:30:00 AM,14.613,161.5
367,08/01/20 08:00:00 AM,14.709,1076.4
368,08/01/20 08:30:00 AM,14.613,1463.9
369,08/01/20 09:00:00 AM,14.613,1722.2
370,08/01/20 09:30:00 AM,14.613,1636.1
371,08/01/20 10:00:00 AM,14.804,2755.6
372,08/01/20 10:30:00 AM,14.996,3272.2
