datetime,irr_0,irr_2,irr_4,irr_5,irr_6,irr_7
2020-07-24T23:00:00Z,5166.7,355.2,419.8,1808.3,1270.1,4650
2020-07-24T23:30:00Z,936.5,247.6,355.2,1980.6,1022.6,1463.9
2020-07-25T00:00:00Z,688.9,139.9,215.3,1001,602.8,570.5
2020-07-25T00:30:00Z,215.3,107.6,139.9,1065.6,452.1,688.9
2020-07-25T01:00:00Z,96.9,21.5,53.8,269.1,139.9,161.5
2020-07-25T01:30:00Z,204.5,32.3,32.3,204.5,118.4,150.7
2020-07-25T02:00:00Z,107.6,21.5,21.5,172.2,96.9,139.9
2020-07-25T02:30:00Z,75.3,10.8,10.8,118.4,64.6,96.9
2020-07-25T03:00:00Z,32.3,0,0,32.3,10.8,21.5
2020-07-25T03:30:00Z,0,0,0,0,0,0
2020-07-25T04:00:00Z,0,0,0,0,0,0
2020-07-25T04:30:00Z,0,0,0,0,0,0
2020-07-25T05:00:00Z,0,0,0,0,0,0
2020-07-25T05:30:00Z,0,0,0,0,0,0
2020-07-25T06:00:00Z,0,0,0,0,0,0
2020-07-25T06:30:00Z,0,0,0,0,0,0
2020-07-25T07:00:00Z,0,0,0,0,0,0
2020-07-25T07:30:00Z,0,0,0,0,0,0
2020-07-25T08:00:00Z,0,0,0,0,0,0
2020-07-25T08:30:00Z,0,0,0,0,0,0
2020-07-25T09:00:00Z,0,0,0,0,0,0
2020-07-25T09:30:00Z,0,0,0,0,0,0
2020-07-25T10:00:00Z,0,0,0,0,0,0
2020-07-25T10:30:00Z,0,0,0,0,0,0
2020-07-25T11:00:00Z,0,0,0,0,0,0
2020-07-25T11:30:00Z,0,0,0,0,0,0
2020-07-25T12:00:00Z,0,0,0,0,0,0
2020-07-25T12:30:00Z,107.6,10.8,10.8,107.6,64.6,86.1
2020-07-25T13:00:00Z,193.8,21.5,43.1,204.5,129.2,150.7
2020-07-25T13:30:00Z,290.6,43.1,53.8,269.1,161.5,226
2020-07-25T14:00:00Z,462.9,139.9,150.7,559.7,376.7,785.8
2020-07-25T14:30:00Z,462.9,172.2,247.6,936.5,516.7,807.3
2020-07-25T15:00:00Z,559.7,258.3,258.3,1033.3,656.6,1377.8
2020-07-25T15:30:00Z,721.2,344.4,312.2,1173.3,796.5,2325
2020-07-25T16:00:00Z,2152.8,1636.1,678.1,1808.3,1377.8,6200
2020-07-25T16:30:00Z,1377.8,376.7,473.6,1550,1237.9,4822.3
2020-07-25T17:00:00Z,1636.1,1636.1,613.5,2497.2,1722.2,8611.2
2020-07-25T17:30:00Z,1291.7,893.4,635.1,1980.6,1636.1,6544.5
2020-07-25T18:00:00Z,602.8,635.1,699.7,3272.2,2066.7,2927.8
2020-07-25T18:30:00Z,2411.1,742.7,2066.7,13089,6544.5,2927.8
2020-07-25T19:00:00Z,10333.4,1980.6,1894.5,10333.4,3616.7,9644.5
2020-07-25T19:30:00Z,4994.5,904.2,1894.5,13089,7577.8,9300.1
2020-07-25T20:00:00Z,1550,764.2,936.5,2583.4,2238.9,4305.6
2020-07-25T20:30:00Z,1463.9,1313.2,678.1,3100,1980.6,9300.1
2020-07-25T21:00:00Z,2066.7,645.8,1377.8,11711.2,4133.4,2755.6
2020-07-25T21:30:00Z,8266.7,1722.2,1808.3,11022.3,6200,8611.2
2020-07-25T22:00:00Z,12400.1,871.9,2497.2,13089,9300.1,3100
2020-07-25T22:30:00Z,7577.8,1636.1,1980.6,9644.5,6200,4994.5
2020-07-25T23:00:00Z,6544.5,1097.9,2497.2,14466.8,8611.2,2325
2020-07-25T23:30:00Z,12400.1,1722.2,1722.2,10333.4,6200,4477.8
2020-07-26T00:00:00Z,4305.6,398.3,2238.9,7233.4,5338.9,1302.4
2020-07-26T00:30:00Z,8611.2,441.3,2325,7233.4,5166.7,1108.7
2020-07-26T01:00:00Z,215.3,43.1,75.3,387.5,236.8,226
2020-07-26T01:30:00Z,215.3,32.3,64.6,344.4,204.5,204.5
2020-07-26T02:00:00Z,193.8,32.3,53.8,258.3,150.7,204.5
2020-07-26T02:30:00Z,172.2,21.5,43.1,193.8,118.4,139.9
2020-07-26T03:00:00Z,75.3,10.8,10.8,86.1,53.8,64.6
2020-07-26T03:30:00Z,0,0,0,0,0,0
2020-07-26T04:00:00Z,0,0,0,0,0,0
2020-07-26T04:30:00Z,0,0,0,0,0,0
2020-07-26T05:00:00Z,0,0,0,0,0,0
2020-07-26T05:30:00Z,0,0,0,0,0,0
2020-07-26T06:00:00Z,0,0,0,0,0,0
2020-07-26T06:30:00Z,0,0,0,0,0,0
2020-07-26T07:00:00Z,0,0,0,0,0,0
2020-07-26T07:30:00Z,0,0,0,0,0,0
2020-07-26T08:00:00Z,0,0,0,0,0,0
2020-07-26T08:30:00Z,0,0,0,0,0,0
2020-07-26T09:00:00Z,0,0,0,0,0,0
2020-07-26T09:30:00Z,0,0,0,0,0,0
2020-07-26T10:00:00Z,0,0,0,0,0,0
2020-07-26T10:30:00Z,0,0,0,0,0,0
2020-07-26T11:00:00Z,0,0,0,0,0,0
2020-07-26T11:30:00Z,0,0,0,0,0,0
2020-07-26T12:00:00Z,0,0,0,0,0,0
2020-07-26T12:30:00Z,96.9,10.8,21.5,107.6,64.6,75.3
2020-07-26T13:00:00Z,193.8,21.5,43.1,204.5,129.2,139.9
2020-07-26T13:30:00Z,258.3,32.3,53.8,269.1,161.5,183
2020-07-26T14:00:00Z,409,139.9,172.2,645.8,387.5,581.3
2020-07-26T14:30:00Z,484.4,215.3,226,850.4,527.4,828.8
2020-07-26T15:00:00Z,495.1,247.6,344.4,1377.8,775,1001
2020-07-26T15:30:00Z,538.2,322.9,441.3,1980.6,1011.8,1194.8
2020-07-26T16:00:00Z,1463.9,409,387.5,1227.1,1001,2927.8
2020-07-26T16:30:00Z,1270.1,570.5,452.1,1550,1302.4,3616.7
2020-07-26T17:00:00Z,1162.5,495.1,549,1980.6,1463.9,3100
2020-07-26T17:30:00Z,1636.1,538.2,581.3,2325,1808.3,3272.2
2020-07-26T18:00:00Z,1550,559.7,635.1,2927.8,1894.5,3616.7
2020-07-26T18:30:00Z,775,441.3,818.1,4133.4,2583.4,2927.8
2020-07-26T19:00:00Z,775,462.9,861.1,5166.7,2927.8,3272.2
2020-07-26T19:30:00Z,828.8,678.1,1065.6,6544.5,3444.5,2927.8
2020-07-26T20:00:00Z,1636.1,764.2,742.7,3788.9,2325,5511.1
2020-07-26T20:30:00Z,1216.3,581.3,1291.7,12400.1,4994.5,2755.6
2020-07-26T21:00:00Z,1205.6,645.8,871.9,3616.7,1894.5,4822.3
2020-07-26T21:30:00Z,1270.1,570.5,592,2927.8,1808.3,3272.2
2020-07-26T22:00:00Z,1463.9,538.2,549,2325,1550,3616.7
2020-07-26T22:30:00Z,818.1,366,990.3,7233.4,3444.5,1808.3
2020-07-26T23:00:00Z,592,656.6,538.2,3100,1463.9,1894.5
2020-07-26T23:30:00Z,570.5,322.9,527.4,2755.6,1248.6,1377.8
2020-07-27T00:00:00Z,1313.2,387.5,322.9,1162.5,807.3,1808.3
2020-07-27T00:30:00Z,818.1,269.1,247.6,904.2,645.8,1377.8
2020-07-27T01:00:00Z,279.9,43.1,75.3,322.9,204.5,279.9
2020-07-27T01:30:00Z,236.8,43.1,64.6,312.2,183,236.8
2020-07-27T02:00:00Z,204.5,32.3,53.8,258.3,161.5,193.8
2020-07-27T02:30:00Z,139.9,21.5,43.1,193.8,118.4,139.9
2020-07-27T03:00:00Z,64.6,10.8,10.8,86.1,53.8,64.6
2020-07-27T03:30:00Z,0,0,0,0,0,0
2020-07-27T04:00:00Z,0,0,0,0,0,0
2020-07-27T04:30:00Z,0,0,0,0,0,0
2020-07-27T05:00:00Z,0,0,0,0,0,0
2020-07-27T05:30:00Z,0,0,0,0,0,0
2020-07-27T06:00:00Z,0,0,0,0,0,0
2020-07-27T06:30:00Z,0,0,0,0,0,0
2020-07-27T07:00:00Z,0,0,0,0,0,0
2020-07-27T07:30:00Z,0,0,0,0,0,0
2020-07-27T08:00:00Z,0,0,0,0,0,0
2020-07-27T08:30:00Z,0,0,0,0,0,0
2020-07-27T09:00:00Z,0,0,0,0,0,0
2020-07-27T09:30:00Z,0,0,0,0,0,0
2020-07-27T10:00:00Z,0,0,0,0,0,0
2020-07-27T10:30:00Z,0,0,0,0,0,0
2020-07-27T11:00:00Z,0,0,0,0,0,0
2020-07-27T11:30:00Z,0,0,0,0,0,0
2020-07-27T12:00:00Z,10.8,0,0,10.8,0,0
2020-07-27T12:30:00Z,139.9,10.8,21.5,139.9,86.1,75.3
2020-07-27T13:00:00Z,258.3,32.3,64.6,279.9,183,161.5
2020-07-27T13:30:00Z,258.3,43.1,75.3,355.2,215.3,193.8
2020-07-27T14:00:00Z,376.7,150.7,312.2,1119.5,570.5,452.1
2020-07-27T14:30:00Z,527.4,183,473.6,1550,828.8,602.8
