"Plot Title: 2_m_SMT"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889831, SEN S/N: 20889831, LBL: 2 m)","Intensity, Lux (LGR S/N: 20889831, SEN S/N: 20889831, LBL: 2 m)"
1,06/17/21 04:00:00 PM,19.758,1722.2
2,06/17/21 04:30:00 PM,19.567,2325.0
3,06/17/21 05:00:00 PM,19.567,1980.6
4,06/17/21 05:30:00 PM,19.567,1894.5
5,06/17/21 06:00:00 PM,18.996,1894.5
6,06/17/21 06:30:00 PM,19.377,2152.8
7,06/17/21 07:00:00 PM,19.282,1808.3
8,06/17/21 07:30:00 PM,19.377,1463.9
9,06/17/21 08:00:00 PM,19.187,1205.6
10,06/17/21 08:30:00 PM,18.996,161.5
11,06/17/21 09:00:00 PM,19.092,86.1
12,06/17/21 09:30:00 PM,19.187,21.5
13,06/17/21 10:00:00 PM,18.996,0.0
14,06/17/21 10:30:00 PM,18.996,0.0
15,06/17/21 11:00:00 PM,18.901,0.0
16,06/17/21 11:30:00 PM,18.996,0.0
17,06/18/21 12:00:00 AM,19.092,0.0
18,06/18/21 12:30:00 AM,19.187,0.0
19,06/18/21 01:00:00 AM,19.092,0.0
20,06/18/21 01:30:00 AM,19.187,0.0
21,06/18/21 02:00:00 AM,19.187,0.0
22,06/18/21 02:30:00 AM,19.092,0.0
23,06/18/21 03:00:00 AM,19.092,0.0
24,06/18/21 03:30:00 AM,18.996,0.0
25,06/18/21 04:00:00 AM,19.092,0.0
26,06/18/21 04:30:00 AM,19.092,0.0
27,06/18/21 05:00:00 AM,18.996,0.0
28,06/18/21 05:30:00 AM,18.901,0.0
29,06/18/21 06:00:00 AM,18.996,21.5
30,06/18/21 06:30:00 AM,18.996,43.1
31,06/18/21 07:00:00 AM,18.996,86.1
32,06/18/21 07:30:00 AM,19.092,236.8
33,06/18/21 08:00:00 AM,19.187,312.2
34,06/18/21 08:30:00 AM,19.377,366.0
35,06/18/21 09:00:00 AM,19.377,484.4
36,06/18/21 09:30:00 AM,19.472,398.3
37,06/18/21 10:00:00 AM,19.472,527.4
38,06/18/21 10:30:00 AM,19.567,699.7
39,06/18/21 11:00:00 AM,19.472,1001.0
40,06/18/21 11:30:00 AM,19.472,1313.2
41,06/18/21 12:00:00 PM,19.282,1722.2
42,06/18/21 12:30:00 PM,18.806,1722.2
43,06/18/21 01:00:00 PM,19.377,1894.5
44,06/18/21 01:30:00 PM,19.662,2066.7
45,06/18/21 02:00:00 PM,19.853,2238.9
46,06/18/21 02:30:00 PM,19.853,2583.4
47,06/18/21 03:00:00 PM,19.948,2755.6
48,06/18/21 03:30:00 PM,20.043,3100.0
49,06/18/21 04:00:00 PM,19.853,3272.2
50,06/18/21 04:30:00 PM,19.853,4133.4
51,06/18/21 05:00:00 PM,19.853,3616.7
52,06/18/21 05:30:00 PM,19.948,2927.8
53,06/18/21 06:00:00 PM,20.043,4133.4
54,06/18/21 06:30:00 PM,20.138,3100.0
55,06/18/21 07:00:00 PM,19.567,2927.8
