datetime,irr_0,irr_2,irr_4
2021-06-17T16:00:00Z,148801,1722.2,183
2021-06-17T16:30:00Z,115734.1,2325,204.5
2021-06-17T17:00:00Z,198401.3,1980.6,129.2
2021-06-17T17:30:00Z,126756.4,1894.5,96.9
2021-06-17T18:00:00Z,220445.9,1894.5,86.1
2021-06-17T18:30:00Z,22044.6,2152.8,75.3
2021-06-17T19:00:00Z,17222.3,1808.3,53.8
2021-06-17T19:30:00Z,5166.7,1463.9,32.3
2021-06-17T20:00:00Z,3616.7,1205.6,21.5
2021-06-17T20:30:00Z,2325,161.5,0
2021-06-17T21:00:00Z,1119.5,86.1,0
2021-06-17T21:30:00Z,398.3,21.5,0
2021-06-17T22:00:00Z,0,0,0
2021-06-17T22:30:00Z,0,0,0
2021-06-17T23:00:00Z,0,0,0
2021-06-17T23:30:00Z,0,0,0
2021-06-18T00:00:00Z,0,0,0
2021-06-18T00:30:00Z,0,0,0
2021-06-18T01:00:00Z,0,0,0
2021-06-18T01:30:00Z,0,0,0
2021-06-18T02:00:00Z,0,0,0
2021-06-18T02:30:00Z,0,0,0
2021-06-18T03:00:00Z,0,0,0
2021-06-18T03:30:00Z,0,0,0
2021-06-18T04:00:00Z,0,0,0
2021-06-18T04:30:00Z,0,0,0
2021-06-18T05:00:00Z,0,0,0
2021-06-18T05:30:00Z,129.2,0,0
2021-06-18T06:00:00Z,527.4,21.5,0
2021-06-18T06:30:00Z,1894.5,43.1,10.8
2021-06-18T07:00:00Z,1550,86.1,64.6
2021-06-18T07:30:00Z,22044.6,236.8,355.2
2021-06-18T08:00:00Z,165334.4,312.2,430.6
2021-06-18T08:30:00Z,121245.2,366,495.1
2021-06-18T09:00:00Z,264535.1,484.4,559.7
2021-06-18T09:30:00Z,104711.8,398.3,656.6
2021-06-18T10:00:00Z,132267.5,527.4,699.7
2021-06-18T10:30:00Z,242490.5,699.7,667.4
2021-06-18T11:00:00Z,231468.2,1001,699.7
2021-06-18T11:30:00Z,242490.5,1313.2,559.7
2021-06-18T12:00:00Z,220445.9,1722.2,559.7
2021-06-18T12:30:00Z,220445.9,1722.2,538.2
2021-06-18T13:00:00Z,187379,1894.5,409
2021-06-18T13:30:00Z,187379,2066.7,355.2
2021-06-18T14:00:00Z,165334.4,2238.9,301.4
2021-06-18T14:30:00Z,176356.7,2583.4,269.1
2021-06-18T15:00:00Z,187379,2755.6,236.8
2021-06-18T15:30:00Z,71644.9,3100,193.8
2021-06-18T16:00:00Z,99200.7,3272.2,172.2
2021-06-18T16:30:00Z,31689.1,4133.4,150.7
2021-06-18T17:00:00Z,17911.2,3616.7,129.2
2021-06-18T17:30:00Z,52355.9,2927.8,107.6
2021-06-18T18:00:00Z,12400.1,4133.4,86.1
2021-06-18T18:30:00Z,8611.2,3100,64.6
2021-06-18T19:00:00Z,9300.1,2927.8,43.1
2021-06-18T19:30:00Z,5511.1,2497.2,32.3
2021-06-18T20:00:00Z,5166.7,1377.8,21.5
2021-06-18T20:30:00Z,1980.6,204.5,0
2021-06-18T21:00:00Z,1130.2,96.9,0
2021-06-18T21:30:00Z,312.2,21.5,0
2021-06-18T22:00:00Z,0,0,0
2021-06-18T22:30:00Z,0,0,0
2021-06-18T23:00:00Z,0,0,0
2021-06-18T23:30:00Z,0,0,0
2021-06-19T00:00:00Z,0,0,0
2021-06-19T00:30:00Z,0,0,0
2021-06-19T01:00:00Z,0,0,0
2021-06-19T01:30:00Z,0,0,0
2021-06-19T02:00:00Z,0,0,0
2021-06-19T02:30:00Z,0,0,0
2021-06-19T03:00:00Z,0,0,0
2021-06-19T03:30:00Z,0,0,0
2021-06-19T04:00:00Z,0,0,0
2021-06-19T04:30:00Z,0,0,0
2021-06-19T05:00:00Z,0,0,0
2021-06-19T05:30:00Z,86.1,0,0
2021-06-19T06:00:00Z,1087.2,43.1,0
2021-06-19T06:30:00Z,2325,86.1,10.8
2021-06-19T07:00:00Z,52355.9,258.3,139.9
2021-06-19T07:30:00Z,31689.1,398.3,258.3
2021-06-19T08:00:00Z,39955.8,322.9,204.5
2021-06-19T08:30:00Z,126756.4,570.5,516.7
2021-06-19T09:00:00Z,126756.4,667.4,484.4
2021-06-19T09:30:00Z,121245.2,914.9,624.3
2021-06-19T10:00:00Z,85422.8,1291.7,570.5
2021-06-19T10:30:00Z,143289.8,1205.6,538.2
2021-06-19T11:00:00Z,187379,1636.1,721.2
2021-06-19T11:30:00Z,34444.7,1184,172.2
2021-06-19T12:00:00Z,170845.6,1463.9,419.8
2021-06-19T12:30:00Z,88178.4,1291.7,247.6
2021-06-19T13:00:00Z,68889.3,1463.9,258.3
2021-06-19T13:30:00Z,165334.4,2927.8,484.4
2021-06-19T14:00:00Z,46844.8,1636.1,226
2021-06-19T14:30:00Z,121245.2,2411.1,247.6
2021-06-19T15:00:00Z,55111.5,2238.9,247.6
2021-06-19T15:30:00Z,24800.2,1550,172.2
2021-06-19T16:00:00Z,49600.3,2152.8,226
2021-06-19T16:30:00Z,33066.9,1808.3,172.2
2021-06-19T17:00:00Z,22044.6,1356.3,150.7
2021-06-19T17:30:00Z,44089.2,1722.2,139.9
2021-06-19T18:00:00Z,5166.7,1065.6,129.2
2021-06-19T18:30:00Z,13089,635.1,75.3
2021-06-19T19:00:00Z,18600.1,678.1,86.1
2021-06-19T19:30:00Z,26178,753.5,64.6
2021-06-19T20:00:00Z,4650,462.9,32.3
2021-06-19T20:30:00Z,990.3,32.3,0
2021-06-19T21:00:00Z,678.1,43.1,0
2021-06-19T21:30:00Z,355.2,10.8,0
2021-06-19T22:00:00Z,10.8,0,0
2021-06-19T22:30:00Z,0,0,0
2021-06-19T23:00:00Z,0,0,0
2021-06-19T23:30:00Z,0,0,0
2021-06-20T00:00:00Z,0,0,0
2021-06-20T00:30:00Z,0,0,0
2021-06-20T01:00:00Z,0,0,0
2021-06-20T01:30:00Z,0,0,0
2021-06-20T02:00:00Z,0,0,0
2021-06-20T02:30:00Z,0,0,0
2021-06-20T03:00:00Z,0,0,0
2021-06-20T03:30:00Z,0,0,0
2021-06-20T04:00:00Z,0,0,0
2021-06-20T04:30:00Z,0,0,0
2021-06-20T05:00:00Z,0,0,0
2021-06-20T05:30:00Z,21.5,0,0
2021-06-20T06:00:00Z,322.9,0,0
2021-06-20T06:30:00Z,1194.8,64.6,0
2021-06-20T07:00:00Z,1141,86.1,0
2021-06-20T07:30:00Z,1980.6,118.4,0
2021-06-20T08:00:00Z,6200,333.7,43.1
2021-06-20T08:30:00Z,8611.2,279.9,32.3
2021-06-20T09:00:00Z,12400.1,635.1,118.4
2021-06-20T09:30:00Z,17222.3,1022.6,172.2
2021-06-20T10:00:00Z,27555.7,753.5,118.4
2021-06-20T10:30:00Z,23422.4,990.3,150.7
2021-06-20T11:00:00Z,15844.5,764.2,96.9
2021-06-20T11:30:00Z,33066.9,1216.3,172.2
2021-06-20T12:00:00Z,28933.5,1377.8,204.5
2021-06-20T12:30:00Z,28933.5,1377.8,172.2
2021-06-20T13:00:00Z,93689.5,2152.8,398.3
2021-06-20T13:30:00Z,121245.2,2152.8,376.7
2021-06-20T14:00:00Z,33066.9,1205.6,150.7
2021-06-20T14:30:00Z,79911.6,1894.5,236.8
2021-06-20T15:00:00Z,24800.2,1151.7,86.1
2021-06-20T15:30:00Z,18600.1,419.8,64.6
2021-06-20T16:00:00Z,33066.9,1280.9,172.2
2021-06-20T16:30:00Z,27555.7,1270.1,172.2
2021-06-20T17:00:00Z,31689.1,1259.4,150.7
2021-06-20T17:30:00Z,21355.7,882.6,107.6
2021-06-20T18:00:00Z,26178,678.1,96.9
2021-06-20T18:30:00Z,18600.1,796.5,96.9
2021-06-20T19:00:00Z,12400.1,1356.3,86.1
2021-06-20T19:30:00Z,6200,2066.7,43.1
2021-06-20T20:00:00Z,5166.7,1377.8,21.5
2021-06-20T20:30:00Z,1722.2,150.7,0
2021-06-20T21:00:00Z,1377.8,139.9,0
2021-06-20T21:30:00Z,398.3,21.5,0
2021-06-20T22:00:00Z,0,0,0
2021-06-20T22:30:00Z,0,0,0
2021-06-20T23:00:00Z,0,0,0
2021-06-20T23:30:00Z,0,0,0
2021-06-21T00:00:00Z,0,0,0
2021-06-21T00:30:00Z,0,0,0
2021-06-21T01:00:00Z,0,0,0
2021-06-21T01:30:00Z,0,0,0
2021-06-21T02:00:00Z,0,0,0
2021-06-21T02:30:00Z,0,0,0
2021-06-21T03:00:00Z,0,0,0
2021-06-21T03:30:00Z,0,0,0
2021-06-21T04:00:00Z,0,0,0
2021-06-21T04:30:00Z,0,0,0
2021-06-21T05:00:00Z,0,0,0
2021-06-21T05:30:00Z,161.5,0,0
2021-06-21T06:00:00Z,764.2,21.5,0
2021-06-21T06:30:00Z,850.4,53.8,0
2021-06-21T07:00:00Z,74400.5,484.4,215.3
2021-06-21T07:30:00Z,170845.6,581.3,409
2021-06-21T08:00:00Z,209423.6,409,516.7
2021-06-21T08:30:00Z,165334.4,505.9,688.9
2021-06-21T09:00:00Z,242490.5,376.7,818.1
2021-06-21T09:30:00Z,165334.4,635.1,645.8
2021-06-21T10:00:00Z,253512.8,613.5,688.9
2021-06-21T10:30:00Z,209423.6,904.2,678.1
2021-06-21T11:00:00Z,220445.9,1141,828.8
2021-06-21T11:30:00Z,198401.3,1463.9,904.2
2021-06-21T12:00:00Z,209423.6,2238.9,742.7
2021-06-21T12:30:00Z,82667.2,2497.2,635.1
2021-06-21T13:00:00Z,143289.8,2669.5,613.5
2021-06-21T13:30:00Z,41333.6,2066.7,290.6
2021-06-21T14:00:00Z,57867,3100,473.6
2021-06-21T14:30:00Z,57867,2669.5,312.2
2021-06-21T15:00:00Z,39955.8,2669.5,236.8
2021-06-21T15:30:00Z,35822.5,2755.6,226
2021-06-21T16:00:00Z,99200.7,3272.2,193.8
2021-06-21T16:30:00Z,34444.7,3272.2,172.2
2021-06-21T17:00:00Z,26178,3272.2,139.9
2021-06-21T17:30:00Z,20666.8,3616.7,96.9
2021-06-21T18:00:00Z,17911.2,4477.8,96.9
2021-06-21T18:30:00Z,17911.2,3961.1,75.3
2021-06-21T19:00:00Z,10677.8,2927.8,53.8
2021-06-21T19:30:00Z,9644.5,2066.7,43.1
2021-06-21T20:00:00Z,7233.4,1463.9,21.5
2021-06-21T20:30:00Z,2066.7,172.2,0
2021-06-21T21:00:00Z,1636.1,172.2,0
2021-06-21T21:30:00Z,613.5,32.3,0
2021-06-21T22:00:00Z,21.5,0,0
2021-06-21T22:30:00Z,0,0,0
2021-06-21T23:00:00Z,0,0,0
2021-06-21T23:30:00Z,0,0,0
2021-06-22T00:00:00Z,0,0,0
2021-06-22T00:30:00Z,0,0,0
2021-06-22T01:00:00Z,0,0,0
2021-06-22T01:30:00Z,0,0,0
2021-06-22T02:00:00Z,0,0,0
2021-06-22T02:30:00Z,0,0,0
2021-06-22T03:00:00Z,0,0,0
2021-06-22T03:30:00Z,0,0,0
2021-06-22T04:00:00Z,0,0,0
2021-06-22T04:30:00Z,0,0,0
2021-06-22T05:00:00Z,0,0,0
2021-06-22T05:30:00Z,452.1,0,0
2021-06-22T06:00:00Z,2497.2,75.3,0
2021-06-22T06:30:00Z,8611.2,193.8,32.3
2021-06-22T07:00:00Z,34444.7,312.2,183
2021-06-22T07:30:00Z,121245.2,279.9,204.5
2021-06-22T08:00:00Z,68889.3,581.3,473.6
2021-06-22T08:30:00Z,209423.6,549,613.5
2021-06-22T09:00:00Z,154312.1,785.8,710.4
2021-06-22T09:30:00Z,93689.5,861.1,742.7
2021-06-22T10:00:00Z,198401.3,1001,742.7
2021-06-22T10:30:00Z,170845.6,990.3,624.3
2021-06-22T11:00:00Z,198401.3,1377.8,731.9
2021-06-22T11:30:00Z,176356.7,1722.2,710.4
2021-06-22T12:00:00Z,198401.3,1636.1,592
2021-06-22T12:30:00Z,187379,1636.1,592
2021-06-22T13:00:00Z,198401.3,1980.6,516.7
2021-06-22T13:30:00Z,63378.2,2066.7,441.3
2021-06-22T14:00:00Z,209423.6,2152.8,409
2021-06-22T14:30:00Z,143289.8,2497.2,333.7
2021-06-22T15:00:00Z,187379,2411.1,312.2
2021-06-22T15:30:00Z,220445.9,3272.2,258.3
2021-06-22T16:00:00Z,46844.8,4133.4,215.3
2021-06-22T16:30:00Z,23422.4,4305.6,183
2021-06-22T17:00:00Z,22044.6,3788.9,161.5
2021-06-22T17:30:00Z,88178.4,3616.7,118.4
2021-06-22T18:00:00Z,17222.3,3100,107.6
2021-06-22T18:30:00Z,11711.2,3444.5,86.1
2021-06-22T19:00:00Z,12400.1,2927.8,64.6
2021-06-22T19:30:00Z,5511.1,2497.2,43.1
2021-06-22T20:00:00Z,4305.6,1550,32.3
2021-06-22T20:30:00Z,2411.1,226,10.8
2021-06-22T21:00:00Z,990.3,107.6,0
2021-06-22T21:30:00Z,344.4,21.5,0
2021-06-22T22:00:00Z,10.8,0,0
2021-06-22T22:30:00Z,0,0,0
2021-06-22T23:00:00Z,0,0,0
2021-06-22T23:30:00Z,0,0,0
2021-06-23T00:00:00Z,0,0,0
2021-06-23T00:30:00Z,0,0,0
2021-06-23T01:00:00Z,0,0,0
2021-06-23T01:30:00Z,0,0,0
2021-06-23T02:00:00Z,0,0,0
2021-06-23T02:30:00Z,0,0,0
2021-06-23T03:00:00Z,0,0,0
2021-06-23T03:30:00Z,0,0,0
2021-06-23T04:00:00Z,0,0,0
2021-06-23T04:30:00Z,0,0,0
2021-06-23T05:00:00Z,0,0,0
2021-06-23T05:30:00Z,75.3,0,0
2021-06-23T06:00:00Z,322.9,21.5,0
2021-06-23T06:30:00Z,1313.2,86.1,0
2021-06-23T07:00:00Z,5511.1,301.4,43.1
2021-06-23T07:30:00Z,5511.1,495.1,53.8
2021-06-23T08:00:00Z,13777.9,602.8,75.3
2021-06-23T08:30:00Z,12400.1,667.4,86.1
2021-06-23T09:00:00Z,88178.4,1227.1,333.7
2021-06-23T09:30:00Z,63378.2,1463.9,301.4
2021-06-23T10:00:00Z,209423.6,1808.3,861.1
2021-06-23T10:30:00Z,126756.4,1980.6,699.7
2021-06-23T11:00:00Z,209423.6,3616.7,925.7
2021-06-23T11:30:00Z,34444.7,1377.8,279.9
2021-06-23T12:00:00Z,16533.4,1108.7,129.2
2021-06-23T12:30:00Z,10677.8,1280.9,139.9
2021-06-23T13:00:00Z,12400.1,1237.9,107.6
