"Plot Title: surf UPH"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20641369, SEN S/N: 20641369, LBL: 0 m)","Intensity, Lux (LGR S/N: 20641369, SEN S/N: 20641369, LBL: 0 m)"
1,07/08/20 04:30:00 PM,11.916,1463.9
2,07/08/20 05:00:00 PM,12.304,4133.4
3,07/08/20 05:30:00 PM,12.401,2669.5
4,07/08/20 06:00:00 PM,11.819,473.6
5,07/08/20 06:30:00 PM,11.916,409.0
6,07/08/20 07:00:00 PM,12.304,602.8
7,07/08/20 07:30:00 PM,12.110,656.6
8,07/08/20 08:00:00 PM,11.819,86.1
9,07/08/20 08:30:00 PM,11.722,75.3
10,07/08/20 09:00:00 PM,11.625,43.1
11,07/08/20 09:30:00 PM,11.528,0.0
12,07/08/20 10:00:00 PM,11.431,0.0
13,07/08/20 10:30:00 PM,11.431,0.0
14,07/08/20 11:00:00 PM,11.431,0.0
15,07/08/20 11:30:00 PM,11.334,0.0
16,07/09/20 12:00:00 AM,11.236,0.0
17,07/09/20 12:30:00 AM,11.236,0.0
18,07/09/20 01:00:00 AM,11.139,0.0
19,07/09/20 01:30:00 AM,11.139,0.0
20,07/09/20 02:00:00 AM,11.139,0.0
21,07/09/20 02:30:00 AM,11.041,0.0
22,07/09/20 03:00:00 AM,11.041,0.0
23,07/09/20 03:30:00 AM,10.944,0.0
24,07/09/20 04:00:00 AM,10.944,0.0
25,07/09/20 04:30:00 AM,10.748,0.0
26,07/09/20 05:00:00 AM,10.748,0.0
27,07/09/20 05:30:00 AM,10.553,0.0
28,07/09/20 06:00:00 AM,10.651,10.8
29,07/09/20 06:30:00 AM,10.553,32.3
30,07/09/20 07:00:00 AM,10.553,53.8
31,07/09/20 07:30:00 AM,10.553,75.3
32,07/09/20 08:00:00 AM,11.916,2238.9
33,07/09/20 08:30:00 AM,12.497,2497.2
34,07/09/20 09:00:00 AM,12.980,2755.6
35,07/09/20 09:30:00 AM,11.431,1636.1
36,07/09/20 10:00:00 AM,11.139,1808.3
37,07/09/20 10:30:00 AM,11.236,1808.3
38,07/09/20 11:00:00 AM,11.236,398.3
39,07/09/20 11:30:00 AM,11.236,667.4
40,07/09/20 12:00:00 PM,11.334,409.0
41,07/09/20 12:30:00 PM,11.528,1377.8
42,07/09/20 01:00:00 PM,11.819,398.3
43,07/09/20 01:30:00 PM,12.013,602.8
44,07/09/20 02:00:00 PM,12.690,2411.1
45,07/09/20 02:30:00 PM,12.401,1636.1
46,07/09/20 03:00:00 PM,13.173,1894.5
47,07/09/20 03:30:00 PM,13.269,1313.2
48,07/09/20 04:00:00 PM,13.461,1550.0
49,07/09/20 04:30:00 PM,13.846,2152.8
50,07/09/20 05:00:00 PM,14.325,979.5
51,07/09/20 05:30:00 PM,14.230,527.4
52,07/09/20 06:00:00 PM,14.709,1636.1
53,07/09/20 06:30:00 PM,14.613,2411.1
54,07/09/20 07:00:00 PM,14.517,1722.2
55,07/09/20 07:30:00 PM,13.654,1636.1
56,07/09/20 08:00:00 PM,13.076,118.4
57,07/09/20 08:30:00 PM,12.883,86.1
58,07/09/20 09:00:00 PM,12.883,32.3
59,07/09/20 09:30:00 PM,12.787,0.0
60,07/09/20 10:00:00 PM,12.690,0.0
61,07/09/20 10:30:00 PM,12.594,0.0
62,07/09/20 11:00:00 PM,12.594,0.0
63,07/09/20 11:30:00 PM,12.497,0.0
64,07/10/20 12:00:00 AM,12.497,0.0
65,07/10/20 12:30:00 AM,12.401,0.0
66,07/10/20 01:00:00 AM,12.401,0.0
67,07/10/20 01:30:00 AM,12.304,0.0
68,07/10/20 02:00:00 AM,12.207,0.0
69,07/10/20 02:30:00 AM,12.207,0.0
70,07/10/20 03:00:00 AM,12.110,0.0
71,07/10/20 03:30:00 AM,12.013,0.0
72,07/10/20 04:00:00 AM,12.110,0.0
73,07/10/20 04:30:00 AM,12.110,0.0
74,07/10/20 05:00:00 AM,12.013,0.0
75,07/10/20 05:30:00 AM,12.013,0.0
76,07/10/20 06:00:00 AM,11.916,0.0
77,07/10/20 06:30:00 AM,11.916,0.0
78,07/10/20 07:00:00 AM,11.916,10.8
79,07/10/20 07:30:00 AM,12.013,107.6
80,07/10/20 08:00:00 AM,12.013,183.0
81,07/10/20 08:30:00 AM,12.013,484.4
82,07/10/20 09:00:00 AM,12.690,1980.6
83,07/10/20 09:30:00 AM,13.558,2238.9
84,07/10/20 10:00:00 AM,12.304,279.9
85,07/10/20 10:30:00 AM,12.690,613.5
86,07/10/20 11:00:00 AM,12.594,452.1
87,07/10/20 11:30:00 AM,12.690,1722.2
88,07/10/20 12:00:00 PM,12.690,1894.5
89,07/10/20 12:30:00 PM,12.690,807.3
90,07/10/20 01:00:00 PM,13.076,1377.8
91,07/10/20 01:30:00 PM,13.076,742.7
92,07/10/20 02:00:00 PM,12.980,785.8
93,07/10/20 02:30:00 PM,13.076,1108.7
94,07/10/20 03:00:00 PM,13.076,667.4
95,07/10/20 03:30:00 PM,13.365,1248.6
96,07/10/20 04:00:00 PM,13.076,462.9
97,07/10/20 04:30:00 PM,13.173,559.7
98,07/10/20 05:00:00 PM,14.230,742.7
99,07/10/20 05:30:00 PM,14.709,871.9
100,07/10/20 06:00:00 PM,14.517,635.1
101,07/10/20 06:30:00 PM,13.750,258.3
102,07/10/20 07:00:00 PM,15.760,1076.4
103,07/10/20 07:30:00 PM,14.900,656.6
104,07/10/20 08:00:00 PM,13.173,75.3
105,07/10/20 08:30:00 PM,13.076,32.3
106,07/10/20 09:00:00 PM,13.076,32.3
