"Plot Title: 8 m UPH"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20641368, SEN S/N: 20641368, LBL: 8 m)","Intensity, Lux (LGR S/N: 20641368, SEN S/N: 20641368, LBL: 8 m)"
1,08/25/20 07:30:00 PM,6.877,64.6
2,08/25/20 08:00:00 PM,6.978,10.8
3,08/25/20 08:30:00 PM,6.978,0.0
4,08/25/20 09:00:00 PM,7.179,0.0
5,08/25/20 09:30:00 PM,7.079,0.0
6,08/25/20 10:00:00 PM,6.978,0.0
7,08/25/20 10:30:00 PM,6.775,0.0
8,08/25/20 11:00:00 PM,6.775,0.0
9,08/25/20 11:30:00 PM,7.079,0.0
10,08/26/20 12:00:00 AM,6.674,0.0
11,08/26/20 12:30:00 AM,6.674,0.0
12,08/26/20 01:00:00 AM,6.978,0.0
13,08/26/20 01:30:00 AM,6.877,0.0
14,08/26/20 02:00:00 AM,6.978,0.0
15,08/26/20 02:30:00 AM,6.877,0.0
16,08/26/20 03:00:00 AM,6.775,0.0
17,08/26/20 03:30:00 AM,6.877,0.0
18,08/26/20 04:00:00 AM,6.877,0.0
19,08/26/20 04:30:00 AM,6.775,0.0
20,08/26/20 05:00:00 AM,6.674,0.0
21,08/26/20 05:30:00 AM,6.775,0.0
22,08/26/20 06:00:00 AM,6.978,0.0
23,08/26/20 06:30:00 AM,6.978,0.0
24,08/26/20 07:00:00 AM,6.978,0.0
25,08/26/20 07:30:00 AM,6.978,32.3
26,08/26/20 08:00:00 AM,6.877,43.1
27,08/26/20 08:30:00 AM,6.877,64.6
28,08/26/20 09:00:00 AM,6.877,96.9
29,08/26/20 09:30:00 AM,6.775,430.6
30,08/26/20 10:00:00 AM,7.079,2152.8
31,08/26/20 10:30:00 AM,6.877,409.0
32,08/26/20 11:00:00 AM,6.978,742.7
33,08/26/20 11:30:00 AM,6.978,699.7
34,08/26/20 12:00:00 PM,6.978,559.7
35,08/26/20 12:30:00 PM,6.978,301.4
36,08/26/20 01:00:00 PM,6.978,312.2
37,08/26/20 01:30:00 PM,6.978,258.3
38,08/26/20 02:00:00 PM,7.179,279.9
39,08/26/20 02:30:00 PM,7.179,279.9
40,08/26/20 03:00:00 PM,7.179,236.8
41,08/26/20 03:30:00 PM,7.079,204.5
42,08/26/20 04:00:00 PM,7.079,183.0
43,08/26/20 04:30:00 PM,6.978,226.0
44,08/26/20 05:00:00 PM,6.877,355.2
45,08/26/20 05:30:00 PM,6.877,226.0
46,08/26/20 06:00:00 PM,6.978,118.4
47,08/26/20 06:30:00 PM,6.877,107.6
48,08/26/20 07:00:00 PM,6.978,64.6
49,08/26/20 07:30:00 PM,6.877,43.1
50,08/26/20 08:00:00 PM,6.877,21.5
51,08/26/20 08:30:00 PM,6.877,0.0
52,08/26/20 09:00:00 PM,7.079,0.0
53,08/26/20 09:30:00 PM,7.079,0.0
54,08/26/20 10:00:00 PM,7.179,0.0
55,08/26/20 10:30:00 PM,6.978,0.0
56,08/26/20 11:00:00 PM,6.978,0.0
57,08/26/20 11:30:00 PM,7.079,0.0
58,08/27/20 12:00:00 AM,7.179,0.0
59,08/27/20 12:30:00 AM,6.877,0.0
60,08/27/20 01:00:00 AM,6.877,0.0
61,08/27/20 01:30:00 AM,6.978,0.0
62,08/27/20 02:00:00 AM,6.877,0.0
63,08/27/20 02:30:00 AM,6.775,0.0
64,08/27/20 03:00:00 AM,6.877,0.0
65,08/27/20 03:30:00 AM,6.775,0.0
66,08/27/20 04:00:00 AM,6.978,0.0
67,08/27/20 04:30:00 AM,6.775,0.0
68,08/27/20 05:00:00 AM,6.775,0.0
69,08/27/20 05:30:00 AM,6.978,0.0
70,08/27/20 06:00:00 AM,7.079,0.0
71,08/27/20 06:30:00 AM,6.978,0.0
72,08/27/20 07:00:00 AM,6.877,0.0
73,08/27/20 07:30:00 AM,6.877,43.1
74,08/27/20 08:00:00 AM,7.079,64.6
75,08/27/20 08:30:00 AM,7.079,96.9
76,08/27/20 09:00:00 AM,7.079,150.7
77,08/27/20 09:30:00 AM,7.179,193.8
78,08/27/20 10:00:00 AM,7.079,204.5
79,08/27/20 10:30:00 AM,7.079,1173.3
80,08/27/20 11:00:00 AM,6.978,236.8
81,08/27/20 11:30:00 AM,6.877,236.8
82,08/27/20 12:00:00 PM,6.674,279.9
83,08/27/20 12:30:00 PM,6.674,269.1
84,08/27/20 01:00:00 PM,6.877,258.3
85,08/27/20 01:30:00 PM,7.179,269.1
86,08/27/20 02:00:00 PM,7.079,247.6
87,08/27/20 02:30:00 PM,7.179,226.0
88,08/27/20 03:00:00 PM,7.079,247.6
89,08/27/20 03:30:00 PM,7.079,2152.8
90,08/27/20 04:00:00 PM,7.179,861.1
91,08/27/20 04:30:00 PM,7.179,850.4
92,08/27/20 05:00:00 PM,6.978,990.3
93,08/27/20 05:30:00 PM,7.079,1087.2
94,08/27/20 06:00:00 PM,6.978,1065.6
95,08/27/20 06:30:00 PM,6.877,301.4
96,08/27/20 07:00:00 PM,6.978,301.4
97,08/27/20 07:30:00 PM,6.978,10.8
98,08/27/20 08:00:00 PM,7.079,10.8
99,08/27/20 08:30:00 PM,7.079,0.0
100,08/27/20 09:00:00 PM,6.978,0.0
101,08/27/20 09:30:00 PM,7.079,0.0
102,08/27/20 10:00:00 PM,6.978,0.0
103,08/27/20 10:30:00 PM,7.079,0.0
104,08/27/20 11:00:00 PM,6.978,0.0
105,08/27/20 11:30:00 PM,6.978,0.0
106,08/28/20 12:00:00 AM,7.179,0.0
107,08/28/20 12:30:00 AM,7.079,0.0
108,08/28/20 01:00:00 AM,6.978,0.0
109,08/28/20 01:30:00 AM,6.978,0.0
110,08/28/20 02:00:00 AM,6.978,0.0
111,08/28/20 02:30:00 AM,6.978,0.0
112,08/28/20 03:00:00 AM,6.978,0.0
113,08/28/20 03:30:00 AM,6.978,0.0
114,08/28/20 04:00:00 AM,6.877,0.0
115,08/28/20 04:30:00 AM,6.775,0.0
116,08/28/20 05:00:00 AM,6.775,0.0
117,08/28/20 05:30:00 AM,6.978,0.0
118,08/28/20 06:00:00 AM,6.978,0.0
119,08/28/20 06:30:00 AM,7.079,0.0
120,08/28/20 07:00:00 AM,6.978,0.0
121,08/28/20 07:30:00 AM,6.978,21.5
122,08/28/20 08:00:00 AM,7.079,43.1
