datetime,irr_0,irr_2,irr_4,irr_8
2020-08-26T01:30:00Z,129.2,53.8,NA,64.6
2020-08-26T02:00:00Z,409,32.3,NA,10.8
2020-08-26T02:30:00Z,279.9,0,NA,0
2020-08-26T03:00:00Z,0,0,NA,0
2020-08-26T03:30:00Z,0,0,NA,0
2020-08-26T04:00:00Z,0,0,NA,0
2020-08-26T04:30:00Z,0,0,NA,0
2020-08-26T05:00:00Z,0,0,NA,0
2020-08-26T05:30:00Z,0,0,NA,0
2020-08-26T06:00:00Z,0,0,NA,0
2020-08-26T06:30:00Z,0,0,NA,0
2020-08-26T07:00:00Z,0,0,NA,0
2020-08-26T07:30:00Z,0,0,NA,0
2020-08-26T08:00:00Z,0,0,NA,0
2020-08-26T08:30:00Z,0,0,NA,0
2020-08-26T09:00:00Z,0,0,NA,0
2020-08-26T09:30:00Z,0,0,NA,0
2020-08-26T10:00:00Z,0,0,NA,0
2020-08-26T10:30:00Z,0,0,NA,0
2020-08-26T11:00:00Z,0,0,NA,0
2020-08-26T11:30:00Z,0,0,NA,0
2020-08-26T12:00:00Z,0,0,NA,0
2020-08-26T12:30:00Z,0,0,NA,0
2020-08-26T13:00:00Z,376.7,21.5,NA,0
2020-08-26T13:30:00Z,656.6,43.1,NA,32.3
2020-08-26T14:00:00Z,1722.2,107.6,NA,43.1
2020-08-26T14:30:00Z,3616.7,452.1,NA,64.6
2020-08-26T15:00:00Z,4305.6,1377.8,NA,96.9
2020-08-26T15:30:00Z,9644.5,2755.6,NA,430.6
2020-08-26T16:00:00Z,23422.4,592,NA,2152.8
2020-08-26T16:30:00Z,3100,290.6,NA,409
2020-08-26T17:00:00Z,143289.8,312.2,NA,742.7
2020-08-26T17:30:00Z,4650,398.3,NA,699.7
2020-08-26T18:00:00Z,3444.5,387.5,NA,559.7
2020-08-26T18:30:00Z,3444.5,473.6,NA,301.4
2020-08-26T19:00:00Z,2755.6,462.9,NA,312.2
2020-08-26T19:30:00Z,2583.4,452.1,NA,258.3
2020-08-26T20:00:00Z,2497.2,516.7,NA,279.9
2020-08-26T20:30:00Z,2755.6,581.3,NA,279.9
2020-08-26T21:00:00Z,2755.6,645.8,NA,236.8
2020-08-26T21:30:00Z,2669.5,839.6,NA,204.5
2020-08-26T22:00:00Z,2669.5,398.3,NA,183
2020-08-26T22:30:00Z,2066.7,1356.3,NA,226
2020-08-26T23:00:00Z,7233.4,3616.7,NA,355.2
2020-08-26T23:30:00Z,6200,1894.5,NA,226
2020-08-27T00:00:00Z,2669.5,775,NA,118.4
2020-08-27T00:30:00Z,4650,764.2,NA,107.6
2020-08-27T01:00:00Z,3444.5,226,NA,64.6
2020-08-27T01:30:00Z,1216.3,53.8,NA,43.1
2020-08-27T02:00:00Z,1377.8,21.5,NA,21.5
2020-08-27T02:30:00Z,183,0,NA,0
2020-08-27T03:00:00Z,0,0,NA,0
2020-08-27T03:30:00Z,0,0,NA,0
2020-08-27T04:00:00Z,0,0,NA,0
2020-08-27T04:30:00Z,0,0,NA,0
2020-08-27T05:00:00Z,0,0,NA,0
2020-08-27T05:30:00Z,0,0,NA,0
2020-08-27T06:00:00Z,0,0,NA,0
2020-08-27T06:30:00Z,0,0,NA,0
2020-08-27T07:00:00Z,0,0,NA,0
2020-08-27T07:30:00Z,0,0,NA,0
2020-08-27T08:00:00Z,0,0,NA,0
2020-08-27T08:30:00Z,0,0,NA,0
2020-08-27T09:00:00Z,0,0,NA,0
2020-08-27T09:30:00Z,0,0,NA,0
2020-08-27T10:00:00Z,0,0,NA,0
2020-08-27T10:30:00Z,0,0,NA,0
2020-08-27T11:00:00Z,0,0,NA,0
2020-08-27T11:30:00Z,0,0,NA,0
2020-08-27T12:00:00Z,0,0,NA,0
2020-08-27T12:30:00Z,0,0,NA,0
2020-08-27T13:00:00Z,301.4,10.8,NA,0
2020-08-27T13:30:00Z,1550,86.1,NA,43.1
2020-08-27T14:00:00Z,2152.8,86.1,NA,64.6
2020-08-27T14:30:00Z,3272.2,139.9,NA,96.9
2020-08-27T15:00:00Z,4477.8,215.3,NA,150.7
2020-08-27T15:30:00Z,4822.3,312.2,NA,193.8
2020-08-27T16:00:00Z,3444.5,462.9,NA,204.5
2020-08-27T16:30:00Z,10333.4,3272.2,NA,1173.3
2020-08-27T17:00:00Z,5511.1,505.9,NA,236.8
2020-08-27T17:30:00Z,3616.7,430.6,NA,236.8
2020-08-27T18:00:00Z,4305.6,430.6,NA,279.9
2020-08-27T18:30:00Z,4477.8,549,NA,269.1
2020-08-27T19:00:00Z,3272.2,613.5,NA,258.3
2020-08-27T19:30:00Z,2411.1,527.4,NA,269.1
2020-08-27T20:00:00Z,2669.5,430.6,NA,247.6
2020-08-27T20:30:00Z,2325,818.1,NA,226
2020-08-27T21:00:00Z,2497.2,753.5,NA,247.6
2020-08-27T21:30:00Z,12400.1,3616.7,NA,2152.8
2020-08-27T22:00:00Z,2066.7,2927.8,NA,861.1
2020-08-27T22:30:00Z,9300.1,4133.4,NA,850.4
2020-08-27T23:00:00Z,3961.1,1894.5,NA,990.3
2020-08-27T23:30:00Z,5166.7,2755.6,NA,1087.2
2020-08-28T00:00:00Z,4477.8,2152.8,NA,1065.6
2020-08-28T00:30:00Z,5166.7,2152.8,NA,301.4
2020-08-28T01:00:00Z,3272.2,656.6,NA,301.4
2020-08-28T01:30:00Z,419.8,43.1,NA,10.8
2020-08-28T02:00:00Z,355.2,21.5,NA,10.8
2020-08-28T02:30:00Z,64.6,0,NA,0
2020-08-28T03:00:00Z,0,0,NA,0
2020-08-28T03:30:00Z,0,0,NA,0
2020-08-28T04:00:00Z,0,0,NA,0
2020-08-28T04:30:00Z,0,0,NA,0
2020-08-28T05:00:00Z,0,0,NA,0
2020-08-28T05:30:00Z,0,0,NA,0
2020-08-28T06:00:00Z,0,0,NA,0
2020-08-28T06:30:00Z,0,0,NA,0
2020-08-28T07:00:00Z,0,0,NA,0
2020-08-28T07:30:00Z,0,0,NA,0
2020-08-28T08:00:00Z,0,0,NA,0
2020-08-28T08:30:00Z,0,0,NA,0
2020-08-28T09:00:00Z,0,0,NA,0
2020-08-28T09:30:00Z,0,0,NA,0
2020-08-28T10:00:00Z,0,0,NA,0
2020-08-28T10:30:00Z,0,0,NA,0
2020-08-28T11:00:00Z,0,0,NA,0
2020-08-28T11:30:00Z,0,0,NA,0
2020-08-28T12:00:00Z,0,0,NA,0
2020-08-28T12:30:00Z,0,0,NA,0
2020-08-28T13:00:00Z,129.2,10.8,NA,0
2020-08-28T13:30:00Z,322.9,53.8,NA,21.5
2020-08-28T14:00:00Z,592,96.9,NA,43.1
2020-08-28T14:30:00Z,3961.1,1334.7,NA,667.4
2020-08-28T15:00:00Z,4133.4,1377.8,NA,1076.4
2020-08-28T15:30:00Z,5166.7,2238.9,NA,1550
2020-08-28T16:00:00Z,5166.7,3616.7,NA,2066.7
2020-08-28T16:30:00Z,3961.1,236.8,NA,118.4
2020-08-28T17:00:00Z,3444.5,333.7,NA,139.9
2020-08-28T17:30:00Z,1636.1,387.5,NA,193.8
2020-08-28T18:00:00Z,2066.7,398.3,NA,193.8
2020-08-28T18:30:00Z,1894.5,505.9,NA,193.8
2020-08-28T19:00:00Z,1808.3,527.4,NA,204.5
2020-08-28T19:30:00Z,1463.9,344.4,NA,236.8
2020-08-28T20:00:00Z,1808.3,645.8,NA,236.8
2020-08-28T20:30:00Z,2152.8,559.7,NA,247.6
2020-08-28T21:00:00Z,1980.6,667.4,NA,430.6
2020-08-28T21:30:00Z,1808.3,1259.4,NA,785.8
2020-08-28T22:00:00Z,2755.6,2497.2,NA,1259.4
2020-08-28T22:30:00Z,2755.6,3788.9,NA,1248.6
2020-08-28T23:00:00Z,5338.9,2238.9,NA,1722.2
2020-08-28T23:30:00Z,7233.4,3444.5,NA,1377.8
2020-08-29T00:00:00Z,5166.7,2152.8,NA,1065.6
2020-08-29T00:30:00Z,5166.7,2238.9,NA,721.2
2020-08-29T01:00:00Z,1722.2,452.1,NA,279.9
2020-08-29T01:30:00Z,376.7,53.8,NA,21.5
2020-08-29T02:00:00Z,344.4,21.5,NA,10.8
2020-08-29T02:30:00Z,43.1,0,NA,0
2020-08-29T03:00:00Z,0,0,NA,0
2020-08-29T03:30:00Z,0,0,NA,0
2020-08-29T04:00:00Z,0,0,NA,0
2020-08-29T04:30:00Z,0,0,NA,0
2020-08-29T05:00:00Z,0,0,NA,0
2020-08-29T05:30:00Z,0,0,NA,0
2020-08-29T06:00:00Z,0,0,NA,0
2020-08-29T06:30:00Z,0,0,NA,0
2020-08-29T07:00:00Z,0,0,NA,0
2020-08-29T07:30:00Z,0,0,NA,0
2020-08-29T08:00:00Z,0,0,NA,0
2020-08-29T08:30:00Z,0,0,NA,0
2020-08-29T09:00:00Z,0,0,NA,0
2020-08-29T09:30:00Z,0,0,NA,0
2020-08-29T10:00:00Z,0,0,NA,0
2020-08-29T10:30:00Z,0,0,NA,0
2020-08-29T11:00:00Z,0,0,NA,0
2020-08-29T11:30:00Z,0,0,NA,0
2020-08-29T12:00:00Z,0,0,NA,0
2020-08-29T12:30:00Z,0,0,NA,0
2020-08-29T13:00:00Z,118.4,10.8,NA,0
2020-08-29T13:30:00Z,333.7,75.3,NA,32.3
2020-08-29T14:00:00Z,505.9,129.2,NA,53.8
2020-08-29T14:30:00Z,3100,1248.6,NA,645.8
2020-08-29T15:00:00Z,2755.6,1119.5,NA,893.4
2020-08-29T15:30:00Z,4133.4,1894.5,NA,1463.9
2020-08-29T16:00:00Z,5166.7,2927.8,NA,1463.9
2020-08-29T16:30:00Z,14466.8,559.7,NA,161.5
2020-08-29T17:00:00Z,74400.5,312.2,NA,129.2
2020-08-29T17:30:00Z,2497.2,376.7,NA,172.2
2020-08-29T18:00:00Z,19977.9,441.3,NA,161.5
2020-08-29T18:30:00Z,2755.6,495.1,NA,193.8
2020-08-29T19:00:00Z,3272.2,473.6,NA,226
2020-08-29T19:30:00Z,2066.7,731.9,NA,258.3
2020-08-29T20:00:00Z,1808.3,861.1,NA,473.6
2020-08-29T20:30:00Z,1894.5,1722.2,NA,925.7
2020-08-29T21:00:00Z,1636.1,3444.5,NA,409
2020-08-29T21:30:00Z,1550,2755.6,NA,613.5
2020-08-29T22:00:00Z,1087.2,3961.1,NA,312.2
2020-08-29T22:30:00Z,979.5,2669.5,NA,602.8
2020-08-29T23:00:00Z,473.6,581.3,NA,43.1
2020-08-29T23:30:00Z,688.9,269.1,NA,75.3
2020-08-30T00:00:00Z,484.4,279.9,NA,139.9
2020-08-30T00:30:00Z,635.1,958,NA,150.7
2020-08-30T01:00:00Z,226,64.6,NA,32.3
2020-08-30T01:30:00Z,107.6,21.5,NA,10.8
2020-08-30T02:00:00Z,21.5,0,NA,0
2020-08-30T02:30:00Z,0,0,NA,0
2020-08-30T03:00:00Z,0,0,NA,0
2020-08-30T03:30:00Z,0,0,NA,0
2020-08-30T04:00:00Z,0,0,NA,0
