datetime,wtr_0,wtr_2,wtr_4,wtr_8,wtr_1
2020-08-05T21:30:00Z,20.234,20.234,12.787,6.166,19.982
2020-08-05T22:00:00Z,20.234,20.234,12.883,5.962,19.823
2020-08-05T22:30:00Z,20.329,20.234,13.365,5.86,19.899
2020-08-05T23:00:00Z,20.519,20.234,12.883,5.86,19.957
2020-08-05T23:30:00Z,20.615,20.138,13.076,6.064,20.024
2020-08-06T00:00:00Z,20.329,19.758,12.497,6.064,20.049
2020-08-06T00:30:00Z,20.519,19.472,12.013,6.166,20.041
2020-08-06T01:00:00Z,20.329,19.567,12.11,6.166,20.074
2020-08-06T01:30:00Z,20.519,19.567,11.916,6.166,20.058
2020-08-06T02:00:00Z,20.234,19.472,11.722,5.757,20.041
2020-08-06T02:30:00Z,20.138,19.472,12.013,5.757,19.999
2020-08-06T03:00:00Z,20.138,19.472,12.497,5.86,19.957
2020-08-06T03:30:00Z,20.043,19.282,11.722,5.962,19.932
2020-08-06T04:00:00Z,20.043,19.187,12.207,5.962,19.589
2020-08-06T04:30:00Z,19.948,19.282,12.304,6.064,19.798
2020-08-06T05:00:00Z,19.853,19.282,12.013,5.962,19.739
2020-08-06T05:30:00Z,19.758,19.282,12.11,5.757,19.656
2020-08-06T06:00:00Z,19.662,19.377,12.11,5.757,19.597
2020-08-06T06:30:00Z,19.662,19.377,12.401,5.757,19.53
2020-08-06T07:00:00Z,19.472,19.282,12.11,5.757,19.438
2020-08-06T07:30:00Z,19.377,19.377,11.916,5.757,19.362
2020-08-06T08:00:00Z,19.377,19.282,12.013,5.86,19.295
2020-08-06T08:30:00Z,19.377,19.377,12.497,5.962,19.253
2020-08-06T09:00:00Z,19.187,19.377,12.304,5.962,19.169
2020-08-06T09:30:00Z,19.187,19.377,12.304,6.064,19.11
2020-08-06T10:00:00Z,19.187,19.282,11.916,6.064,19.052
2020-08-06T10:30:00Z,19.092,19.282,12.013,5.86,19.027
2020-08-06T11:00:00Z,19.092,19.187,12.207,5.86,18.968
2020-08-06T11:30:00Z,18.996,19.187,12.013,5.962,18.901
2020-08-06T12:00:00Z,18.996,19.092,11.819,5.962,18.842
2020-08-06T12:30:00Z,18.901,19.092,12.401,5.962,18.817
2020-08-06T13:00:00Z,18.901,19.092,12.304,5.962,18.766
2020-08-06T13:30:00Z,18.901,19.092,11.916,5.86,18.775
2020-08-06T14:00:00Z,18.901,18.996,12.304,5.86,18.749
2020-08-06T14:30:00Z,18.901,18.996,11.916,5.86,18.724
2020-08-06T15:00:00Z,18.901,18.996,11.916,5.962,18.724
2020-08-06T15:30:00Z,18.901,18.996,12.207,6.064,18.716
2020-08-06T16:00:00Z,18.901,18.996,12.11,5.962,18.733
2020-08-06T16:30:00Z,18.996,18.996,12.013,5.962,18.724
2020-08-06T17:00:00Z,19.092,19.092,12.304,5.86,18.724
2020-08-06T17:30:00Z,19.472,19.282,12.207,6.064,18.808
2020-08-06T18:00:00Z,19.662,19.472,12.207,6.064,18.8
2020-08-06T18:30:00Z,19.853,19.662,12.497,5.962,18.833
2020-08-06T19:00:00Z,19.758,19.853,12.207,6.064,18.892
2020-08-06T19:30:00Z,19.853,20.043,12.497,6.064,19.06
2020-08-06T20:00:00Z,19.567,19.472,12.304,5.962,19.161
2020-08-06T20:30:00Z,19.472,19.662,12.207,6.166,19.169
2020-08-06T21:00:00Z,19.472,19.567,11.722,6.064,19.211
2020-08-06T21:30:00Z,19.948,20.138,12.401,6.268,19.262
